Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (65 a 69 anos + 70 a 74 anos + 75 a 79 anos + 80 a 89 anos + 90 a 99 anos + 100 anos ou mais);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Bairro;
1100205008;Liberdade - Porto Velho (RO);193
1100205009;São João Bosco - Porto Velho (RO);357
1100205010;São Cristóvão - Porto Velho (RO);273
1100205011;Nossa Senhora das Graças - Porto Velho (RO);219
1100205012;Mato Grosso - Porto Velho (RO);118
1100205014;Tucumanzal - Porto Velho (RO);91
1100205015;Olaria - Porto Velho (RO);349
1100205016;Agricolândia - Porto Velho (RO);79
1100205017;Centro - Porto Velho (RO);145
1100205018;Caiari - Porto Velho (RO);59
1100205019;Santa Bárbara - Porto Velho (RO);87
1100205020;Mocambo - Porto Velho (RO);59
1100205021;Baixa União - Porto Velho (RO);143
1100205022;Quilômetro Um - Porto Velho (RO);58
1100205023;Areal - Porto Velho (RO);397
1100205024;Triângulo - Porto Velho (RO);154
1100205025;Militar - Porto Velho (RO);9
1100205026;Floresta - Porto Velho (RO);258
1100205027;Panair - Porto Velho (RO);110
1100205030;Pedrinhas - Porto Velho (RO);240
1100205031;Embratel - Porto Velho (RO);575
1100205032;Tancredo Neves - Porto Velho (RO);356
1100205033;Tupi - Porto Velho (RO);40
1100205036;Costa e Silva - Porto Velho (RO);207
1100205037;São Sebastião - Porto Velho (RO);213
1100205038;Nacional - Porto Velho (RO);218
1100205039;Lagoa - Porto Velho (RO);91
1100205040;Agenor M. de Carvalho - Porto Velho (RO);517
1100205041;Rio Madeira - Porto Velho (RO);103
1100205042;Eldorado - Porto Velho (RO);94
1100205043;Aeroclube - Porto Velho (RO);53
1100205044;Cohab - Porto Velho (RO);385
1100205045;Castanheira - Porto Velho (RO);341
1100205046;Caladinho - Porto Velho (RO);334
1100205047;Nova Floresta - Porto Velho (RO);374
1100205049;Cidade do Lobo - Porto Velho (RO);158
1100205050;Eletronorte - Porto Velho (RO);287
1100205051;Novo Horizonte - Porto Velho (RO);51
1100205052;Areia Branca - Porto Velho (RO);54
1100205053;Cascalheira - Porto Velho (RO);51
1100205054;Escola de Polícia - Porto Velho (RO);113
1100205055;Teixeirão - Porto Velho (RO);201
1100205056;Planalto - Porto Velho (RO);24
1100205057;Lagoinha - Porto Velho (RO);220
1100205058;Três Marias - Porto Velho (RO);203
1100205059;Cuniã - Porto Velho (RO);180
1100205060;Igarapé - Porto Velho (RO);296
1100205061;Aponiã - Porto Velho (RO);448
1100205062;Conceição - Porto Velho (RO);327
1100288002;Centenário - Rolim de Moura (RO);138
1100288003;Jardim Tropical - Rolim de Moura (RO);114
1100288004;São Cristóvão - Rolim de Moura (RO);265
1100288005;Beira Rio - Rolim de Moura (RO);287
1100288006;Olímpico - Rolim de Moura (RO);153
1100288007;Boa Esperança - Rolim de Moura (RO);220
1100288008;Cidade Alta - Rolim de Moura (RO);208
1100288009;Bairro Industrial - Rolim de Moura (RO);52
1100288010;Planalto - Rolim de Moura (RO);222
