"Tabela 3573 - Pessoas de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo o sexo, a condição no domicílio e o compartilhamento da responsabilidade pelo domicílio, a naturalidade em relação ao município e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"2512788","Riacho de Santo Antônio (PB)","Total","Total","46"
"2512804","Riacho dos Cavalos (PB)","Total","Total","170"
"2512903","Rio Tinto (PB)","Total","Total","941"
"2513000","Salgadinho (PB)","Total","Total","69"
"2513109","Salgado de São Félix (PB)","Total","Total","325"
"2513158","Santa Cecília (PB)","Total","Total","49"
"2513208","Santa Cruz (PB)","Total","Total","93"
"2513307","Santa Helena (PB)","Total","Total","290"
"2513356","Santa Inês (PB)","Total","Total","210"
"2513406","Santa Luzia (PB)","Total","Total","479"
"2513505","Santana de Mangueira (PB)","Total","Total","98"
"2513604","Santana dos Garrotes (PB)","Total","Total","187"
"2513653","Joca Claudino (PB)","Total","Total","21"
"2513703","Santa Rita (PB)","Total","Total","5466"
"2513802","Santa Teresinha (PB)","Total","Total","92"
"2513851","Santo André (PB)","Total","Total","70"
"2513901","São Bento (PB)","Total","Total","435"
"2513927","São Bentinho (PB)","Total","Total","99"
"2513943","São Domingos do Cariri (PB)","Total","Total","60"
"2513968","São Domingos (PB)","Total","Total","69"
"2513984","São Francisco (PB)","Total","Total","61"
"2514008","São João do Cariri (PB)","Total","Total","107"
"2514107","São João do Tigre (PB)","Total","Total","40"
"2514206","São José da Lagoa Tapada (PB)","Total","Total","143"
"2514305","São José de Caiana (PB)","Total","Total","71"
"2514404","São José de Espinharas (PB)","Total","Total","41"
"2514453","São José dos Ramos (PB)","Total","Total","93"
"2514503","São José de Piranhas (PB)","Total","Total","526"
"2514552","São José de Princesa (PB)","Total","Total","68"
"2514602","São José do Bonfim (PB)","Total","Total","74"
"2514651","São José do Brejo do Cruz (PB)","Total","Total","101"
"2514701","São José do Sabugi (PB)","Total","Total","49"
"2514800","São José dos Cordeiros (PB)","Total","Total","74"
"2514909","São Mamede (PB)","Total","Total","185"
"2515005","São Miguel de Taipu (PB)","Total","Total","74"
"2515104","São Sebastião de Lagoa de Roça (PB)","Total","Total","355"
"2515203","São Sebastião do Umbuzeiro (PB)","Total","Total","135"
"2515302","Sapé (PB)","Total","Total","2380"
"2515401","São Vicente do Seridó (PB)","Total","Total","278"
"2515500","Serra Branca (PB)","Total","Total","369"
"2515609","Serra da Raiz (PB)","Total","Total","106"
"2515708","Serra Grande (PB)","Total","Total","71"
"2515807","Serra Redonda (PB)","Total","Total","158"
"2515906","Serraria (PB)","Total","Total","111"
"2515930","Sertãozinho (PB)","Total","Total","78"
"2515971","Sobrado (PB)","Total","Total","210"
"2516003","Solânea (PB)","Total","Total","739"
"2516102","Soledade (PB)","Total","Total","330"
"2516151","Sossêgo (PB)","Total","Total","26"
"2516201","Sousa (PB)","Total","Total","2812"
"2516300","Sumé (PB)","Total","Total","608"
"2516409","Tacima (PB)","Total","Total","300"
"2516508","Taperoá (PB)","Total","Total","487"
"2516607","Tavares (PB)","Total","Total","336"
"2516706","Teixeira (PB)","Total","Total","367"
"2516755","Tenório (PB)","Total","Total","70"
"2516805","Triunfo (PB)","Total","Total","270"
"2516904","Uiraúna (PB)","Total","Total","365"
"2517001","Umbuzeiro (PB)","Total","Total","159"
"2517100","Várzea (PB)","Total","Total","71"
"2517209","Vieirópolis (PB)","Total","Total","144"
"2517407","Zabelê (PB)","Total","Total","84"
"2600054","Abreu e Lima (PE)","Total","Total","7808"
"2600104","Afogados da Ingazeira (PE)","Total","Total","1200"
"2600203","Afrânio (PE)","Total","Total","470"
"2600302","Agrestina (PE)","Total","Total","644"
"2600401","Água Preta (PE)","Total","Total","1870"
"2600500","Águas Belas (PE)","Total","Total","1052"
"2600609","Alagoinha (PE)","Total","Total","346"
"2600708","Aliança (PE)","Total","Total","2022"
"2600807","Altinho (PE)","Total","Total","408"
"2600906","Amaraji (PE)","Total","Total","917"
"2601003","Angelim (PE)","Total","Total","163"
"2601052","Araçoiaba (PE)","Total","Total","1474"
"2601102","Araripina (PE)","Total","Total","1901"
"2601201","Arcoverde (PE)","Total","Total","3194"
"2601300","Barra de Guabiraba (PE)","Total","Total","354"
"2601409","Barreiros (PE)","Total","Total","2075"
"2601508","Belém de Maria (PE)","Total","Total","372"
"2601607","Belém do São Francisco (PE)","Total","Total","665"
"2601706","Belo Jardim (PE)","Total","Total","3063"
"2601805","Betânia (PE)","Total","Total","146"
"2601904","Bezerros (PE)","Total","Total","2228"
"2602001","Bodocó (PE)","Total","Total","891"
"2602100","Bom Conselho (PE)","Total","Total","1526"
"2602209","Bom Jardim (PE)","Total","Total","811"
"2602308","Bonito (PE)","Total","Total","1421"
"2602407","Brejão (PE)","Total","Total","305"
"2602506","Brejinho (PE)","Total","Total","198"
"2602605","Brejo da Madre de Deus (PE)","Total","Total","1116"
"2602704","Buenos Aires (PE)","Total","Total","529"
"2602803","Buíque (PE)","Total","Total","1334"
"2602902","Cabo de Santo Agostinho (PE)","Total","Total","13725"
"2603009","Cabrobó (PE)","Total","Total","1320"
"2603108","Cachoeirinha (PE)","Total","Total","433"
"2603207","Caetés (PE)","Total","Total","292"
"2603306","Calçado (PE)","Total","Total","97"
"2603405","Calumbi (PE)","Total","Total","204"
"2603454","Camaragibe (PE)","Total","Total","9705"
"2603504","Camocim de São Félix (PE)","Total","Total","623"
"2603603","Camutanga (PE)","Total","Total","390"
"2603702","Canhotinho (PE)","Total","Total","537"
"2603801","Capoeiras (PE)","Total","Total","326"
"2603900","Carnaíba (PE)","Total","Total","439"
"2603926","Carnaubeira da Penha (PE)","Total","Total","316"
"2604007","Carpina (PE)","Total","Total","3748"
"2604106","Caruaru (PE)","Total","Total","10839"
"2604155","Casinhas (PE)","Total","Total","460"
"2604205","Catende (PE)","Total","Total","1907"
"2604304","Cedro (PE)","Total","Total","251"
"2604403","Chã de Alegria (PE)","Total","Total","802"
"2604502","Chã Grande (PE)","Total","Total","665"
"2604601","Condado (PE)","Total","Total","1201"
"2604700","Correntes (PE)","Total","Total","300"
"2604809","Cortês (PE)","Total","Total","235"
"2604908","Cumaru (PE)","Total","Total","509"
"2605004","Cupira (PE)","Total","Total","577"
"2605103","Custódia (PE)","Total","Total","990"
"2605152","Dormentes (PE)","Total","Total","241"
"2605202","Escada (PE)","Total","Total","3967"
"2605301","Exu (PE)","Total","Total","888"
"2605400","Feira Nova (PE)","Total","Total","724"
"2605459","Fernando de Noronha (PE)","Total","Total","43"
"2605509","Ferreiros (PE)","Total","Total","477"
"2605608","Flores (PE)","Total","Total","414"
"2605707","Floresta (PE)","Total","Total","1057"
"2605806","Frei Miguelinho (PE)","Total","Total","233"
"2605905","Gameleira (PE)","Total","Total","1079"
"2606002","Garanhuns (PE)","Total","Total","6247"
"2606101","Glória do Goitá (PE)","Total","Total","889"
"2606200","Goiana (PE)","Total","Total","4604"
"2606309","Granito (PE)","Total","Total","72"
"2606408","Gravatá (PE)","Total","Total","3451"
"2606507","Iati (PE)","Total","Total","325"
"2606606","Ibimirim (PE)","Total","Total","718"
"2606705","Ibirajuba (PE)","Total","Total","56"
"2606804","Igarassu (PE)","Total","Total","7450"
"2606903","Iguaracy (PE)","Total","Total","381"
"2607000","Inajá (PE)","Total","Total","559"
"2607109","Ingazeira (PE)","Total","Total","144"
"2607208","Ipojuca (PE)","Total","Total","4836"
"2607307","Ipubi (PE)","Total","Total","1139"
"2607406","Itacuruba (PE)","Total","Total","340"
"2607505","Itaíba (PE)","Total","Total","439"
"2607604","Ilha de Itamaracá (PE)","Total","Total","1179"
"2607653","Itambé (PE)","Total","Total","1842"
"2607703","Itapetim (PE)","Total","Total","353"
"2607752","Itapissuma (PE)","Total","Total","1129"
"2607802","Itaquitinga (PE)","Total","Total","916"
"2607901","Jaboatão dos Guararapes (PE)","Total","Total","40462"
"2607950","Jaqueira (PE)","Total","Total","542"
"2608008","Jataúba (PE)","Total","Total","320"
"2608057","Jatobá (PE)","Total","Total","578"
"2608107","João Alfredo (PE)","Total","Total","667"
"2608206","Joaquim Nabuco (PE)","Total","Total","728"
"2608255","Jucati (PE)","Total","Total","80"
"2608305","Jupi (PE)","Total","Total","214"
"2608404","Jurema (PE)","Total","Total","252"
"2608453","Lagoa do Carro (PE)","Total","Total","503"
"2608503","Lagoa de Itaenga (PE)","Total","Total","902"
"2608602","Lagoa do Ouro (PE)","Total","Total","402"
"2608701","Lagoa dos Gatos (PE)","Total","Total","370"
"2608750","Lagoa Grande (PE)","Total","Total","1122"
"2608800","Lajedo (PE)","Total","Total","921"
"2608909","Limoeiro (PE)","Total","Total","2107"
"2609006","Macaparana (PE)","Total","Total","979"
"2609105","Machados (PE)","Total","Total","310"
"2609154","Manari (PE)","Total","Total","531"
"2609204","Maraial (PE)","Total","Total","404"
"2609303","Mirandiba (PE)","Total","Total","355"
"2609402","Moreno (PE)","Total","Total","4066"
"2609501","Nazaré da Mata (PE)","Total","Total","1400"
"2609600","Olinda (PE)","Total","Total","23249"
"2609709","Orobó (PE)","Total","Total","581"
"2609808","Orocó (PE)","Total","Total","334"
"2609907","Ouricuri (PE)","Total","Total","2110"
"2610004","Palmares (PE)","Total","Total","3273"
"2610103","Palmeirina (PE)","Total","Total","470"
"2610202","Panelas (PE)","Total","Total","623"
"2610301","Paranatama (PE)","Total","Total","104"
"2610400","Parnamirim (PE)","Total","Total","657"
"2610509","Passira (PE)","Total","Total","1004"
"2610608","Paudalho (PE)","Total","Total","2769"
"2610707","Paulista (PE)","Total","Total","20714"
"2610806","Pedra (PE)","Total","Total","601"
"2610905","Pesqueira (PE)","Total","Total","2020"
"2611002","Petrolândia (PE)","Total","Total","1692"
"2611101","Petrolina (PE)","Total","Total","14467"
"2611200","Poção (PE)","Total","Total","133"
"2611309","Pombos (PE)","Total","Total","1042"
"2611408","Primavera (PE)","Total","Total","604"
"2611507","Quipapá (PE)","Total","Total","657"
"2611533","Quixaba (PE)","Total","Total","82"
"2611606","Recife (PE)","Total","Total","94176"
"2611705","Riacho das Almas (PE)","Total","Total","449"
"2611804","Ribeirão (PE)","Total","Total","2419"
"2611903","Rio Formoso (PE)","Total","Total","1292"
"2612000","Sairé (PE)","Total","Total","201"
"2612109","Salgadinho (PE)","Total","Total","579"
"2612208","Salgueiro (PE)","Total","Total","2724"
"2612307","Saloá (PE)","Total","Total","228"
"2612406","Sanharó (PE)","Total","Total","1063"
"2612455","Santa Cruz (PE)","Total","Total","480"
"2612471","Santa Cruz da Baixa Verde (PE)","Total","Total","278"
"2612505","Santa Cruz do Capibaribe (PE)","Total","Total","1257"
"2612554","Santa Filomena (PE)","Total","Total","178"
"2612604","Santa Maria da Boa Vista (PE)","Total","Total","1249"
"2612703","Santa Maria do Cambucá (PE)","Total","Total","129"
"2612802","Santa Terezinha (PE)","Total","Total","763"
"2612901","São Benedito do Sul (PE)","Total","Total","468"
"2613008","São Bento do Una (PE)","Total","Total","1525"
"2613107","São Caitano (PE)","Total","Total","857"
"2613206","São João (PE)","Total","Total","432"
"2613305","São Joaquim do Monte (PE)","Total","Total","196"
"2613404","São José da Coroa Grande (PE)","Total","Total","982"
"2613503","São José do Belmonte (PE)","Total","Total","955"
"2613602","São José do Egito (PE)","Total","Total","1301"
"2613701","São Lourenço da Mata (PE)","Total","Total","7278"
"2613800","São Vicente Férrer (PE)","Total","Total","646"
"2613909","Serra Talhada (PE)","Total","Total","2637"
"2614006","Serrita (PE)","Total","Total","414"
"2614105","Sertânia (PE)","Total","Total","1029"
"2614204","Sirinhaém (PE)","Total","Total","2311"
"2614303","Moreilândia (PE)","Total","Total","166"
"2614402","Solidão (PE)","Total","Total","131"
"2614501","Surubim (PE)","Total","Total","1709"
"2614600","Tabira (PE)","Total","Total","880"
"2614709","Tacaimbó (PE)","Total","Total","187"
"2614808","Tacaratu (PE)","Total","Total","590"
"2614857","Tamandaré (PE)","Total","Total","971"
"2615003","Taquaritinga do Norte (PE)","Total","Total","631"
"2615102","Terezinha (PE)","Total","Total","131"
"2615201","Terra Nova (PE)","Total","Total","339"
"2615300","Timbaúba (PE)","Total","Total","2564"
"2615409","Toritama (PE)","Total","Total","636"
"2615508","Tracunhaém (PE)","Total","Total","502"
"2615607","Trindade (PE)","Total","Total","896"
"2615706","Triunfo (PE)","Total","Total","284"
"2615805","Tupanatinga (PE)","Total","Total","460"
"2615904","Tuparetama (PE)","Total","Total","200"
"2616001","Venturosa (PE)","Total","Total","557"
"2616100","Verdejante (PE)","Total","Total","309"
"2616183","Vertente do Lério (PE)","Total","Total","85"
"2616209","Vertentes (PE)","Total","Total","464"
"2616308","Vicência (PE)","Total","Total","1573"
"2616407","Vitória de Santo Antão (PE)","Total","Total","6931"
"2616506","Xexéu (PE)","Total","Total","760"
"2700102","Água Branca (AL)","Total","Total","355"
"2700201","Anadia (AL)","Total","Total","719"
"2700300","Arapiraca (AL)","Total","Total","7949"
"2700409","Atalaia (AL)","Total","Total","1957"
"2700508","Barra de Santo Antônio (AL)","Total","Total","582"
"2700607","Barra de São Miguel (AL)","Total","Total","239"
"2700706","Batalha (AL)","Total","Total","658"
"2700805","Belém (AL)","Total","Total","142"
"2700904","Belo Monte (AL)","Total","Total","104"
"2701001","Boca da Mata (AL)","Total","Total","1352"
"2701100","Branquinha (AL)","Total","Total","263"
"2701209","Cacimbinhas (AL)","Total","Total","324"
"2701308","Cajueiro (AL)","Total","Total","864"
"2701357","Campestre (AL)","Total","Total","265"
"2701407","Campo Alegre (AL)","Total","Total","3260"
"2701506","Campo Grande (AL)","Total","Total","195"
"2701605","Canapi (AL)","Total","Total","282"
"2701704","Capela (AL)","Total","Total","619"
"2701803","Carneiros (AL)","Total","Total","111"
"2701902","Chã Preta (AL)","Total","Total","48"
"2702009","Coité do Nóia (AL)","Total","Total","89"
"2702108","Colônia Leopoldina (AL)","Total","Total","688"
"2702207","Coqueiro Seco (AL)","Total","Total","260"
"2702306","Coruripe (AL)","Total","Total","2251"
"2702355","Craíbas (AL)","Total","Total","226"
"2702405","Delmiro Gouveia (AL)","Total","Total","2349"
"2702504","Dois Riachos (AL)","Total","Total","133"
"2702553","Estrela de Alagoas (AL)","Total","Total","353"
"2702603","Feira Grande (AL)","Total","Total","250"
"2702702","Feliz Deserto (AL)","Total","Total","244"
"2702801","Flexeiras (AL)","Total","Total","504"
"2702900","Girau do Ponciano (AL)","Total","Total","1242"
"2703007","Ibateguara (AL)","Total","Total","263"
"2703106","Igaci (AL)","Total","Total","552"
"2703205","Igreja Nova (AL)","Total","Total","373"
"2703304","Inhapi (AL)","Total","Total","258"
"2703403","Jacaré dos Homens (AL)","Total","Total","149"
"2703502","Jacuípe (AL)","Total","Total","237"
"2703601","Japaratinga (AL)","Total","Total","337"
"2703700","Jaramataia (AL)","Total","Total","193"
"2703759","Jequiá da Praia (AL)","Total","Total","405"
"2703809","Joaquim Gomes (AL)","Total","Total","449"
"2703908","Jundiá (AL)","Total","Total","84"
"2704005","Junqueiro (AL)","Total","Total","839"
"2704104","Lagoa da Canoa (AL)","Total","Total","226"
"2704203","Limoeiro de Anadia (AL)","Total","Total","827"
"2704302","Maceió (AL)","Total","Total","54411"
"2704401","Major Isidoro (AL)","Total","Total","584"
"2704500","Maragogi (AL)","Total","Total","840"
"2704609","Maravilha (AL)","Total","Total","303"
"2704708","Marechal Deodoro (AL)","Total","Total","2106"
"2704807","Maribondo (AL)","Total","Total","428"
"2704906","Mar Vermelho (AL)","Total","Total","135"
"2705002","Mata Grande (AL)","Total","Total","156"
"2705101","Matriz de Camaragibe (AL)","Total","Total","1222"
"2705200","Messias (AL)","Total","Total","871"
"2705309","Minador do Negrão (AL)","Total","Total","160"
"2705408","Monteirópolis (AL)","Total","Total","382"
"2705507","Murici (AL)","Total","Total","1215"
"2705606","Novo Lino (AL)","Total","Total","353"
"2705705","Olho d'Água das Flores (AL)","Total","Total","658"
"2705804","Olho d'Água do Casado (AL)","Total","Total","248"
"2705903","Olho d'Água Grande (AL)","Total","Total","29"
"2706000","Olivença (AL)","Total","Total","273"
"2706109","Ouro Branco (AL)","Total","Total","290"
"2706208","Palestina (AL)","Total","Total","128"
"2706307","Palmeira dos Índios (AL)","Total","Total","2271"
"2706406","Pão de Açúcar (AL)","Total","Total","692"
"2706422","Pariconha (AL)","Total","Total","123"
"2706448","Paripueira (AL)","Total","Total","553"
"2706505","Passo de Camaragibe (AL)","Total","Total","409"
"2706604","Paulo Jacinto (AL)","Total","Total","303"
"2706703","Penedo (AL)","Total","Total","3007"
"2706802","Piaçabuçu (AL)","Total","Total","784"
"2706901","Pilar (AL)","Total","Total","1789"
"2707008","Pindoba (AL)","Total","Total","118"
"2707107","Piranhas (AL)","Total","Total","590"
"2707206","Poço das Trincheiras (AL)","Total","Total","304"
"2707305","Porto Calvo (AL)","Total","Total","946"
"2707404","Porto de Pedras (AL)","Total","Total","143"
"2707503","Porto Real do Colégio (AL)","Total","Total","913"
"2707602","Quebrangulo (AL)","Total","Total","214"
"2707701","Rio Largo (AL)","Total","Total","4387"
"2707800","Roteiro (AL)","Total","Total","263"
"2707909","Santa Luzia do Norte (AL)","Total","Total","315"
"2708006","Santana do Ipanema (AL)","Total","Total","1554"
"2708105","Santana do Mundaú (AL)","Total","Total","254"
"2708204","São Brás (AL)","Total","Total","145"
"2708303","São José da Laje (AL)","Total","Total","771"
"2708402","São José da Tapera (AL)","Total","Total","519"
"2708501","São Luís do Quitunde (AL)","Total","Total","1378"
"2708600","São Miguel dos Campos (AL)","Total","Total","4256"
"2708709","São Miguel dos Milagres (AL)","Total","Total","319"
"2708808","São Sebastião (AL)","Total","Total","1279"
"2708907","Satuba (AL)","Total","Total","699"
"2708956","Senador Rui Palmeira (AL)","Total","Total","57"
"2709004","Tanque d'Arca (AL)","Total","Total","103"
"2709103","Taquarana (AL)","Total","Total","324"
"2709152","Teotônio Vilela (AL)","Total","Total","1841"
"2709202","Traipu (AL)","Total","Total","355"
"2709301","União dos Palmares (AL)","Total","Total","2613"
"2709400","Viçosa (AL)","Total","Total","1446"
"2800100","Amparo do São Francisco (SE)","Total","Total","72"
"2800209","Aquidabã (SE)","Total","Total","749"
"2800308","Aracaju (SE)","Total","Total","30840"
"2800407","Arauá (SE)","Total","Total","304"
"2800506","Areia Branca (SE)","Total","Total","675"
"2800605","Barra dos Coqueiros (SE)","Total","Total","1538"
"2800670","Boquim (SE)","Total","Total","1053"
"2800704","Brejo Grande (SE)","Total","Total","354"
"2801009","Campo do Brito (SE)","Total","Total","294"
"2801108","Canhoba (SE)","Total","Total","62"
"2801207","Canindé de São Francisco (SE)","Total","Total","1155"
"2801306","Capela (SE)","Total","Total","1663"
"2801405","Carira (SE)","Total","Total","577"
"2801504","Carmópolis (SE)","Total","Total","1314"
"2801603","Cedro de São João (SE)","Total","Total","182"
"2801702","Cristinápolis (SE)","Total","Total","520"
"2801900","Cumbe (SE)","Total","Total","63"
"2802007","Divina Pastora (SE)","Total","Total","211"
"2802106","Estância (SE)","Total","Total","4005"
"2802205","Feira Nova (SE)","Total","Total","320"
"2802304","Frei Paulo (SE)","Total","Total","435"
"2802403","Gararu (SE)","Total","Total","179"
"2802502","General Maynard (SE)","Total","Total","247"
"2802601","Gracho Cardoso (SE)","Total","Total","147"
"2802700","Ilha das Flores (SE)","Total","Total","247"
"2802809","Indiaroba (SE)","Total","Total","333"
"2802908","Itabaiana (SE)","Total","Total","2391"
"2803005","Itabaianinha (SE)","Total","Total","1045"
"2803104","Itabi (SE)","Total","Total","101"
"2803203","Itaporanga d'Ajuda (SE)","Total","Total","2222"
"2803302","Japaratuba (SE)","Total","Total","919"
"2803401","Japoatã (SE)","Total","Total","405"
"2803500","Lagarto (SE)","Total","Total","3040"
"2803609","Laranjeiras (SE)","Total","Total","1666"
"2803708","Macambira (SE)","Total","Total","115"
"2803807","Malhada dos Bois (SE)","Total","Total","152"
"2803906","Malhador (SE)","Total","Total","203"
"2804003","Maruim (SE)","Total","Total","1174"
"2804102","Moita Bonita (SE)","Total","Total","120"
"2804201","Monte Alegre de Sergipe (SE)","Total","Total","462"
"2804300","Muribeca (SE)","Total","Total","252"
"2804409","Neópolis (SE)","Total","Total","1113"
"2804458","Nossa Senhora Aparecida (SE)","Total","Total","144"
"2804508","Nossa Senhora da Glória (SE)","Total","Total","933"
"2804607","Nossa Senhora das Dores (SE)","Total","Total","914"
"2804706","Nossa Senhora de Lourdes (SE)","Total","Total","146"
"2804805","Nossa Senhora do Socorro (SE)","Total","Total","10601"
"2804904","Pacatuba (SE)","Total","Total","376"
"2805000","Pedra Mole (SE)","Total","Total","135"
"2805109","Pedrinhas (SE)","Total","Total","257"
"2805208","Pinhão (SE)","Total","Total","149"
"2805307","Pirambu (SE)","Total","Total","351"
"2805406","Poço Redondo (SE)","Total","Total","718"
"2805505","Poço Verde (SE)","Total","Total","563"
"2805604","Porto da Folha (SE)","Total","Total","874"
"2805703","Propriá (SE)","Total","Total","1284"
"2805802","Riachão do Dantas (SE)","Total","Total","168"
"2805901","Riachuelo (SE)","Total","Total","723"
"2806008","Ribeirópolis (SE)","Total","Total","487"
"2806107","Rosário do Catete (SE)","Total","Total","615"
"2806206","Salgado (SE)","Total","Total","641"
"2806305","Santa Luzia do Itanhy (SE)","Total","Total","376"
"2806404","Santana do São Francisco (SE)","Total","Total","297"
"2806503","Santa Rosa de Lima (SE)","Total","Total","113"
"2806602","Santo Amaro das Brotas (SE)","Total","Total","1358"
"2806701","São Cristóvão (SE)","Total","Total","4817"
"2806800","São Domingos (SE)","Total","Total","245"
"2806909","São Francisco (SE)","Total","Total","123"
"2807006","São Miguel do Aleixo (SE)","Total","Total","54"
"2807105","Simão Dias (SE)","Total","Total","1888"
"2807204","Siriri (SE)","Total","Total","391"
"2807303","Telha (SE)","Total","Total","101"
"2807402","Tobias Barreto (SE)","Total","Total","1607"
"2807501","Tomar do Geru (SE)","Total","Total","374"
"2807600","Umbaúba (SE)","Total","Total","588"
"2900108","Abaíra (BA)","Total","Total","306"
"2900207","Abaré (BA)","Total","Total","1044"
"2900306","Acajutiba (BA)","Total","Total","436"
"2900355","Adustina (BA)","Total","Total","427"
"2900405","Água Fria (BA)","Total","Total","560"
"2900504","Érico Cardoso (BA)","Total","Total","209"
"2900603","Aiquara (BA)","Total","Total","219"
"2900702","Alagoinhas (BA)","Total","Total","8917"
"2900801","Alcobaça (BA)","Total","Total","874"
"2900900","Almadina (BA)","Total","Total","306"
"2901007","Amargosa (BA)","Total","Total","1893"
"2901106","Amélia Rodrigues (BA)","Total","Total","1927"
"2901155","América Dourada (BA)","Total","Total","1318"
"2901205","Anagé (BA)","Total","Total","590"
"2901304","Andaraí (BA)","Total","Total","977"
"2901353","Andorinha (BA)","Total","Total","365"
"2901403","Angical (BA)","Total","Total","368"
"2901502","Anguera (BA)","Total","Total","540"
"2901601","Antas (BA)","Total","Total","789"
"2901700","Antônio Cardoso (BA)","Total","Total","274"
"2901809","Antônio Gonçalves (BA)","Total","Total","297"
"2901908","Aporá (BA)","Total","Total","291"
"2901957","Apuarema (BA)","Total","Total","394"
"2902005","Aracatu (BA)","Total","Total","308"
"2902054","Araçás (BA)","Total","Total","582"
"2902104","Araci (BA)","Total","Total","1461"
"2902203","Aramari (BA)","Total","Total","649"
"2902252","Arataca (BA)","Total","Total","258"
"2902302","Aratuípe (BA)","Total","Total","294"
"2902401","Aurelino Leal (BA)","Total","Total","563"
"2902500","Baianópolis (BA)","Total","Total","398"
"2902609","Baixa Grande (BA)","Total","Total","632"
"2902658","Banzaê (BA)","Total","Total","260"
"2902708","Barra (BA)","Total","Total","1094"
"2902807","Barra da Estiva (BA)","Total","Total","546"
"2902906","Barra do Choça (BA)","Total","Total","905"
"2903003","Barra do Mendes (BA)","Total","Total","652"
"2903102","Barra do Rocha (BA)","Total","Total","248"
"2903201","Barreiras (BA)","Total","Total","6324"
"2903235","Barro Alto (BA)","Total","Total","260"
"2903276","Barrocas (BA)","Total","Total","478"
"2903300","Barro Preto (BA)","Total","Total","296"
"2903409","Belmonte (BA)","Total","Total","1419"
"2903508","Belo Campo (BA)","Total","Total","483"
"2903607","Biritinga (BA)","Total","Total","298"
"2903706","Boa Nova (BA)","Total","Total","706"
"2903805","Boa Vista do Tupim (BA)","Total","Total","972"
"2903904","Bom Jesus da Lapa (BA)","Total","Total","3249"
"2903953","Bom Jesus da Serra (BA)","Total","Total","429"
"2904001","Boninal (BA)","Total","Total","481"
"2904050","Bonito (BA)","Total","Total","540"
"2904100","Boquira (BA)","Total","Total","937"
"2904209","Botuporã (BA)","Total","Total","282"
"2904308","Brejões (BA)","Total","Total","826"
"2904407","Brejolândia (BA)","Total","Total","544"
"2904506","Brotas de Macaúbas (BA)","Total","Total","267"
"2904605","Brumado (BA)","Total","Total","2902"
"2904704","Buerarema (BA)","Total","Total","766"
"2904753","Buritirama (BA)","Total","Total","713"
"2904803","Caatiba (BA)","Total","Total","132"
"2904852","Cabaceiras do Paraguaçu (BA)","Total","Total","436"
"2904902","Cachoeira (BA)","Total","Total","1711"
"2905008","Caculé (BA)","Total","Total","583"
"2905107","Caém (BA)","Total","Total","396"
"2905156","Caetanos (BA)","Total","Total","448"
"2905206","Caetité (BA)","Total","Total","1649"
"2905305","Cafarnaum (BA)","Total","Total","344"
"2905404","Cairu (BA)","Total","Total","640"
"2905503","Caldeirão Grande (BA)","Total","Total","615"
"2905602","Camacan (BA)","Total","Total","1787"
"2905701","Camaçari (BA)","Total","Total","19318"
"2905800","Camamu (BA)","Total","Total","1364"
"2905909","Campo Alegre de Lourdes (BA)","Total","Total","701"
"2906006","Campo Formoso (BA)","Total","Total","2337"
"2906105","Canápolis (BA)","Total","Total","256"
"2906204","Canarana (BA)","Total","Total","866"
"2906303","Canavieiras (BA)","Total","Total","1628"
"2906402","Candeal (BA)","Total","Total","233"
"2906501","Candeias (BA)","Total","Total","7165"
"2906600","Candiba (BA)","Total","Total","355"
"2906709","Cândido Sales (BA)","Total","Total","1298"
"2906808","Cansanção (BA)","Total","Total","602"
"2906824","Canudos (BA)","Total","Total","454"
"2906857","Capela do Alto Alegre (BA)","Total","Total","339"
"2906873","Capim Grosso (BA)","Total","Total","1391"
"2906899","Caraíbas (BA)","Total","Total","274"
"2906907","Caravelas (BA)","Total","Total","1236"
"2907004","Cardeal da Silva (BA)","Total","Total","769"
"2907103","Carinhanha (BA)","Total","Total","1017"
"2907202","Casa Nova (BA)","Total","Total","2203"
"2907301","Castro Alves (BA)","Total","Total","971"
"2907400","Catolândia (BA)","Total","Total","37"
"2907509","Catu (BA)","Total","Total","3747"
"2907558","Caturama (BA)","Total","Total","276"
"2907608","Central (BA)","Total","Total","718"
"2907707","Chorrochó (BA)","Total","Total","302"
"2907806","Cícero Dantas (BA)","Total","Total","819"
"2907905","Cipó (BA)","Total","Total","303"
"2908002","Coaraci (BA)","Total","Total","939"
"2908101","Cocos (BA)","Total","Total","866"
"2908200","Conceição da Feira (BA)","Total","Total","1599"
"2908309","Conceição do Almeida (BA)","Total","Total","1706"
"2908408","Conceição do Coité (BA)","Total","Total","2073"
"2908507","Conceição do Jacuípe (BA)","Total","Total","2210"
"2908606","Conde (BA)","Total","Total","817"
"2908705","Condeúba (BA)","Total","Total","491"
"2908804","Contendas do Sincorá (BA)","Total","Total","229"
"2908903","Coração de Maria (BA)","Total","Total","959"
"2909000","Cordeiros (BA)","Total","Total","271"
"2909109","Coribe (BA)","Total","Total","537"
"2909208","Coronel João Sá (BA)","Total","Total","279"
"2909307","Correntina (BA)","Total","Total","770"
"2909406","Cotegipe (BA)","Total","Total","579"
"2909505","Cravolândia (BA)","Total","Total","166"
"2909604","Crisópolis (BA)","Total","Total","319"
