"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2200400004","Bacurizeiro - Altos (PI)","Total","Total","552","42","88","146","130","85","26","19","6","6","2","1","1","-","-"
"2200400005","Carrasco - Altos (PI)","Total","Total","155","16","25","38","27","21","11","10","3","1","2","-","-","1","-"
"2200400006","Tranqueira - Altos (PI)","Total","Total","938","67","185","250","207","111","59","36","12","3","4","2","1","-","1"
"2200400008","Boca de Barro - Altos (PI)","Total","Total","558","45","103","120","134","80","38","21","10","4","2","1","-","-","-"
"2200400009","Maravilha - Altos (PI)","Total","Total","885","76","158","220","207","131","49","21","10","7","2","1","-","3","-"
"2200400010","Batalhão - Altos (PI)","Total","Total","192","19","35","54","36","23","12","9","3","-","1","-","-","-","-"
"2200400011","Leite - Altos (PI)","Total","Total","150","10","30","33","29","25","14","5","3","-","-","1","-","-","-"
"2200400012","Ciana - Altos (PI)","Total","Total","284","19","46","63","65","43","24","15","5","-","1","1","1","1","-"
"2200400013","Boa Fé - Altos (PI)","Total","Total","359","27","58","83","84","55","26","10","8","6","1","1","-","-","-"
"2200400014","São Sebastião - Altos (PI)","Total","Total","205","14","33","45","51","36","13","5","6","1","1","-","-","-","-"
"2200400015","Santa Inês - Altos (PI)","Total","Total","284","16","63","66","56","41","21","13","5","1","-","1","-","-","1"
"2200400016","Santo Antônio - Altos (PI)","Total","Total","175","14","28","32","36","39","11","11","2","1","-","-","-","-","1"
"2200400017","Baixão do São José - Altos (PI)","Total","Total","100","8","19","23","20","13","10","3","1","2","-","1","-","-","-"
"2200400018","Baixão dos Paivas - Altos (PI)","Total","Total","79","7","17","16","19","14","3","2","1","-","-","-","-","-","-"
"2201200001","Centro - Barras (PI)","Total","Total","516","53","104","136","102","60","37","15","6","2","1","-","-","-","-"
"2201200002","Riachinho - Barras (PI)","Total","Total","222","13","31","53","59","36","11","6","6","4","-","1","1","1","-"
"2201200003","Boa Vista - Barras (PI)","Total","Total","432","45","76","83","103","74","27","17","4","3","-","-","-","-","-"
"2201200004","Piquizeiro - Barras (PI)","Total","Total","520","29","85","116","125","98","34","20","6","3","1","1","-","-","2"
"2201200005","Matadouro - Barras (PI)","Total","Total","340","28","60","67","85","53","23","12","4","5","-","1","1","-","1"
"2201200006","Curujal - Barras (PI)","Total","Total","260","18","40","71","62","37","24","3","2","1","1","-","-","-","1"
"2201200007","Xique Xique - Barras (PI)","Total","Total","523","32","109","111","125","75","40","15","6","4","3","1","-","1","1"
"2201200008","de Fátima - Barras (PI)","Total","Total","237","21","33","58","60","31","15","10","5","1","1","2","-","-","-"
"2201200009","Pedrinhas - Barras (PI)","Total","Total","315","19","38","82","63","52","34","12","2","8","2","1","1","-","1"
"2201200010","Santinho - Barras (PI)","Total","Total","990","60","153","188","246","159","88","36","21","16","9","9","1","3","1"
"2201200011","Vila França - Barras (PI)","Total","Total","407","31","65","87","91","73","28","12","14","3","1","1","-","-","1"
"2201200012","Galdinal - Barras (PI)","Total","Total","246","27","37","49","41","41","26","11","8","3","1","-","2","-","-"
"2201200013","São Cristóvão - Barras (PI)","Total","Total","480","48","70","95","121","76","38","16","8","5","1","-","-","-","2"
"2201200014","Floresta - Barras (PI)","Total","Total","166","10","27","35","37","27","11","8","9","2","-","-","-","-","-"
"2201200015","Residencial São Francisco - Barras (PI)","Total","Total","95","11","15","23","22","15","3","2","2","1","1","-","-","-","-"
"2201903001","Centro - Bom Jesus (PI)","Total","Total","458","60","83","109","91","65","28","13","5","4","-","-","-","-","-"
"2201903002","Miramar - Bom Jesus (PI)","Total","Total","373","37","62","97","64","50","24","14","12","4","4","2","-","1","2"
"2201903003","Rodoviária - Bom Jesus (PI)","Total","Total","210","22","25","41","58","26","25","5","4","-","3","-","-","1","-"
"2201903004","Morro do Frei - Bom Jesus (PI)","Total","Total","332","28","41","65","79","53","26","16","13","5","2","1","1","1","1"
"2201903005","São Pedro - Bom Jesus (PI)","Total","Total","550","36","89","131","126","95","39","16","6","5","4","-","2","-","1"
"2201903006","Penitenciária - Bom Jesus (PI)","Total","Total","213","12","27","46","49","41","18","8","5","3","2","1","-","1","-"
"2201903007","Aeroporto - Bom Jesus (PI)","Total","Total","367","31","54","72","89","61","31","17","3","4","3","1","1","-","-"
"2201903008","Hugo Piauilino - Bom Jesus (PI)","Total","Total","255","17","38","59","48","33","28","15","4","3","5","3","1","1","-"
"2201903009","Josué Parente - Bom Jesus (PI)","Total","Total","371","30","68","68","88","60","30","17","5","1","1","2","1","-","-"
"2201903010","Vicente Brandão - Bom Jesus (PI)","Total","Total","246","20","41","45","55","41","21","12","7","1","2","-","1","-","-"
"2202208001","Centro - Campo Maior (PI)","Total","Total","1796","214","372","431","401","234","88","31","15","3","3","3","-","1","-"
"2202208002","Nossa Senhora de Lourdes - Campo Maior (PI)","Total","Total","387","31","70","102","104","51","23","3","3","-","-","-","-","-","-"
"2202208003","São João - Campo Maior (PI)","Total","Total","748","64","156","182","192","98","32","13","6","3","2","-","-","-","-"
"2202208004","Recreio - Campo Maior (PI)","Total","Total","263","26","49","56","78","32","13","4","1","2","1","-","1","-","-"
"2202208005","Santa Rita - Campo Maior (PI)","Total","Total","199","14","28","69","56","21","8","1","1","-","-","-","-","-","1"
"2202208006","Flores - Campo Maior (PI)","Total","Total","125","10","16","28","36","17","11","1","3","1","1","-","1","-","-"
"2202208007","Evereste - Campo Maior (PI)","Total","Total","151","10","24","44","44","18","3","5","1","1","1","-","-","-","-"
"2202208008","Alto da Olaria - Campo Maior (PI)","Total","Total","167","17","32","39","38","22","11","4","4","-","-","-","-","-","-"
"2202208009","Califórnia - Campo Maior (PI)","Total","Total","115","14","20","24","37","10","3","3","1","2","1","-","-","-","-"
"2202208010","Cariri - Campo Maior (PI)","Total","Total","596","50","104","128","157","82","36","18","9","7","4","-","1","-","-"
"2202208011","Santa Izabel - Campo Maior (PI)","Total","Total","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"2202208012","Matadouro - Campo Maior (PI)","Total","Total","410","38","85","89","97","57","21","8","7","4","3","-","1","-","-"
"2202208013","Estação - Campo Maior (PI)","Total","Total","334","30","74","82","85","37","21","3","1","1","-","-","-","-","-"
"2202208014","Paulo VI - Campo Maior (PI)","Total","Total","205","26","50","42","54","15","9","6","3","-","-","-","-","-","-"
"2202208015","Santa Cruz - Campo Maior (PI)","Total","Total","625","38","135","147","161","80","38","13","6","5","1","-","1","-","-"
"2202208016","Fripisa - Campo Maior (PI)","Total","Total","395","34","79","115","96","42","19","7","1","1","-","1","-","-","-"
"2202208017","Parque das Estrelas - Campo Maior (PI)","Total","Total","199","13","35","49","65","27","5","2","1","-","2","-","-","-","-"
"2202208018","Nossa Senhora de Fátima - Campo Maior (PI)","Total","Total","754","65","172","190","196","84","34","9","2","-","1","1","-","-","-"
"2202208019","Mucuripe - Campo Maior (PI)","Total","Total","34","2","7","5","11","5","2","1","1","-","-","-","-","-","-"
"2202208020","Cidade Nova - Campo Maior (PI)","Total","Total","628","59","119","169","162","71","28","10","4","3","1","2","-","-","-"
"2202208021","São Luis - Campo Maior (PI)","Total","Total","818","68","177","212","212","89","32","16","4","5","1","1","-","-","1"
"2202703001","Centro - Cocal (PI)","Total","Total","247","31","40","74","56","31","10","3","1","-","1","-","-","-","-"
"2202703002","Santa Luzia - Cocal (PI)","Total","Total","528","47","89","131","129","67","22","21","12","9","1","-","-","-","-"
"2202703003","Dos Ulisses - Cocal (PI)","Total","Total","200","11","37","47","45","31","12","4","6","3","2","-","1","1","-"
"2202703004","São Francisco - Cocal (PI)","Total","Total","260","19","56","60","61","34","14","5","5","2","3","-","-","-","1"
"2202703005","São Pedro - Cocal (PI)","Total","Total","638","52","128","166","146","78","34","16","11","2","3","-","-","1","1"
"2202703006","José da Cunha Frota - Cocal (PI)","Total","Total","355","27","59","80","70","54","30","17","12","-","2","2","1","-","1"
