"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"3104205001","Calciolândia - Arcos (MG)","Total","10 a 14 anos","18","-","-","-","-","-","-","-","-","-","-","-","18","-"
"3104205001","Calciolândia - Arcos (MG)","Total","15 a 19 anos","10","-","-","-","3","-","1","-","-","-","-","-","6","-"
"3104205001","Calciolândia - Arcos (MG)","Total","15 a 17 anos","3","-","-","-","-","-","-","-","-","-","-","-","3","-"
"3104205001","Calciolândia - Arcos (MG)","Total","18 ou 19 anos","7","-","-","-","3","-","1","-","-","-","-","-","3","-"
"3104205001","Calciolândia - Arcos (MG)","Total","20 a 24 anos","10","-","-","2","3","2","-","-","-","-","-","-","3","-"
"3104205001","Calciolândia - Arcos (MG)","Total","25 a 29 anos","14","-","-","4","3","3","-","-","-","-","-","-","4","-"
"3104205001","Calciolândia - Arcos (MG)","Total","30 a 34 anos","8","-","1","-","3","-","-","-","-","-","-","-","4","-"
"3104205001","Calciolândia - Arcos (MG)","Total","35 a 39 anos","6","-","-","-","2","-","3","-","-","-","-","-","1","-"
"3104205001","Calciolândia - Arcos (MG)","Total","40 a 44 anos","15","-","1","4","4","1","1","-","-","-","-","-","4","-"
"3104205001","Calciolândia - Arcos (MG)","Total","45 a 49 anos","14","-","1","2","5","2","2","-","-","-","-","-","2","-"
