"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"3104304001","Rosário - Areado (MG)","Total","10 a 14 anos","239","4","4","6","-","-","-","-","-","-","-","-","225","-"
"3104304001","Rosário - Areado (MG)","Total","15 a 19 anos","293","4","17","54","12","1","-","-","-","-","-","-","205","-"
"3104304001","Rosário - Areado (MG)","Total","15 a 17 anos","188","3","12","22","1","-","-","-","-","-","-","-","150","-"
"3104304001","Rosário - Areado (MG)","Total","18 ou 19 anos","105","1","5","32","11","1","-","-","-","-","-","-","55","-"
"3104304001","Rosário - Areado (MG)","Total","20 a 24 anos","319","4","14","126","78","8","5","-","-","-","-","-","84","-"
"3104304001","Rosário - Areado (MG)","Total","25 a 29 anos","266","1","4","115","73","14","3","2","-","-","-","-","54","-"
"3104304001","Rosário - Areado (MG)","Total","30 a 34 anos","253","1","4","89","81","18","7","5","-","-","-","-","48","-"
"3104304001","Rosário - Areado (MG)","Total","35 a 39 anos","221","1","5","82","75","16","5","-","-","-","-","-","37","-"
"3104304001","Rosário - Areado (MG)","Total","40 a 44 anos","213","2","5","78","56","19","5","2","-","-","-","-","46","-"
"3104304001","Rosário - Areado (MG)","Total","45 a 49 anos","209","-","8","76","51","9","7","3","-","-","-","-","55","-"
"3104304001","Rosário - Areado (MG)","Total","50 a 54 anos","188","2","-","58","52","18","4","4","-","-","-","-","50","-"
"3104304001","Rosário - Areado (MG)","Total","55 a 59 anos","164","2","3","75","35","6","1","1","-","-","-","-","41","-"
