"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1100106015","Santo Antônio - Guajará-Mirim (RO)","Total","Total","282","282","-","-","-","-"
"1100106016","Jardim das Esmeraldas - Guajará-Mirim (RO)","Total","Total","926","922","2","1","1","-"
"1100106017","Nossa Senhora Aparecida - Guajará-Mirim (RO)","Total","Total","527","521","2","3","1","-"
"1100122001","Santiago - Ji-Paraná (RO)","Total","Total","796","740","2","50","4","-"
"1100122002","União - Ji-Paraná (RO)","Total","Total","130","126","-","4","-","-"
"1100122003","Centro - Ji-Paraná (RO)","Total","Total","683","418","22","241","2","-"
"1100122004","Urupá - Ji-Paraná (RO)","Total","Total","1550","1371","1","173","5","-"
"1100122005","Dois de Abril - Ji-Paraná (RO)","Total","Total","841","578","6","251","6","-"
"1100122006","Casa Preta - Ji-Paraná (RO)","Total","Total","1320","1069","1","237","13","-"
"1100122007","Dom Bosco - Ji-Paraná (RO)","Total","Total","973","936","-","37","-","-"
"1100122008","São Bernardo - Ji-Paraná (RO)","Total","Total","411","407","-","4","-","-"
"1100122009","Jardim Presidencial - Ji-Paraná (RO)","Total","Total","1645","1586","2","57","-","-"
"1100122010","Parque São Pedro - Ji-Paraná (RO)","Total","Total","982","961","1","20","-","-"
"1100122011","Jardim dos Migrantes - Ji-Paraná (RO)","Total","Total","1830","1722","-","101","7","-"
"1100122012","Nossa Senhora de Fátima - Ji-Paraná (RO)","Total","Total","1008","988","-","20","-","-"
"1100122013","Jotão - Ji-Paraná (RO)","Total","Total","340","269","-","68","3","-"
"1100122014","Duque de Caxias - Ji-Paraná (RO)","Total","Total","254","245","-","9","-","-"
"1100122015","JK - Ji-Paraná (RO)","Total","Total","1596","1565","-","31","-","-"
"1100122016","Jardim das Seringueiras - Ji-Paraná (RO)","Total","Total","367","367","-","-","-","-"
"1100122017","Nova Brasília - Ji-Paraná (RO)","Total","Total","4811","4245","11","533","22","-"
"1100122018","Conj. Mário Andreazza - Ji-Paraná (RO)","Total","Total","509","498","-","11","-","-"
"1100122019","Riachuelo - Ji-Paraná (RO)","Total","Total","641","627","-","13","1","-"
"1100122020","Primavera - Ji-Paraná (RO)","Total","Total","1289","1196","-","88","5","-"
"1100122021","São Pedro - Ji-Paraná (RO)","Total","Total","922","869","-","49","4","-"
"1100122022","Coronel Jorge T. de Oliveira - Ji-Paraná (RO)","Total","Total","1001","979","-","22","-","-"
"1100122023","Valparaíso - Ji-Paraná (RO)","Total","Total","1535","1502","-","30","3","-"
"1100122024","Cafezinho - Ji-Paraná (RO)","Total","Total","743","679","1","62","1","-"
"1100122025","Jardim Flórida - Ji-Paraná (RO)","Total","Total","14","14","-","-","-","-"
"1100122026","São Francisco - Ji-Paraná (RO)","Total","Total","998","989","-","9","-","-"
"1100122027","Alto Alegre - Ji-Paraná (RO)","Total","Total","188","186","-","2","-","-"
"1100155001","União - Ouro Preto do Oeste (RO)","Total","Total","526","518","-","8","-","-"
"1100155002","Bela Floresta - Ouro Preto do Oeste (RO)","Total","Total","353","328","-","25","-","-"
"1100155003","Jardim Bandeirante - Ouro Preto do Oeste (RO)","Total","Total","538","522","4","10","2","-"
"1100155004","Nova Ouro Preto - Ouro Preto do Oeste (RO)","Total","Total","1203","1185","-","16","2","-"
"1100155005","Jardim Novo Horizonte - Ouro Preto do Oeste (RO)","Total","Total","922","908","5","-","9","-"
"1100155006","Jardim Novo Estado - Ouro Preto do Oeste (RO)","Total","Total","800","798","-","2","-","-"
"1100155007","Da Liberdade - Ouro Preto do Oeste (RO)","Total","Total","995","980","-","15","-","-"
"1100155008","Alvorada - Ouro Preto do Oeste (RO)","Total","Total","283","276","-","7","-","-"
"1100155009","Industrial - Ouro Preto do Oeste (RO)","Total","Total","312","311","-","-","1","-"
"1100155010","Jardim Tropical - Ouro Preto do Oeste (RO)","Total","Total","346","323","-","22","1","-"
"1100155011","Do Incra - Ouro Preto do Oeste (RO)","Total","Total","232","232","-","-","-","-"
"1100155012","Jardim Aeroporto - Ouro Preto do Oeste (RO)","Total","Total","1534","1527","-","6","1","-"
"1100205002","Juscelino Kubitschek - Porto Velho (RO)","Total","Total","2763","2297","18","441","7","-"
"1100205003","Flodoaldo Pontes Pinto - Porto Velho (RO)","Total","Total","2935","2568","15","351","1","-"
"1100205004","Tiradentes - Porto Velho (RO)","Total","Total","924","695","186","43","-","-"
"1100205005","Industrial - Porto Velho (RO)","Total","Total","425","162","73","190","-","-"
"1100205006","Nova Porto Velho - Porto Velho (RO)","Total","Total","3700","1870","181","1556","93","-"
"1100205007","Roque - Porto Velho (RO)","Total","Total","628","538","17","66","7","-"
"1100205008","Liberdade - Porto Velho (RO)","Total","Total","1153","793","7","353","-","-"
"1100205009","São João Bosco - Porto Velho (RO)","Total","Total","1644","1210","34","385","15","-"
"1100205010","São Cristóvão - Porto Velho (RO)","Total","Total","1106","821","35","250","-","-"
"1100205011","Nossa Senhora das Graças - Porto Velho (RO)","Total","Total","1200","684","15","494","7","-"
"1100205012","Mato Grosso - Porto Velho (RO)","Total","Total","611","405","50","156","-","-"
"1100205014","Tucumanzal - Porto Velho (RO)","Total","Total","545","467","36","41","1","-"
"1100205015","Olaria - Porto Velho (RO)","Total","Total","1255","836","46","372","1","-"
"1100205016","Agricolândia - Porto Velho (RO)","Total","Total","235","212","1","22","-","-"
"1100205017","Centro - Porto Velho (RO)","Total","Total","638","417","8","212","1","-"
"1100205018","Caiari - Porto Velho (RO)","Total","Total","115","110","3","2","-","-"
"1100205019","Santa Bárbara - Porto Velho (RO)","Total","Total","405","269","7","129","-","-"
"1100205020","Mocambo - Porto Velho (RO)","Total","Total","253","208","13","32","-","-"
"1100205021","Baixa União - Porto Velho (RO)","Total","Total","709","547","-","157","5","-"
"1100205022","Quilômetro Um - Porto Velho (RO)","Total","Total","180","95","1","84","-","-"
"1100205023","Areal - Porto Velho (RO)","Total","Total","1851","1240","4","588","19","-"
"1100205024","Triângulo - Porto Velho (RO)","Total","Total","727","635","1","91","-","-"
"1100205025","Militar - Porto Velho (RO)","Total","Total","117","41","76","-","-","-"
"1100205026","Floresta - Porto Velho (RO)","Total","Total","2447","1752","59","631","5","-"
"1100205027","Panair - Porto Velho (RO)","Total","Total","428","352","27","45","4","-"
"1100205030","Pedrinhas - Porto Velho (RO)","Total","Total","1056","803","7","243","3","-"
"1100205031","Embratel - Porto Velho (RO)","Total","Total","3223","1973","34","1212","4","-"
"1100205032","Tancredo Neves - Porto Velho (RO)","Total","Total","2333","2035","4","230","64","-"
"1100205033","Tupi - Porto Velho (RO)","Total","Total","309","266","33","10","-","-"
"1100205036","Costa e Silva - Porto Velho (RO)","Total","Total","1554","1194","40","318","2","-"
"1100205037","São Sebastião - Porto Velho (RO)","Total","Total","1504","1369","7","120","8","-"
"1100205038","Nacional - Porto Velho (RO)","Total","Total","1984","1786","21","165","12","-"
"1100205039","Lagoa - Porto Velho (RO)","Total","Total","1079","817","177","85","-","-"
"1100205040","Agenor M. de Carvalho - Porto Velho (RO)","Total","Total","3660","2210","83","1038","329","-"
"1100205041","Rio Madeira - Porto Velho (RO)","Total","Total","1189","591","10","588","-","-"
"1100205042","Eldorado - Porto Velho (RO)","Total","Total","920","724","11","172","13","-"
"1100205043","Aeroclube - Porto Velho (RO)","Total","Total","676","621","1","54","-","-"
"1100205044","Cohab - Porto Velho (RO)","Total","Total","3616","3213","3","385","15","-"
"1100205045","Castanheira - Porto Velho (RO)","Total","Total","3702","3333","2","322","45","-"
"1100205046","Caladinho - Porto Velho (RO)","Total","Total","2703","2182","3","509","9","-"
"1100205047","Nova Floresta - Porto Velho (RO)","Total","Total","2918","2534","73","308","3","-"
