"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"2304400097","Demócrito Rocha - Fortaleza (CE)","Total","Total","3275","2895","158","218","4","-"
"2304400098","Dias Macedo - Fortaleza (CE)","Total","Total","3481","3015","361","60","45","-"
"2304400099","Itaóca - Fortaleza (CE)","Total","Total","3734","2671","451","609","3","-"
"2304400100","Itaperi - Fortaleza (CE)","Total","Total","7055","4429","568","2030","28","-"
"2304400101","Jóquei Club (São Cristóvão) - Fortaleza (CE)","Total","Total","5670","4279","386","979","26","-"
"2304400102","Mata Galinha - Fortaleza (CE)","Total","Total","1907","1578","185","140","4","-"
"2304400103","Montese - Fortaleza (CE)","Total","Total","7946","5559","579","1794","14","-"
"2304400104","Pan-Americano - Fortaleza (CE)","Total","Total","2580","2154","158","265","3","-"
"2304400105","Parangaba - Fortaleza (CE)","Total","Total","9225","6551","551","2113","10","-"
"2304400106","Pici (Parque Universitário) - Fortaleza (CE)","Total","Total","11871","10380","358","1116","17","-"
"2304400107","Serrinha - Fortaleza (CE)","Total","Total","8274","6815","883","542","34","-"
"2304400108","Vila Pery - Fortaleza (CE)","Total","Total","6093","5318","297","464","14","-"
"2304400109","Vila União - Fortaleza (CE)","Total","Total","4513","2984","467","1050","12","-"
"2304400110","Cais do Porto - Fortaleza (CE)","Total","Total","6321","5604","563","114","40","-"
"2304400111","Cidade 2000 - Fortaleza (CE)","Total","Total","2624","2303","119","195","7","-"
"2304400112","Manuel Dias Branco - Fortaleza (CE)","Total","Total","442","288","12","108","34","-"
"2304400113","Praia do Futuro I - Fortaleza (CE)","Total","Total","1925","1222","275","404","24","-"
"2304400114","Praia do Futuro II - Fortaleza (CE)","Total","Total","3442","3026","136","241","39","-"
"2304400115","De Lourdes - Fortaleza (CE)","Total","Total","960","522","35","402","1","-"
"2304400116","Planalto Ayrton Senna - Fortaleza (CE)","Total","Total","11037","10238","511","282","6","-"
"2304400117","Gentilândia - Fortaleza (CE)","Total","Total","1269","624","42","555","48","-"
"2304400118","Conjunto Palmeiras - Fortaleza (CE)","Total","Total","9113","8721","198","181","13","-"
"2304400119","São Bento - Fortaleza (CE)","Total","Total","3537","2477","116","942","2","-"
"2304608001","São José - General Sampaio (CE)","Total","Total","196","196","-","-","-","-"
"2304608002","Nossa Senhora das Graças - General Sampaio (CE)","Total","Total","274","267","-","7","-","-"
"2304608003","Sagrado Coração de Jesus - General Sampaio (CE)","Total","Total","229","229","-","-","-","-"
"2304608004","Nossa Senhora do Rosário - General Sampaio (CE)","Total","Total","238","237","-","1","-","-"
"2304806001","Centro - Granjeiro (CE)","Total","Total","88","88","-","-","-","-"
"2304806002","Joaquim Ferreira - Granjeiro (CE)","Total","Total","180","180","-","-","-","-"
"2304806003","Salomé - Granjeiro (CE)","Total","Total","66","66","-","-","-","-"
"2304806004","Miguel Saraiva - Granjeiro (CE)","Total","Total","46","46","-","-","-","-"
"2304905001","Padre Mororó - Groaíras (CE)","Total","Total","9","9","-","-","-","-"
"2304905002","Centro - Groaíras (CE)","Total","Total","767","761","-","6","-","-"
"2304905003","Paulo Malaquias - Groaíras (CE)","Total","Total","457","457","-","-","-","-"
"2304905004","José Cassiano - Groaíras (CE)","Total","Total","147","147","-","-","-","-"
"2304905005","Capitão José Linhares - Groaíras (CE)","Total","Total","407","405","-","2","-","-"
"2304905006","Chico Jerônimo - Groaíras (CE)","Total","Total","243","243","-","-","-","-"
"2304954001","Centro - Guaiúba (CE)","Total","Total","145","136","-","9","-","-"
"2304954002","Miguel de Sousa Martins - Guaiúba (CE)","Total","Total","151","151","-","-","-","-"
"2304954003","Pinheiro - Guaiúba (CE)","Total","Total","372","360","5","7","-","-"
"2304954004","Helder Eduardo Bezerra - Guaiúba (CE)","Total","Total","38","38","-","-","-","-"
"2304954005","Dezessete de Março - Guaiúba (CE)","Total","Total","448","448","-","-","-","-"
"2304954006","Francisco de Goes - Guaiúba (CE)","Total","Total","1074","1070","1","3","-","-"
"2304954007","São José - Guaiúba (CE)","Total","Total","264","264","-","-","-","-"
"2304954008","Maria de Jesus - Guaiúba (CE)","Total","Total","160","160","-","-","-","-"
"2304954009","Accioly - Guaiúba (CE)","Total","Total","261","260","1","-","-","-"
"2305209001","Centro - Hidrolândia (CE)","Total","Total","504","496","-","8","-","-"
"2305209002","Nova Hidrolândia - Hidrolândia (CE)","Total","Total","350","350","-","-","-","-"
"2305209003","Professora Mirian Ferreira - Hidrolândia (CE)","Total","Total","172","172","-","-","-","-"
"2305209004","Beira Rio - Hidrolândia (CE)","Total","Total","263","262","1","-","-","-"
"2305209005","Progresso - Hidrolândia (CE)","Total","Total","381","377","-","4","-","-"
"2305209006","Marinho - Hidrolândia (CE)","Total","Total","374","374","-","-","-","-"
"2305209007","Mororó - Hidrolândia (CE)","Total","Total","485","485","-","-","-","-"
"2305266001","Alto da Bela Vista - Ibaretama (CE)","Total","Total","51","51","-","-","-","-"
"2305266002","Campo Velho - Ibaretama (CE)","Total","Total","173","173","-","-","-","-"
"2305266003","Centro - Ibaretama (CE)","Total","Total","219","206","-","13","-","-"
"2305266004","Nova Ibaretama - Ibaretama (CE)","Total","Total","26","26","-","-","-","-"
"2305266005","Nossa Senhora Auxiliadora - Ibaretama (CE)","Total","Total","21","21","-","-","-","-"
"2305266006","Raimunda Emilia - Ibaretama (CE)","Total","Total","122","122","-","-","-","-"
"2305308001","Centro - Ibiapina (CE)","Total","Total","439","379","-","60","-","-"
"2305308002","José Avelino Portela - Ibiapina (CE)","Total","Total","488","470","-","18","-","-"
"2305308003","Francisco Custodio de Azevedo - Ibiapina (CE)","Total","Total","443","438","1","4","-","-"
"2305308004","São João - Ibiapina (CE)","Total","Total","758","732","-","26","-","-"
"2305308005","Raimundo Linhares - Ibiapina (CE)","Total","Total","219","213","6","-","-","-"
"2305308006","Padre Pontes - Ibiapina (CE)","Total","Total","153","150","-","3","-","-"
"2305308007","Vicente Aragão - Ibiapina (CE)","Total","Total","124","123","-","-","1","-"
"2305506001","Alto do Jucá - Iguatu (CE)","Total","Total","1376","1288","64","24","-","-"
"2305506002","Areias I - Iguatu (CE)","Total","Total","807","795","-","12","-","-"
"2305506003","Areias II - Iguatu (CE)","Total","Total","898","875","6","17","-","-"
"2305506004","Bastiana - Iguatu (CE)","Total","Total","1474","1408","-","66","-","-"
"2305506005","Bugi - Iguatu (CE)","Total","Total","242","239","-","3","-","-"
"2305506006","Cajazeiras - Iguatu (CE)","Total","Total","461","457","-","4","-","-"
"2305506007","Centro - Iguatu (CE)","Total","Total","701","568","37","96","-","-"
"2305506008","Cerâmica - Iguatu (CE)","Total","Total","118","118","-","-","-","-"
"2305506009","Cocobó - Iguatu (CE)","Total","Total","1037","983","15","35","4","-"
"2305506010","Cohab - Iguatu (CE)","Total","Total","1087","1062","1","24","-","-"
"2305506011","Chapadinha - Iguatu (CE)","Total","Total","252","252","-","-","-","-"
"2305506012","Conjunto Industrial - Iguatu (CE)","Total","Total","168","167","-","1","-","-"
"2305506013","Das Flores - Iguatu (CE)","Total","Total","647","604","7","35","1","-"
"2305506014","Esplanada I - Iguatu (CE)","Total","Total","473","471","2","-","-","-"
"2305506015","Esplanada II - Iguatu (CE)","Total","Total","663","652","-","11","-","-"
"2305506016","Jardim Iguatu - Iguatu (CE)","Total","Total","678","626","-","52","-","-"
"2305506017","João Paulo - Iguatu (CE)","Total","Total","1113","1097","-","14","2","-"
"2305506018","Planalto - Iguatu (CE)","Total","Total","293","284","8","1","-","-"
"2305506019","Poço Comprido - Iguatu (CE)","Total","Total","34","34","-","-","-","-"
"2305506020","Prado - Iguatu (CE)","Total","Total","610","557","17","29","7","-"
"2305506021","São Sebastião - Iguatu (CE)","Total","Total","251","243","1","7","-","-"
"2305506022","Sete de Setembro - Iguatu (CE)","Total","Total","624","614","-","10","-","-"
"2305506023","Taboleiro - Iguatu (CE)","Total","Total","652","629","9","13","1","-"
"2305506024","Veneza - Iguatu (CE)","Total","Total","1101","1029","-","72","-","-"
"2305506025","Vila Brasília - Iguatu (CE)","Total","Total","620","599","-","21","-","-"
"2305506026","Vila Centenário - Iguatu (CE)","Total","Total","748","702","2","21","23","-"
"2305506027","Vila Cidão - Iguatu (CE)","Total","Total","156","151","-","5","-","-"
"2305506028","Vila Moura - Iguatu (CE)","Total","Total","692","686","-","6","-","-"
"2305506029","Vila Neuma - Iguatu (CE)","Total","Total","547","538","6","3","-","-"
"2305506030","Vila Santo Antônio - Iguatu (CE)","Total","Total","1026","879","49","80","18","-"
"2305506031","Paraná - Iguatu (CE)","Total","Total","647","624","3","20","-","-"
"2305605001","Boa Esperança - Independência (CE)","Total","Total","350","344","-","6","-","-"
"2305605002","Centro - Independência (CE)","Total","Total","530","442","-","88","-","-"
"2305605003","Cohab I - Independência (CE)","Total","Total","691","688","-","3","-","-"
"2305605004","Cohab II - Independência (CE)","Total","Total","244","242","-","2","-","-"
"2305605005","Liberdade - Independência (CE)","Total","Total","415","410","2","3","-","-"
"2305605006","Liberdade II - Independência (CE)","Total","Total","122","110","6","6","-","-"
"2305605007","Pelo Sinal - Independência (CE)","Total","Total","108","97","-","11","-","-"
"2305605008","Placa - Independência (CE)","Total","Total","335","327","-","8","-","-"
"2305605009","São Vicente - Independência (CE)","Total","Total","418","405","-","13","-","-"
"2305654001","Centro - Ipaporanga (CE)","Total","Total","329","323","-","6","-","-"
"2305654002","Águas Belas - Ipaporanga (CE)","Total","Total","211","211","-","-","-","-"
"2305654003","Alto do Bom Princípio - Ipaporanga (CE)","Total","Total","94","93","1","-","-","-"
"2305654004","Central - Ipaporanga (CE)","Total","Total","531","530","-","1","-","-"
"2305654005","São José - Ipaporanga (CE)","Total","Total","77","77","-","-","-","-"
"2305803001","Aldeota - Ipu (CE)","Total","Total","338","328","-","10","-","-"
"2305803002","Alto dos Quatorze - Ipu (CE)","Total","Total","422","398","-","24","-","-"
"2305803003","Boa Vista - Ipu (CE)","Total","Total","1884","1830","4","50","-","-"
"2305803004","Berguedorf - Ipu (CE)","Total","Total","100","100","-","-","-","-"
"2305803005","Cafute - Ipu (CE)","Total","Total","244","223","-","21","-","-"
"2305803006","Canudos - Ipu (CE)","Total","Total","447","429","-","18","-","-"
"2305803007","Centro - Ipu (CE)","Total","Total","1285","990","-","295","-","-"
"2305803008","Escondido - Ipu (CE)","Total","Total","223","223","-","-","-","-"
"2305803009","Macaco - Ipu (CE)","Total","Total","99","99","-","-","-","-"
"2305803010","Mina - Ipu (CE)","Total","Total","316","316","-","-","-","-"
"2305803011","Pedrinhas - Ipu (CE)","Total","Total","238","238","-","-","-","-"
"2305803012","Pereiros - Ipu (CE)","Total","Total","627","616","1","10","-","-"
"2305803013","Reino de França - Ipu (CE)","Total","Total","155","155","-","-","-","-"
"2306009001","Centro - Iracema (CE)","Total","Total","752","666","1","85","-","-"
"2306009002","Beira Rio - Iracema (CE)","Total","Total","185","185","-","-","-","-"
"2306009003","Pedra Bola - Iracema (CE)","Total","Total","129","127","-","2","-","-"
"2306009004","Jatobá - Iracema (CE)","Total","Total","430","425","-","5","-","-"
"2306009005","Da Paz - Iracema (CE)","Total","Total","117","116","-","1","-","-"
"2306009006","Holandino - Iracema (CE)","Total","Total","311","302","-","9","-","-"
"2306009007","São José - Iracema (CE)","Total","Total","222","220","-","2","-","-"
"2306009008","Caixa D'Água - Iracema (CE)","Total","Total","317","314","-","3","-","-"
"2306256001","Centro - Itaitinga (CE)","Total","Total","430","421","7","2","-","-"
"2306256002","Genezaré - Itaitinga (CE)","Total","Total","562","561","1","-","-","-"
"2306256003","Angorá - Itaitinga (CE)","Total","Total","408","353","53","-","2","-"
"2306256004","Vila Machado - Itaitinga (CE)","Total","Total","433","432","1","-","-","-"
"2306256005","Ponta da Serra - Itaitinga (CE)","Total","Total","324","323","-","-","1","-"
"2306256006","Santo Antônio - Itaitinga (CE)","Total","Total","231","231","-","-","-","-"
"2306256007","Antônio Miguel - Itaitinga (CE)","Total","Total","1665","1611","53","-","1","-"
"2306256008","Riachão - Itaitinga (CE)","Total","Total","383","375","8","-","-","-"
"2306256009","Ancuri - Itaitinga (CE)","Total","Total","2089","1977","97","11","4","-"
"2306256010","Barrocão - Itaitinga (CE)","Total","Total","313","313","-","-","-","-"
"2306256011","Caracanga - Itaitinga (CE)","Total","Total","243","242","1","-","-","-"
"2306256012","Carapió - Itaitinga (CE)","Total","Total","172","172","-","-","-","-"
"2306256013","Gereraú - Itaitinga (CE)","Total","Total","201","201","-","-","-","-"
"2306256014","Jabuti - Itaitinga (CE)","Total","Total","209","209","-","-","-","-"
"2306256015","Jibóia - Itaitinga (CE)","Total","Total","283","278","5","-","-","-"
"2306256016","Laje dos Gatos - Itaitinga (CE)","Total","Total","341","305","36","-","-","-"
"2306256017","Ocupação - Itaitinga (CE)","Total","Total","637","633","4","-","-","-"
"2306256018","Pedras - Itaitinga (CE)","Total","Total","164","160","4","-","-","-"
"2306256019","Vila Nova - Itaitinga (CE)","Total","Total","141","139","2","-","-","-"
"2306405001","Alto Alegre - Itapipoca (CE)","Total","Total","541","483","-","58","-","-"
"2306405002","Área Nobre - Itapipoca (CE)","Total","Total","445","368","35","42","-","-"
"2306405003","Boa Vista - Itapipoca (CE)","Total","Total","396","360","10","25","1","-"
"2306405004","Cacimbas - Itapipoca (CE)","Total","Total","1183","1137","14","32","-","-"
"2306405005","Centro - Itapipoca (CE)","Total","Total","667","434","11","222","-","-"
"2306405006","Coqueiro - Itapipoca (CE)","Total","Total","608","376","37","195","-","-"
"2306405007","Cruzeiro - Itapipoca (CE)","Total","Total","1794","1603","53","137","1","-"
"2306405008","Estação - Itapipoca (CE)","Total","Total","422","415","4","3","-","-"
"2306405009","Fazendinha - Itapipoca (CE)","Total","Total","423","379","14","30","-","-"
"2306405010","Das Flores - Itapipoca (CE)","Total","Total","684","677","2","5","-","-"
"2306405011","Julho - Itapipoca (CE)","Total","Total","104","81","15","8","-","-"
"2306405012","Ladeira - Itapipoca (CE)","Total","Total","1264","1198","2","64","-","-"
"2306405013","Madalenas - Itapipoca (CE)","Total","Total","361","271","20","70","-","-"
"2306405014","Maranhão - Itapipoca (CE)","Total","Total","432","400","25","7","-","-"
"2306405015","Mourão - Itapipoca (CE)","Total","Total","452","429","15","7","1","-"
"2306405016","Nova Aldeota - Itapipoca (CE)","Total","Total","912","869","13","30","-","-"
"2306405017","Picos - Itapipoca (CE)","Total","Total","579","577","-","2","-","-"
"2306405018","São Francisco - Itapipoca (CE)","Total","Total","580","485","55","40","-","-"
"2306405019","São Sebastião - Itapipoca (CE)","Total","Total","321","296","8","17","-","-"
"2306405020","Senharão - Itapipoca (CE)","Total","Total","422","324","5","93","-","-"
"2306405021","Urbano Teixeira - Itapipoca (CE)","Total","Total","1088","1024","41","23","-","-"
"2306405022","Violete - Itapipoca (CE)","Total","Total","1545","1387","37","121","-","-"
"2306603001","Centro - Itatira (CE)","Total","Total","520","517","-","3","-","-"
"2306702001","Centro - Jaguaretama (CE)","Total","Total","615","578","-","37","-","-"
"2306702002","Padre Sebastião Marleno - Jaguaretama (CE)","Total","Total","959","952","1","5","1","-"
"2306702003","Beira Rio - Jaguaretama (CE)","Total","Total","86","84","-","2","-","-"
"2306702004","Nossa Senhora da Conceição - Jaguaretama (CE)","Total","Total","440","433","-","7","-","-"
"2306702005","Jaime Costa Pinheiro - Jaguaretama (CE)","Total","Total","472","472","-","-","-","-"
"2306900001","Centro - Jaguaribe (CE)","Total","Total","1774","1583","10","180","1","-"
"2306900002","Aloísio Diógenes - Jaguaribe (CE)","Total","Total","884","880","-","4","-","-"
"2306900003","Celso Barreira Filho - Jaguaribe (CE)","Total","Total","1362","1342","1","19","-","-"
"2306900004","Luiz Pinto - Jaguaribe (CE)","Total","Total","387","359","-","28","-","-"
"2306900005","Antônio Duarte - Jaguaribe (CE)","Total","Total","1222","1214","-","8","-","-"
"2307106001","Centro - Jardim (CE)","Total","Total","259","258","-","1","-","-"
"2307106002","João Pereira de Sousa - Jardim (CE)","Total","Total","225","225","-","-","-","-"
"2307106003","Urias Novais - Jardim (CE)","Total","Total","289","289","-","-","-","-"
"2307106004","Olavo Napoleão de Araújo - Jardim (CE)","Total","Total","71","71","-","-","-","-"
"2307106005","Bela Vista - Jardim (CE)","Total","Total","18","18","-","-","-","-"
"2307106006","Décio Sampaio Couto - Jardim (CE)","Total","Total","71","71","-","-","-","-"
"2307106007","Nossa Senhora de Fátima - Jardim (CE)","Total","Total","335","330","5","-","-","-"
"2307106008","Clodoaldo Xavier Sampaio - Jardim (CE)","Total","Total","174","172","2","-","-","-"
"2307106009","Lourival Gondim - Jardim (CE)","Total","Total","94","94","-","-","-","-"
"2307106010","José Franco Neves (Zé Neves) - Jardim (CE)","Total","Total","183","183","-","-","-","-"
"2307106011","João Neves da Luz (João da Luz) - Jardim (CE)","Total","Total","150","148","-","2","-","-"
"2307106012","Santa Terezinha - Jardim (CE)","Total","Total","186","183","-","2","1","-"
"2307106013","Otoni de Sá Roriz - Jardim (CE)","Total","Total","165","165","-","-","-","-"
"2307106014","Frei Damião - Jardim (CE)","Total","Total","..","..","..","..","..",".."
"2307205001","Centro - Jati (CE)","Total","Total","508","504","2","2","-","-"
"2307205002","Matulão - Jati (CE)","Total","Total","79","79","-","-","-","-"
"2307205003","Bela Vista - Jati (CE)","Total","Total","453","453","-","-","-","-"
"2307205004","Portal de Santana - Jati (CE)","Total","Total","32","31","-","-","1","-"
"2307304001","Centro - Juazeiro do Norte (CE)","Total","Total","1763","1628","23","112","-","-"
"2307304002","Juvêncio Santana - Juazeiro do Norte (CE)","Total","Total","1160","1154","5","1","-","-"
"2307304003","São Miguel - Juazeiro do Norte (CE)","Total","Total","2424","2343","45","18","18","-"
"2307304004","Carité - Juazeiro do Norte (CE)","Total","Total","263","262","-","-","1","-"
"2307304005","Fátima - Juazeiro do Norte (CE)","Total","Total","1067","1048","11","6","2","-"
"2307304006","Pedrinhas - Juazeiro do Norte (CE)","Total","Total","2552","2542","4","6","-","-"
"2307304007","Aeroporto - Juazeiro do Norte (CE)","Total","Total","258","258","-","-","-","-"
"2307304008","Brejo Seco - Juazeiro do Norte (CE)","Total","Total","219","219","-","-","-","-"
"2307304009","Betolândia - Juazeiro do Norte (CE)","Total","Total","538","529","4","3","2","-"
"2307304010","Novo Juazeiro - Juazeiro do Norte (CE)","Total","Total","988","978","-","8","2","-"
"2307304011","Leandro Bezerra de Menezes - Juazeiro do Norte (CE)","Total","Total","860","858","2","-","-","-"
"2307304012","Timbaúba - Juazeiro do Norte (CE)","Total","Total","3455","3450","5","-","-","-"
"2307304013","Pio XII - Juazeiro do Norte (CE)","Total","Total","3149","3112","16","17","4","-"
"2307304014","Franciscanos - Juazeiro do Norte (CE)","Total","Total","3615","3528","27","58","2","-"
"2307304015","Limoeiro - Juazeiro do Norte (CE)","Total","Total","3430","3389","30","11","-","-"
"2307304016","Pirajá - Juazeiro do Norte (CE)","Total","Total","4204","4124","27","49","4","-"
"2307304017","Romeirão - Juazeiro do Norte (CE)","Total","Total","1977","1958","13","4","2","-"
"2307304018","João Cabral - Juazeiro do Norte (CE)","Total","Total","4809","4751","41","13","4","-"
"2307304019","Triângulo - Juazeiro do Norte (CE)","Total","Total","2668","2548","5","114","1","-"
"2307304020","Antônio Vieira - Juazeiro do Norte (CE)","Total","Total","1902","1858","12","29","3","-"
"2307304021","Santa Teresa - Juazeiro do Norte (CE)","Total","Total","1962","1854","16","89","3","-"
"2307304022","Salesianos - Juazeiro do Norte (CE)","Total","Total","4017","3779","46","185","7","-"
"2307304023","Socorro - Juazeiro do Norte (CE)","Total","Total","708","692","7","6","3","-"
"2307304024","Salgadinho - Juazeiro do Norte (CE)","Total","Total","349","344","-","5","-","-"
"2307304025","Horto - Juazeiro do Norte (CE)","Total","Total","1325","1325","-","-","-","-"
"2307304026","Três-Marias - Juazeiro do Norte (CE)","Total","Total","570","570","-","-","-","-"
"2307304027","Planalto - Juazeiro do Norte (CE)","Total","Total","109","48","28","33","-","-"
"2307304028","Lagoa Seca - Juazeiro do Norte (CE)","Total","Total","1433","1217","55","161","-","-"
"2307304029","Jardim Gonzaga - Juazeiro do Norte (CE)","Total","Total","1638","1603","11","24","-","-"
"2307304030","São José - Juazeiro do Norte (CE)","Total","Total","2759","2709","8","42","-","-"
"2307304031","José Geraldo da Cruz - Juazeiro do Norte (CE)","Total","Total","1239","1237","1","-","1","-"
"2307304032","Tiradentes - Juazeiro do Norte (CE)","Total","Total","2720","2680","17","23","-","-"
"2307304033","Campo Alegre - Juazeiro do Norte (CE)","Total","Total","526","526","-","-","-","-"
"2307304034","Cidade Universitária - Juazeiro do Norte (CE)","Total","Total","85","72","1","12","-","-"
"2307304035","Frei Damião - Juazeiro do Norte (CE)","Total","Total","3864","3860","1","3","-","-"
"2307304036","Santo Antonio - Juazeiro do Norte (CE)","Total","Total","1680","1644","18","17","1","-"
"2307403001","Centro - Jucás (CE)","Total","Total","335","335","-","-","-","-"
"2307403002","Nossa Senhora de Fátima - Jucás (CE)","Total","Total","273","273","-","-","-","-"
"2307403003","São Mateus - Jucás (CE)","Total","Total","529","529","-","-","-","-"
"2307403004","São José - Jucás (CE)","Total","Total","250","250","-","-","-","-"
"2307403005","Planalto - Jucás (CE)","Total","Total","252","250","-","2","-","-"
"2307403006","Alto da Paz - Jucás (CE)","Total","Total","171","171","-","-","-","-"
"2307403007","Côco Verde - Jucás (CE)","Total","Total","34","34","-","-","-","-"
"2307403008","Alto do Tó - Jucás (CE)","Total","Total","9","9","-","-","-","-"
"2307403009","Sagrada Família - Jucás (CE)","Total","Total","529","529","-","-","-","-"
"2307403010","Padre Manoel Lemos Braga - Jucás (CE)","Total","Total","347","347","-","-","-","-"
"2307502001","Coronel Raimundo Augusto Lima - Lavras da Mangabeira (CE)","Total","Total","2449","2425","1","21","2","-"
"2307502002","Coronel Francisco Correia Lima - Lavras da Mangabeira (CE)","Total","Total","718","698","4","16","-","-"
"2307601001","Centro - Limoeiro do Norte (CE)","Total","Total","1328","1012","3","313","-","-"
"2307601002","Ilha - Limoeiro do Norte (CE)","Total","Total","228","228","-","-","-","-"
"2307601003","Luiz Alves de Freitas - Limoeiro do Norte (CE)","Total","Total","1115","1065","1","49","-","-"
"2307601004","Boa Fé - Limoeiro do Norte (CE)","Total","Total","924","873","10","41","-","-"
"2307601005","Bom Nome - Limoeiro do Norte (CE)","Total","Total","1019","947","1","71","-","-"
"2307601006","Santa Luzia - Limoeiro do Norte (CE)","Total","Total","729","550","47","132","-","-"
"2307601007","Monsenhor Otávio - Limoeiro do Norte (CE)","Total","Total","645","541","-","104","-","-"
"2307601008","João XXIII - Limoeiro do Norte (CE)","Total","Total","497","453","-","44","-","-"
"2307601009","Doutor José Simões - Limoeiro do Norte (CE)","Total","Total","582","552","-","30","-","-"
"2307601010","Pitombeira - Limoeiro do Norte (CE)","Total","Total","339","325","1","13","-","-"
"2307601011","Brotolândia - Limoeiro do Norte (CE)","Total","Total","356","288","1","67","-","-"
"2307601012","Socorro - Limoeiro do Norte (CE)","Total","Total","189","170","2","17","-","-"
"2307601013","Limoeirinho - Limoeiro do Norte (CE)","Total","Total","313","237","-","75","1","-"
"2307601014","Bom Jesus - Limoeiro do Norte (CE)","Total","Total","42","42","-","-","-","-"
"2307601015","Antônio Holanda - Limoeiro do Norte (CE)","Total","Total","1513","1490","3","20","-","-"
"2307601016","Bom Jesus do Cruzeiro - Limoeiro do Norte (CE)","Total","Total","119","119","-","-","-","-"
"2307635001","Centro - Madalena (CE)","Total","Total","332","303","2","27","-","-"
"2307635002","Henrique Jorge - Madalena (CE)","Total","Total","271","267","-","4","-","-"
"2307635003","Santa Terezinha - Madalena (CE)","Total","Total","203","201","-","2","-","-"
"2307635004","Nova Madalena - Madalena (CE)","Total","Total","127","123","4","-","-","-"
"2307635005","Pinhos - Madalena (CE)","Total","Total","305","304","-","1","-","-"
"2307635006","Antônio Firmino de Pinho - Madalena (CE)","Total","Total","240","225","15","-","-","-"
"2307635007","São José - Madalena (CE)","Total","Total","124","124","-","-","-","-"
"2307635008","Boa Vista - Madalena (CE)","Total","Total","176","175","-","1","-","-"
"2307635009","Santana - Madalena (CE)","Total","Total","56","56","-","-","-","-"
"2307650001","Centro - Maracanaú (CE)","Total","Total","1290","989","4","297","-","-"
"2307650002","Parque Piratininga - Maracanaú (CE)","Total","Total","1257","1214","19","24","-","-"
"2307650003","Coqueiral - Maracanaú (CE)","Total","Total","1267","1190","10","67","-","-"
"2307650004","Novo Maracanaú - Maracanaú (CE)","Total","Total","2950","2915","33","1","1","-"
"2307650005","Distrito Industrial do Ceará - Maracanaú (CE)","Total","Total","1811","1755","10","45","1","-"
"2307650006","Conjunto Timbó - Maracanaú (CE)","Total","Total","4043","3956","35","48","4","-"
"2307650007","Jereissati Setor C - Maracanaú (CE)","Total","Total","1875","1870","-","5","-","-"
"2307650008","Jereissati Setor B - Maracanaú (CE)","Total","Total","1558","1553","1","4","-","-"
"2307650009","Jereissati Setor A - Maracanaú (CE)","Total","Total","2140","2121","2","17","-","-"
"2307650010","Jereissati Setor D - Maracanaú (CE)","Total","Total","3492","3479","3","8","2","-"
"2307650011","Jereissati Setor E - Maracanaú (CE)","Total","Total","1166","1164","1","-","1","-"
"2307650012","Independência - Maracanaú (CE)","Total","Total","173","173","-","-","-","-"
"2307650013","Boa Vista - Maracanaú (CE)","Total","Total","803","783","10","5","5","-"
"2307650014","Alto da Mangueira - Maracanaú (CE)","Total","Total","1437","1423","14","-","-","-"
"2307650015","Picada - Maracanaú (CE)","Total","Total","34","34","-","-","-","-"
"2307650016","Carneiro de Mendonça - Maracanaú (CE)","Total","Total","425","424","-","-","1","-"
"2307650017","Olho-D'Água do Pitaguari - Maracanaú (CE)","Total","Total","370","370","-","-","-","-"
"2307650018","Furna da Onça - Maracanaú (CE)","Total","Total","341","341","-","-","-","-"
"2307650019","Antônio Justa - Maracanaú (CE)","Total","Total","529","529","-","-","-","-"
"2307650020","Parque Luzardo Viana - Maracanaú (CE)","Total","Total","1806","1673","131","-","2","-"
"2307650022","Mucunã - Maracanaú (CE)","Total","Total","1106","1101","5","-","-","-"
"2307650023","Cágado - Maracanaú (CE)","Total","Total","1535","1510","21","4","-","-"
"2307650024","Jaçanau - Maracanaú (CE)","Total","Total","1560","1476","36","48","-","-"
"2307650025","Tijuca - Maracanaú (CE)","Total","Total","541","519","22","-","-","-"
"2307650026","Alto Alegre - Maracanaú (CE)","Total","Total","158","154","1","-","3","-"
"2307650027","Jari - Maracanaú (CE)","Total","Total","1031","1012","16","3","-","-"
"2307650028","Jatobá - Maracanaú (CE)","Total","Total","1379","1340","28","10","1","-"
"2307650029","Siqueira - Maracanaú (CE)","Total","Total","1838","1715","109","3","11","-"
"2307650030","Parque Santa Maria - Maracanaú (CE)","Total","Total","229","228","-","1","-","-"
