"Tabela 1394 - Domicílios particulares permanentes, por situação do domicílio e existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio, segundo o tipo do domicílio, a condição de ocupação e o tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Ano x Situação do domicílio x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Tinham banheiro de uso exclusivo do domicílio - 1 banheiro","Tinham banheiro de uso exclusivo do domicílio - 2 banheiros","Tinham banheiro de uso exclusivo do domicílio - 3 banheiros","Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais","Tinham sanitário","Não tinham banheiro nem sanitário"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total","Total","Total","Total","Total","Total"
"1100106012","Próspero - Guajará-Mirim (RO)","Total","Total","397","75","11","2","221","4"
"1100106014","Serraria - Guajará-Mirim (RO)","Total","Total","380","175","46","20","31","1"
"1100106015","Santo Antônio - Guajará-Mirim (RO)","Total","Total","159","30","7","1","83","2"
"1100106016","Jardim das Esmeraldas - Guajará-Mirim (RO)","Total","Total","389","38","4","1","453","41"
"1100106017","Nossa Senhora Aparecida - Guajará-Mirim (RO)","Total","Total","325","57","14","2","118","11"
"1100122001","Santiago - Ji-Paraná (RO)","Total","Total","646","112","13","4","20","1"
"1100122002","União - Ji-Paraná (RO)","Total","Total","102","14","4","5","4","1"
"1100122003","Centro - Ji-Paraná (RO)","Total","Total","450","178","37","12","6","-"
"1100122004","Urupá - Ji-Paraná (RO)","Total","Total","772","390","255","107","19","7"
"1100122005","Dois de Abril - Ji-Paraná (RO)","Total","Total","577","189","42","14","18","1"
"1100122006","Casa Preta - Ji-Paraná (RO)","Total","Total","775","344","124","58","17","2"
"1100122007","Dom Bosco - Ji-Paraná (RO)","Total","Total","621","245","70","22","12","3"
"1100122008","São Bernardo - Ji-Paraná (RO)","Total","Total","336","63","1","1","7","3"
"1100122009","Jardim Presidencial - Ji-Paraná (RO)","Total","Total","1273","277","51","11","26","7"
"1100122010","Parque São Pedro - Ji-Paraná (RO)","Total","Total","808","135","18","1","13","7"
"1100122011","Jardim dos Migrantes - Ji-Paraná (RO)","Total","Total","1086","546","143","44","11","-"
"1100122012","Nossa Senhora de Fátima - Ji-Paraná (RO)","Total","Total","824","136","32","6","6","4"
"1100122013","Jotão - Ji-Paraná (RO)","Total","Total","262","53","15","4","6","-"
"1100122014","Duque de Caxias - Ji-Paraná (RO)","Total","Total","215","22","2","1","11","3"
"1100122015","JK - Ji-Paraná (RO)","Total","Total","1380","185","10","2","12","7"
"1100122016","Jardim das Seringueiras - Ji-Paraná (RO)","Total","Total","308","36","3","1","15","4"
"1100122017","Nova Brasília - Ji-Paraná (RO)","Total","Total","3104","1205","349","117","33","3"
"1100122018","Conj. Mário Andreazza - Ji-Paraná (RO)","Total","Total","277","193","28","11","-","-"
"1100122019","Riachuelo - Ji-Paraná (RO)","Total","Total","455","138","28","14","3","3"
"1100122020","Primavera - Ji-Paraná (RO)","Total","Total","1054","113","22","8","64","28"
"1100122021","São Pedro - Ji-Paraná (RO)","Total","Total","741","122","37","9","8","5"
"1100122022","Coronel Jorge T. de Oliveira - Ji-Paraná (RO)","Total","Total","845","108","16","-","30","2"
"1100122023","Valparaíso - Ji-Paraná (RO)","Total","Total","1271","166","19","7","58","14"
"1100122024","Cafezinho - Ji-Paraná (RO)","Total","Total","557","135","31","4","12","4"
"1100122025","Jardim Flórida - Ji-Paraná (RO)","Total","Total","9","2","-","-","3","-"
"1100122026","São Francisco - Ji-Paraná (RO)","Total","Total","866","102","14","2","9","5"
"1100122027","Alto Alegre - Ji-Paraná (RO)","Total","Total","148","33","6","-","-","1"
"1100155001","União - Ouro Preto do Oeste (RO)","Total","Total","306","154","50","12","4","-"
"1100155002","Bela Floresta - Ouro Preto do Oeste (RO)","Total","Total","220","88","33","12","-","-"
"1100155003","Jardim Bandeirante - Ouro Preto do Oeste (RO)","Total","Total","380","116","28","2","12","-"
"1100155004","Nova Ouro Preto - Ouro Preto do Oeste (RO)","Total","Total","886","261","42","5","7","2"
"1100155005","Jardim Novo Horizonte - Ouro Preto do Oeste (RO)","Total","Total","774","110","10","2","23","3"
"1100155006","Jardim Novo Estado - Ouro Preto do Oeste (RO)","Total","Total","635","127","25","3","8","2"
"1100155007","Da Liberdade - Ouro Preto do Oeste (RO)","Total","Total","688","221","66","10","8","2"
"1100155008","Alvorada - Ouro Preto do Oeste (RO)","Total","Total","224","48","6","2","3","-"
"1100155009","Industrial - Ouro Preto do Oeste (RO)","Total","Total","248","23","1","-","39","1"
"1100155010","Jardim Tropical - Ouro Preto do Oeste (RO)","Total","Total","173","120","39","13","1","-"
"1100155011","Do Incra - Ouro Preto do Oeste (RO)","Total","Total","130","67","22","8","2","3"
"1100155012","Jardim Aeroporto - Ouro Preto do Oeste (RO)","Total","Total","1286","205","22","3","16","2"
"1100205002","Juscelino Kubitschek - Porto Velho (RO)","Total","Total","2020","573","104","10","49","7"
"1100205003","Flodoaldo Pontes Pinto - Porto Velho (RO)","Total","Total","1216","1083","472","140","21","3"
"1100205004","Tiradentes - Porto Velho (RO)","Total","Total","669","167","57","26","4","1"
"1100205005","Industrial - Porto Velho (RO)","Total","Total","249","114","23","37","2","-"
"1100205006","Nova Porto Velho - Porto Velho (RO)","Total","Total","2341","704","364","127","155","9"
"1100205007","Roque - Porto Velho (RO)","Total","Total","469","108","28","3","10","10"
"1100205008","Liberdade - Porto Velho (RO)","Total","Total","618","286","155","74","19","1"
"1100205009","São João Bosco - Porto Velho (RO)","Total","Total","669","525","259","165","26","-"
"1100205010","São Cristóvão - Porto Velho (RO)","Total","Total","530","355","133","76","10","2"
"1100205011","Nossa Senhora das Graças - Porto Velho (RO)","Total","Total","721","284","107","67","16","5"
"1100205012","Mato Grosso - Porto Velho (RO)","Total","Total","480","102","17","3","1","8"
"1100205014","Tucumanzal - Porto Velho (RO)","Total","Total","423","87","13","3","18","1"
"1100205015","Olaria - Porto Velho (RO)","Total","Total","494","371","245","136","8","1"
"1100205016","Agricolândia - Porto Velho (RO)","Total","Total","101","81","35","18","-","-"
"1100205017","Centro - Porto Velho (RO)","Total","Total","403","168","39","26","2","-"
"1100205018","Caiari - Porto Velho (RO)","Total","Total","32","50","20","13","-","-"
"1100205019","Santa Bárbara - Porto Velho (RO)","Total","Total","251","97","35","17","4","1"
"1100205020","Mocambo - Porto Velho (RO)","Total","Total","173","60","13","5","2","-"
"1100205021","Baixa União - Porto Velho (RO)","Total","Total","462","116","41","17","68","5"
"1100205022","Quilômetro Um - Porto Velho (RO)","Total","Total","128","38","13","1","-","-"
