"Tabela 1394 - Domicílios particulares permanentes, por situação do domicílio e existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio, segundo o tipo do domicílio, a condição de ocupação e o tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Ano x Situação do domicílio x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Tinham banheiro de uso exclusivo do domicílio - 1 banheiro","Tinham banheiro de uso exclusivo do domicílio - 2 banheiros","Tinham banheiro de uso exclusivo do domicílio - 3 banheiros","Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais","Tinham sanitário","Não tinham banheiro nem sanitário"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total","Total","Total","Total","Total","Total"
"2501807014","Tambay - Bayeux (PB)","Total","Total","513","255","35","3","3","-"
"2504009001","Centro de Campina Grande - Campina Grande (PB)","Total","Total","1253","663","511","333","63","2"
"2504009002","Alto Branco - Campina Grande (PB)","Total","Total","1186","582","366","294","28","17"
"2504009003","Araxá - Campina Grande (PB)","Total","Total","404","11","4","1","18","27"
"2504009004","Bela Vista - Campina Grande (PB)","Total","Total","1064","320","203","220","35","8"
"2504009005","Bodocongó - Campina Grande (PB)","Total","Total","2525","1123","207","56","21","6"
"2504009006","Castelo Branco - Campina Grande (PB)","Total","Total","398","267","79","22","5","7"
"2504009007","Catolé - Campina Grande (PB)","Total","Total","2642","1820","924","459","43","8"
"2504009008","Centenário - Campina Grande (PB)","Total","Total","1484","625","216","71","10","3"
"2504009009","Cidades - Campina Grande (PB)","Total","Total","1490","102","8","2","37","23"
"2504009010","Conceição - Campina Grande (PB)","Total","Total","616","275","122","59","19","1"
"2504009011","Cruzeiro - Campina Grande (PB)","Total","Total","2528","1194","247","67","28","3"
"2504009012","Cuites - Campina Grande (PB)","Total","Total","438","75","6","3","3","6"
"2504009013","Dinamérica - Campina Grande (PB)","Total","Total","889","722","37","7","33","52"
"2504009014","Distrito Industrial - Campina Grande (PB)","Total","Total","572","67","9","-","10","14"
"2504009015","Estação Velha - Campina Grande (PB)","Total","Total","786","127","23","8","29","1"
"2504009016","Itararé - Campina Grande (PB)","Total","Total","222","343","204","129","13","-"
"2504009017","Jardim Continental - Campina Grande (PB)","Total","Total","532","41","9","5","19","9"
"2504009018","Jardim Paulistano - Campina Grande (PB)","Total","Total","1001","839","327","146","19","5"
"2504009019","Jardim Tavares - Campina Grande (PB)","Total","Total","269","166","206","324","19","2"
"2504009020","Jeremias - Campina Grande (PB)","Total","Total","2538","337","40","6","94","15"
"2504009021","José Pinheiro - Campina Grande (PB)","Total","Total","3417","876","187","39","101","9"
"2504009022","Lauritzen - Campina Grande (PB)","Total","Total","207","202","227","190","1","-"
"2504009023","Liberdade - Campina Grande (PB)","Total","Total","2840","1284","398","147","171","9"
"2504009024","Louzeiro - Campina Grande (PB)","Total","Total","299","65","4","3","4","5"
"2504009025","Malvinas - Campina Grande (PB)","Total","Total","8236","2288","258","52","54","21"
"2504009026","Mirante - Campina Grande (PB)","Total","Total","20","88","207","169","-","-"
"2504009027","Monte Castelo - Campina Grande (PB)","Total","Total","1976","391","42","8","55","4"
"2504009028","Monte Santo - Campina Grande (PB)","Total","Total","1631","434","87","15","129","1"
"2504009029","Nações - Campina Grande (PB)","Total","Total","146","65","62","91","8","4"
"2504009030","Nova Brasília - Campina Grande (PB)","Total","Total","2020","315","85","29","21","36"
"2504009031","Novo Bodocongo - Campina Grande (PB)","Total","Total","322","15","3","4","23","25"
"2504009032","Palmeira - Campina Grande (PB)","Total","Total","887","428","222","125","18","1"
"2504009033","Pedregal - Campina Grande (PB)","Total","Total","2087","135","9","4","85","15"
"2504009034","Prata - Campina Grande (PB)","Total","Total","357","385","257","133","14","-"
"2504009035","Presidente Médici - Campina Grande (PB)","Total","Total","639","484","94","31","-","2"
"2504009036","Quarenta - Campina Grande (PB)","Total","Total","1009","271","127","42","10","1"
"2504009037","Ramadinha - Campina Grande (PB)","Total","Total","502","63","15","3","16","1"
"2504009038","Sandra Cavalcante - Campina Grande (PB)","Total","Total","744","632","311","152","31","1"
"2504009039","Santa Cruz - Campina Grande (PB)","Total","Total","2144","646","107","32","1","3"
"2504009040","São José - Campina Grande (PB)","Total","Total","634","400","183","68","6","-"
"2504009041","Santa Rosa - Campina Grande (PB)","Total","Total","2204","614","135","39","69","6"
"2504009042","Santo Antônio - Campina Grande (PB)","Total","Total","533","287","183","152","1","3"
"2504009043","Serrotão - Campina Grande (PB)","Total","Total","1456","89","3","4","70","62"
"2504009044","Tambor - Campina Grande (PB)","Total","Total","1394","611","201","41","113","8"
"2504009045","Três Irmãs - Campina Grande (PB)","Total","Total","2640","780","87","20","7","1"
"2504009046","Universitário - Campina Grande (PB)","Total","Total","465","189","190","188","9","9"
"2504009048","Vila Cabral - Campina Grande (PB)","Total","Total","1080","217","29","1","17","3"
"2504009049","Acácio Figueiredo - Campina Grande (PB)","Total","Total","2183","399","36","12","17","10"
"2504009050","Velame - Campina Grande (PB)","Total","Total","1452","205","20","6","13","6"
"2504009051","Jardim Quarenta - Campina Grande (PB)","Total","Total","506","204","74","28","1","-"
"2506806001","Bela Vista - Ingá (PB)","Total","Total","531","102","7","2","2","1"
"2506806002","Cazuzinha - Ingá (PB)","Total","Total","496","58","7","-","18","3"
"2506806003","Estação - Ingá (PB)","Total","Total","349","17","1","-","35","6"
"2506806004","Imbioca - Ingá (PB)","Total","Total","437","29","1","2","57","18"
"2506806005","Jardim Farias - Ingá (PB)","Total","Total","250","50","3","1","5","1"
"2506806006","Senzala - Ingá (PB)","Total","Total","278","35","9","-","1","2"
"2506806007","Centro - Ingá (PB)","Total","Total","85","57","12","4","-","-"
"2507507001","Água Fria - João Pessoa (PB)","Total","Total","886","1199","103","31","1","-"
"2507507002","Aeroclube - João Pessoa (PB)","Total","Total","405","1469","812","519","-","-"
"2507507003","Altiplano Cabo Branco - João Pessoa (PB)","Total","Total","637","309","212","274","7","9"
"2507507004","Alto do Céu - João Pessoa (PB)","Total","Total","3839","688","62","16","28","10"
"2507507005","Alto do Mateus - João Pessoa (PB)","Total","Total","3509","879","113","20","63","24"
"2507507006","Anatólia - João Pessoa (PB)","Total","Total","107","189","75","16","-","-"
"2507507007","Estados - João Pessoa (PB)","Total","Total","194","541","840","554","4","-"
"2507507008","Indústrias - João Pessoa (PB)","Total","Total","1802","539","64","15","7","3"
"2507507009","Ipês - João Pessoa (PB)","Total","Total","1626","742","212","115","33","4"
"2507507010","Bancários - João Pessoa (PB)","Total","Total","1255","1581","516","221","19","4"
"2507507011","Bessa - João Pessoa (PB)","Total","Total","742","1614","1231","636","11","1"
"2507507012","Brisamar - João Pessoa (PB)","Total","Total","180","273","509","360","2","-"
"2507507013","Cabo Branco - João Pessoa (PB)","Total","Total","407","459","796","984","3","-"
"2507507014","Castelo Branco - João Pessoa (PB)","Total","Total","1932","973","286","67","14","11"
"2507507015","Centro - João Pessoa (PB)","Total","Total","533","419","157","49","26","-"
"2507507016","Cidade dos Colibris - João Pessoa (PB)","Total","Total","744","342","64","25","1","8"
"2507507017","Padre Zé - João Pessoa (PB)","Total","Total","1636","256","32","10","18","4"
"2507507018","Costa e Silva - João Pessoa (PB)","Total","Total","1736","518","67","8","3","4"
"2507507019","Cristo Redentor - João Pessoa (PB)","Total","Total","6310","2534","1280","375","78","46"
"2507507020","Cruz das Armas - João Pessoa (PB)","Total","Total","5640","1343","222","47","76","22"
"2507507021","Cuiá - João Pessoa (PB)","Total","Total","1017","907","114","34","2","3"
"2507507022","Distrito Industrial - João Pessoa (PB)","Total","Total","412","75","8","4","6","2"
"2507507023","Ernani Sátiro - João Pessoa (PB)","Total","Total","1718","645","88","13","2","6"
"2507507024","Ernesto Geisel - João Pessoa (PB)","Total","Total","2270","1644","300","52","7","-"
"2507507025","Expedicionários - João Pessoa (PB)","Total","Total","380","271","354","105","1","1"
"2507507026","Funcionários - João Pessoa (PB)","Total","Total","2793","1454","191","32","34","4"
"2507507027","Grotão - João Pessoa (PB)","Total","Total","1446","223","24","4","5","9"
"2507507028","Ilha do Bispo - João Pessoa (PB)","Total","Total","1944","228","19","4","45","2"
"2507507029","Jaguaribe - João Pessoa (PB)","Total","Total","1907","1545","642","247","6","1"
"2507507030","João Paulo II - João Pessoa (PB)","Total","Total","3172","1156","142","35","8","16"
"2507507031","João Agripino - João Pessoa (PB)","Total","Total","96","125","55","69","-","-"
"2507507032","José Américo - João Pessoa (PB)","Total","Total","2289","1984","332","55","17","5"
"2507507033","Jardim Cidade Universitária - João Pessoa (PB)","Total","Total","1670","4227","762","305","13","2"
"2507507034","Jardim Oceania - João Pessoa (PB)","Total","Total","316","1417","1889","1356","-","-"
"2507507035","Jardim São Paulo - João Pessoa (PB)","Total","Total","658","721","157","62","-","-"
"2507507036","Jardim Veneza - João Pessoa (PB)","Total","Total","3007","583","42","9","29","1"
"2507507037","Manaíra - João Pessoa (PB)","Total","Total","1187","1498","3315","2548","19","-"
"2507507038","Mandacarú - João Pessoa (PB)","Total","Total","2863","630","145","55","42","9"
"2507507039","Mangabeira - João Pessoa (PB)","Total","Total","14205","6336","1105","172","63","12"
"2507507040","Miramar - João Pessoa (PB)","Total","Total","681","448","925","736","12","5"
"2507507041","Mucumago - João Pessoa (PB)","Total","Total","1343","340","26","8","12","3"
"2507507042","Oitizeiro - João Pessoa (PB)","Total","Total","6551","1433","204","54","90","16"
"2507507043","Paratibe - João Pessoa (PB)","Total","Total","2739","684","57","15","104","9"
"2507507044","Penha - João Pessoa (PB)","Total","Total","150","38","12","3","2","-"
"2507507045","Pedro Gondim - João Pessoa (PB)","Total","Total","252","339","261","180","1","-"
"2507507046","Planalto da Boa Esperança - João Pessoa (PB)","Total","Total","1239","545","50","22","2","-"
"2507507047","Ponta do Seixas - João Pessoa (PB)","Total","Total","21","27","38","41","1","-"
"2507507048","Portal do Sol - João Pessoa (PB)","Total","Total","467","187","139","315","18","10"
"2507507049","Roger - João Pessoa (PB)","Total","Total","2010","648","92","32","35","54"
"2507507050","São José - João Pessoa (PB)","Total","Total","1900","164","11","5","41","13"
"2507507051","Tambaú - João Pessoa (PB)","Total","Total","488","689","1300","985","5","-"
"2507507052","Tambiá - João Pessoa (PB)","Total","Total","397","267","80","27","2","-"
"2507507053","Tambauzinho - João Pessoa (PB)","Total","Total","385","368","490","257","3","3"
"2507507054","Treze de Maio - João Pessoa (PB)","Total","Total","940","672","419","164","17","3"
"2507507055","Torre - João Pessoa (PB)","Total","Total","2210","1533","643","253","13","2"
"2507507056","Trincheiras - João Pessoa (PB)","Total","Total","1547","308","81","35","78","2"
"2507507057","Varjão - João Pessoa (PB)","Total","Total","3489","885","199","41","69","18"
"2507507058","Valentina - João Pessoa (PB)","Total","Total","3656","2154","390","73","11","3"
"2507507059","Varadouro - João Pessoa (PB)","Total","Total","853","165","35","9","27","38"
"2507507060","Barra de Gramame - João Pessoa (PB)","Total","Total","60","16","7","6","1","1"
"2507507061","Costa do Sol - João Pessoa (PB)","Total","Total","1857","368","37","7","24","14"
"2507507062","Gramame - João Pessoa (PB)","Total","Total","5440","1354","103","25","19","2"
"2507507063","Mumbaba - João Pessoa (PB)","Total","Total","1669","507","39","12","3","-"
"2510808001","Nova Conquista - Patos (PB)","Total","Total","537","69","7","1","5","7"
"2510808002","Santa Cecília - Patos (PB)","Total","Total","209","26","4","-","2","2"
"2510808003","Jatobá - Patos (PB)","Total","Total","1218","235","26","1","13","18"
"2510808004","Monte Castelo - Patos (PB)","Total","Total","648","164","16","7","4","1"
"2510808005","Santo Antônio - Patos (PB)","Total","Total","1302","690","129","72","9","2"
"2510808006","Maternidade - Patos (PB)","Total","Total","875","406","142","92","2","2"
"2510808007","Morro - Patos (PB)","Total","Total","762","128","4","2","4","2"
"2510808008","Liberdade - Patos (PB)","Total","Total","1570","272","55","15","28","6"
"2510808009","Brasília - Patos (PB)","Total","Total","63","107","57","81","-","-"
"2510808010","Salgadinho - Patos (PB)","Total","Total","192","158","39","13","7","1"
"2510808011","Ana Leite - Patos (PB)","Total","Total","-","-","-","1","3","2"
"2510808012","Sete Casas - Patos (PB)","Total","Total","240","10","1","-","28","39"
"2510808013","São Sebastião - Patos (PB)","Total","Total","2703","484","55","10","13","8"
"2510808014","Bela Vista - Patos (PB)","Total","Total","888","337","74","23","10","1"
"2510808015","Jardim Magnólia - Patos (PB)","Total","Total","66","13","1","3","13","2"
"2510808016","Distrito Industrial - Patos (PB)","Total","Total","4","1","-","-","2","-"
"2510808017","Novo Horizonte - Patos (PB)","Total","Total","292","374","40","13","-","13"
"2510808018","Centro - Patos (PB)","Total","Total","653","306","83","29","21","18"
"2510808019","Bivar Olinto - Patos (PB)","Total","Total","865","193","22","1","2","-"
"2510808020","Morada do Sol - Patos (PB)","Total","Total","26","30","14","5","-","-"
"2510808021","Alto da Tubiba - Patos (PB)","Total","Total","150","5","-","1","18","6"
"2510808022","Belo Horizonte - Patos (PB)","Total","Total","1119","447","119","37","22","12"
"2510808023","Noé Trajano - Patos (PB)","Total","Total","258","174","40","16","3","-"
"2512101001","Centro - Pombal (PB)","Total","Total","782","324","107","46","1","1"
"2512101002","Jardim Rogério - Pombal (PB)","Total","Total","1136","357","65","33","6","16"
"2512101003","Santa Rosa - Pombal (PB)","Total","Total","1041","351","47","11","1","8"
"2512101004","Nova Vida - Pombal (PB)","Total","Total","1225","211","41","10","13","28"
"2512101005","Pereiros - Pombal (PB)","Total","Total","1419","138","16","5","25","13"
"2513406001","Antônio Bento - Santa Luzia (PB)","Total","Total","102","53","31","25","1","-"
"2513406002","Centro - Santa Luzia (PB)","Total","Total","398","206","54","28","-","1"
"2513406003","Frei Damião - Santa Luzia (PB)","Total","Total","296","38","2","-","1","-"
"2513406004","Nossa Senhora de Fátima - Santa Luzia (PB)","Total","Total","373","83","3","1","14","2"
"2513406005","São José - Santa Luzia (PB)","Total","Total","980","343","29","13","22","5"
"2513406006","São Sebastião - Santa Luzia (PB)","Total","Total","779","69","12","1","26","19"
"2600054001","Alto da Bela Vista - Abreu e Lima (PE)","Total","Total","343","96","13","3","2","-"
"2600054002","Alto São Miguel - Abreu e Lima (PE)","Total","Total","1220","167","4","3","38","2"
"2600054003","Caetés I - Abreu e Lima (PE)","Total","Total","4288","1325","170","22","41","23"
"2600054004","Caetés II - Abreu e Lima (PE)","Total","Total","1692","524","55","13","21","8"
"2600054005","Caetés III - Abreu e Lima (PE)","Total","Total","2061","550","63","8","43","14"
"2600054006","Centro - Abreu e Lima (PE)","Total","Total","2947","555","65","11","30","12"
"2600054007","Desterro - Abreu e Lima (PE)","Total","Total","1595","320","31","4","2","22"
"2600054008","Fosfato - Abreu e Lima (PE)","Total","Total","1780","102","9","2","98","13"
"2600054009","Jardim Caetés - Abreu e Lima (PE)","Total","Total","1273","189","15","5","10","18"
"2600054010","Matinha - Abreu e Lima (PE)","Total","Total","1079","276","32","7","-","6"
"2600054011","Planalto - Abreu e Lima (PE)","Total","Total","876","161","15","-","7","6"
"2600054012","Timbó - Abreu e Lima (PE)","Total","Total","1239","237","38","9","10","4"
"2600906001","Centro - Amaraji (PE)","Total","Total","701","181","33","11","8","20"
"2600906002","João Paulo II - Amaraji (PE)","Total","Total","154","12","-","-","2","-"
"2600906003","Bela Vista - Amaraji (PE)","Total","Total","1000","61","10","2","123","60"
"2600906004","Miquilina - Amaraji (PE)","Total","Total","53","5","-","-","15","35"
"2600906005","Nossa Senhora da Conceição - Amaraji (PE)","Total","Total","425","46","3","-","3","6"
"2600906006","Tancredo Neves - Amaraji (PE)","Total","Total","86","40","6","4","1","-"
"2600906007","Nossa Senhora de Fátima - Amaraji (PE)","Total","Total","159","5","1","-","30","21"
"2600906008","Cruzeiro - Amaraji (PE)","Total","Total","344","18","-","1","6","14"
"2600906009","Santo Amaro - Amaraji (PE)","Total","Total","223","10","1","-","8","21"
"2600906010","Do Campo - Amaraji (PE)","Total","Total","112","8","-","-","-","7"
"2601201001","Centro - Arcoverde (PE)","Total","Total","1462","864","248","128","17","10"
"2601201002","São Geraldo - Arcoverde (PE)","Total","Total","1545","179","16","1","95","29"
"2601201003","Boa Vista - Arcoverde (PE)","Total","Total","1198","186","12","5","17","4"
"2601201004","Santa Luzia - Arcoverde (PE)","Total","Total","214","90","15","11","-","1"
"2601201005","Sucupira - Arcoverde (PE)","Total","Total","426","185","52","35","19","1"
"2601201006","Coronel Siqueira Campos - Arcoverde (PE)","Total","Total","1203","117","6","1","24","11"
"2601201007","São Miguel - Arcoverde (PE)","Total","Total","885","271","75","18","6","-"
"2601201008","Tamboril - Arcoverde (PE)","Total","Total","123","49","7","9","-","-"
"2601201009","Pôr do Sol - Arcoverde (PE)","Total","Total","502","115","42","25","3","19"
"2601201010","Santos Dumont - Arcoverde (PE)","Total","Total","992","132","14","2","75","31"
"2601201011","São Cristóvão - Arcoverde (PE)","Total","Total","5212","880","129","61","123","86"
"2601904001","Centro - Bezerros (PE)","Total","Total","741","344","65","27","26","2"
"2601904002","Santo Antônio - Bezerros (PE)","Total","Total","999","158","15","7","35","-"
"2601904003","Cruzeiro - Bezerros (PE)","Total","Total","672","76","8","3","72","6"
"2601904004","São Pedro - Bezerros (PE)","Total","Total","1087","101","9","2","89","5"
"2601904005","Cohab - Bezerros (PE)","Total","Total","350","79","2","-","12","1"
"2601904006","São Sebastião - Bezerros (PE)","Total","Total","822","330","90","54","13","3"
"2601904007","Salgado - Bezerros (PE)","Total","Total","536","31","5","-","112","3"
"2601904008","Retiro - Bezerros (PE)","Total","Total","470","41","10","2","38","5"
"2601904009","Santo Amaro - Bezerros (PE)","Total","Total","340","121","31","3","144","8"
"2601904010","Queimada Dantas - Bezerros (PE)","Total","Total","57","12","1","-","1","8"
"2601904011","Rosário - Bezerros (PE)","Total","Total","342","36","2","5","1","6"
"2601904012","Gameleira - Bezerros (PE)","Total","Total","777","33","-","-","523","6"
"2601904013","Mororó - Bezerros (PE)","Total","Total","177","14","1","-","107","9"
"2601904014","Encruzilhada de São João - Bezerros (PE)","Total","Total","746","50","8","3","127","6"
"2602605001","Nossa Senhora do Bom Conselho - Brejo da Madre de Deus (PE)","Total","Total","290","116","23","7","2","-"
"2602605002","São José - Brejo da Madre de Deus (PE)","Total","Total","592","67","11","1","21","3"
"2602605003","Capitão Abelardo Calumby - Brejo da Madre de Deus (PE)","Total","Total","157","12","1","-","17","4"
"2602605004","Capitão Cordeiro Falcão - Brejo da Madre de Deus (PE)","Total","Total","931","143","17","1","77","13"
"2602902001","Centro - Cabo de Santo Agostinho (PE)","Total","Total","2146","402","69","14","17","5"
"2602902002","Charneca - Cabo de Santo Agostinho (PE)","Total","Total","2546","216","16","1","64","46"
"2602902003","Charnequinha - Cabo de Santo Agostinho (PE)","Total","Total","1563","124","4","-","28","16"
"2602902004","COHAB - Cabo de Santo Agostinho (PE)","Total","Total","3264","1112","107","8","8","19"
"2602902005","Destilaria - Cabo de Santo Agostinho (PE)","Total","Total","139","52","4","2","1","1"
"2602902006","Distrito Industrial Diper - Cabo de Santo Agostinho (PE)","Total","Total","537","58","6","-","11","11"
"2602902007","Garapu - Cabo de Santo Agostinho (PE)","Total","Total","1598","525","41","15","2","3"
"2602902008","Malaquias - Cabo de Santo Agostinho (PE)","Total","Total","3309","379","32","4","14","16"
"2602902009","Santo Inácio - Cabo de Santo Agostinho (PE)","Total","Total","731","369","63","11","4","1"
"2602902010","São Francisco - Cabo de Santo Agostinho (PE)","Total","Total","3890","380","29","6","53","25"
"2602902011","Vila Social Contra Mocambo - Cabo de Santo Agostinho (PE)","Total","Total","729","301","47","7","1","1"
"2602902012","Juçaral - Cabo de Santo Agostinho (PE)","Total","Total","511","37","-","-","5","37"
"2602902013","Pirapama - Cabo de Santo Agostinho (PE)","Total","Total","1261","125","9","4","4","7"
"2602902014","Bom Conselho - Cabo de Santo Agostinho (PE)","Total","Total","891","159","22","2","4","5"
"2602902015","Distrito Industrial Santo Estevão - Cabo de Santo Agostinho (PE)","Total","Total","252","1","-","-","21","2"
"2602902016","Engenho Ilha - Cabo de Santo Agostinho (PE)","Total","Total","2687","521","46","6","30","12"
"2602902017","Ponte dos Carvalhos - Cabo de Santo Agostinho (PE)","Total","Total","6379","826","95","17","155","48"
"2602902018","Pontezinha - Cabo de Santo Agostinho (PE)","Total","Total","2186","465","39","6","16","26"
"2602902019","Enseada dos Corais - Cabo de Santo Agostinho (PE)","Total","Total","708","344","83","43","6","8"
"2602902020","Gaibu - Cabo de Santo Agostinho (PE)","Total","Total","2097","470","65","17","21","12"
"2602902021","Itapoama - Cabo de Santo Agostinho (PE)","Total","Total","41","4","-","1","-","1"
"2602902022","Paiva - Cabo de Santo Agostinho (PE)","Total","Total","104","13","6","2","6","-"
"2602902023","Rosário - Cabo de Santo Agostinho (PE)","Total","Total","704","95","11","1","12","4"
"2602902024","Suape - Cabo de Santo Agostinho (PE)","Total","Total","378","77","8","2","2","1"
"2603454001","Timbi - Camaragibe (PE)","Total","Total","3723","943","112","29","7","10"
"2603454002","Celeiro das Alegrias Futuras - Camaragibe (PE)","Total","Total","842","234","23","7","1","-"
"2603454003","Santa Tereza - Camaragibe (PE)","Total","Total","422","82","10","3","2","-"
"2603454004","Céu Azul - Camaragibe (PE)","Total","Total","935","228","16","5","5","3"
"2603454005","Vila da Fábrica - Camaragibe (PE)","Total","Total","847","226","33","10","22","8"
"2603454006","São Paulo - Camaragibe (PE)","Total","Total","271","59","2","1","1","1"
"2603454007","Aldeia de Baixo - Camaragibe (PE)","Total","Total","423","41","5","-","7","1"
"2603454008","Alto da Boa Vista - Camaragibe (PE)","Total","Total","349","101","15","6","1","-"
"2603454009","Bairro Novo do Carmelo - Camaragibe (PE)","Total","Total","3322","974","169","45","17","4"
"2603454010","Bairro dos Estados - Camaragibe (PE)","Total","Total","1514","154","15","3","72","8"
"2603454011","Areeiro - Camaragibe (PE)","Total","Total","1160","122","10","3","17","8"
"2603454012","Alto Santo Antonio - Camaragibe (PE)","Total","Total","1347","188","25","9","25","9"
"2603454013","Viana - Camaragibe (PE)","Total","Total","402","75","6","-","4","1"
"2603454014","Santa Mônica - Camaragibe (PE)","Total","Total","2056","349","38","9","32","11"
"2603454015","Alberto Maia - Camaragibe (PE)","Total","Total","1401","213","28","9","4","21"
"2603454016","Estação Nova - Camaragibe (PE)","Total","Total","880","150","14","3","6","1"
"2603454017","João Paulo II - Camaragibe (PE)","Total","Total","922","167","14","1","25","5"
"2603454018","Santana - Camaragibe (PE)","Total","Total","708","125","5","-","2","1"
"2603454019","São João e São Paulo - Camaragibe (PE)","Total","Total","1126","69","5","-","9","8"
"2603454020","Nazaré - Camaragibe (PE)","Total","Total","605","170","22","8","2","2"
"2603454021","Vila da Inabi - Camaragibe (PE)","Total","Total","230","148","24","8","1","-"
"2603454022","Jardim Primavera - Camaragibe (PE)","Total","Total","1464","226","32","1","4","1"
"2603454023","São Pedro - Camaragibe (PE)","Total","Total","693","54","2","3","51","32"
"2603454024","Vale das Pedreiras - Camaragibe (PE)","Total","Total","836","148","12","2","2","7"
"2603454025","Tabatinga - Camaragibe (PE)","Total","Total","3742","413","52","16","42","21"
"2603454026","Vera Cruz - Camaragibe (PE)","Total","Total","1938","314","33","25","33","18"
"2603454027","Aldeia dos Camarás - Camaragibe (PE)","Total","Total","911","438","267","299","12","-"
"2603454028","Oitenta - Camaragibe (PE)","Total","Total","93","27","19","24","1","-"
"2603454029","Borralho - Camaragibe (PE)","Total","Total","353","66","37","41","39","1"
"2604106002","Vassoural - Caruaru (PE)","Total","Total","4373","889","123","30","64","5"
"2604106003","Cedro - Caruaru (PE)","Total","Total","458","74","10","1","5","1"
"2604106004","Riachão - Caruaru (PE)","Total","Total","1680","289","31","3","9","2"
"2604106005","João Mota - Caruaru (PE)","Total","Total","1237","129","16","3","39","11"
"2604106006","Centenário - Caruaru (PE)","Total","Total","1108","149","18","4","3","3"
"2604106007","Divinópolis - Caruaru (PE)","Total","Total","1418","624","119","47","10","-"
"2604106008","Indianópolis - Caruaru (PE)","Total","Total","3765","1494","529","214","61","21"
"2604106009","Nossa Senhora das Dores - Caruaru (PE)","Total","Total","1863","715","208","56","10","6"
"2604106010","Maurício de Nassau - Caruaru (PE)","Total","Total","1737","1227","1181","623","54","8"
"2604106011","Caiuca - Caruaru (PE)","Total","Total","1428","381","38","12","10","1"
"2604106012","Morro do Bom Jesus - Caruaru (PE)","Total","Total","1354","81","14","5","186","16"
"2604106013","Salgado - Caruaru (PE)","Total","Total","12832","2216","289","83","266","49"
"2604106014","Universitário - Caruaru (PE)","Total","Total","625","532","347","191","18","4"
"2604106015","Petrópolis - Caruaru (PE)","Total","Total","2704","1045","291","111","67","4"
"2604106016","São Francisco - Caruaru (PE)","Total","Total","2101","787","171","67","19","2"
"2604106017","Boa Vista - Caruaru (PE)","Total","Total","6848","2661","455","122","131","13"
"2604106018","Alto do Moura - Caruaru (PE)","Total","Total","2381","243","31","10","161","10"
"2604106019","Nova Caruaru - Caruaru (PE)","Total","Total","1489","378","156","91","31","3"
"2604106020","Agamenon Magalhães - Caruaru (PE)","Total","Total","1244","238","64","28","110","81"
"2604106021","Kennedy - Caruaru (PE)","Total","Total","2655","893","100","42","16","6"
"2604106022","Cidade Alta - Caruaru (PE)","Total","Total","1447","279","29","3","5","-"
"2604106023","Rendeiras - Caruaru (PE)","Total","Total","2863","1038","136","34","40","6"
"2604106024","Santa Rosa - Caruaru (PE)","Total","Total","2857","469","108","35","125","19"
"2604205001","Dezoito - Catende (PE)","Total","Total","176","19","3","1","1","7"
"2604205002","Guabiraba - Catende (PE)","Total","Total","70","5","1","-","-","3"
"2604205003","Jardim Diamante - Catende (PE)","Total","Total","296","89","28","10","32","-"
"2604205004","Pedras - Catende (PE)","Total","Total","75","4","-","-","-","-"
"2604205005","Baixa Verde - Catende (PE)","Total","Total","227","48","2","1","53","2"
"2604205006","Centro - Catende (PE)","Total","Total","932","293","75","20","12","4"
"2604205007","Monte Alegre - Catende (PE)","Total","Total","135","19","2","1","7","38"
"2604205008","Nova Catende - Catende (PE)","Total","Total","303","160","24","9","5","-"
"2604205009","Pavão - Catende (PE)","Total","Total","205","9","1","-","6","7"
"2604205010","Canaã - Catende (PE)","Total","Total","905","55","2","2","26","27"
"2604205011","Niterói - Catende (PE)","Total","Total","75","3","-","-","10","29"
"2604205012","Buranhem - Catende (PE)","Total","Total","373","14","1","2","3","17"
"2604403001","Centro - Chã de Alegria (PE)","Total","Total","235","37","6","2","71","6"
"2604403002","Castelo Branco - Chã de Alegria (PE)","Total","Total","156","10","2","1","55","-"
"2604403003","Cruzeiro - Chã de Alegria (PE)","Total","Total","201","27","6","-","107","10"
"2604403004","Santa Luzia - Chã de Alegria (PE)","Total","Total","250","33","3","-","69","5"
"2604403005","Guindaste - Chã de Alegria (PE)","Total","Total","255","5","-","1","2","-"
"2604403006","Maria Doralice Mascena - Chã de Alegria (PE)","Total","Total","280","32","2","1","76","8"
"2604403007","Matadouro - Chã de Alegria (PE)","Total","Total","325","11","1","-","164","8"
"2605202001","Centro - Escada (PE)","Total","Total","1603","332","45","16","5","3"
"2605202002","Bela Vista - Escada (PE)","Total","Total","690","56","5","1","1","28"
"2605202003","Santo Antônio - Escada (PE)","Total","Total","636","76","9","-","19","2"
"2605202004","Nova Descoberta - Escada (PE)","Total","Total","996","135","8","2","13","4"
