"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2300507001","Centro - Alcântaras (CE)","Total","10 a 14 anos","24","5","1","-","-","-","-","-","-","-","-","-","18","-"
"2300507001","Centro - Alcântaras (CE)","Total","15 a 19 anos","46","6","-","4","1","-","-","-","-","-","-","-","35","-"
"2300507001","Centro - Alcântaras (CE)","Total","15 a 17 anos","28","3","-","2","-","-","-","-","-","-","-","-","23","-"
"2300507001","Centro - Alcântaras (CE)","Total","18 ou 19 anos","18","3","-","2","1","-","-","-","-","-","-","-","12","-"
"2300507001","Centro - Alcântaras (CE)","Total","20 a 24 anos","43","2","8","17","3","-","-","-","-","-","-","-","13","-"
"2300507001","Centro - Alcântaras (CE)","Total","25 a 29 anos","39","5","4","18","7","-","-","-","-","-","-","-","5","-"
"2300507001","Centro - Alcântaras (CE)","Total","30 a 34 anos","29","-","4","10","6","3","1","-","-","-","-","-","5","-"
"2300507001","Centro - Alcântaras (CE)","Total","35 a 39 anos","22","2","2","5","8","1","1","1","-","-","-","-","2","-"
"2300507001","Centro - Alcântaras (CE)","Total","40 a 44 anos","25","3","-","8","7","1","1","1","-","-","-","-","4","-"
"2300507001","Centro - Alcântaras (CE)","Total","45 a 49 anos","24","-","4","8","5","-","2","1","-","-","-","-","4","-"
"2300507001","Centro - Alcântaras (CE)","Total","50 a 54 anos","10","-","1","5","3","-","-","1","-","-","-","-","-","-"
"2300507001","Centro - Alcântaras (CE)","Total","55 a 59 anos","16","-","2","4","3","3","1","-","-","-","-","-","3","-"
"2300507001","Centro - Alcântaras (CE)","Total","60 a 69 anos","14","1","-","10","2","-","-","-","-","-","-","-","1","-"
"2300507001","Centro - Alcântaras (CE)","Total","70 anos ou mais","44","-","-","32","8","1","3","-","-","-","-","-","-","-"
"2300507002","Junco - Alcântaras (CE)","Total","10 a 14 anos","65","4","1","-","-","1","-","-","-","-","-","-","59","-"
"2300507002","Junco - Alcântaras (CE)","Total","15 a 19 anos","53","9","3","4","4","-","-","-","-","-","-","-","33","-"
"2300507002","Junco - Alcântaras (CE)","Total","15 a 17 anos","34","5","2","1","-","-","-","-","-","-","-","-","26","-"
"2300507002","Junco - Alcântaras (CE)","Total","18 ou 19 anos","19","4","1","3","4","-","-","-","-","-","-","-","7","-"
"2300507002","Junco - Alcântaras (CE)","Total","20 a 24 anos","52","10","8","15","5","-","-","-","-","-","-","-","14","-"
"2300507002","Junco - Alcântaras (CE)","Total","25 a 29 anos","44","5","1","9","13","5","-","-","-","-","-","-","11","-"
"2300507002","Junco - Alcântaras (CE)","Total","30 a 34 anos","57","4","7","10","15","8","7","-","-","-","-","-","6","-"
"2300507002","Junco - Alcântaras (CE)","Total","35 a 39 anos","44","5","6","13","6","6","1","1","-","-","-","-","6","-"
"2300507002","Junco - Alcântaras (CE)","Total","40 a 44 anos","35","1","4","11","6","5","2","1","-","-","-","-","5","-"
"2300507002","Junco - Alcântaras (CE)","Total","45 a 49 anos","50","6","7","18","3","3","3","1","-","1","-","-","8","-"
"2300507002","Junco - Alcântaras (CE)","Total","50 a 54 anos","41","6","5","15","6","2","1","1","1","-","-","-","4","-"
"2300507002","Junco - Alcântaras (CE)","Total","55 a 59 anos","23","1","1","9","4","1","1","-","-","-","-","-","6","-"
"2300507002","Junco - Alcântaras (CE)","Total","60 a 69 anos","31","1","3","20","4","-","-","2","-","-","-","-","1","-"
"2300507002","Junco - Alcântaras (CE)","Total","70 anos ou mais","46","-","-","32","10","2","2","-","-","-","-","-","-","-"
"2300507003","Caldeirão - Alcântaras (CE)","Total","10 a 14 anos","2","1","-","-","-","-","-","-","-","-","-","-","1","-"
"2300507003","Caldeirão - Alcântaras (CE)","Total","15 a 19 anos","1","-","1","-","-","-","-","-","-","-","-","-","-","-"
