"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2100204","Alcântara (MA)","Total","18 ou 19 anos","817","75","36","42","17","3","-","-","-","-","-","-","644","-"
"2100204","Alcântara (MA)","Total","20 a 24 anos","2168","384","174","258","102","62","11","2","-","-","-","1","1174","-"
"2100204","Alcântara (MA)","Total","25 a 29 anos","1914","440","267","334","124","19","14","3","-","-","-","1","712","-"
"2100204","Alcântara (MA)","Total","30 a 34 anos","1598","361","247","304","156","20","15","5","1","-","-","-","489","-"
"2100204","Alcântara (MA)","Total","35 a 39 anos","1294","322","161","272","132","30","13","19","2","-","-","-","343","-"
"2100204","Alcântara (MA)","Total","40 a 44 anos","1199","298","122","260","108","16","13","13","2","1","-","-","366","-"
"2100204","Alcântara (MA)","Total","45 a 49 anos","1080","343","114","181","80","16","28","19","2","-","-","-","297","-"
"2100204","Alcântara (MA)","Total","50 a 54 anos","914","278","82","156","55","12","15","5","1","-","1","-","309","-"
"2100204","Alcântara (MA)","Total","55 a 59 anos","797","129","50","281","71","8","9","7","1","-","-","-","241","-"
"2100204","Alcântara (MA)","Total","60 a 69 anos","1200","65","12","784","102","12","17","8","-","-","1","-","199","-"
"2100204","Alcântara (MA)","Total","70 anos ou mais","1013","6","2","831","85","13","3","5","-","-","-","-","68","-"
"2100303","Aldeias Altas (MA)","Total","10 a 14 anos","2798","104","12","10","1","-","-","-","-","-","-","-","2671","-"
"2100303","Aldeias Altas (MA)","Total","15 a 19 anos","2487","150","65","100","7","-","-","-","-","-","-","-","2165","-"
"2100303","Aldeias Altas (MA)","Total","15 a 17 anos","1463","82","23","11","3","-","-","-","-","-","-","-","1344","-"
"2100303","Aldeias Altas (MA)","Total","18 ou 19 anos","1024","68","42","89","4","-","-","-","-","-","-","-","821","-"
"2100303","Aldeias Altas (MA)","Total","20 a 24 anos","2273","312","187","382","83","5","2","1","-","-","-","-","1301","-"
"2100303","Aldeias Altas (MA)","Total","25 a 29 anos","2051","292","282","417","131","38","9","4","-","-","-","-","878","-"
"2100303","Aldeias Altas (MA)","Total","30 a 34 anos","1599","202","281","359","129","39","20","5","-","-","-","-","564","-"
"2100303","Aldeias Altas (MA)","Total","35 a 39 anos","1199","169","176","257","101","30","21","9","-","2","-","1","433","-"
"2100303","Aldeias Altas (MA)","Total","40 a 44 anos","1121","209","138","225","76","20","12","1","-","1","-","-","439","-"
"2100303","Aldeias Altas (MA)","Total","45 a 49 anos","1040","223","115","179","57","19","11","9","-","-","-","-","427","-"
"2100303","Aldeias Altas (MA)","Total","50 a 54 anos","897","149","76","186","49","12","11","8","1","-","1","1","403","-"
"2100303","Aldeias Altas (MA)","Total","55 a 59 anos","717","76","24","284","35","12","8","3","1","-","-","-","274","-"
"2100303","Aldeias Altas (MA)","Total","60 a 69 anos","1109","22","21","768","73","10","6","1","1","-","-","-","207","-"
"2100303","Aldeias Altas (MA)","Total","70 anos ou mais","827","6","9","686","52","4","2","1","-","-","-","-","67","-"
"2100402","Altamira do Maranhão (MA)","Total","10 a 14 anos","1331","41","17","9","2","-","-","-","-","-","-","-","1262","-"
"2100402","Altamira do Maranhão (MA)","Total","15 a 19 anos","1163","74","41","44","9","1","-","-","-","-","-","-","994","-"
"2100402","Altamira do Maranhão (MA)","Total","15 a 17 anos","702","48","18","10","-","-","-","-","-","-","-","-","626","-"
"2100402","Altamira do Maranhão (MA)","Total","18 ou 19 anos","461","26","23","34","9","1","-","-","-","-","-","-","368","-"
"2100402","Altamira do Maranhão (MA)","Total","20 a 24 anos","1024","118","87","134","41","6","1","1","-","-","-","-","636","-"
"2100402","Altamira do Maranhão (MA)","Total","25 a 29 anos","980","149","154","190","62","12","5","3","-","-","-","-","405","-"
"2100402","Altamira do Maranhão (MA)","Total","30 a 34 anos","800","138","137","167","61","17","8","2","-","-","-","-","270","-"
"2100402","Altamira do Maranhão (MA)","Total","35 a 39 anos","617","108","98","125","64","9","1","4","-","-","-","-","208","-"
"2100402","Altamira do Maranhão (MA)","Total","40 a 44 anos","609","127","74","142","37","14","8","5","-","-","-","-","202","-"
"2100402","Altamira do Maranhão (MA)","Total","45 a 49 anos","523","98","56","105","30","12","8","5","-","1","-","-","208","-"
"2100402","Altamira do Maranhão (MA)","Total","50 a 54 anos","440","97","46","114","30","10","11","2","-","-","-","-","130","-"
