"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","10 a 14 anos","693","15","19","6","1","1","-","-","-","-","-","-","651","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","15 a 19 anos","671","12","80","59","48","3","-","-","-","-","-","-","469","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","15 a 17 anos","403","8","66","19","7","-","-","-","-","-","-","-","303","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","18 ou 19 anos","268","4","14","40","41","3","-","-","-","-","-","-","166","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","20 a 24 anos","542","5","7","108","149","42","9","3","-","-","-","-","219","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","25 a 29 anos","536","8","10","86","143","63","25","9","-","-","-","-","192","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","30 a 34 anos","502","7","18","100","139","60","26","13","1","-","-","-","138","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","35 a 39 anos","465","4","16","95","113","52","36","9","-","-","-","-","140","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","40 a 44 anos","394","4","16","73","110","49","36","11","-","-","-","-","95","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","45 a 49 anos","322","5","12","72","79","35","18","11","2","-","-","-","88","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","50 a 54 anos","229","2","10","43","55","17","13","13","-","-","-","-","76","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","55 a 59 anos","193","1","5","60","41","19","12","9","1","-","-","-","45","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","60 a 69 anos","187","2","3","83","37","6","10","3","-","1","-","-","42","-"
"3200607001","Barra do Riacho - Aracruz (ES)","Total","70 anos ou mais","157","-","-","102","20","5","1","2","-","-","-","-","27","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","10 a 14 anos","447","20","11","9","1","-","-","-","-","-","-","-","406","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","15 a 19 anos","491","4","34","61","55","2","-","-","-","-","-","-","335","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","15 a 17 anos","296","2","29","30","7","-","-","-","-","-","-","-","228","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","18 ou 19 anos","195","2","5","31","48","2","-","-","-","-","-","-","107","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","20 a 24 anos","579","3","11","107","189","54","20","4","-","-","-","-","191","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","25 a 29 anos","537","8","6","75","177","64","50","26","3","2","1","-","125","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","30 a 34 anos","477","5","7","66","146","69","55","27","2","2","-","1","97","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","35 a 39 anos","449","3","7","79","127","53","68","27","1","-","1","-","83","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","40 a 44 anos","335","1","5","64","104","47","35","26","3","1","1","-","48","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","45 a 49 anos","318","1","4","62","90","37","26","19","6","1","1","-","71","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","50 a 54 anos","256","3","4","37","78","35","19","16","3","-","-","-","61","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","55 a 59 anos","194","1","4","35","46","31","15","13","2","1","1","-","45","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","60 a 69 anos","213","3","2","89","34","29","13","5","-","2","-","-","36","-"
"3200607002","Bela Vista - Aracruz (ES)","Total","70 anos ou mais","169","-","2","112","31","10","4","2","1","-","-","-","7","-"
"3200607003","Centro - Aracruz (ES)","Total","10 a 14 anos","162","1","3","5","-","-","-","1","-","-","-","-","152","-"
"3200607003","Centro - Aracruz (ES)","Total","15 a 19 anos","202","2","11","21","22","2","-","-","-","-","-","-","144","-"
"3200607003","Centro - Aracruz (ES)","Total","15 a 17 anos","118","-","11","7","1","1","-","-","-","-","-","-","98","-"
"3200607003","Centro - Aracruz (ES)","Total","18 ou 19 anos","84","2","-","14","21","1","-","-","-","-","-","-","46","-"
"3200607003","Centro - Aracruz (ES)","Total","20 a 24 anos","248","1","-","38","56","26","12","7","-","-","-","-","108","-"
"3200607003","Centro - Aracruz (ES)","Total","25 a 29 anos","255","-","1","23","61","43","49","25","1","-","1","-","51","-"
"3200607003","Centro - Aracruz (ES)","Total","30 a 34 anos","246","-","1","26","58","40","39","40","3","4","-","1","34","-"
"3200607003","Centro - Aracruz (ES)","Total","35 a 39 anos","211","-","1","18","41","23","45","34","4","5","-","-","40","-"
"3200607003","Centro - Aracruz (ES)","Total","40 a 44 anos","192","-","1","17","30","35","37","30","3","7","-","-","32","-"
"3200607003","Centro - Aracruz (ES)","Total","45 a 49 anos","180","-","2","9","36","34","25","38","7","6","1","-","22","-"
"3200607003","Centro - Aracruz (ES)","Total","50 a 54 anos","195","-","2","14","29","23","34","43","11","2","3","2","32","-"
"3200607003","Centro - Aracruz (ES)","Total","55 a 59 anos","203","1","-","24","38","21","33","26","8","17","4","4","27","-"
"3200607003","Centro - Aracruz (ES)","Total","60 a 69 anos","177","-","-","24","28","32","26","27","4","5","1","1","29","-"
"3200607003","Centro - Aracruz (ES)","Total","70 anos ou mais","174","1","-","75","39","16","13","9","3","3","-","-","15","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","10 a 14 anos","38","1","-","1","-","-","-","-","-","-","-","-","36","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","15 a 19 anos","29","3","4","2","1","-","-","-","-","-","-","-","19","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","15 a 17 anos","20","2","4","2","-","-","-","-","-","-","-","-","12","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","18 ou 19 anos","9","1","-","-","1","-","-","-","-","-","-","-","7","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","20 a 24 anos","46","-","2","5","8","2","-","-","-","-","-","-","29","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","25 a 29 anos","52","2","1","9","17","-","2","-","-","-","-","-","21","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","30 a 34 anos","32","-","2","10","11","-","-","-","-","-","-","-","9","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","35 a 39 anos","28","1","1","8","7","4","3","-","-","-","-","-","4","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","40 a 44 anos","16","-","-","4","4","-","-","2","-","-","-","-","6","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","45 a 49 anos","14","-","1","5","2","-","-","-","-","-","-","-","6","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","50 a 54 anos","7","-","-","3","-","1","-","-","-","-","-","-","3","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","55 a 59 anos","9","-","-","2","2","-","-","-","-","-","-","-","5","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","60 a 69 anos","5","-","-","5","-","-","-","-","-","-","-","-","-","-"
"3200607004","Centro Empresarial - Aracruz (ES)","Total","70 anos ou mais","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3200607005","Cupido - Aracruz (ES)","Total","10 a 14 anos","27","1","-","-","-","-","-","-","-","-","-","-","26","-"
"3200607005","Cupido - Aracruz (ES)","Total","15 a 19 anos","33","1","5","1","1","-","-","-","-","-","-","-","25","-"
"3200607005","Cupido - Aracruz (ES)","Total","15 a 17 anos","21","-","5","-","-","-","-","-","-","-","-","-","16","-"
"3200607005","Cupido - Aracruz (ES)","Total","18 ou 19 anos","12","1","-","1","1","-","-","-","-","-","-","-","9","-"
"3200607005","Cupido - Aracruz (ES)","Total","20 a 24 anos","51","-","1","12","15","2","2","2","-","-","-","-","17","-"
"3200607005","Cupido - Aracruz (ES)","Total","25 a 29 anos","78","-","-","12","19","16","11","5","-","-","-","-","15","-"
"3200607005","Cupido - Aracruz (ES)","Total","30 a 34 anos","52","-","-","7","13","11","6","5","-","-","-","-","10","-"
"3200607005","Cupido - Aracruz (ES)","Total","35 a 39 anos","30","-","1","8","12","1","1","-","-","-","-","-","7","-"
"3200607005","Cupido - Aracruz (ES)","Total","40 a 44 anos","24","-","2","4","2","1","3","4","-","-","-","-","8","-"
"3200607005","Cupido - Aracruz (ES)","Total","45 a 49 anos","11","1","-","2","1","1","3","1","-","-","-","-","2","-"
"3200607005","Cupido - Aracruz (ES)","Total","50 a 54 anos","13","-","1","6","-","-","-","-","-","-","-","-","6","-"
"3200607005","Cupido - Aracruz (ES)","Total","55 a 59 anos","13","-","1","4","3","1","1","-","-","-","-","-","3","-"
"3200607005","Cupido - Aracruz (ES)","Total","60 a 69 anos","14","1","-","6","2","-","1","2","-","-","-","-","2","-"
"3200607005","Cupido - Aracruz (ES)","Total","70 anos ou mais","6","-","-","5","1","-","-","-","-","-","-","-","-","-"
"3200607006","de Carli - Aracruz (ES)","Total","10 a 14 anos","56","-","1","-","-","-","-","-","-","-","-","-","55","-"
"3200607006","de Carli - Aracruz (ES)","Total","15 a 19 anos","81","-","6","10","7","1","-","-","-","-","-","-","57","-"
"3200607006","de Carli - Aracruz (ES)","Total","15 a 17 anos","49","-","6","5","4","-","-","-","-","-","-","-","34","-"
"3200607006","de Carli - Aracruz (ES)","Total","18 ou 19 anos","32","-","-","5","3","1","-","-","-","-","-","-","23","-"
"3200607006","de Carli - Aracruz (ES)","Total","20 a 24 anos","101","-","-","14","26","10","9","5","-","-","-","-","37","-"
"3200607006","de Carli - Aracruz (ES)","Total","25 a 29 anos","110","-","2","10","34","9","17","9","2","1","-","-","26","-"
"3200607006","de Carli - Aracruz (ES)","Total","30 a 34 anos","81","-","-","8","17","7","17","14","-","1","-","-","17","-"
"3200607006","de Carli - Aracruz (ES)","Total","35 a 39 anos","85","-","-","12","16","14","12","16","-","3","-","1","11","-"
"3200607006","de Carli - Aracruz (ES)","Total","40 a 44 anos","64","-","-","11","11","9","8","7","1","3","-","-","14","-"
"3200607006","de Carli - Aracruz (ES)","Total","45 a 49 anos","75","-","1","6","22","8","9","14","2","2","2","-","9","-"
"3200607006","de Carli - Aracruz (ES)","Total","50 a 54 anos","70","-","-","12","13","11","10","12","1","1","2","2","6","-"
"3200607006","de Carli - Aracruz (ES)","Total","55 a 59 anos","68","-","3","10","12","7","10","11","1","2","-","-","12","-"
"3200607006","de Carli - Aracruz (ES)","Total","60 a 69 anos","55","-","-","15","16","5","9","3","-","1","1","-","5","-"
"3200607006","de Carli - Aracruz (ES)","Total","70 anos ou mais","39","-","-","24","6","1","3","2","-","-","2","-","1","-"
"3200607007","Fatima - Aracruz (ES)","Total","10 a 14 anos","348","8","11","3","1","-","-","-","-","-","-","-","325","-"
"3200607007","Fatima - Aracruz (ES)","Total","15 a 19 anos","367","1","42","55","39","2","-","-","-","-","-","-","228","-"
"3200607007","Fatima - Aracruz (ES)","Total","15 a 17 anos","212","1","38","16","3","-","-","-","-","-","-","-","154","-"
"3200607007","Fatima - Aracruz (ES)","Total","18 ou 19 anos","155","-","4","39","36","2","-","-","-","-","-","-","74","-"
"3200607007","Fatima - Aracruz (ES)","Total","20 a 24 anos","432","1","7","86","141","34","13","1","1","-","-","-","148","-"
"3200607007","Fatima - Aracruz (ES)","Total","25 a 29 anos","355","4","6","65","128","39","19","8","-","1","-","-","85","-"
"3200607007","Fatima - Aracruz (ES)","Total","30 a 34 anos","301","5","7","65","107","34","21","6","-","1","-","2","53","-"
"3200607007","Fatima - Aracruz (ES)","Total","35 a 39 anos","286","2","10","58","97","25","26","18","-","-","-","-","50","-"
"3200607007","Fatima - Aracruz (ES)","Total","40 a 44 anos","263","2","2","64","84","24","24","14","1","-","-","-","48","-"
"3200607007","Fatima - Aracruz (ES)","Total","45 a 49 anos","236","-","-","55","84","28","17","10","1","1","-","-","40","-"
"3200607007","Fatima - Aracruz (ES)","Total","50 a 54 anos","175","2","4","36","61","19","12","4","2","1","-","-","34","-"
"3200607007","Fatima - Aracruz (ES)","Total","55 a 59 anos","115","3","1","31","32","5","7","3","-","-","-","-","33","-"
"3200607007","Fatima - Aracruz (ES)","Total","60 a 69 anos","102","-","2","42","22","9","1","1","-","-","-","-","25","-"
"3200607007","Fatima - Aracruz (ES)","Total","70 anos ou mais","72","-","-","54","11","2","1","-","-","-","-","-","4","-"
"3200607008","Guanabara - Aracruz (ES)","Total","10 a 14 anos","203","4","5","2","2","-","-","-","-","-","-","-","190","-"
"3200607008","Guanabara - Aracruz (ES)","Total","15 a 19 anos","192","3","12","19","23","2","-","-","-","-","-","-","133","-"
"3200607008","Guanabara - Aracruz (ES)","Total","15 a 17 anos","115","1","10","6","3","-","-","-","-","-","-","-","95","-"
"3200607008","Guanabara - Aracruz (ES)","Total","18 ou 19 anos","77","2","2","13","20","2","-","-","-","-","-","-","38","-"
"3200607008","Guanabara - Aracruz (ES)","Total","20 a 24 anos","227","3","2","42","82","9","4","2","-","-","-","-","83","-"
"3200607008","Guanabara - Aracruz (ES)","Total","25 a 29 anos","234","5","2","46","80","31","11","2","-","-","-","-","57","-"
"3200607008","Guanabara - Aracruz (ES)","Total","30 a 34 anos","204","6","2","45","74","28","8","2","-","-","-","-","39","-"
"3200607008","Guanabara - Aracruz (ES)","Total","35 a 39 anos","185","-","5","40","75","27","8","6","-","-","-","-","24","-"
"3200607008","Guanabara - Aracruz (ES)","Total","40 a 44 anos","107","1","1","26","30","17","10","3","-","-","-","-","19","-"
"3200607008","Guanabara - Aracruz (ES)","Total","45 a 49 anos","120","1","1","33","37","12","6","1","-","-","-","-","29","-"
"3200607008","Guanabara - Aracruz (ES)","Total","50 a 54 anos","113","3","1","23","42","14","2","1","-","-","-","-","27","-"
"3200607008","Guanabara - Aracruz (ES)","Total","55 a 59 anos","70","2","2","23","15","3","8","1","1","-","-","-","15","-"
"3200607008","Guanabara - Aracruz (ES)","Total","60 a 69 anos","72","2","1","26","18","11","5","-","-","-","-","-","9","-"
"3200607008","Guanabara - Aracruz (ES)","Total","70 anos ou mais","69","-","-","44","19","-","1","-","-","-","-","-","5","-"
"3200607009","Guaxindiba - Aracruz (ES)","Total","10 a 14 anos","146","12","4","2","-","-","1","-","-","-","-","-","127","-"
