"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2300101004","Capoeiras - Abaiara (CE)","Total","15 a 19 anos","29","2","-","1","-","-","-","-","-","-","-","-","26","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","15 a 17 anos","19","-","-","1","-","-","-","-","-","-","-","-","18","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","18 ou 19 anos","10","2","-","-","-","-","-","-","-","-","-","-","8","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","20 a 24 anos","26","8","1","1","-","-","-","-","-","-","-","-","16","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","25 a 29 anos","24","3","3","5","2","-","-","-","-","-","-","-","11","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","30 a 34 anos","20","4","4","3","1","-","-","-","-","-","-","-","8","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","35 a 39 anos","16","1","5","5","1","-","-","-","-","-","-","-","4","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","40 a 44 anos","11","4","4","3","-","-","-","-","-","-","-","-","-","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","45 a 49 anos","12","5","1","3","-","-","-","-","-","-","-","-","3","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","50 a 54 anos","10","2","-","5","-","-","-","-","-","-","-","-","3","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","55 a 59 anos","5","1","1","2","-","-","-","-","-","-","-","-","1","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","60 a 69 anos","23","-","1","18","1","-","2","-","-","-","-","-","1","-"
"2300101004","Capoeiras - Abaiara (CE)","Total","70 anos ou mais","16","-","-","16","-","-","-","-","-","-","-","-","-","-"
"2300309001","Centro - Acopiara (CE)","Total","10 a 14 anos","471","13","12","6","4","-","1","-","-","-","-","-","435","-"
"2300309001","Centro - Acopiara (CE)","Total","15 a 19 anos","466","32","28","38","4","-","-","1","-","-","-","-","363","-"
"2300309001","Centro - Acopiara (CE)","Total","15 a 17 anos","269","17","13","5","1","-","-","-","-","-","-","-","233","-"
"2300309001","Centro - Acopiara (CE)","Total","18 ou 19 anos","197","15","15","33","3","-","-","1","-","-","-","-","130","-"
"2300309001","Centro - Acopiara (CE)","Total","20 a 24 anos","564","51","49","178","41","8","8","5","-","-","-","-","224","-"
"2300309001","Centro - Acopiara (CE)","Total","25 a 29 anos","487","39","38","176","49","29","22","8","1","1","-","-","124","-"
"2300309001","Centro - Acopiara (CE)","Total","30 a 34 anos","427","22","21","131","87","38","20","18","2","1","-","3","84","-"
"2300309001","Centro - Acopiara (CE)","Total","35 a 39 anos","420","21","34","121","79","29","43","15","1","2","-","2","73","-"
"2300309001","Centro - Acopiara (CE)","Total","40 a 44 anos","378","29","21","104","73","34","32","16","1","1","-","3","64","-"
"2300309001","Centro - Acopiara (CE)","Total","45 a 49 anos","355","32","18","83","60","30","24","18","1","3","-","3","83","-"
"2300309001","Centro - Acopiara (CE)","Total","50 a 54 anos","283","18","22","78","41","20","23","14","2","3","-","2","60","-"
"2300309001","Centro - Acopiara (CE)","Total","55 a 59 anos","272","13","13","105","31","20","18","10","4","5","-","-","53","-"
"2300309001","Centro - Acopiara (CE)","Total","60 a 69 anos","471","4","10","238","77","30","29","20","4","3","1","2","53","-"
"2300309001","Centro - Acopiara (CE)","Total","70 anos ou mais","541","-","2","385","95","16","9","11","2","3","-","-","18","-"
"2300309002","São Francisco - Acopiara (CE)","Total","10 a 14 anos","182","8","3","1","-","-","-","-","-","-","-","-","170","-"
"2300309002","São Francisco - Acopiara (CE)","Total","15 a 19 anos","171","13","14","7","2","-","-","-","-","-","-","-","135","-"
"2300309002","São Francisco - Acopiara (CE)","Total","15 a 17 anos","115","9","9","3","-","-","-","-","-","-","-","-","94","-"
"2300309002","São Francisco - Acopiara (CE)","Total","18 ou 19 anos","56","4","5","4","2","-","-","-","-","-","-","-","41","-"
"2300309002","São Francisco - Acopiara (CE)","Total","20 a 24 anos","195","30","27","57","8","4","-","-","-","-","-","-","69","-"
"2300309002","São Francisco - Acopiara (CE)","Total","25 a 29 anos","151","24","36","32","16","3","2","2","-","-","-","-","36","-"
"2300309002","São Francisco - Acopiara (CE)","Total","30 a 34 anos","162","29","21","52","19","3","3","-","-","-","-","-","35","-"
"2300309002","São Francisco - Acopiara (CE)","Total","35 a 39 anos","140","25","16","42","15","7","9","-","-","-","1","-","25","-"
"2300309002","São Francisco - Acopiara (CE)","Total","40 a 44 anos","134","35","8","38","19","2","5","1","-","-","-","-","26","-"
"2300309002","São Francisco - Acopiara (CE)","Total","45 a 49 anos","102","23","9","28","10","3","1","2","-","-","-","-","26","-"
"2300309002","São Francisco - Acopiara (CE)","Total","50 a 54 anos","84","13","9","32","3","5","-","1","-","-","-","-","21","-"
"2300309002","São Francisco - Acopiara (CE)","Total","55 a 59 anos","67","13","5","20","10","2","1","1","-","-","-","-","15","-"
"2300309002","São Francisco - Acopiara (CE)","Total","60 a 69 anos","108","2","5","67","10","3","-","1","-","1","-","-","19","-"
"2300309002","São Francisco - Acopiara (CE)","Total","70 anos ou mais","133","1","2","96","27","-","1","-","-","-","-","-","6","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","10 a 14 anos","47","-","-","1","-","-","-","-","-","-","-","-","46","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","15 a 19 anos","41","3","3","3","1","-","-","-","-","-","-","-","31","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","15 a 17 anos","24","1","1","-","-","-","-","-","-","-","-","-","22","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","18 ou 19 anos","17","2","2","3","1","-","-","-","-","-","-","-","9","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","20 a 24 anos","58","6","7","17","4","1","1","-","-","-","-","-","22","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","25 a 29 anos","37","7","3","15","2","-","1","-","-","-","-","-","9","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","30 a 34 anos","60","6","6","23","5","4","6","2","-","-","1","-","7","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","35 a 39 anos","40","8","3","9","8","2","3","-","-","-","-","-","7","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","40 a 44 anos","39","6","3","11","6","-","4","-","-","1","-","-","8","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","45 a 49 anos","25","2","1","12","3","2","1","-","-","-","-","-","4","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","50 a 54 anos","33","8","5","9","3","-","2","1","-","-","-","-","5","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","55 a 59 anos","14","-","-","9","1","-","-","-","-","-","-","-","4","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","60 a 69 anos","33","1","1","18","9","1","1","-","-","-","-","-","2","-"
"2300309003","Nova Acopiara - Acopiara (CE)","Total","70 anos ou mais","25","-","1","18","5","-","-","-","1","-","-","-","-","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","10 a 14 anos","124","2","2","1","1","-","-","-","-","-","-","-","118","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","15 a 19 anos","125","10","13","10","1","1","1","-","-","-","-","-","89","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","15 a 17 anos","78","7","6","4","1","-","-","-","-","-","-","-","60","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","18 ou 19 anos","47","3","7","6","-","1","1","-","-","-","-","-","29","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","20 a 24 anos","110","10","8","39","8","3","1","1","-","-","-","-","40","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","25 a 29 anos","109","10","13","42","12","4","5","2","-","1","-","-","20","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","30 a 34 anos","101","7","11","42","13","7","5","2","1","-","-","-","13","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","35 a 39 anos","100","4","18","28","22","7","5","2","1","1","-","-","12","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","40 a 44 anos","100","14","12","26","12","11","7","3","1","1","-","-","13","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","45 a 49 anos","78","11","8","17","10","8","9","3","-","-","-","-","12","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","50 a 54 anos","64","5","8","19","7","4","2","5","1","-","-","-","13","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","55 a 59 anos","61","6","4","20","14","2","3","-","-","-","-","1","11","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","60 a 69 anos","92","2","1","62","14","4","3","2","-","-","-","-","4","-"
"2300309004","Vila Palmeira - Acopiara (CE)","Total","70 anos ou mais","101","-","1","77","20","1","-","-","-","-","-","-","2","-"
"2300309005","Moreiras - Acopiara (CE)","Total","10 a 14 anos","420","20","3","2","-","-","-","-","-","-","-","-","395","-"
"2300309005","Moreiras - Acopiara (CE)","Total","15 a 19 anos","331","41","28","28","2","-","-","-","-","-","-","-","232","-"
"2300309005","Moreiras - Acopiara (CE)","Total","15 a 17 anos","197","22","9","10","-","-","-","-","-","-","-","-","156","-"
"2300309005","Moreiras - Acopiara (CE)","Total","18 ou 19 anos","134","19","19","18","2","-","-","-","-","-","-","-","76","-"
"2300309005","Moreiras - Acopiara (CE)","Total","20 a 24 anos","328","68","47","91","16","-","-","-","-","-","-","-","106","-"
"2300309005","Moreiras - Acopiara (CE)","Total","25 a 29 anos","347","70","65","101","22","2","3","-","-","-","-","-","84","-"
"2300309005","Moreiras - Acopiara (CE)","Total","30 a 34 anos","313","65","67","97","28","2","-","-","-","-","-","-","54","-"
"2300309005","Moreiras - Acopiara (CE)","Total","35 a 39 anos","214","47","34","71","20","9","-","2","-","-","-","-","31","-"
"2300309005","Moreiras - Acopiara (CE)","Total","40 a 44 anos","213","46","36","73","7","2","2","2","-","-","-","-","45","-"
"2300309005","Moreiras - Acopiara (CE)","Total","45 a 49 anos","160","40","24","41","14","2","3","1","-","1","-","-","34","-"
"2300309005","Moreiras - Acopiara (CE)","Total","50 a 54 anos","150","35","24","46","10","1","1","1","-","-","-","-","32","-"
"2300309005","Moreiras - Acopiara (CE)","Total","55 a 59 anos","160","15","17","79","17","1","2","1","-","-","-","-","28","-"
"2300309005","Moreiras - Acopiara (CE)","Total","60 a 69 anos","248","9","4","185","28","2","-","1","-","-","-","-","19","-"
"2300309005","Moreiras - Acopiara (CE)","Total","70 anos ou mais","265","-","-","232","28","1","-","-","-","-","-","-","4","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","10 a 14 anos","94","3","1","-","-","-","-","-","-","-","-","-","90","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","15 a 19 anos","82","5","5","4","-","-","-","-","-","-","-","-","68","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","15 a 17 anos","47","3","2","1","-","-","-","-","-","-","-","-","41","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","18 ou 19 anos","35","2","3","3","-","-","-","-","-","-","-","-","27","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","20 a 24 anos","81","16","16","13","-","-","-","-","-","-","-","-","36","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","25 a 29 anos","65","12","6","21","1","2","-","-","-","-","-","-","23","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","30 a 34 anos","74","12","13","21","3","-","-","-","-","-","-","-","25","-"
"2300309006","Bom Sucesso - Acopiara (CE)","Total","35 a 39 anos","63","15","10","14","6","1","-","1","-","-","-","-","16","-"
