"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2700102","Água Branca (AL)","Total","10 a 14 anos","2345","64","6","24","1","-","-","-","-","-","-","-","2250","-"
"2700102","Água Branca (AL)","Total","15 a 19 anos","2127","132","79","79","14","-","-","-","-","-","-","-","1823","-"
"2700102","Água Branca (AL)","Total","15 a 17 anos","1323","77","40","34","4","-","-","-","-","-","-","-","1168","-"
"2700102","Água Branca (AL)","Total","18 ou 19 anos","804","55","39","45","10","-","-","-","-","-","-","-","655","-"
"2700102","Água Branca (AL)","Total","20 a 24 anos","1716","224","141","263","67","6","3","1","-","-","-","-","1011","-"
"2700102","Água Branca (AL)","Total","25 a 29 anos","1426","256","175","276","108","16","12","1","1","1","-","-","580","-"
"2700102","Água Branca (AL)","Total","30 a 34 anos","1268","198","235","288","105","26","20","4","1","-","1","1","389","-"
"2700102","Água Branca (AL)","Total","35 a 39 anos","1129","180","225","233","106","31","24","4","-","2","-","-","324","-"
"2700102","Água Branca (AL)","Total","40 a 44 anos","1016","155","162","236","120","25","11","3","-","1","-","-","303","-"
"2700102","Água Branca (AL)","Total","45 a 49 anos","911","159","130","207","76","21","18","6","-","-","-","-","294","-"
"2700102","Água Branca (AL)","Total","50 a 54 anos","675","117","71","189","62","10","5","5","-","-","-","-","216","-"
"2700102","Água Branca (AL)","Total","55 a 59 anos","653","49","39","298","56","12","16","4","2","1","1","-","175","-"
"2700102","Água Branca (AL)","Total","60 a 69 anos","1176","9","6","930","118","19","11","9","2","-","-","-","72","-"
"2700102","Água Branca (AL)","Total","70 anos ou mais","973","2","1","825","112","8","11","5","-","-","-","-","9","-"
"2700201","Anadia (AL)","Total","10 a 14 anos","1884","19","9","18","-","-","-","-","-","-","-","-","1838","-"
"2700201","Anadia (AL)","Total","15 a 19 anos","1902","88","32","70","9","-","1","-","-","-","-","-","1702","-"
"2700201","Anadia (AL)","Total","15 a 17 anos","1212","45","12","18","1","-","-","-","-","-","-","-","1136","-"
"2700201","Anadia (AL)","Total","18 ou 19 anos","690","43","20","52","8","-","1","-","-","-","-","-","566","-"
"2700201","Anadia (AL)","Total","20 a 24 anos","1543","192","96","251","74","8","3","1","-","-","-","-","918","-"
"2700201","Anadia (AL)","Total","25 a 29 anos","1437","188","105","353","125","12","7","5","-","-","-","-","642","-"
"2700201","Anadia (AL)","Total","30 a 34 anos","1234","168","144","353","138","17","8","2","-","-","-","-","404","-"
"2700201","Anadia (AL)","Total","35 a 39 anos","1133","139","131","291","146","26","17","11","-","2","-","-","370","-"
"2700201","Anadia (AL)","Total","40 a 44 anos","1002","127","90","278","137","26","10","13","-","3","-","-","318","-"
"2700201","Anadia (AL)","Total","45 a 49 anos","915","102","78","262","114","20","16","7","1","1","-","-","314","-"
"2700201","Anadia (AL)","Total","50 a 54 anos","737","92","45","233","71","13","15","10","-","1","-","-","257","-"
"2700201","Anadia (AL)","Total","55 a 59 anos","613","50","19","286","63","15","12","5","2","-","-","-","161","-"
"2700201","Anadia (AL)","Total","60 a 69 anos","967","8","9","665","104","14","8","16","1","-","-","-","142","-"
"2700201","Anadia (AL)","Total","70 anos ou mais","845","1","2","638","101","12","5","9","3","1","-","-","73","-"
"2700300","Arapiraca (AL)","Total","10 a 14 anos","21990","524","155","218","24","2","1","-","-","-","-","-","21066","-"
"2700300","Arapiraca (AL)","Total","15 a 19 anos","21265","747","993","1982","337","35","10","6","2","-","-","-","17153","-"
"2700300","Arapiraca (AL)","Total","15 a 17 anos","13078","425","481","581","72","7","2","3","1","-","-","-","11506","-"
"2700300","Arapiraca (AL)","Total","18 ou 19 anos","8187","322","512","1401","265","28","8","3","1","-","-","-","5647","-"
"2700300","Arapiraca (AL)","Total","20 a 24 anos","20523","1285","1371","6000","1971","303","164","59","4","2","-","-","9364","-"
"2700300","Arapiraca (AL)","Total","25 a 29 anos","19284","1430","1501","5972","2935","718","495","282","24","13","4","2","5908","-"
"2700300","Arapiraca (AL)","Total","30 a 34 anos","17604","1443","1622","5293","2954","722","653","384","50","36","10","9","4428","-"
"2700300","Arapiraca (AL)","Total","35 a 39 anos","14570","1119","1383","4239","2451","713","612","345","41","27","14","9","3617","-"
"2700300","Arapiraca (AL)","Total","40 a 44 anos","14021","1198","1235","3916","2182","674","724","455","42","32","15","8","3540","-"
"2700300","Arapiraca (AL)","Total","45 a 49 anos","11298","923","883","3044","1671","585","621","455","49","51","11","10","2995","-"
"2700300","Arapiraca (AL)","Total","50 a 54 anos","9125","783","694","2618","1159","430","393","347","57","45","14","11","2574","-"
