"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência (Pessoas)"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2010"
"Cód.","Município","Total","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"2509396","Maturéia (PB)","2358","231","145","661","99","798","3","420"
"2509404","Mogeiro (PB)","4132","931","196","1051","60","1310","9","575"
"2509503","Montadas (PB)","2440","215","63","660","294","878","7","323"
"2509602","Monte Horebe (PB)","1633","250","202","317","62","340","8","454"
"2509701","Monteiro (PB)","13035","1539","721","4597","480","2032","144","3522"
"2509800","Mulungu (PB)","3010","766","111","804","50","734","29","517"
"2509909","Natuba (PB)","3793","324","199","1135","117","1437","36","545"
"2510006","Nazarezinho (PB)","2021","183","133","764","77","416","-","448"
"2510105","Nova Floresta (PB)","4161","612","82","1533","161","600","55","1118"
"2510204","Nova Olinda (PB)","1846","351","96","578","79","438","-","305"
"2510303","Nova Palmeira (PB)","2009","195","77","728","95","366","28","520"
"2510402","Olho d'Água (PB)","2162","157","258","597","31","569","18","532"
"2510501","Olivedos (PB)","879","104","145","297","24","121","3","184"
"2510600","Ouro Velho (PB)","1193","130","62","421","51","274","4","252"
"2510659","Parari (PB)","525","79","55","195","28","77","-","92"
"2510709","Passagem (PB)","648","109","179","164","-","86","-","110"
"2510808","Patos (PB)","41489","10259","3123","15232","727","399","1000","10750"
"2510907","Paulista (PB)","5091","339","251","2452","153","373","40","1484"
"2511004","Pedra Branca (PB)","806","145","103","300","12","33","-","212"
"2511103","Pedra Lavrada (PB)","3410","231","364","878","109","1190","19","618"
"2511202","Pedras de Fogo (PB)","9820","2270","854","2473","235","1048","67","2873"
"2511301","Piancó (PB)","5734","621","572","2194","169","446","32","1700"
"2511400","Picuí (PB)","7214","1251","228","2382","287","1216","87","1763"
"2511509","Pilar (PB)","3720","839","262","1134","60","856","30","539"
"2511608","Pilões (PB)","2746","299","218","752","9","1030","9","429"
"2511707","Pilõezinhos (PB)","2141","276","59","551","49","577","-","628"
"2511806","Pirpirituba (PB)","3386","524","315","1119","109","536","15","768"
"2511905","Pitimbu (PB)","6443","937","181","2169","514","423","40","2179"
"2512002","Pocinhos (PB)","6643","938","260","2022","242","1842","21","1317"
"2512036","Poço Dantas (PB)","1222","99","102","385","2","486","-","149"
"2512077","Poço de José de Moura (PB)","1548","119","221","535","-","250","3","419"
"2512101","Pombal (PB)","11974","1663","661","4809","186","730","136","3788"
"2512200","Prata (PB)","1611","75","203","508","120","311","9","384"
"2512309","Princesa Isabel (PB)","8745","1475","665","3399","346","1019","65","1777"
"2512408","Puxinanã (PB)","6003","1383","104","1364","494","1739","5","915"
"2512507","Queimadas (PB)","16311","5197","475","3245","615","2953","66","3761"
"2512606","Quixaba (PB)","655","74","43","232","11","76","-","220"
"2512705","Remígio (PB)","6592","628","714","1611","152","1917","79","1491"
"2512721","Pedro Régis (PB)","1691","94","202","531","59","524","-","281"
"2512747","Riachão (PB)","785","102","18","402","4","193","-","66"
"2512754","Riachão do Bacamarte (PB)","1599","243","272","297","3","593","3","189"
"2512762","Riachão do Poço (PB)","1867","98","125","470","52","795","-","326"
"2512788","Riacho de Santo Antônio (PB)","768","44","98","300","10","170","8","139"
"2512804","Riacho dos Cavalos (PB)","3609","307","125","1513","281","363","27","992"
"2512903","Rio Tinto (PB)","7968","2539","296","1548","228","1720","67","1570"
"2513000","Salgadinho (PB)","1296","161","81","442","93","316","-","203"
"2513109","Salgado de São Félix (PB)","3964","419","131","1058","54","1509","3","792"
"2513158","Santa Cecília (PB)","3448","108","216","873","180","1392","-","679"
"2513208","Santa Cruz (PB)","2150","209","364","602","57","509","37","370"
"2513307","Santa Helena (PB)","1783","101","179","516","39","551","6","391"
"2513356","Santa Inês (PB)","1270","47","222","178","102","268","7","446"
"2513406","Santa Luzia (PB)","5622","1071","588","2116","52","258","69","1468"
"2513505","Santana de Mangueira (PB)","1426","150","128","364","26","565","3","190"
"2513604","Santana dos Garrotes (PB)","2542","342","176","827","62","546","-","588"
"2513653","Joca Claudino (PB)","912","56","119","421","10","216","3","88"
"2513703","Santa Rita (PB)","42471","19520","1590","10774","493","770","230","9093"
"2513802","Santa Teresinha (PB)","1257","153","182","419","16","156","-","331"
"2513851","Santo André (PB)","1442","19","90","416","50","764","4","101"
"2513901","São Bento (PB)","15049","1313","316","9237","145","156","133","3749"
"2513927","São Bentinho (PB)","1381","80","114","685","38","99","13","351"
"2513943","São Domingos do Cariri (PB)","1126","94","29","576","2","267","1","156"
"2513968","São Domingos (PB)","1114","37","58","502","6","286","2","223"
"2513984","São Francisco (PB)","1204","117","91","449","34","188","3","322"
"2514008","São João do Cariri (PB)","1767","225","86","646","75","429","12","294"
"2514107","São João do Tigre (PB)","1865","122","85","555","10","476","3","614"
"2514206","São José da Lagoa Tapada (PB)","2519","170","163","783","87","869","6","441"
"2514305","São José de Caiana (PB)","2141","536","95","755","125","295","-","335"
"2514404","São José de Espinharas (PB)","1558","132","160","738","25","292","10","202"
"2514453","São José dos Ramos (PB)","1992","197","194","646","32","672","11","240"
"2514503","São José de Piranhas (PB)","6935","1247","496","2351","172","974","76","1619"
"2514552","São José de Princesa (PB)","1360","218","24","380","29","388","-","321"
"2514602","São José do Bonfim (PB)","1000","162","83","358","6","157","-","235"
"2514651","São José do Brejo do Cruz (PB)","533","25","115","197","54","63","2","77"
"2514701","São José do Sabugi (PB)","1686","181","152","620","64","245","12","412"
"2514800","São José dos Cordeiros (PB)","1720","123","31","323","102","760","-","380"
"2514909","São Mamede (PB)","2726","320","258","1152","82","274","64","575"
"2515005","São Miguel de Taipu (PB)","2504","328","147","581","81","1056","-","311"
"2515104","São Sebastião de Lagoa de Roça (PB)","4909","582","228","1147","206","1740","19","989"
"2515203","São Sebastião do Umbuzeiro (PB)","1622","47","122","463","101","251","6","632"
"2515302","Sapé (PB)","15636","3985","599","4540","201","2119","133","4061"
"2515401","São Vicente do Seridó (PB)","4078","695","139","889","192","1581","6","575"
"2515500","Serra Branca (PB)","5379","682","159","1773","129","981","58","1598"
"2515609","Serra da Raiz (PB)","1268","187","175","397","34","289","10","175"
"2515708","Serra Grande (PB)","1184","140","87","377","24","411","4","142"
"2515807","Serra Redonda (PB)","2914","622","52","512","135","892","16","685"
"2515906","Serraria (PB)","2367","209","175","566","164","845","-","408"
"2515930","Sertãozinho (PB)","1577","201","133","478","37","442","12","274"
"2515971","Sobrado (PB)","2808","310","197","526","59","1054","3","659"
"2516003","Solânea (PB)","9510","1107","572","2830","293","1943","78","2686"
"2516102","Soledade (PB)","5560","981","280","1702","143","747","67","1639"
"2516151","Sossêgo (PB)","1325","204","8","349","10","574","-","180"
"2516201","Sousa (PB)","25940","5831","1838","9044","646","837","424","7321"
"2516300","Sumé (PB)","6965","682","581","2393","227","1097","55","1928"
"2516409","Tacima (PB)","2731","439","23","884","19","670","10","687"
"2516508","Taperoá (PB)","5820","671","483","1508","84","1615","-","1460"
"2516607","Tavares (PB)","4770","999","235","1315","307","1129","24","761"
"2516706","Teixeira (PB)","5558","548","544","1859","202","1174","37","1194"
"2516755","Tenório (PB)","1039","91","213","285","44","169","7","230"
"2516805","Triunfo (PB)","3291","349","319","1181","115","707","73","548"
"2516904","Uiraúna (PB)","5365","717","377","2047","130","899","106","1090"
"2517001","Umbuzeiro (PB)","4044","310","199","894","121","1654","6","861"
"2517100","Várzea (PB)","1198","185","101","403","71","135","14","290"
"2517209","Vieirópolis (PB)","1414","119","159","461","24","427","11","214"
"2517407","Zabelê (PB)","1003","28","104","442","21","108","-","301"
"2600054","Abreu e Lima (PE)","34991","17809","1333","7437","578","620","265","6951"
"2600104","Afogados da Ingazeira (PE)","14262","2955","913","3985","376","2208","178","3648"
"2600203","Afrânio (PE)","6574","885","261","2462","215","1781","16","954"
"2600302","Agrestina (PE)","8164","1259","194","2515","289","999","13","2896"
"2600401","Água Preta (PE)","6927","2696","233","1784","200","899","26","1089"
"2600500","Águas Belas (PE)","15030","1184","735","3466","730","4365","115","4435"
"2600609","Alagoinha (PE)","5737","470","340","1844","183","1059","25","1815"
"2600708","Aliança (PE)","9828","4708","473","2358","120","766","60","1343"
"2600807","Altinho (PE)","8552","1117","143","2450","170","2235","40","2396"
"2600906","Amaraji (PE)","7481","2151","523","2261","166","353","78","1948"
"2601003","Angelim (PE)","3816","322","200","903","56","1403","30","903"
"2601052","Araçoiaba (PE)","4932","2513","181","1126","46","207","24","834"
"2601102","Araripina (PE)","32174","5308","1947","10759","967","3079","301","9813"
"2601201","Arcoverde (PE)","25335","7084","2325","7184","552","1316","573","6300"
"2601300","Barra de Guabiraba (PE)","3816","830","215","1645","38","199","5","884"
"2601409","Barreiros (PE)","9654","3952","481","2370","156","606","60","2029"
"2601508","Belém de Maria (PE)","3700","327","123","1339","119","337","31","1425"
"2601607","Belém do São Francisco (PE)","8304","847","729","2997","423","1095","182","2031"
"2601706","Belo Jardim (PE)","29085","7895","1389","8409","689","2390","562","7750"
"2601805","Betânia (PE)","3620","557","36","1337","42","1079","4","565"
"2601904","Bezerros (PE)","22205","4286","704","7384","747","2361","292","6432"
"2602001","Bodocó (PE)","13486","1136","675","4930","895","2294","24","3532"
"2602100","Bom Conselho (PE)","17782","2000","714","5118","897","4663","405","3985"
"2602209","Bom Jardim (PE)","14129","2447","403","2477","605","5529","78","2589"
"2602308","Bonito (PE)","10897","1708","812","4409","265","1220","163","2320"
"2602407","Brejão (PE)","3375","417","162","1087","114","895","-","700"
"2602506","Brejinho (PE)","2674","456","117","806","201","649","22","423"
"2602605","Brejo da Madre de Deus (PE)","19844","1988","630","8860","240","1383","226","6517"
"2602704","Buenos Aires (PE)","4312","1288","234","1048","104","822","14","803"
"2602803","Buíque (PE)","16821","1342","393","4738","793","5069","47","4438"
"2602902","Cabo de Santo Agostinho (PE)","67594","40782","1575","12387","777","1127","581","10365"
"2603009","Cabrobó (PE)","11585","1294","557","4322","677","1176","220","3339"
"2603108","Cachoeirinha (PE)","7160","742","249","2603","130","666","56","2713"
"2603207","Caetés (PE)","10409","503","305","1933","204","4985","68","2412"
"2603306","Calçado (PE)","5546","168","231","1179","259","1559","-","2150"
"2603405","Calumbi (PE)","1855","210","227","542","47","469","31","328"
"2603454","Camaragibe (PE)","55269","29112","2640","12194","333","434","481","10076"
"2603504","Camocim de São Félix (PE)","5403","726","243","2406","95","259","74","1601"
"2603603","Camutanga (PE)","2790","634","361","820","8","509","8","449"
"2603702","Canhotinho (PE)","8600","1267","416","2256","191","2110","50","2310"
"2603801","Capoeiras (PE)","9213","510","273","1907","461","3963","9","2089"
"2603900","Carnaíba (PE)","6820","738","478","1669","302","2016","10","1607"
"2603926","Carnaubeira da Penha (PE)","3691","163","185","1249","117","1665","14","297"
"2604007","Carpina (PE)","26946","11005","1458","7717","213","734","405","5414"
"2604106","Caruaru (PE)","146265","49039","5160","35460","1575","2559","2857","49614"
"2604155","Casinhas (PE)","4707","952","119","1107","48","2148","7","326"
"2604205","Catende (PE)","9706","3179","779","2633","138","476","159","2341"
"2604304","Cedro (PE)","3990","522","265","1799","56","498","9","841"
"2604403","Chã de Alegria (PE)","3534","1205","354","920","99","279","5","671"
"2604502","Chã Grande (PE)","7281","1047","415","2869","230","351","73","2296"
"2604601","Condado (PE)","6853","2577","405","2109","57","417","86","1201"
"2604700","Correntes (PE)","5944","595","515","1424","349","1366","84","1612"
"2604809","Cortês (PE)","3224","1412","232","1003","20","153","-","405"
"2604908","Cumaru (PE)","6514","860","277","1369","154","2481","27","1345"
"2605004","Cupira (PE)","9789","1097","213","3747","132","1152","400","3048"
"2605103","Custódia (PE)","12252","3257","779","3207","430","1632","63","2884"
"2605152","Dormentes (PE)","7692","683","387","1503","816","1272","111","2922"
"2605202","Escada (PE)","19707","11924","672","3477","164","624","242","2603"
"2605301","Exu (PE)","11118","733","771","4265","549","1777","51","2970"
"2605400","Feira Nova (PE)","7666","1232","402","3096","99","1145","8","1684"
"2605459","Fernando de Noronha (PE)","1658","648","138","362","7","20","110","372"
"2605509","Ferreiros (PE)","3950","1211","293","971","35","891","15","534"
"2605608","Flores (PE)","7474","1206","228","2040","334","2167","-","1500"
"2605707","Floresta (PE)","12192","2054","803","4417","391","2141","67","2319"
"2605806","Frei Miguelinho (PE)","5712","534","299","1931","112","1735","51","1051"
"2605905","Gameleira (PE)","7084","3694","237","1550","58","262","39","1244"
"2606002","Garanhuns (PE)","49512","14794","4463","12921","513","3489","734","12599"
"2606101","Glória do Goitá (PE)","12201","1657","498","3262","444","2961","33","3346"
"2606200","Goiana (PE)","25225","10477","1476","6035","384","825","227","5802"
"2606309","Granito (PE)","2112","217","349","874","41","332","6","294"
"2606408","Gravatá (PE)","29569","7022","1261","10630","493","1733","584","7845"
"2606507","Iati (PE)","6645","453","251","1613","432","2319","-","1577"
"2606606","Ibimirim (PE)","9341","972","420","3221","287","1533","76","2831"
"2606705","Ibirajuba (PE)","3007","143","153","822","101","490","5","1292"
"2606804","Igarassu (PE)","36088","18856","1183","7872","305","681","412","6780"
"2606903","Iguaracy (PE)","4344","337","194","1885","211","581","27","1110"
"2607000","Inajá (PE)","6303","357","179","1460","181","1060","47","3019"
"2607109","Ingazeira (PE)","1902","127","222","560","48","500","6","439"
"2607208","Ipojuca (PE)","28128","15232","950","6444","231","742","231","4298"
"2607307","Ipubi (PE)","10719","1103","324","3808","601","1475","96","3313"
"2607406","Itacuruba (PE)","1591","205","44","824","49","139","-","330"
"2607505","Itaíba (PE)","10343","591","176","2554","772","2643","25","3582"
"2607604","Ilha de Itamaracá (PE)","7005","1630","463","2338","92","298","50","2133"
"2607653","Itambé (PE)","10606","3689","634","3109","156","748","204","2067"
"2607703","Itapetim (PE)","6127","715","218","1980","232","2090","90","802"
"2607752","Itapissuma (PE)","7955","2744","568","1931","162","319","33","2198"
"2607802","Itaquitinga (PE)","4682","1886","610","1001","100","475","9","602"
"2607901","Jaboatão dos Guararapes (PE)","256042","135522","9092","53696","2936","1137","3249","50409"
"2607950","Jaqueira (PE)","2583","923","319","711","53","230","23","325"
"2608008","Jataúba (PE)","7305","511","145","2726","160","1517","4","2242"
"2608057","Jatobá (PE)","5140","1525","366","992","301","1267","11","678"
"2608107","João Alfredo (PE)","11003","2309","243","2853","448","2341","94","2715"
"2608206","Joaquim Nabuco (PE)","4319","1829","346","1077","169","253","34","610"
"2608255","Jucati (PE)","5822","167","49","1756","703","1094","10","2043"
"2608305","Jupi (PE)","6937","392","333","1924","337","1529","15","2405"
"2608404","Jurema (PE)","5706","193","154","1550","336","1826","12","1634"
"2608453","Lagoa do Carro (PE)","5783","1795","381","1504","69","736","15","1283"
"2608503","Lagoa de Itaenga (PE)","7306","2145","436","2063","187","1511","38","925"
"2608602","Lagoa do Ouro (PE)","4977","288","211","1677","403","1014","5","1379"
"2608701","Lagoa dos Gatos (PE)","6348","441","143","1999","697","792","61","2215"
"2608750","Lagoa Grande (PE)","8716","2463","508","2588","233","855","153","1916"
"2608800","Lajedo (PE)","15463","2238","591","4591","283","1493","151","6115"
"2608909","Limoeiro (PE)","20926","5964","1052","5903","419","2388","212","4989"
"2609006","Macaparana (PE)","8055","1991","554","2850","161","719","129","1651"
"2609105","Machados (PE)","3669","711","123","1572","41","359","28","836"
"2609154","Manari (PE)","9875","290","136","896","962","4899","12","2679"
"2609204","Maraial (PE)","3587","1027","142","1449","137","286","11","536"
"2609303","Mirandiba (PE)","3927","377","450","853","42","1222","9","974"
"2609402","Moreno (PE)","18142","8346","612","5072","160","556","120","3276"
"2609501","Nazaré da Mata (PE)","9705","4997","562","2503","19","286","46","1293"
"2609600","Olinda (PE)","151404","76457","9449","30416","1145","278","2306","31354"
"2609709","Orobó (PE)","8201","1049","284","1861","18","3231","77","1682"
"2609808","Orocó (PE)","5622","329","172","1835","242","438","30","2575"
"2609907","Ouricuri (PE)","21383","3568","1151","6762","988","2518","402","5994"
"2610004","Palmares (PE)","16669","6363","796","4775","115","731","150","3739"
"2610103","Palmeirina (PE)","2610","311","192","934","33","471","15","654"
"2610202","Panelas (PE)","10190","620","500","2603","547","3683","28","2210"
"2610301","Paranatama (PE)","3836","220","376","441","166","1593","16","1023"
"2610400","Parnamirim (PE)","6161","887","420","1998","144","1340","15","1358"
"2610509","Passira (PE)","9765","1429","397","3047","247","2041","76","2528"
"2610608","Paudalho (PE)","15976","8058","463","4144","80","913","86","2233"
"2610707","Paulista (PE)","120875","63501","7678","23271","1295","369","1123","23638"
"2610806","Pedra (PE)","6995","518","538","2664","185","1312","39","1739"
"2610905","Pesqueira (PE)","24170","4445","896","7149","637","2762","326","7955"
"2611002","Petrolândia (PE)","13035","2823","777","4288","790","1314","125","2917"
"2611101","Petrolina (PE)","124213","53056","6956","29602","2284","2875","2249","27191"
"2611200","Poção (PE)","5287","376","297","1634","62","498","10","2409"
"2611309","Pombos (PE)","9106","1839","371","2463","83","1073","106","3172"
"2611408","Primavera (PE)","4692","1683","178","1357","74","216","33","1151"
"2611507","Quipapá (PE)","7392","1705","563","2080","134","1173","53","1684"
"2611533","Quixaba (PE)","2416","448","53","534","78","967","-","337"
"2611606","Recife (PE)","661052","333833","48278","120872","7543","443","18076","132006"
"2611705","Riacho das Almas (PE)","7842","693","302","2890","66","1237","189","2464"
"2611804","Ribeirão (PE)","13022","5604","779","3349","197","297","232","2564"
"2611903","Rio Formoso (PE)","6543","3590","387","914","55","394","19","1183"
"2612000","Sairé (PE)","4078","622","247","1588","164","370","14","1072"
"2612109","Salgadinho (PE)","2329","593","95","467","-","663","-","510"
"2612208","Salgueiro (PE)","21106","7164","1476","5503","506","1895","214","4347"
"2612307","Saloá (PE)","5645","322","374","1635","246","1608","55","1405"
"2612406","Sanharó (PE)","7390","979","372","2923","110","1040","97","1870"
"2612455","Santa Cruz (PE)","4850","156","423","1231","302","1690","31","1017"
"2612471","Santa Cruz da Baixa Verde (PE)","4955","624","175","1232","257","1392","14","1260"
"2612505","Santa Cruz do Capibaribe (PE)","49605","7687","568","19981","864","392","1288","18825"
"2612554","Santa Filomena (PE)","3380","163","314","858","131","1169","-","745"
"2612604","Santa Maria da Boa Vista (PE)","16879","1669","976","4485","496","2725","97","6431"
"2612703","Santa Maria do Cambucá (PE)","6004","440","259","2386","158","1429","32","1300"
"2612802","Santa Terezinha (PE)","3624","333","419","914","142","958","5","854"
"2612901","São Benedito do Sul (PE)","2670","684","183","977","18","238","4","566"
"2613008","São Bento do Una (PE)","20961","3407","394","5683","1131","3279","127","6940"
"2613107","São Caitano (PE)","15388","3578","449","4394","1299","2009","91","3568"
"2613206","São João (PE)","9207","537","235","2420","667","1281","35","4031"
"2613305","São Joaquim do Monte (PE)","6854","622","235","2521","159","1265","-","2053"
"2613404","São José da Coroa Grande (PE)","5275","1601","448","1381","76","372","70","1327"
"2613503","São José do Belmonte (PE)","11986","2075","925","3690","397","2243","169","2486"
"2613602","São José do Egito (PE)","13210","1665","630","3785","704","2517","240","3669"
"2613701","São Lourenço da Mata (PE)","35196","16675","1740","8718","378","852","160","6673"
"2613800","São Vicente Férrer (PE)","5249","777","349","2611","92","510","28","883"
"2613909","Serra Talhada (PE)","34140","9078","1535","8674","1117","4795","533","8408"
"2614006","Serrita (PE)","5986","427","538","2154","110","1550","71","1135"
"2614105","Sertânia (PE)","10918","2759","595","3470","169","1600","131","2195"
"2614204","Sirinhaém (PE)","12618","8179","209","2049","72","439","17","1653"
"2614303","Moreilândia (PE)","3337","603","113","811","139","730","23","917"
"2614402","Solidão (PE)","2211","252","105","515","156","890","40","254"
"2614501","Surubim (PE)","22837","5965","581","6493","303","4035","328","5133"
"2614600","Tabira (PE)","10339","1209","496","3283","252","1642","111","3346"
"2614709","Tacaimbó (PE)","4597","711","219","770","170","1265","31","1431"
"2614808","Tacaratu (PE)","8667","907","206","2605","234","1977","83","2654"
"2614857","Tamandaré (PE)","6250","2119","287","1927","105","442","131","1239"
"2615003","Taquaritinga do Norte (PE)","12327","1829","237","6085","84","592","133","3366"
"2615102","Terezinha (PE)","2690","170","90","991","46","745","29","620"
"2615201","Terra Nova (PE)","2901","492","233","897","201","274","27","777"
"2615300","Timbaúba (PE)","18670","6561","644","5606","255","1497","372","3736"
"2615409","Toritama (PE)","19063","2448","66","11168","118","320","561","4381"
"2615508","Tracunhaém (PE)","4126","2022","124","1075","33","98","-","774"
"2615607","Trindade (PE)","9022","2099","323","3496","76","863","91","2074"
"2615706","Triunfo (PE)","6497","1145","301","1693","325","1207","106","1720"
"2615805","Tupanatinga (PE)","9059","310","208","1949","359","4330","17","1887"
"2615904","Tuparetama (PE)","3424","372","266","1554","31","131","13","1057"
"2616001","Venturosa (PE)","6359","537","512","2543","204","1067","37","1459"
"2616100","Verdejante (PE)","2960","319","445","776","38","725","3","653"
"2616183","Vertente do Lério (PE)","2493","455","82","707","22","892","-","335"
"2616209","Vertentes (PE)","8784","1004","304","3971","226","1313","128","1837"
"2616308","Vicência (PE)","8239","3535","556","2289","30","422","54","1353"
"2616407","Vitória de Santo Antão (PE)","48149","14900","1896","14293","780","1772","767","13741"
"2616506","Xexéu (PE)","3472","1504","204","990","54","87","36","597"
"2700102","Água Branca (AL)","8413","1102","112","1742","139","4282","6","1031"
"2700201","Anadia (AL)","4484","1735","14","1226","21","524","11","953"
"2700300","Arapiraca (AL)","85140","23985","4749","24750","1631","4725","1928","23372"
"2700409","Atalaia (AL)","11242","4669","542","3105","267","824","99","1737"
"2700508","Barra de Santo Antônio (AL)","4055","1325","407","1327","37","224","14","722"
"2700607","Barra de São Miguel (AL)","3158","1241","90","1096","39","64","51","579"
"2700706","Batalha (AL)","6131","865","326","2602","182","720","64","1372"
"2700805","Belém (AL)","2054","310","131","481","104","577","12","439"
"2700904","Belo Monte (AL)","2193","275","3","508","43","1139","-","226"
"2701001","Boca da Mata (AL)","7648","3202","430","2114","410","437","60","996"
"2701100","Branquinha (AL)","3155","1299","48","663","152","506","8","479"
"2701209","Cacimbinhas (AL)","3250","342","255","1057","60","874","20","641"
"2701308","Cajueiro (AL)","4849","2378","353","1214","-","340","-","563"
"2701357","Campestre (AL)","1773","614","242","677","57","63","3","117"
"2701407","Campo Alegre (AL)","10056","5721","234","2202","141","246","95","1417"
"2701506","Campo Grande (AL)","3251","469","109","430","41","1597","19","585"
"2701605","Canapi (AL)","6445","269","215","1672","577","2349","-","1362"
"2701704","Capela (AL)","4884","2170","87","1786","99","187","33","520"
"2701803","Carneiros (AL)","3481","339","225","983","101","1403","30","399"
"2701902","Chã Preta (AL)","2223","174","331","641","51","571","13","442"
"2702009","Coité do Nóia (AL)","4348","656","33","990","265","1331","11","1062"
"2702108","Colônia Leopoldina (AL)","5645","1749","626","1469","209","475","67","1050"
"2702207","Coqueiro Seco (AL)","1675","719","122","291","22","34","9","477"
"2702306","Coruripe (AL)","18279","6937","79","5513","423","1345","212","3771"
"2702355","Craíbas (AL)","9497","573","374","2563","1412","2237","65","2273"
"2702405","Delmiro Gouveia (AL)","16340","5588","422","4455","193","2104","141","3437"
"2702504","Dois Riachos (AL)","4307","455","167","959","394","1381","6","945"
"2702553","Estrela de Alagoas (AL)","7935","415","156","1873","427","3817","21","1225"
"2702603","Feira Grande (AL)","8977","1146","151","1990","359","3425","-","1906"
"2702702","Feliz Deserto (AL)","1465","386","63","477","3","164","-","371"
"2702801","Flexeiras (AL)","3554","1200","147","1029","48","570","17","543"
"2702900","Girau do Ponciano (AL)","14259","1081","682","2251","1408","5862","60","2915"
"2703007","Ibateguara (AL)","3133","1364","28","1050","42","180","15","453"
"2703106","Igaci (AL)","9912","811","518","2125","1130","3415","148","1765"
"2703205","Igreja Nova (AL)","7133","1358","357","1052","325","2834","11","1196"
"2703304","Inhapi (AL)","5888","334","173","1109","288","2794","66","1123"
"2703403","Jacaré dos Homens (AL)","1910","166","101","862","55","349","10","368"
"2703502","Jacuípe (AL)","2173","692","255","493","62","217","-","454"
"2703601","Japaratinga (AL)","2412","847","67","833","13","135","30","487"
"2703700","Jaramataia (AL)","2038","294","129","699","58","259","12","586"
"2703759","Jequiá da Praia (AL)","3266","1234","211","544","85","373","5","814"
"2703809","Joaquim Gomes (AL)","6398","1708","141","1912","220","1309","-","1107"
"2703908","Jundiá (AL)","1266","464","44","461","10","109","7","172"
"2704005","Junqueiro (AL)","8872","1687","545","2733","312","2230","37","1327"
"2704104","Lagoa da Canoa (AL)","7030","992","88","1927","630","1076","-","2317"
"2704203","Limoeiro de Anadia (AL)","9193","1782","119","2014","263","3057","54","1905"
"2704302","Maceió (AL)","389568","179980","31326","86502","4628","1262","6994","78876"
"2704401","Major Isidoro (AL)","6995","739","225","2876","285","1297","111","1462"
"2704500","Maragogi (AL)","9630","3364","231","2747","118","1235","52","1882"
"2704609","Maravilha (AL)","4265","421","118","1126","245","1159","41","1156"
"2704708","Marechal Deodoro (AL)","16097","5499","869","4313","409","415","234","4358"
"2704807","Maribondo (AL)","4374","800","172","1957","75","401","93","877"
"2704906","Mar Vermelho (AL)","1322","150","163","447","55","302","-","204"
"2705002","Mata Grande (AL)","9958","590","306","2354","353","4621","98","1634"
"2705101","Matriz de Camaragibe (AL)","6061","2982","183","1547","83","355","39","871"
"2705200","Messias (AL)","3927","1787","383","947","10","243","20","538"
"2705309","Minador do Negrão (AL)","2014","272","17","686","42","652","-","346"
"2705408","Monteirópolis (AL)","2278","194","212","964","27","402","-","478"
"2705507","Murici (AL)","6570","2936","218","2279","101","263","-","773"
"2705606","Novo Lino (AL)","3385","1085","286","826","39","565","24","560"
"2705705","Olho d'Água das Flores (AL)","8167","1230","173","3105","207","1644","78","1731"
"2705804","Olho d'Água do Casado (AL)","3306","433","157","842","228","1218","36","393"
"2705903","Olho d'Água Grande (AL)","1960","111","156","212","-","1322","10","150"
"2706000","Olivença (AL)","4124","265","241","1419","106","1559","17","518"
"2706109","Ouro Branco (AL)","4027","501","74","1155","287","1024","30","957"
"2706208","Palestina (AL)","1445","97","213","316","-","711","4","104"
"2706307","Palmeira dos Índios (AL)","25549","5544","1615","7828","419","2984","336","6822"
"2706406","Pão de Açúcar (AL)","7767","748","848","2361","328","2141","19","1322"
"2706422","Pariconha (AL)","3809","623","119","707","34","1764","4","559"
"2706448","Paripueira (AL)","4166","1061","422","1443","107","245","45","843"
"2706505","Passo de Camaragibe (AL)","3818","1935","123","667","159","389","20","526"
"2706604","Paulo Jacinto (AL)","2355","384","174","972","83","334","13","396"
"2706703","Penedo (AL)","20796","7176","571","5613","726","1759","90","4862"
"2706802","Piaçabuçu (AL)","4864","956","72","1394","97","316","47","1983"
"2706901","Pilar (AL)","9640","4441","747","2618","114","131","26","1564"
"2707008","Pindoba (AL)","961","198","122","371","-","151","9","111"
"2707107","Piranhas (AL)","8490","1414","371","2580","483","2261","64","1318"
"2707206","Poço das Trincheiras (AL)","4479","285","144","702","105","2435","17","791"
"2707305","Porto Calvo (AL)","7985","3067","475","2197","172","611","50","1414"
"2707404","Porto de Pedras (AL)","3012","779","217","806","113","387","15","695"
"2707503","Porto Real do Colégio (AL)","5723","860","370","1197","26","2180","-","1089"
"2707602","Quebrangulo (AL)","3555","386","331","1247","62","1025","-","503"
"2707701","Rio Largo (AL)","21892","11610","708","4987","166","343","123","3954"
"2707800","Roteiro (AL)","1609","369","149","579","12","64","-","435"
"2707909","Santa Luzia do Norte (AL)","1891","863","215","427","-","24","9","353"
"2708006","Santana do Ipanema (AL)","16722","3034","452","4760","1446","2831","205","3994"
