"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência (Pessoas)"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2010"
"Cód.","Município","Total","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1200393","Porto Walter (AC)","3394","424","31","598","385","1137","9","810"
"1200401","Rio Branco (AC)","139495","65990","9733","30538","2094","2231","1796","27113"
"1200427","Rodrigues Alves (AC)","4451","639","48","813","435","1035","4","1477"
"1200435","Santa Rosa do Purus (AC)","1198","272","82","330","14","374","13","113"
"1200450","Senador Guiomard (AC)","7703","2960","241","2340","135","381","63","1584"
"1200500","Sena Madureira (AC)","14449","4017","282","4099","586","1286","44","4134"
"1200609","Tarauacá (AC)","11527","2699","124","3666","569","2645","107","1717"
"1200708","Xapuri (AC)","6574","1628","228","1752","208","1075","75","1607"
"1200807","Porto Acre (AC)","4458","1158","13","1830","171","586","4","696"
"1300029","Alvarães (AM)","3599","212","119","769","33","948","47","1471"
"1300060","Amaturá (AM)","2203","73","229","439","129","828","-","506"
"1300086","Anamã (AM)","3836","87","207","1008","80","1185","26","1242"
"1300102","Anori (AM)","6066","187","566","974","322","1939","3","2076"
"1300144","Apuí (AM)","7609","511","562","2898","217","807","45","2568"
"1300201","Atalaia do Norte (AM)","5143","324","308","1018","34","2246","-","1213"
"1300300","Autazes (AM)","11348","527","973","3102","271","2791","69","3614"
"1300409","Barcelos (AM)","5944","608","758","1699","232","1276","49","1324"
"1300508","Barreirinha (AM)","8632","436","271","1950","572","2675","7","2722"
"1300607","Benjamin Constant (AM)","11731","887","595","3270","420","2888","41","3630"
"1300631","Beruri (AM)","4891","163","202","1304","73","1677","33","1440"
"1300680","Boa Vista do Ramos (AM)","4941","168","546","1056","23","1952","27","1169"
"1300706","Boca do Acre (AM)","10002","1207","762","3632","304","1558","80","2459"
"1300805","Borba (AM)","12136","648","542","2913","531","3572","48","3882"
"1300839","Caapiranga (AM)","3421","245","198","1042","37","524","8","1366"
"1300904","Canutama (AM)","4727","273","571","948","15","1868","5","1046"
"1301001","Carauari (AM)","9313","1409","452","2867","72","2031","66","2417"
"1301100","Careiro (AM)","8463","772","912","1681","420","1725","12","2940"
"1301159","Careiro da Várzea (AM)","8073","348","136","1807","293","1545","40","3905"
"1301209","Coari (AM)","25815","3947","2149","7010","406","3019","163","9121"
"1301308","Codajás (AM)","7662","429","394","1665","117","1351","30","3674"
"1301407","Eirunepé (AM)","11407","806","727","3923","596","2252","57","3046"
"1301506","Envira (AM)","4597","229","272","2110","86","1143","43","714"
"1301605","Fonte Boa (AM)","7676","344","414","2377","422","2112","50","1957"
"1301654","Guajará (AM)","3375","336","276","950","31","1437","12","332"
"1301704","Humaitá (AM)","14251","2287","1640","3304","306","2347","197","4170"
"1301803","Ipixuna (AM)","6312","206","174","2316","133","1826","20","1637"
"1301852","Iranduba (AM)","14501","2535","1150","3558","435","1755","59","5009"
"1301902","Itacoatiara (AM)","31726","6659","1898","8517","476","4183","160","9834"
"1301951","Itamarati (AM)","1752","63","181","454","30","643","8","374"
"1302009","Itapiranga (AM)","2833","160","284","993","163","385","27","821"
"1302108","Japurá (AM)","2276","64","48","1032","27","283","6","816"
"1302207","Juruá (AM)","4129","61","31","1243","63","1055","4","1672"
"1302306","Jutaí (AM)","6281","65","35","1525","402","2201","-","2053"
"1302405","Lábrea (AM)","14081","1270","356","4041","281","3635","104","4394"
"1302504","Manacapuru (AM)","30983","4256","1441","8627","1502","2609","269","12279"
"1302553","Manaquiri (AM)","7540","316","346","1159","282","1709","21","3707"
"1302603","Manaus (AM)","750666","372884","51473","147631","12146","4144","9639","152749"
"1302702","Manicoré (AM)","17090","1033","803","4142","923","2562","93","7535"
"1302801","Maraã (AM)","4434","177","214","1041","77","1885","10","1031"
"1302900","Maués (AM)","18982","1518","1084","3540","679","5204","135","6823"
"1303007","Nhamundá (AM)","5294","205","217","1179","415","862","32","2383"
"1303106","Nova Olinda do Norte (AM)","12512","918","517","2550","1589","3306","55","3577"
"1303205","Novo Airão (AM)","5145","495","634","1291","26","1333","20","1346"
"1303304","Novo Aripuanã (AM)","7996","431","916","1909","262","2372","34","2070"
"1303403","Parintins (AM)","35393","5246","1474","11181","1251","3859","406","11976"
"1303502","Pauini (AM)","6005","170","184","1589","337","2736","62","927"
"1303536","Presidente Figueiredo (AM)","11397","3037","1227","2453","348","726","62","3544"
"1303569","Rio Preto da Eva (AM)","9728","1174","768","3613","579","1287","52","2254"
"1303601","Santa Isabel do Rio Negro (AM)","4670","98","414","1284","48","1362","7","1457"
"1303700","Santo Antônio do Içá (AM)","6569","397","159","1199","544","3008","46","1217"
"1303809","São Gabriel da Cachoeira (AM)","10526","1074","1611","3046","169","3180","53","1393"
"1303908","São Paulo de Olivença (AM)","12093","434","484","1447","1083","5887","77","2681"
"1303957","São Sebastião do Uatumã (AM)","4352","285","201","1246","116","1180","4","1320"
"1304005","Silves (AM)","2750","237","120","722","4","613","5","1049"
"1304062","Tabatinga (AM)","17582","2179","2052","4442","674","3442","187","4606"
"1304104","Tapauá (AM)","7785","234","653","1468","241","2744","56","2388"
"1304203","Tefé (AM)","20719","3293","2303","5536","325","2438","242","6583"
"1304237","Tonantins (AM)","5321","424","460","1229","197","1335","64","1610"
"1304260","Uarini (AM)","4940","79","150","1270","208","1066","10","2159"
"1304302","Urucará (AM)","5786","395","603","1583","254","1077","52","1823"
"1304401","Urucurituba (AM)","6325","258","296","1579","141","1659","34","2358"
"1400027","Amajari (RR)","1474","191","70","665","40","352","-","155"
"1400050","Alto Alegre (RR)","5665","576","457","1432","79","2231","21","869"
"1400100","Boa Vista (RR)","125719","40949","23565","30386","1821","2049","2052","24896"
"1400159","Bonfim (RR)","3820","320","318","1105","141","909","5","1022"
"1400175","Cantá (RR)","4297","436","517","986","51","802","38","1468"
"1400209","Caracaraí (RR)","6311","950","654","1724","91","787","46","2061"
"1400233","Caroebe (RR)","3258","390","113","959","152","402","3","1239"
"1400282","Iracema (RR)","3003","394","156","1159","160","512","-","621"
"1400308","Mucajaí (RR)","4858","907","508","1386","31","795","31","1200"
"1400407","Normandia (RR)","1934","272","266","522","85","542","13","236"
"1400456","Pacaraima (RR)","3447","436","419","885","144","932","18","614"
