"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5000708","Anastácio (MS)","Total","25 a 29 anos","1939","55","120","560","481","90","65","19","-","3","-","-","546","-"
"5000708","Anastácio (MS)","Total","30 a 34 anos","1837","64","143","540","437","103","103","44","1","-","1","-","401","-"
"5000708","Anastácio (MS)","Total","35 a 39 anos","1663","47","98","482","419","110","86","35","5","1","1","-","379","-"
"5000708","Anastácio (MS)","Total","40 a 44 anos","1595","54","82","470","363","90","86","46","6","4","1","2","391","-"
"5000708","Anastácio (MS)","Total","45 a 49 anos","1442","39","90","446","306","68","65","58","5","3","1","2","359","-"
"5000708","Anastácio (MS)","Total","50 a 54 anos","1265","43","91","381","233","82","53","37","7","3","-","1","334","-"
"5000708","Anastácio (MS)","Total","55 a 59 anos","1060","38","70","380","167","62","41","37","-","8","5","2","250","-"
"5000708","Anastácio (MS)","Total","60 a 69 anos","1529","22","42","812","244","72","54","36","7","4","1","1","234","-"
"5000708","Anastácio (MS)","Total","70 anos ou mais","1166","6","5","877","128","36","22","16","2","3","1","3","67","-"
"5000807","Anaurilândia (MS)","Total","10 a 14 anos","848","87","31","9","3","-","-","-","-","-","-","-","718","-"
"5000807","Anaurilândia (MS)","Total","15 a 19 anos","777","53","57","81","46","1","2","-","-","-","-","-","537","-"
"5000807","Anaurilândia (MS)","Total","15 a 17 anos","516","40","35","37","13","-","1","-","-","-","-","-","390","-"
"5000807","Anaurilândia (MS)","Total","18 ou 19 anos","261","13","22","44","33","1","1","-","-","-","-","-","147","-"
"5000807","Anaurilândia (MS)","Total","20 a 24 anos","628","21","38","147","140","11","8","3","-","-","-","-","260","-"
