"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4300877003","da Integração - Araricá (RS)","Total","15 a 19 anos","33","-","1","6","12","1","-","-","-","-","-","-","13","-"
"4300877003","da Integração - Araricá (RS)","Total","15 a 17 anos","19","-","1","4","2","-","-","-","-","-","-","-","12","-"
"4300877003","da Integração - Araricá (RS)","Total","18 ou 19 anos","14","-","-","2","10","1","-","-","-","-","-","-","1","-"
"4300877003","da Integração - Araricá (RS)","Total","20 a 24 anos","29","-","1","5","17","2","-","-","-","-","-","-","4","-"
"4300877003","da Integração - Araricá (RS)","Total","25 a 29 anos","39","-","-","8","26","1","-","-","-","-","-","-","4","-"
"4300877003","da Integração - Araricá (RS)","Total","30 a 34 anos","31","-","-","1","22","4","1","-","1","-","-","-","2","-"
"4300877003","da Integração - Araricá (RS)","Total","35 a 39 anos","31","1","-","2","11","5","7","-","-","-","-","-","5","-"
"4300877003","da Integração - Araricá (RS)","Total","40 a 44 anos","35","-","2","5","18","4","-","-","-","-","-","-","6","-"
"4300877003","da Integração - Araricá (RS)","Total","45 a 49 anos","24","-","-","5","14","1","-","-","-","-","-","-","4","-"
"4300877003","da Integração - Araricá (RS)","Total","50 a 54 anos","23","4","1","5","6","2","-","1","-","-","-","-","4","-"
"4300877003","da Integração - Araricá (RS)","Total","55 a 59 anos","20","1","-","6","8","1","1","-","-","-","-","-","3","-"
"4300877003","da Integração - Araricá (RS)","Total","60 a 69 anos","30","-","-","13","6","6","-","-","-","-","-","-","5","-"
"4300877003","da Integração - Araricá (RS)","Total","70 anos ou mais","19","-","-","11","5","1","-","-","-","-","-","-","2","-"
"4300877004","Azaléia - Araricá (RS)","Total","10 a 14 anos","19","-","-","2","-","-","-","-","-","-","-","-","17","-"
"4300877004","Azaléia - Araricá (RS)","Total","15 a 19 anos","9","-","-","5","3","-","-","-","-","-","-","-","1","-"
"4300877004","Azaléia - Araricá (RS)","Total","15 a 17 anos","7","-","-","4","2","-","-","-","-","-","-","-","1","-"
"4300877004","Azaléia - Araricá (RS)","Total","18 ou 19 anos","2","-","-","1","1","-","-","-","-","-","-","-","-","-"
"4300877004","Azaléia - Araricá (RS)","Total","20 a 24 anos","36","-","-","4","19","4","3","-","-","-","-","-","6","-"
"4300877004","Azaléia - Araricá (RS)","Total","25 a 29 anos","20","1","1","2","9","4","1","1","-","-","-","-","1","-"
"4300877004","Azaléia - Araricá (RS)","Total","30 a 34 anos","13","-","-","3","6","2","-","-","-","-","-","-","2","-"
"4300877004","Azaléia - Araricá (RS)","Total","35 a 39 anos","11","-","-","1","8","2","-","-","-","-","-","-","-","-"
"4300877004","Azaléia - Araricá (RS)","Total","40 a 44 anos","16","1","2","4","4","2","2","-","-","-","-","-","1","-"
"4300877004","Azaléia - Araricá (RS)","Total","45 a 49 anos","24","-","-","7","11","3","-","1","-","-","-","-","2","-"
"4300877004","Azaléia - Araricá (RS)","Total","50 a 54 anos","9","-","-","-","5","1","1","-","-","-","-","-","2","-"
"4300877004","Azaléia - Araricá (RS)","Total","55 a 59 anos","17","1","1","5","4","-","1","-","-","-","-","-","5","-"
"4300877004","Azaléia - Araricá (RS)","Total","60 a 69 anos","19","-","-","6","5","1","1","-","-","-","-","-","6","-"
"4300877004","Azaléia - Araricá (RS)","Total","70 anos ou mais","6","-","-","4","2","-","-","-","-","-","-","-","-","-"
"4300877005","da Estação - Araricá (RS)","Total","10 a 14 anos","23","-","-","-","-","-","-","-","-","-","-","-","23","-"
"4300877005","da Estação - Araricá (RS)","Total","15 a 19 anos","29","1","-","6","7","-","-","-","-","-","-","-","15","-"
"4300877005","da Estação - Araricá (RS)","Total","15 a 17 anos","14","1","-","2","1","-","-","-","-","-","-","-","10","-"
"4300877005","da Estação - Araricá (RS)","Total","18 ou 19 anos","15","-","-","4","6","-","-","-","-","-","-","-","5","-"
"4300877005","da Estação - Araricá (RS)","Total","20 a 24 anos","19","-","-","2","7","1","-","-","-","-","-","-","9","-"
"4300877005","da Estação - Araricá (RS)","Total","25 a 29 anos","25","-","1","5","10","1","-","-","-","-","-","-","8","-"
"4300877005","da Estação - Araricá (RS)","Total","30 a 34 anos","29","-","-","3","10","3","2","2","-","-","-","2","7","-"
"4300877005","da Estação - Araricá (RS)","Total","35 a 39 anos","15","-","-","2","8","1","2","-","-","-","-","-","2","-"
"4300877005","da Estação - Araricá (RS)","Total","40 a 44 anos","28","1","-","4","10","3","1","1","-","-","-","-","8","-"
"4300877005","da Estação - Araricá (RS)","Total","45 a 49 anos","19","-","-","4","5","1","3","-","-","-","-","-","6","-"
"4300877005","da Estação - Araricá (RS)","Total","50 a 54 anos","27","-","-","8","7","3","-","-","-","-","-","-","9","-"
"4300877005","da Estação - Araricá (RS)","Total","55 a 59 anos","14","-","1","3","3","2","-","-","-","-","-","-","5","-"
"4300877005","da Estação - Araricá (RS)","Total","60 a 69 anos","22","-","-","1","1","-","-","-","-","-","-","-","20","-"
"4300877005","da Estação - Araricá (RS)","Total","70 anos ou mais","11","-","-","2","-","-","-","-","-","-","-","-","9","-"
"4300877006","Emancipação - Araricá (RS)","Total","10 a 14 anos","9","-","-","-","-","-","-","-","-","-","-","-","9","-"
"4300877006","Emancipação - Araricá (RS)","Total","15 a 19 anos","3","-","-","2","-","-","-","-","-","-","-","-","1","-"
"4300877006","Emancipação - Araricá (RS)","Total","15 a 17 anos","3","-","-","2","-","-","-","-","-","-","-","-","1","-"
"4300877006","Emancipação - Araricá (RS)","Total","18 ou 19 anos","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4300877006","Emancipação - Araricá (RS)","Total","20 a 24 anos","4","-","-","1","1","1","-","-","-","-","-","-","1","-"
"4300877006","Emancipação - Araricá (RS)","Total","25 a 29 anos","10","-","-","2","3","1","3","-","-","-","-","-","1","-"
"4300877006","Emancipação - Araricá (RS)","Total","30 a 34 anos","5","-","-","1","-","1","1","1","-","-","-","-","1","-"
"4300877006","Emancipação - Araricá (RS)","Total","35 a 39 anos","5","-","-","1","2","-","1","-","-","-","-","-","1","-"
"4300877006","Emancipação - Araricá (RS)","Total","40 a 44 anos","9","-","-","-","3","-","4","1","-","-","-","-","1","-"
"4300877006","Emancipação - Araricá (RS)","Total","45 a 49 anos","5","-","-","-","-","1","2","1","-","-","-","-","1","-"
"4300877006","Emancipação - Araricá (RS)","Total","50 a 54 anos","7","-","-","1","-","2","-","2","-","-","-","-","2","-"
"4300877006","Emancipação - Araricá (RS)","Total","55 a 59 anos","9","-","-","3","4","1","-","-","-","-","-","-","1","-"
"4300877006","Emancipação - Araricá (RS)","Total","60 a 69 anos","8","-","-","5","1","1","-","-","-","-","-","-","1","-"
"4300877006","Emancipação - Araricá (RS)","Total","70 anos ou mais","7","-","-","4","1","1","1","-","-","-","-","-","-","-"
"4300877007","Campo da Brazina - Araricá (RS)","Total","10 a 14 anos","41","-","-","1","1","-","-","-","-","-","-","-","39","-"
"4300877007","Campo da Brazina - Araricá (RS)","Total","15 a 19 anos","35","1","2","8","8","-","-","-","-","-","-","-","16","-"
"4300877007","Campo da Brazina - Araricá (RS)","Total","15 a 17 anos","24","-","1","7","2","-","-","-","-","-","-","-","14","-"
"4300877007","Campo da Brazina - Araricá (RS)","Total","18 ou 19 anos","11","1","1","1","6","-","-","-","-","-","-","-","2","-"
"4300877007","Campo da Brazina - Araricá (RS)","Total","20 a 24 anos","50","-","-","6","35","2","-","-","-","-","-","-","7","-"
