"Tabela 1384 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Universo"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Ano x Classes de rendimento nominal mensal"
"Cód.","Bairro","2010"
"Cód.","Bairro","Total","Até 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento","Sem declaração"
"1100106015","Santo Antônio - Guajará-Mirim (RO)","880","38","99","193","64","11","-","1","474","-"
"1100106016","Jardim das Esmeraldas - Guajará-Mirim (RO)","2851","343","657","333","121","9","1","3","1384","-"
"1100106017","Nossa Senhora Aparecida - Guajará-Mirim (RO)","1532","81","357","245","150","28","1","1","669","-"
"1100122001","Santiago - Ji-Paraná (RO)","2224","97","561","514","219","39","5","2","787","-"
"1100122002","União - Ji-Paraná (RO)","342","12","92","74","28","12","2","3","119","-"
"1100122003","Centro - Ji-Paraná (RO)","1729","20","236","371","342","139","49","9","563","-"
"1100122004","Urupá - Ji-Paraná (RO)","4170","99","625","749","735","469","174","68","1251","-"
"1100122005","Dois de Abril - Ji-Paraná (RO)","2168","46","418","478","350","145","43","8","680","-"
"1100122006","Casa Preta - Ji-Paraná (RO)","3509","87","584","689","628","285","84","25","1127","-"
"1100122007","Dom Bosco - Ji-Paraná (RO)","2715","60","503","545","408","152","39","17","991","-"
"1100122008","São Bernardo - Ji-Paraná (RO)","1115","37","295","250","117","18","3","1","394","-"
"1100122009","Jardim Presidencial - Ji-Paraná (RO)","4578","155","963","1061","580","128","32","9","1650","-"
"1100122010","Parque São Pedro - Ji-Paraná (RO)","2737","145","727","612","294","51","10","1","897","-"
"1100122011","Jardim dos Migrantes - Ji-Paraná (RO)","5234","121","960","1139","917","289","81","22","1705","-"
"1100122012","Nossa Senhora de Fátima - Ji-Paraná (RO)","2725","99","643","654","292","65","13","-","959","-"
"1100122013","Jotão - Ji-Paraná (RO)","899","24","211","200","120","24","5","3","312","-"
"1100122014","Duque de Caxias - Ji-Paraná (RO)","738","30","187","151","45","8","1","-","316","-"
"1100122015","JK - Ji-Paraná (RO)","4390","237","1195","946","297","35","5","1","1674","-"
"1100122016","Jardim das Seringueiras - Ji-Paraná (RO)","1067","83","264","226","72","9","1","-","412","-"
"1100122017","Nova Brasília - Ji-Paraná (RO)","12687","245","2460","2806","2242","685","137","43","4069","-"
"1100122018","Conj. Mário Andreazza - Ji-Paraná (RO)","1429","30","239","291","280","88","22","4","475","-"
"1100122019","Riachuelo - Ji-Paraná (RO)","1837","59","418","409","227","65","13","3","643","-"
"1100122020","Primavera - Ji-Paraná (RO)","3414","181","851","656","277","25","8","1","1415","-"
"1100122021","São Pedro - Ji-Paraná (RO)","2560","111","596","531","246","60","14","8","994","-"
"1100122022","Coronel Jorge T. de Oliveira - Ji-Paraná (RO)","2612","113","589","661","243","43","6","1","956","-"
"1100122023","Valparaíso - Ji-Paraná (RO)","4237","267","974","932","340","39","7","5","1673","-"
"1100122024","Cafezinho - Ji-Paraná (RO)","1962","33","403","448","257","63","19","7","732","-"
"1100122025","Jardim Flórida - Ji-Paraná (RO)","35","5","4","8","4","2","-","-","12","-"
"1100122026","São Francisco - Ji-Paraná (RO)","2801","169","676","644","208","32","3","-","1069","-"
"1100122027","Alto Alegre - Ji-Paraná (RO)","515","26","105","115","48","7","-","-","214","-"
"1100155001","União - Ouro Preto do Oeste (RO)","1393","34","289","279","243","91","15","5","437","-"
"1100155002","Bela Floresta - Ouro Preto do Oeste (RO)","930","33","205","168","146","59","24","11","284","-"
"1100155003","Jardim Bandeirante - Ouro Preto do Oeste (RO)","1548","57","393","320","188","63","12","4","511","-"
"1100155004","Nova Ouro Preto - Ouro Preto do Oeste (RO)","3184","145","836","672","387","89","19","5","1031","-"
"1100155005","Jardim Novo Horizonte - Ouro Preto do Oeste (RO)","2460","266","699","416","155","17","3","1","903","-"
"1100155006","Jardim Novo Estado - Ouro Preto do Oeste (RO)","2165","169","508","525","201","49","6","5","702","-"
"1100155007","Da Liberdade - Ouro Preto do Oeste (RO)","2623","127","648","521","410","119","18","9","771","-"
"1100155008","Alvorada - Ouro Preto do Oeste (RO)","790","32","214","152","90","15","3","1","283","-"
"1100155009","Industrial - Ouro Preto do Oeste (RO)","881","92","264","153","40","1","1","-","330","-"
"1100155010","Jardim Tropical - Ouro Preto do Oeste (RO)","909","18","174","143","190","100","34","6","244","-"
"1100155011","Do Incra - Ouro Preto do Oeste (RO)","620","18","25","223","107","42","14","4","187","-"
"1100155012","Jardim Aeroporto - Ouro Preto do Oeste (RO)","4154","252","1166","915","321","48","13","1","1438","-"
"1100205002","Juscelino Kubitschek - Porto Velho (RO)","8670","233","1746","2260","1097","132","21","7","3174","-"
"1100205003","Flodoaldo Pontes Pinto - Porto Velho (RO)","9157","92","949","1606","1994","1007","311","89","3109","-"
"1100205004","Tiradentes - Porto Velho (RO)","2772","35","359","457","398","153","57","15","1298","-"
"1100205005","Industrial - Porto Velho (RO)","1127","9","96","142","173","165","94","44","404","-"
"1100205006","Nova Porto Velho - Porto Velho (RO)","9969","110","1194","2098","1825","794","317","79","3552","-"
"1100205007","Roque - Porto Velho (RO)","2005","48","402","485","254","53","9","3","751","-"
"1100205008","Liberdade - Porto Velho (RO)","3344","25","392","634","751","350","117","42","1033","-"
"1100205009","São João Bosco - Porto Velho (RO)","5083","34","532","848","1076","644","246","99","1604","-"
"1100205010","São Cristóvão - Porto Velho (RO)","3217","26","391","596","698","388","139","53","926","-"
"1100205011","Nossa Senhora das Graças - Porto Velho (RO)","3238","23","351","570","688","312","145","52","1097","-"
"1100205012","Mato Grosso - Porto Velho (RO)","1903","20","194","522","274","62","17","1","813","-"
"1100205014","Tucumanzal - Porto Velho (RO)","1704","16","211","320","233","38","7","4","875","-"
"1100205015","Olaria - Porto Velho (RO)","3748","24","310","585","764","536","242","141","1146","-"
"1100205016","Agricolândia - Porto Velho (RO)","696","4","74","91","115","81","22","11","298","-"
"1100205017","Centro - Porto Velho (RO)","1957","11","201","428","379","155","46","18","719","-"
"1100205018","Caiari - Porto Velho (RO)","353","-","49","18","103","77","23","3","80","-"
"1100205019","Santa Bárbara - Porto Velho (RO)","1169","26","134","223","198","110","31","10","437","-"
"1100205020","Mocambo - Porto Velho (RO)","802","18","138","169","140","44","8","2","283","-"
"1100205021","Baixa União - Porto Velho (RO)","2193","36","349","366","299","85","18","3","1037","-"
"1100205022","Quilômetro Um - Porto Velho (RO)","473","2","20","107","141","15","11","2","175","-"
"1100205023","Areal - Porto Velho (RO)","5292","59","902","1228","879","266","58","16","1884","-"
"1100205024","Triângulo - Porto Velho (RO)","2237","28","224","439","313","88","15","-","1130","-"
"1100205025","Militar - Porto Velho (RO)","336","1","8","42","52","79","6","-","148","-"
"1100205026","Floresta - Porto Velho (RO)","7323","119","1358","1363","1120","342","94","14","2913","-"
"1100205027","Panair - Porto Velho (RO)","1507","15","129","356","283","134","21","16","553","-"
"1100205030","Pedrinhas - Porto Velho (RO)","3303","41","325","628","666","367","150","39","1087","-"
"1100205031","Embratel - Porto Velho (RO)","9316","107","1170","1785","1930","930","334","100","2960","-"
"1100205032","Tancredo Neves - Porto Velho (RO)","7709","225","1531","1804","1048","200","24","5","2872","-"
"1100205033","Tupi - Porto Velho (RO)","950","13","122","225","151","45","8","-","386","-"
"1100205036","Costa e Silva - Porto Velho (RO)","4739","92","807","1082","677","289","157","84","1551","-"
"1100205037","São Sebastião - Porto Velho (RO)","4943","195","1121","1073","625","123","22","9","1775","-"
"1100205038","Nacional - Porto Velho (RO)","6316","259","1307","1365","580","108","12","2","2683","-"
"1100205039","Lagoa - Porto Velho (RO)","3100","118","486","558","384","193","109","56","1196","-"
"1100205040","Agenor M. de Carvalho - Porto Velho (RO)","10428","147","1387","1964","2247","984","378","109","3212","-"
"1100205041","Rio Madeira - Porto Velho (RO)","3347","22","207","370","640","628","286","123","1071","-"
"1100205042","Eldorado - Porto Velho (RO)","2814","54","398","597","451","153","33","8","1120","-"
"1100205043","Aeroclube - Porto Velho (RO)","1903","44","400","413","282","49","8","-","707","-"
"1100205044","Cohab - Porto Velho (RO)","11220","243","1631","2452","2122","654","111","13","3994","-"
"1100205045","Castanheira - Porto Velho (RO)","11378","467","1798","2722","1849","355","50","11","4126","-"
"1100205046","Caladinho - Porto Velho (RO)","8510","206","1309","2056","1358","284","41","11","3245","-"
"1100205047","Nova Floresta - Porto Velho (RO)","8892","169","1419","1905","1723","506","156","33","2981","-"
"1100205049","Cidade do Lobo - Porto Velho (RO)","3654","170","668","821","480","93","10","5","1407","-"
"1100205050","Eletronorte - Porto Velho (RO)","6181","90","895","1249","1050","369","117","49","2362","-"
"1100205051","Novo Horizonte - Porto Velho (RO)","2916","31","509","506","532","118","17","-","1203","-"
"1100205052","Areia Branca - Porto Velho (RO)","1365","69","288","275","101","9","2","2","619","-"
"1100205053","Cascalheira - Porto Velho (RO)","1858","98","332","455","151","16","3","1","802","-"
"1100205054","Escola de Polícia - Porto Velho (RO)","3456","118","676","805","461","109","14","6","1267","-"
"1100205055","Teixeirão - Porto Velho (RO)","5795","239","1195","1413","531","86","15","-","2316","-"
"1100205056","Planalto - Porto Velho (RO)","1066","18","155","228","205","54","5","-","401","-"
"1100205057","Lagoinha - Porto Velho (RO)","7830","232","1310","1855","1179","253","45","20","2936","-"
"1100205058","Três Marias - Porto Velho (RO)","8711","235","1386","1868","1305","282","67","7","3561","-"
"1100205059","Cuniã - Porto Velho (RO)","5441","92","660","1219","1032","329","81","25","2003","-"
"1100205060","Igarapé - Porto Velho (RO)","9035","250","1624","1893","1437","460","121","22","3228","-"
"1100205061","Aponiã - Porto Velho (RO)","12997","313","1848","2651","2411","973","239","62","4500","-"
"1100205062","Conceição - Porto Velho (RO)","7972","116","1239","1732","1382","333","65","16","3089","-"
"1100288002","Centenário - Rolim de Moura (RO)","2228","137","671","435","219","48","9","3","706","-"
"1100288003","Jardim Tropical - Rolim de Moura (RO)","2493","144","621","583","279","41","7","1","817","-"
"1100288004","São Cristóvão - Rolim de Moura (RO)","3567","178","1051","763","342","53","6","1","1173","-"
"1100288005","Beira Rio - Rolim de Moura (RO)","4279","278","1150","899","443","85","11","9","1404","-"
"1100288006","Olímpico - Rolim de Moura (RO)","2509","188","642","543","210","37","6","1","882","-"
"1100288007","Boa Esperança - Rolim de Moura (RO)","3983","202","986","882","470","96","27","1","1319","-"
"1100288008","Cidade Alta - Rolim de Moura (RO)","3788","366","1061","829","326","57","5","4","1140","-"
"1100288009","Bairro Industrial - Rolim de Moura (RO)","912","50","225","216","105","24","1","2","289","-"
"1100288010","Planalto - Rolim de Moura (RO)","3700","189","955","727","461","121","21","6","1220","-"
"1100288011","Nova Morada - Rolim de Moura (RO)","150","15","53","21","16","2","-","-","43","-"
"1100288012","Centro - Rolim de Moura (RO)","5846","97","1156","1118","1065","413","102","25","1870","-"
"1100288013","Mutirão - Rolim de Moura (RO)","572","94","168","65","15","-","1","-","229","-"
"1100304001","Jardim Eldorado - Vilhena (RO)","5436","116","951","1180","1080","361","94","22","1632","-"
"1100304002","Parque São Paulo - Vilhena (RO)","2897","120","747","652","340","50","10","1","977","-"
"1100304003","Jardim América - Vilhena (RO)","1805","24","256","340","337","152","52","26","618","-"
"1100304004","Alto Alegre - Vilhena (RO)","2807","152","703","626","365","48","9","2","902","-"
"1100304005","Marcos Freire - Vilhena (RO)","1264","53","335","292","119","20","4","-","441","-"
"1100304006","Tancredo Neves - Vilhena (RO)","782","33","170","183","96","22","2","4","272","-"
"1100304007","Nova Esperança - Vilhena (RO)","1577","127","442","365","83","12","1","1","546","-"
"1100320001","Centro - São Miguel do Guaporé (RO)","2209","96","578","424","314","89","17","7","684","-"
"1100320002","Novo Oriente - São Miguel do Guaporé (RO)","799","67","222","165","80","12","1","-","252","-"
"1100320003","Cristo Rei - São Miguel do Guaporé (RO)","1482","97","311","309","175","27","13","3","547","-"
"1100320004","Planalto - São Miguel do Guaporé (RO)","2020","150","581","320","128","19","2","-","820","-"
"1100338001","Centro - Nova Mamoré (RO)","1524","94","400","301","162","50","6","3","508","-"
"1100338002","São José - Nova Mamoré (RO)","906","36","165","141","88","12","1","-","463","-"
"1100338003","Santa Luzia - Nova Mamoré (RO)","872","31","180","162","77","15","-","-","407","-"
"1100338004","Planalto - Nova Mamoré (RO)","1524","157","396","238","47","11","1","-","674","-"
"1100338005","Nossa Senhora de Fátima - Nova Mamoré (RO)","61","4","15","12","10","1","1","-","18","-"
"1100338006","Cidade Nova - Nova Mamoré (RO)","785","79","184","137","50","18","7","-","310","-"
"1100338007","João Clímaco - Nova Mamoré (RO)","1272","90","342","222","137","49","10","2","420","-"
"1101500001","Centro - Seringueiras (RO)","764","57","143","156","119","26","3","5","255","-"
"1101500002","Cristo Rei - Seringueiras (RO)","1034","77","245","175","113","20","2","-","402","-"
"1101500003","São José - Seringueiras (RO)","597","48","142","117","48","10","-","1","231","-"
