"Tabela 1384 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Universo"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Ano x Classes de rendimento nominal mensal"
"Cód.","Bairro","2010"
"Cód.","Bairro","Total","Até 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento","Sem declaração"
"2304400022","Joaquim Távora - Fortaleza (CE)","21376","383","4608","3563","3540","2126","937","275","5944","-"
"2304400023","José Bonifácio - Fortaleza (CE)","8165","91","1621","1453","1525","711","198","51","2515","-"
"2304400024","Meireles - Fortaleza (CE)","34085","194","3129","3340","4630","5935","4490","2727","9640","-"
"2304400025","Monte Castelo - Fortaleza (CE)","11742","305","3069","2206","1421","446","74","15","4206","-"
"2304400026","Mucuripe - Fortaleza (CE)","12357","289","2179","1538","1521","1346","1039","765","3680","-"
"2304400027","Papicu - Fortaleza (CE)","16020","501","3759","1881","1852","1651","755","255","5366","-"
"2304400028","Parque Araxá - Fortaleza (CE)","6141","142","1405","1199","985","403","112","25","1870","-"
"2304400029","Parquelândia - Fortaleza (CE)","13277","176","2392","2132","2310","1056","361","102","4748","-"
"2304400030","Parreão - Fortaleza (CE)","9739","186","1835","1635","1725","914","277","73","3094","-"
"2304400031","Pirambú - Fortaleza (CE)","14910","1241","4908","1710","500","68","14","3","6466","-"
"2304400032","Praia de Iracema - Fortaleza (CE)","2851","46","464","390","477","414","170","67","823","-"
"2304400033","Presidente Kennedy - Fortaleza (CE)","20316","695","5423","3141","2412","1031","267","48","7299","-"
"2304400034","Rodolfo Teófilo - Fortaleza (CE)","17039","494","4224","3065","2381","860","188","45","5782","-"
"2304400035","São João do Tauapé - Fortaleza (CE)","24528","787","6916","3650","2919","1322","420","107","8407","-"
"2304400036","Varjota - Fortaleza (CE)","7702","73","1077","1041","1315","1047","560","217","2372","-"
"2304400037","Vicente Pinzon - Fortaleza (CE)","38475","1852","10956","4574","2348","1257","608","224","16656","-"
"2304400038","Vila Ellery - Fortaleza (CE)","6914","218","1760","1329","855","253","52","9","2438","-"
"2304400039","Vila Velha - Fortaleza (CE)","51952","3089","15280","8184","3894","927","128","25","20425","-"
"2304400040","Antônio Bezerra - Fortaleza (CE)","22520","1134","6588","3736","2109","526","91","12","8324","-"
"2304400041","Autran Nunes - Fortaleza (CE)","17493","1647","5915","2282","558","78","10","4","6999","-"
"2304400042","Conjunto Ceará I - Fortaleza (CE)","16859","549","4401","3627","1965","415","47","5","5850","-"
"2304400043","Dom Lustosa - Fortaleza (CE)","11277","541","3356","1980","1023","237","37","7","4096","-"
"2304400044","Genibau - Fortaleza (CE)","33226","3074","10589","4131","956","120","31","12","14313","-"
"2304400045","Henrique Jorge - Fortaleza (CE)","23325","881","6951","3965","2145","490","81","21","8791","-"
"2304400046","João XXIII - Fortaleza (CE)","15806","858","4902","2541","1065","210","22","4","6204","-"
"2304400047","Padre Andrade (Cachoeirinha) - Fortaleza (CE)","11251","548","3123","1993","1148","332","66","11","4030","-"
"2304400048","Quintino Cunha - Fortaleza (CE)","39781","2508","12226","5862","2207","481","73","20","16404","-"
"2304400049","José de Alencar - Fortaleza (CE)","13710","649","3817","1488","1400","1207","506","172","4471","-"
"2304400050","Ancuri - Fortaleza (CE)","16680","1417","5182","2694","908","126","16","4","6333","-"
"2304400051","Barroso - Fortaleza (CE)","24453","2128","7565","3542","1081","212","28","8","9889","-"
"2304400052","Cajazeiras - Fortaleza (CE)","12240","561","2846","1941","1661","570","133","32","4496","-"
"2304400053","Cambeba - Fortaleza (CE)","6641","80","1250","922","930","678","314","102","2365","-"
"2304400054","Cidade dos Funcionários - Fortaleza (CE)","16292","295","2617","2126","2868","1856","753","243","5534","-"
"2304400055","Coaçu - Fortaleza (CE)","6041","374","1743","1026","429","133","35","12","2289","-"
"2304400056","Curió - Fortaleza (CE)","6602","439","2173","734","304","176","39","7","2730","-"
"2304400057","Edson Queiroz - Fortaleza (CE)","19617","592","4820","2310","1718","1013","492","167","8505","-"
"2304400058","Engenheiro Luciano Cavalcante - Fortaleza (CE)","13517","403","2926","1785","1574","1251","651","272","4655","-"
"2304400059","Guajeru - Fortaleza (CE)","5702","295","1698","792","572","193","34","5","2113","-"
"2304400060","Guarapes - Fortaleza (CE)","4707","57","505","435","590","703","616","381","1420","-"
"2304400061","Jangurussu - Fortaleza (CE)","42457","2454","11578","6823","2604","403","77","11","18507","-"
"2304400062","Jardim das Oliveiras - Fortaleza (CE)","25041","2090","7835","3367","1396","430","129","26","9768","-"
"2304400063","Lagoa Redonda - Fortaleza (CE)","23458","1623","6760","3544","1718","538","149","33","9093","-"
"2304400064","Lagoa Sapiranga (Coité) - Fortaleza (CE)","27054","1373","7919","3113","1671","1256","707","246","10769","-"
"2304400065","Messejana (sede) - Fortaleza (CE)","36589","1582","9848","6632","4020","1205","234","42","13026","-"
"2304400066","Parque Iracema - Fortaleza (CE)","7290","224","1098","1020","1294","971","391","88","2204","-"
"2304400067","Parque Manibura - Fortaleza (CE)","6741","94","1065","941","1039","754","345","116","2387","-"
"2304400068","Paupina - Fortaleza (CE)","12400","983","3729","1983","825","184","35","9","4652","-"
"2304400069","Pedras - Fortaleza (CE)","1129","65","342","201","56","7","2","1","455","-"
"2304400070","Sabiaguaba - Fortaleza (CE)","1799","147","575","211","91","27","22","6","720","-"
"2304400071","Salinas - Fortaleza (CE)","3673","135","736","374","390","405","248","96","1289","-"
"2304400072","Bom Jardim - Fortaleza (CE)","31490","2707","10267","4235","1106","140","16","4","13015","-"
"2304400073","Bonsucesso - Fortaleza (CE)","35152","2400","11148","5580","2115","341","45","13","13510","-"
"2304400074","Canindezinho - Fortaleza (CE)","33853","3006","10810","4217","1018","110","9","9","14674","-"
"2304400075","Conjunto Ceará II - Fortaleza (CE)","20867","656","5128","4505","2487","456","61","10","7564","-"
"2304400076","Conjunto Esperança - Fortaleza (CE)","14161","572","4112","2690","1230","221","25","4","5307","-"
"2304400077","Dendê - Fortaleza (CE)","4729","360","1066","757","446","157","38","14","1891","-"
"2304400078","Granja Lisboa - Fortaleza (CE)","42980","3822","13039","5996","1532","192","22","8","18369","-"
"2304400079","Granja Portugal - Fortaleza (CE)","32729","3067","9714","4316","1125","149","24","8","14326","-"
"2304400080","Jardim Cearense - Fortaleza (CE)","8762","373","2111","1545","1089","421","61","11","3151","-"
"2304400081","Manoel Sátiro - Fortaleza (CE)","32657","1570","9167","6217","2940","536","70","17","12140","-"
"2304400082","Maraponga - Fortaleza (CE)","8831","235","1922","1319","1395","595","143","25","3197","-"
"2304400083","Mondubim (Sede) - Fortaleza (CE)","63744","3624","17552","11029","5024","1153","169","41","25152","-"
"2304400084","Parque Dois Irmãos - Fortaleza (CE)","22974","1018","5333","3988","2435","567","88","14","9531","-"
"2304400085","Parque Presidente Vargas - Fortaleza (CE)","5872","505","1419","907","158","18","1","-","2864","-"
"2304400086","Parque São José - Fortaleza (CE)","8952","652","3062","1476","472","61","6","3","3220","-"
"2304400087","Parque Santa Rosa (Apolo XI) - Fortaleza (CE)","10834","758","3528","1840","591","85","12","4","4016","-"
"2304400088","Passaré - Fortaleza (CE)","42182","2591","10692","6545","4204","1462","285","40","16363","-"
"2304400089","Prefeito José Walter - Fortaleza (CE)","29043","1267","7870","5610","3297","658","101","20","10220","-"
"2304400090","Siqueira - Fortaleza (CE)","27224","2546","8109","3652","869","97","17","7","11927","-"
"2304400091","Aerolândia - Fortaleza (CE)","9886","487","3040","1627","690","145","28","5","3864","-"
"2304400092","Aeroporto (Base Aérea) - Fortaleza (CE)","7206","450","2224","1034","287","124","10","-","3077","-"
"2304400093","Alto da Balança - Fortaleza (CE)","11113","617","3270","1806","953","189","22","5","4251","-"
"2304400094","Bela Vista - Fortaleza (CE)","14547","534","4023","2258","1608","510","85","15","5514","-"
"2304400095","Castelão - Fortaleza (CE)","4936","294","1597","731","297","112","20","5","1880","-"
"2304400096","Couto Fernades - Fortaleza (CE)","4512","203","1407","514","447","181","30","5","1725","-"
"2304400097","Demócrito Rocha - Fortaleza (CE)","9634","363","2848","1623","853","192","34","8","3713","-"
"2304400098","Dias Macedo - Fortaleza (CE)","10461","600","3208","1650","631","147","24","4","4197","-"
"2304400099","Itaóca - Fortaleza (CE)","10961","430","3328","2056","1063","324","43","6","3711","-"
"2304400100","Itaperi - Fortaleza (CE)","19610","687","4454","3929","2885","907","190","46","6512","-"
"2304400101","Jóquei Club (São Cristóvão) - Fortaleza (CE)","17070","566","4513","3075","2063","657","127","34","6035","-"
"2304400102","Mata Galinha - Fortaleza (CE)","5314","230","1436","895","600","200","39","7","1907","-"
"2304400103","Montese - Fortaleza (CE)","23014","655","5977","3905","3267","1193","277","46","7694","-"
"2304400104","Pan-Americano - Fortaleza (CE)","7652","255","2018","1310","852","193","23","1","3000","-"
"2304400105","Parangaba - Fortaleza (CE)","27315","911","6935","4751","3892","1357","249","52","9168","-"
"2304400106","Pici (Parque Universitário) - Fortaleza (CE)","35791","2301","11232","4833","1555","421","115","34","15300","-"
"2304400107","Serrinha - Fortaleza (CE)","24542","1291","7770","3879","1827","465","88","24","9198","-"
"2304400108","Vila Pery - Fortaleza (CE)","18123","693","5564","3363","1507","301","42","10","6643","-"
"2304400109","Vila União - Fortaleza (CE)","13479","388","3279","2196","1742","838","260","63","4713","-"
"2304400110","Cais do Porto - Fortaleza (CE)","18661","1514","5745","2564","689","156","40","22","7931","-"
"2304400111","Cidade 2000 - Fortaleza (CE)","7485","118","1641","1589","1452","481","103","30","2071","-"
"2304400112","Manuel Dias Branco - Fortaleza (CE)","1223","79","275","92","85","121","47","15","509","-"
"2304400113","Praia do Futuro I - Fortaleza (CE)","5397","339","1494","515","395","217","125","56","2256","-"
"2304400114","Praia do Futuro II - Fortaleza (CE)","9675","882","3151","1307","418","132","63","15","3707","-"
"2304400115","De Lourdes - Fortaleza (CE)","2954","42","339","258","294","429","411","208","973","-"
"2304400116","Planalto Ayrton Senna - Fortaleza (CE)","32561","2549","9913","4816","1254","207","28","13","13781","-"
"2304400117","Gentilândia - Fortaleza (CE)","3722","25","646","576","720","458","139","26","1132","-"
"2304400118","Conjunto Palmeiras - Fortaleza (CE)","30626","2272","8264","2792","507","36","4","2","16749","-"
"2304400119","São Bento - Fortaleza (CE)","9793","875","2938","1528","546","129","24","5","3748","-"
"2304608001","São José - General Sampaio (CE)","651","162","193","35","5","1","-","-","255","-"
"2304608002","Nossa Senhora das Graças - General Sampaio (CE)","871","114","269","85","39","7","3","2","352","-"
"2304608003","Sagrado Coração de Jesus - General Sampaio (CE)","685","105","252","53","27","9","-","-","239","-"
"2304608004","Nossa Senhora do Rosário - General Sampaio (CE)","759","144","210","41","21","4","1","-","338","-"
"2304806001","Centro - Granjeiro (CE)","264","53","79","25","12","1","1","-","93","-"
"2304806002","Joaquim Ferreira - Granjeiro (CE)","576","134","151","56","15","4","-","-","216","-"
"2304806003","Salomé - Granjeiro (CE)","190","32","69","20","10","3","-","-","56","-"
"2304806004","Miguel Saraiva - Granjeiro (CE)","133","41","28","8","4","-","-","-","52","-"
"2304905001","Padre Mororó - Groaíras (CE)","33","7","5","4","2","1","1","-","13","-"
"2304905002","Centro - Groaíras (CE)","2092","224","707","280","170","32","4","1","674","-"
"2304905003","Paulo Malaquias - Groaíras (CE)","1319","251","397","102","56","8","3","-","502","-"
"2304905004","José Cassiano - Groaíras (CE)","413","113","121","23","6","-","-","-","150","-"
"2304905005","Capitão José Linhares - Groaíras (CE)","1085","258","368","62","29","2","-","-","366","-"
"2304905006","Chico Jerônimo - Groaíras (CE)","711","186","207","27","6","2","-","-","283","-"
"2304954001","Centro - Guaiúba (CE)","416","15","110","88","43","12","1","3","144","-"
"2304954002","Miguel de Sousa Martins - Guaiúba (CE)","502","64","193","22","4","1","-","-","218","-"
"2304954003","Pinheiro - Guaiúba (CE)","1248","91","417","110","37","12","4","-","577","-"
"2304954004","Helder Eduardo Bezerra - Guaiúba (CE)","113","2","45","1","-","-","-","-","65","-"
"2304954005","Dezessete de Março - Guaiúba (CE)","1370","186","470","114","16","4","-","-","580","-"
"2304954006","Francisco de Goes - Guaiúba (CE)","3299","442","1060","156","27","1","-","-","1613","-"
"2304954007","São José - Guaiúba (CE)","786","98","222","39","2","-","-","-","425","-"
"2304954008","Maria de Jesus - Guaiúba (CE)","509","49","140","57","16","2","-","-","245","-"
"2304954009","Accioly - Guaiúba (CE)","841","128","266","54","22","3","-","-","368","-"
"2305209001","Centro - Hidrolândia (CE)","1374","167","506","152","78","28","2","3","438","-"
"2305209002","Nova Hidrolândia - Hidrolândia (CE)","974","256","293","70","11","1","-","-","343","-"
"2305209003","Professora Mirian Ferreira - Hidrolândia (CE)","464","122","141","40","8","1","-","-","152","-"
"2305209004","Beira Rio - Hidrolândia (CE)","758","170","243","65","11","5","-","-","264","-"
"2305209005","Progresso - Hidrolândia (CE)","1012","261","287","72","29","2","-","-","361","-"
"2305209006","Marinho - Hidrolândia (CE)","1083","265","311","54","17","9","6","-","421","-"
"2305209007","Mororó - Hidrolândia (CE)","1440","231","498","125","57","3","-","-","526","-"
"2305266001","Alto da Bela Vista - Ibaretama (CE)","148","23","33","8","3","-","-","-","81","-"
"2305266002","Campo Velho - Ibaretama (CE)","498","122","142","36","3","3","-","-","192","-"
"2305266003","Centro - Ibaretama (CE)","704","114","219","68","35","4","-","-","264","-"
"2305266004","Nova Ibaretama - Ibaretama (CE)","83","18","21","10","1","-","-","-","33","-"
"2305266005","Nossa Senhora Auxiliadora - Ibaretama (CE)","79","17","17","5","1","1","-","1","37","-"
"2305266006","Raimunda Emilia - Ibaretama (CE)","387","83","103","25","7","1","-","-","168","-"
"2305308001","Centro - Ibiapina (CE)","1276","122","411","196","105","34","3","1","404","-"
"2305308002","José Avelino Portela - Ibiapina (CE)","1398","197","467","177","82","21","7","4","443","-"
"2305308003","Francisco Custodio de Azevedo - Ibiapina (CE)","1312","399","440","55","5","3","-","-","410","-"
"2305308004","São João - Ibiapina (CE)","2248","419","527","355","104","22","2","-","819","-"
"2305308005","Raimundo Linhares - Ibiapina (CE)","620","152","190","53","13","2","-","-","210","-"
"2305308006","Padre Pontes - Ibiapina (CE)","442","74","93","87","33","5","3","1","146","-"
"2305308007","Vicente Aragão - Ibiapina (CE)","395","133","108","18","3","2","-","-","131","-"
"2305506001","Alto do Jucá - Iguatu (CE)","3892","522","1267","446","170","34","2","1","1450","-"
"2305506002","Areias I - Iguatu (CE)","2279","187","730","264","184","53","8","2","851","-"
"2305506003","Areias II - Iguatu (CE)","2523","308","847","281","155","23","5","1","903","-"
"2305506004","Bastiana - Iguatu (CE)","4131","693","1381","497","175","47","5","6","1327","-"
"2305506005","Bugi - Iguatu (CE)","752","19","84","62","108","99","60","37","283","-"
"2305506006","Cajazeiras - Iguatu (CE)","1335","219","450","180","44","14","4","3","421","-"
"2305506007","Centro - Iguatu (CE)","1913","73","547","293","262","125","25","7","581","-"
"2305506008","Cerâmica - Iguatu (CE)","345","70","120","24","3","1","1","-","126","-"
"2305506009","Cocobó - Iguatu (CE)","2875","324","964","334","210","48","9","3","983","-"
"2305506010","Cohab - Iguatu (CE)","3166","262","1099","425","220","33","1","1","1125","-"
"2305506011","Chapadinha - Iguatu (CE)","730","133","140","26","5","-","-","-","426","-"
"2305506012","Conjunto Industrial - Iguatu (CE)","476","56","190","45","22","4","-","-","159","-"
"2305506013","Das Flores - Iguatu (CE)","1867","194","631","267","159","40","8","1","567","-"
"2305506014","Esplanada I - Iguatu (CE)","1347","180","463","160","92","17","5","1","429","-"
"2305506015","Esplanada II - Iguatu (CE)","1956","237","581","224","160","64","16","9","665","-"
"2305506016","Jardim Iguatu - Iguatu (CE)","1891","147","607","306","172","50","9","2","598","-"
"2305506017","João Paulo - Iguatu (CE)","2984","557","1153","229","53","4","1","-","987","-"
"2305506018","Planalto - Iguatu (CE)","919","60","237","77","88","69","25","6","357","-"
"2305506019","Poço Comprido - Iguatu (CE)","101","8","34","8","4","-","1","-","46","-"
"2305506020","Prado - Iguatu (CE)","1726","225","569","190","114","28","6","1","593","-"
"2305506021","São Sebastião - Iguatu (CE)","752","30","160","118","132","57","22","8","225","-"
"2305506022","Sete de Setembro - Iguatu (CE)","1794","195","614","205","144","35","9","2","590","-"
"2305506023","Taboleiro - Iguatu (CE)","1896","123","609","231","122","33","8","5","765","-"
"2305506024","Veneza - Iguatu (CE)","3125","246","927","466","377","102","18","2","987","-"
"2305506025","Vila Brasília - Iguatu (CE)","1742","160","635","188","93","35","9","2","620","-"
"2305506026","Vila Centenário - Iguatu (CE)","2102","307","891","237","47","5","-","1","614","-"
"2305506027","Vila Cidão - Iguatu (CE)","457","33","169","60","34","4","-","-","157","-"
"2305506028","Vila Moura - Iguatu (CE)","1959","428","665","158","12","5","-","-","691","-"
"2305506029","Vila Neuma - Iguatu (CE)","1501","380","520","107","12","-","1","-","481","-"
"2305506030","Vila Santo Antônio - Iguatu (CE)","2830","350","1077","273","101","28","3","1","997","-"
"2305506031","Paraná - Iguatu (CE)","1876","158","705","236","119","27","6","2","623","-"
"2305605001","Boa Esperança - Independência (CE)","959","235","209","68","20","5","1","1","420","-"
"2305605002","Centro - Independência (CE)","1443","134","401","183","150","50","11","4","510","-"
"2305605003","Cohab I - Independência (CE)","1898","403","577","92","23","3","2","-","798","-"
"2305605004","Cohab II - Independência (CE)","674","221","180","28","7","2","-","-","236","-"
"2305605005","Liberdade - Independência (CE)","1115","153","396","97","61","11","3","-","394","-"
"2305605006","Liberdade II - Independência (CE)","328","40","117","32","11","8","1","-","119","-"
"2305605007","Pelo Sinal - Independência (CE)","333","95","103","18","4","2","-","-","111","-"
"2305605008","Placa - Independência (CE)","977","160","292","95","37","11","2","-","380","-"
"2305605009","São Vicente - Independência (CE)","1208","193","394","114","50","8","2","-","447","-"
"2305654001","Centro - Ipaporanga (CE)","860","152","276","61","37","5","2","-","327","-"
"2305654002","Águas Belas - Ipaporanga (CE)","545","108","201","29","15","1","-","1","190","-"
"2305654003","Alto do Bom Princípio - Ipaporanga (CE)","238","42","70","25","12","2","-","1","86","-"
"2305654004","Central - Ipaporanga (CE)","1413","337","389","74","22","1","-","-","590","-"
"2305654005","São José - Ipaporanga (CE)","226","65","42","6","-","-","-","-","113","-"
"2305803001","Aldeota - Ipu (CE)","1017","159","269","67","49","15","5","1","452","-"
"2305803002","Alto dos Quatorze - Ipu (CE)","1265","313","411","101","22","5","2","-","411","-"
"2305803003","Boa Vista - Ipu (CE)","5400","1199","1756","480","130","26","4","1","1804","-"
"2305803004","Berguedorf - Ipu (CE)","296","97","69","16","3","4","-","1","106","-"
"2305803005","Cafute - Ipu (CE)","670","172","210","47","14","5","-","-","222","-"
"2305803006","Canudos - Ipu (CE)","1336","285","404","121","64","18","-","-","444","-"
"2305803007","Centro - Ipu (CE)","3629","339","1066","493","406","140","34","20","1131","-"
"2305803008","Escondido - Ipu (CE)","685","192","224","24","3","3","1","1","237","-"
"2305803009","Macaco - Ipu (CE)","328","79","81","18","3","2","2","-","143","-"
"2305803010","Mina - Ipu (CE)","989","308","265","54","4","1","-","-","357","-"
"2305803011","Pedrinhas - Ipu (CE)","698","226","162","23","2","-","-","-","285","-"
"2305803012","Pereiros - Ipu (CE)","1932","485","506","61","11","1","1","-","867","-"
"2305803013","Reino de França - Ipu (CE)","461","81","139","47","33","11","1","-","149","-"
"2306009001","Centro - Iracema (CE)","2073","233","695","285","173","52","13","6","616","-"
"2306009002","Beira Rio - Iracema (CE)","535","99","167","44","16","2","-","-","207","-"
"2306009003","Pedra Bola - Iracema (CE)","375","92","106","36","5","-","-","-","136","-"
"2306009004","Jatobá - Iracema (CE)","1254","216","354","59","19","4","-","-","602","-"
"2306009005","Da Paz - Iracema (CE)","359","72","102","45","21","2","-","-","117","-"
"2306009006","Holandino - Iracema (CE)","875","186","222","67","17","5","-","-","378","-"
"2306009007","São José - Iracema (CE)","623","91","171","41","9","1","2","-","308","-"
"2306009008","Caixa D'Água - Iracema (CE)","925","263","281","67","12","4","-","-","298","-"
"2306256001","Centro - Itaitinga (CE)","1360","136","517","127","32","6","1","-","541","-"
"2306256002","Genezaré - Itaitinga (CE)","1942","172","590","67","14","3","-","-","1096","-"
"2306256003","Angorá - Itaitinga (CE)","1223","105","375","124","41","5","2","1","570","-"
"2306256004","Vila Machado - Itaitinga (CE)","1996","90","381","92","21","2","-","-","1410","-"
"2306256005","Ponta da Serra - Itaitinga (CE)","1030","216","355","65","23","3","1","-","367","-"
"2306256006","Santo Antônio - Itaitinga (CE)","709","54","237","39","13","2","-","-","364","-"
"2306256007","Antônio Miguel - Itaitinga (CE)","5052","427","1594","720","288","37","4","-","1982","-"
"2306256008","Riachão - Itaitinga (CE)","1162","110","338","114","44","9","1","1","545","-"
"2306256009","Ancuri - Itaitinga (CE)","6478","555","2210","467","128","25","5","1","3087","-"
"2306256010","Barrocão - Itaitinga (CE)","908","58","350","116","29","5","-","-","350","-"
"2306256011","Caracanga - Itaitinga (CE)","803","115","288","56","10","2","-","-","332","-"
"2306256012","Carapió - Itaitinga (CE)","558","26","172","50","8","1","1","-","300","-"
"2306256013","Gereraú - Itaitinga (CE)","599","124","165","23","1","-","-","-","286","-"
"2306256014","Jabuti - Itaitinga (CE)","653","24","227","31","4","1","-","-","366","-"
"2306256015","Jibóia - Itaitinga (CE)","885","129","289","41","14","1","1","-","410","-"
"2306256016","Laje dos Gatos - Itaitinga (CE)","1567","66","360","67","19","5","1","-","1049","-"
"2306256017","Ocupação - Itaitinga (CE)","1868","217","640","193","40","2","-","-","776","-"
"2306256018","Pedras - Itaitinga (CE)","512","68","187","19","3","1","-","-","234","-"
"2306256019","Vila Nova - Itaitinga (CE)","431","35","137","16","8","2","1","-","232","-"
"2306405001","Alto Alegre - Itapipoca (CE)","1677","274","493","116","41","11","7","4","731","-"
"2306405002","Área Nobre - Itapipoca (CE)","1313","177","345","150","99","23","4","2","513","-"
"2306405003","Boa Vista - Itapipoca (CE)","1166","106","337","131","122","39","9","3","419","-"
"2306405004","Cacimbas - Itapipoca (CE)","3778","582","1072","318","88","15","-","1","1702","-"
"2306405005","Centro - Itapipoca (CE)","1850","94","435","273","263","99","22","7","657","-"
"2306405006","Coqueiro - Itapipoca (CE)","1796","107","431","263","227","97","16","9","646","-"
"2306405007","Cruzeiro - Itapipoca (CE)","5523","858","1704","379","166","21","5","2","2388","-"
"2306405008","Estação - Itapipoca (CE)","1319","213","392","135","39","5","1","-","534","-"
"2306405009","Fazendinha - Itapipoca (CE)","1261","68","354","163","112","35","7","3","519","-"
"2306405010","Das Flores - Itapipoca (CE)","2125","410","555","90","10","2","-","-","1058","-"
"2306405011","Julho - Itapipoca (CE)","323","57","91","31","17","6","-","1","120","-"
"2306405012","Ladeira - Itapipoca (CE)","3859","717","1164","243","47","8","3","-","1677","-"
"2306405013","Madalenas - Itapipoca (CE)","1032","116","301","122","82","21","9","2","379","-"
"2306405014","Maranhão - Itapipoca (CE)","1329","279","358","83","34","1","-","-","574","-"
"2306405015","Mourão - Itapipoca (CE)","1393","308","414","82","18","1","-","-","570","-"
"2306405016","Nova Aldeota - Itapipoca (CE)","2795","504","766","159","32","7","-","1","1326","-"
"2306405017","Picos - Itapipoca (CE)","1801","293","556","120","52","8","-","1","771","-"
"2306405018","São Francisco - Itapipoca (CE)","1743","238","530","208","82","10","1","-","674","-"
"2306405019","São Sebastião - Itapipoca (CE)","932","44","213","141","146","54","14","7","313","-"
"2306405020","Senharão - Itapipoca (CE)","1227","140","360","135","83","24","3","2","480","-"
"2306405021","Urbano Teixeira - Itapipoca (CE)","3399","648","932","255","96","10","2","1","1455","-"
"2306405022","Violete - Itapipoca (CE)","4761","572","1589","378","168","17","1","1","2035","-"
"2306603001","Centro - Itatira (CE)","1673","351","381","108","47","5","2","-","779","-"
"2306702001","Centro - Jaguaretama (CE)","1660","185","527","190","113","41","11","3","590","-"
"2306702002","Padre Sebastião Marleno - Jaguaretama (CE)","2803","644","742","111","34","6","2","1","1263","-"
"2306702003","Beira Rio - Jaguaretama (CE)","228","29","73","30","7","1","-","-","88","-"
"2306702004","Nossa Senhora da Conceição - Jaguaretama (CE)","1182","211","346","69","15","3","-","1","537","-"
"2306702005","Jaime Costa Pinheiro - Jaguaretama (CE)","1307","288","414","83","21","2","1","1","497","-"
"2306900001","Centro - Jaguaribe (CE)","4974","452","1571","607","435","137","25","9","1738","-"
"2306900002","Aloísio Diógenes - Jaguaribe (CE)","2675","472","857","224","92","19","3","1","1007","-"
"2306900003","Celso Barreira Filho - Jaguaribe (CE)","3808","860","1232","275","85","13","3","-","1340","-"
"2306900004","Luiz Pinto - Jaguaribe (CE)","1133","168","360","83","56","12","5","1","448","-"
"2306900005","Antônio Duarte - Jaguaribe (CE)","3442","639","1053","166","31","8","-","-","1545","-"
"2307106001","Centro - Jardim (CE)","855","143","243","73","46","25","4","-","321","-"
"2307106002","João Pereira de Sousa - Jardim (CE)","681","101","208","71","36","7","1","-","257","-"
"2307106003","Urias Novais - Jardim (CE)","874","123","283","77","24","6","2","-","359","-"
"2307106004","Olavo Napoleão de Araújo - Jardim (CE)","225","69","48","9","2","2","-","-","95","-"
"2307106005","Bela Vista - Jardim (CE)","48","15","8","4","1","-","-","-","20","-"
"2307106006","Décio Sampaio Couto - Jardim (CE)","218","77","61","9","7","-","-","-","64","-"
"2307106007","Nossa Senhora de Fátima - Jardim (CE)","953","222","273","69","32","6","1","-","350","-"
"2307106008","Clodoaldo Xavier Sampaio - Jardim (CE)","589","88","159","55","40","10","-","-","237","-"
"2307106009","Lourival Gondim - Jardim (CE)","271","40","81","30","14","1","-","-","105","-"
"2307106010","José Franco Neves (Zé Neves) - Jardim (CE)","514","56","163","67","33","8","1","1","185","-"
"2307106011","João Neves da Luz (João da Luz) - Jardim (CE)","433","76","122","44","25","10","2","-","154","-"
"2307106012","Santa Terezinha - Jardim (CE)","523","55","180","77","42","8","-","-","161","-"
"2307106013","Otoni de Sá Roriz - Jardim (CE)","540","143","125","24","8","1","-","-","239","-"
"2307106014","Frei Damião - Jardim (CE)","..","X","X","X","X","X","X","X","X","X"
"2307205001","Centro - Jati (CE)","1399","254","375","168","101","30","11","2","458","-"
"2307205002","Matulão - Jati (CE)","196","61","49","10","2","-","-","-","74","-"
"2307205003","Bela Vista - Jati (CE)","1254","277","263","177","35","1","2","-","499","-"
"2307205004","Portal de Santana - Jati (CE)","90","36","21","8","-","-","-","-","25","-"
"2307304001","Centro - Juazeiro do Norte (CE)","5240","183","1346","809","779","285","109","28","1701","-"
"2307304002","Juvêncio Santana - Juazeiro do Norte (CE)","3658","347","1209","448","149","40","7","1","1457","-"
"2307304003","São Miguel - Juazeiro do Norte (CE)","7408","463","2348","931","728","230","37","9","2662","-"
"2307304004","Carité - Juazeiro do Norte (CE)","746","164","237","59","14","1","1","-","270","-"
"2307304005","Fátima - Juazeiro do Norte (CE)","3215","287","1135","373","160","60","12","3","1185","-"
"2307304006","Pedrinhas - Juazeiro do Norte (CE)","7299","1299","2244","575","136","21","1","1","3022","-"
"2307304007","Aeroporto - Juazeiro do Norte (CE)","907","34","239","49","55","46","15","11","458","-"
"2307304008","Brejo Seco - Juazeiro do Norte (CE)","730","127","216","37","25","12","4","-","309","-"
"2307304009","Betolândia - Juazeiro do Norte (CE)","1682","210","501","209","141","37","8","2","574","-"
"2307304010","Novo Juazeiro - Juazeiro do Norte (CE)","2959","127","819","437","353","121","21","4","1077","-"
