"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"1100098003","Morada do Sol - Espigão D'Oeste (RO)","Total","Total","476","49","113","116","123","50","14","8","1","-","1","-","1","-","-"
"1100098004","Caixa D'água - Espigão D'Oeste (RO)","Total","Total","771","83","187","216","176","74","21","8","4","2","-","-","-","-","-"
"1100098005","Liberdade - Espigão D'Oeste (RO)","Total","Total","496","60","126","112","125","42","17","11","3","-","-","-","-","-","-"
"1100098006","Jorge Teixeira de Oliveira - Espigão D'Oeste (RO)","Total","Total","566","58","129","125","122","74","32","11","10","2","2","-","-","-","1"
"1100098007","Vista Alegre - Espigão D'Oeste (RO)","Total","Total","905","82","192","259","237","96","27","6","4","2","-","-","-","-","-"
"1100098008","Novo Horizonte - Espigão D'Oeste (RO)","Total","Total","239","16","55","72","57","20","11","3","3","1","-","-","-","1","-"
"1100098009","Cidade Alta - Espigão D'Oeste (RO)","Total","Total","286","31","60","77","64","34","9","6","1","2","1","1","-","-","-"
"1100106001","Triângulo - Guajará-Mirim (RO)","Total","Total","233","23","39","33","37","30","28","12","13","5","5","2","2","2","2"
"1100106002","Centro - Guajará-Mirim (RO)","Total","Total","563","111","142","117","101","48","20","13","6","3","1","1","-","-","-"
"1100106003","Cristo Rey - Guajará-Mirim (RO)","Total","Total","251","37","43","58","53","28","10","11","3","3","-","4","-","1","-"
"1100106005","Tamandaré - Guajará-Mirim (RO)","Total","Total","969","136","217","209","180","126","44","22","14","8","4","2","4","-","3"
"1100106006","São José - Guajará-Mirim (RO)","Total","Total","463","47","92","92","98","61","36","14","8","9","3","1","1","1","-"
"1100106007","Santa Luzia - Guajará-Mirim (RO)","Total","Total","1017","80","177","217","215","143","87","58","18","14","2","2","2","-","2"
"1100106008","Dez de Abril - Guajará-Mirim (RO)","Total","Total","651","79","137","157","130","85","41","10","3","8","1","-","-","-","-"
"1100106009","Caetano - Guajará-Mirim (RO)","Total","Total","529","47","98","147","124","67","30","7","4","2","1","2","-","-","-"
"1100106010","Liberdade - Guajará-Mirim (RO)","Total","Total","721","72","155","168","148","106","42","17","7","5","1","-","-","-","-"
"1100106011","Fátima - Guajará-Mirim (RO)","Total","Total","674","71","128","144","138","101","41","27","15","3","4","1","-","-","1"
"1100106012","Próspero - Guajará-Mirim (RO)","Total","Total","710","54","116","139","141","118","61","37","23","14","4","1","2","-","-"
"1100106014","Serraria - Guajará-Mirim (RO)","Total","Total","653","82","142","155","123","68","42","19","11","3","2","4","1","-","1"
"1100106015","Santo Antônio - Guajará-Mirim (RO)","Total","Total","282","33","38","65","55","38","22","11","11","3","3","2","-","-","1"
"1100106016","Jardim das Esmeraldas - Guajará-Mirim (RO)","Total","Total","926","100","139","182","159","135","90","50","44","13","6","5","-","1","2"
"1100106017","Nossa Senhora Aparecida - Guajará-Mirim (RO)","Total","Total","527","32","91","139","125","56","50","15","7","6","3","2","1","-","-"
"1100122001","Santiago - Ji-Paraná (RO)","Total","Total","796","79","175","189","204","86","40","14","5","1","1","1","1","-","-"
"1100122002","União - Ji-Paraná (RO)","Total","Total","130","21","32","26","30","12","4","2","2","-","1","-","-","-","-"
"1100122003","Centro - Ji-Paraná (RO)","Total","Total","683","153","184","151","118","53","13","7","1","-","1","1","1","-","-"
"1100122004","Urupá - Ji-Paraná (RO)","Total","Total","1550","198","365","408","366","133","54","13","10","1","2","-","-","-","-"
"1100122005","Dois de Abril - Ji-Paraná (RO)","Total","Total","841","155","206","206","158","81","17","10","4","2","1","-","1","-","-"
"1100122006","Casa Preta - Ji-Paraná (RO)","Total","Total","1320","213","330","309","260","137","39","16","8","3","1","-","1","2","1"
"1100122007","Dom Bosco - Ji-Paraná (RO)","Total","Total","973","86","233","237","261","106","30","10","6","2","1","-","1","-","-"
"1100122008","São Bernardo - Ji-Paraná (RO)","Total","Total","411","46","83","117","88","47","15","8","5","1","1","-","-","-","-"
"1100122009","Jardim Presidencial - Ji-Paraná (RO)","Total","Total","1645","137","389","442","391","178","61","28","11","3","4","-","1","-","-"
"1100122010","Parque São Pedro - Ji-Paraná (RO)","Total","Total","982","88","212","258","232","117","52","13","3","2","4","1","-","-","-"
"1100122011","Jardim dos Migrantes - Ji-Paraná (RO)","Total","Total","1830","175","417","458","442","218","79","28","6","1","1","-","4","-","1"
"1100122012","Nossa Senhora de Fátima - Ji-Paraná (RO)","Total","Total","1008","120","207","257","243","120","38","10","7","3","1","1","-","-","1"
"1100122013","Jotão - Ji-Paraná (RO)","Total","Total","340","70","72","66","71","33","23","4","1","-","-","-","-","-","-"
"1100122014","Duque de Caxias - Ji-Paraná (RO)","Total","Total","254","33","41","59","56","31","21","9","1","-","1","-","1","-","1"
"1100122015","JK - Ji-Paraná (RO)","Total","Total","1596","151","364","403","353","189","86","36","6","4","3","-","-","1","-"
"1100122016","Jardim das Seringueiras - Ji-Paraná (RO)","Total","Total","367","36","68","82","89","45","25","12","4","2","-","2","1","-","1"
"1100122017","Nova Brasília - Ji-Paraná (RO)","Total","Total","4811","718","1157","1216","1038","430","154","59","26","7","3","1","1","1","-"
"1100122018","Conj. Mário Andreazza - Ji-Paraná (RO)","Total","Total","509","48","103","138","138","52","21","6","1","1","1","-","-","-","-"
"1100122019","Riachuelo - Ji-Paraná (RO)","Total","Total","641","58","137","158","164","82","26","7","7","-","2","-","-","-","-"
"1100122020","Primavera - Ji-Paraná (RO)","Total","Total","1289","186","246","324","278","145","56","28","15","6","2","2","1","-","-"
"1100122021","São Pedro - Ji-Paraná (RO)","Total","Total","922","88","193","246","229","105","38","10","8","3","2","-","-","-","-"
"1100122022","Coronel Jorge T. de Oliveira - Ji-Paraná (RO)","Total","Total","1001","105","217","277","239","117","25","14","6","-","1","-","-","-","-"
"1100122023","Valparaíso - Ji-Paraná (RO)","Total","Total","1535","132","307","411","385","195","67","22","13","3","-","-","-","-","-"
"1100122024","Cafezinho - Ji-Paraná (RO)","Total","Total","743","111","160","188","162","84","20","13","4","-","1","-","-","-","-"
"1100122025","Jardim Flórida - Ji-Paraná (RO)","Total","Total","14","3","1","5","1","4","-","-","-","-","-","-","-","-","-"
"1100122026","São Francisco - Ji-Paraná (RO)","Total","Total","998","88","199","254","235","126","51","25","14","5","1","-","-","-","-"
"1100122027","Alto Alegre - Ji-Paraná (RO)","Total","Total","188","23","40","44","41","27","12","-","1","-","-","-","-","-","-"
"1100155001","União - Ouro Preto do Oeste (RO)","Total","Total","526","53","134","152","120","45","15","5","1","1","-","-","-","-","-"
