"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2600054001","Alto da Bela Vista - Abreu e Lima (PE)","Total","10 a 14 anos","134","1","-","-","1","-","-","-","-","-","-","-","132","-"
"2600054001","Alto da Bela Vista - Abreu e Lima (PE)","Total","15 a 19 anos","133","3","5","13","3","-","-","-","-","-","-","-","109","-"
"2600054001","Alto da Bela Vista - Abreu e Lima (PE)","Total","15 a 17 anos","84","2","2","4","-","-","-","-","-","-","-","-","76","-"
"2600054001","Alto da Bela Vista - Abreu e Lima (PE)","Total","18 ou 19 anos","49","1","3","9","3","-","-","-","-","-","-","-","33","-"
"2600054001","Alto da Bela Vista - Abreu e Lima (PE)","Total","20 a 24 anos","156","3","4","45","21","3","4","-","-","-","-","-","76","-"
"2600054001","Alto da Bela Vista - Abreu e Lima (PE)","Total","25 a 29 anos","147","1","6","42","31","5","-","-","-","-","-","-","62","-"
"2600054001","Alto da Bela Vista - Abreu e Lima (PE)","Total","30 a 34 anos","129","1","-","39","26","3","5","2","-","-","-","-","53","-"
"2600054001","Alto da Bela Vista - Abreu e Lima (PE)","Total","35 a 39 anos","121","1","3","38","29","8","5","1","1","-","-","-","35","-"
"2600054001","Alto da Bela Vista - Abreu e Lima (PE)","Total","40 a 44 anos","118","1","4","27","27","4","2","4","2","-","-","1","46","-"
