"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4200200001","Centro - Agrolândia (SC)","Total","10 a 14 anos","263","-","11","2","2","2","-","-","-","-","-","-","246","-"
"4200200001","Centro - Agrolândia (SC)","Total","15 a 19 anos","282","1","6","34","103","5","2","-","-","-","-","-","131","-"
"4200200001","Centro - Agrolândia (SC)","Total","15 a 17 anos","156","1","6","10","31","-","-","-","-","-","-","-","108","-"
"4200200001","Centro - Agrolândia (SC)","Total","18 ou 19 anos","126","-","-","24","72","5","2","-","-","-","-","-","23","-"
"4200200001","Centro - Agrolândia (SC)","Total","20 a 24 anos","274","1","1","40","137","37","17","1","-","-","-","-","40","-"
"4200200001","Centro - Agrolândia (SC)","Total","25 a 29 anos","290","1","2","22","118","66","40","16","-","1","-","-","24","-"
"4200200001","Centro - Agrolândia (SC)","Total","30 a 34 anos","254","2","1","25","94","58","40","12","-","-","-","-","22","-"
"4200200001","Centro - Agrolândia (SC)","Total","35 a 39 anos","284","2","2","31","112","54","43","14","1","-","1","-","24","-"
"4200200001","Centro - Agrolândia (SC)","Total","40 a 44 anos","254","-","2","23","81","65","41","20","1","2","-","-","19","-"
"4200200001","Centro - Agrolândia (SC)","Total","45 a 49 anos","193","-","4","25","60","28","34","18","2","-","2","-","20","-"
"4200200001","Centro - Agrolândia (SC)","Total","50 a 54 anos","164","-","3","29","47","28","18","13","3","1","-","1","21","-"
"4200200001","Centro - Agrolândia (SC)","Total","55 a 59 anos","115","-","4","29","21","21","18","8","2","-","-","1","11","-"
"4200200001","Centro - Agrolândia (SC)","Total","60 a 69 anos","203","-","-","83","54","27","10","8","-","2","-","-","19","-"
"4200200001","Centro - Agrolândia (SC)","Total","70 anos ou mais","150","1","-","59","62","10","10","4","1","1","-","-","2","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","10 a 14 anos","95","2","3","3","-","-","-","-","-","-","-","-","87","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","15 a 19 anos","108","1","7","19","40","1","-","-","-","-","-","-","40","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","15 a 17 anos","64","1","6","12","15","-","-","-","-","-","-","-","30","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","18 ou 19 anos","44","-","1","7","25","1","-","-","-","-","-","-","10","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","20 a 24 anos","84","-","1","12","53","6","2","-","-","-","-","-","10","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","25 a 29 anos","87","1","1","9","51","7","6","1","-","-","-","-","11","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","30 a 34 anos","89","-","1","15","47","15","4","2","-","-","-","-","5","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","35 a 39 anos","95","-","5","12","49","15","6","1","-","-","-","-","7","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","40 a 44 anos","78","1","2","14","30","15","6","1","-","-","-","-","9","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","45 a 49 anos","75","1","-","15","37","4","6","3","-","-","-","-","9","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","50 a 54 anos","46","-","3","14","10","4","4","1","1","1","-","1","7","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","55 a 59 anos","53","-","-","16","18","6","3","1","1","-","-","-","8","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","60 a 69 anos","68","1","-","31","19","6","4","3","-","-","-","-","4","-"
"4200200002","Três Barras - Agrolândia (SC)","Total","70 anos ou mais","50","-","-","28","14","5","1","2","-","-","-","-","-","-"
"4200200003","São João - Agrolândia (SC)","Total","10 a 14 anos","49","-","5","1","-","-","-","-","-","-","-","-","43","-"
"4200200003","São João - Agrolândia (SC)","Total","15 a 19 anos","47","1","3","10","19","1","-","-","-","-","-","-","13","-"
"4200200003","São João - Agrolândia (SC)","Total","15 a 17 anos","30","1","3","7","7","-","-","-","-","-","-","-","12","-"
"4200200003","São João - Agrolândia (SC)","Total","18 ou 19 anos","17","-","-","3","12","1","-","-","-","-","-","-","1","-"
"4200200003","São João - Agrolândia (SC)","Total","20 a 24 anos","60","-","-","6","41","7","1","-","-","-","-","-","5","-"
"4200200003","São João - Agrolândia (SC)","Total","25 a 29 anos","70","-","-","7","39","13","5","2","-","-","-","-","4","-"
"4200200003","São João - Agrolândia (SC)","Total","30 a 34 anos","62","-","1","5","31","10","9","1","-","1","-","-","4","-"
"4200200003","São João - Agrolândia (SC)","Total","35 a 39 anos","61","-","1","8","29","11","6","2","-","-","-","-","4","-"
"4200200003","São João - Agrolândia (SC)","Total","40 a 44 anos","43","-","-","3","20","8","4","2","-","-","-","-","6","-"
"4200200003","São João - Agrolândia (SC)","Total","45 a 49 anos","37","-","1","5","17","6","2","3","-","-","-","-","3","-"
"4200200003","São João - Agrolândia (SC)","Total","50 a 54 anos","32","-","2","4","9","5","4","3","-","-","-","-","5","-"
"4200200003","São João - Agrolândia (SC)","Total","55 a 59 anos","21","-","-","3","7","6","2","-","-","-","-","-","3","-"
"4200200003","São João - Agrolândia (SC)","Total","60 a 69 anos","46","-","-","18","14","10","1","-","-","-","-","-","3","-"
"4200200003","São João - Agrolândia (SC)","Total","70 anos ou mais","32","-","-","20","6","4","1","1","-","-","-","-","-","-"
"4200200004","Siegel - Agrolândia (SC)","Total","10 a 14 anos","15","-","1","-","-","-","-","-","-","-","-","-","14","-"
"4200200004","Siegel - Agrolândia (SC)","Total","15 a 19 anos","23","1","-","4","10","1","-","-","-","-","-","-","7","-"
"4200200004","Siegel - Agrolândia (SC)","Total","15 a 17 anos","15","1","-","3","6","-","-","-","-","-","-","-","5","-"
"4200200004","Siegel - Agrolândia (SC)","Total","18 ou 19 anos","8","-","-","1","4","1","-","-","-","-","-","-","2","-"
"4200200004","Siegel - Agrolândia (SC)","Total","20 a 24 anos","24","-","-","2","13","2","-","2","1","-","-","-","4","-"
"4200200004","Siegel - Agrolândia (SC)","Total","25 a 29 anos","31","-","-","8","9","7","4","-","-","-","-","-","3","-"
"4200200004","Siegel - Agrolândia (SC)","Total","30 a 34 anos","14","-","-","4","6","2","-","1","-","-","-","-","1","-"
"4200200004","Siegel - Agrolândia (SC)","Total","35 a 39 anos","14","-","-","1","9","2","-","1","-","-","-","-","1","-"
"4200200004","Siegel - Agrolândia (SC)","Total","40 a 44 anos","22","-","-","2","9","3","2","2","1","-","-","-","3","-"
"4200200004","Siegel - Agrolândia (SC)","Total","45 a 49 anos","17","-","-","3","5","3","-","1","-","-","-","-","5","-"
"4200200004","Siegel - Agrolândia (SC)","Total","50 a 54 anos","13","-","-","2","3","2","2","-","-","-","-","1","3","-"
"4200200004","Siegel - Agrolândia (SC)","Total","55 a 59 anos","18","-","-","4","3","2","2","-","-","-","-","-","7","-"
