"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Situação do domicílio","Grupo de idade","Ano x Condição de atividade x Sexo"
"Cód.","Município","Situação do domicílio","Grupo de idade","2010"
"Cód.","Município","Situação do domicílio","Grupo de idade","Economicamente ativa"
"Cód.","Município","Situação do domicílio","Grupo de idade","Total"
"1301209","Coari (AM)","Total","Total","28863"
"1301308","Codajás (AM)","Total","Total","8424"
"1301407","Eirunepé (AM)","Total","Total","12309"
"1301506","Envira (AM)","Total","Total","5241"
"1301605","Fonte Boa (AM)","Total","Total","8190"
"1301654","Guajará (AM)","Total","Total","3496"
"1301704","Humaitá (AM)","Total","Total","15744"
"1301803","Ipixuna (AM)","Total","Total","6641"
"1301852","Iranduba (AM)","Total","Total","15420"
"1301902","Itacoatiara (AM)","Total","Total","34869"
"1301951","Itamarati (AM)","Total","Total","1862"
"1302009","Itapiranga (AM)","Total","Total","3120"
"1302108","Japurá (AM)","Total","Total","2600"
"1302207","Juruá (AM)","Total","Total","4485"
"1302306","Jutaí (AM)","Total","Total","6604"
"1302405","Lábrea (AM)","Total","Total","15427"
"1302504","Manacapuru (AM)","Total","Total","34260"
"1302553","Manaquiri (AM)","Total","Total","8185"
"1302603","Manaus (AM)","Total","Total","844465"
"1302702","Manicoré (AM)","Total","Total","18441"
"1302801","Maraã (AM)","Total","Total","5401"
"1302900","Maués (AM)","Total","Total","19792"
"1303007","Nhamundá (AM)","Total","Total","6189"
"1303106","Nova Olinda do Norte (AM)","Total","Total","13238"
"1303205","Novo Airão (AM)","Total","Total","5480"
"1303304","Novo Aripuanã (AM)","Total","Total","8754"
"1303403","Parintins (AM)","Total","Total","38823"
"1303502","Pauini (AM)","Total","Total","6761"
"1303536","Presidente Figueiredo (AM)","Total","Total","12056"
"1303569","Rio Preto da Eva (AM)","Total","Total","11540"
"1303601","Santa Isabel do Rio Negro (AM)","Total","Total","4930"
"1303700","Santo Antônio do Içá (AM)","Total","Total","7070"
"1303809","São Gabriel da Cachoeira (AM)","Total","Total","10997"
"1303908","São Paulo de Olivença (AM)","Total","Total","12544"
"1303957","São Sebastião do Uatumã (AM)","Total","Total","4426"
"1304005","Silves (AM)","Total","Total","3093"
"1304062","Tabatinga (AM)","Total","Total","19132"
"1304104","Tapauá (AM)","Total","Total","8171"
"1304203","Tefé (AM)","Total","Total","22161"
"1304237","Tonantins (AM)","Total","Total","5678"
"1304260","Uarini (AM)","Total","Total","5018"
"1304302","Urucará (AM)","Total","Total","6169"
"1304401","Urucurituba (AM)","Total","Total","6968"
"1400027","Amajari (RR)","Total","Total","1904"
"1400050","Alto Alegre (RR)","Total","Total","5910"
"1400100","Boa Vista (RR)","Total","Total","135995"
"1400159","Bonfim (RR)","Total","Total","4041"
"1400175","Cantá (RR)","Total","Total","4540"
"1400209","Caracaraí (RR)","Total","Total","6972"
"1400233","Caroebe (RR)","Total","Total","3509"
"1400282","Iracema (RR)","Total","Total","3453"
"1400308","Mucajaí (RR)","Total","Total","5174"
"1400407","Normandia (RR)","Total","Total","2831"
"1400456","Pacaraima (RR)","Total","Total","3599"
"1400472","Rorainópolis (RR)","Total","Total","10353"
"1400506","São João da Baliza (RR)","Total","Total","3141"
"1400605","São Luiz (RR)","Total","Total","2222"
"1400704","Uiramutã (RR)","Total","Total","2864"
"1500107","Abaetetuba (PA)","Total","Total","57993"
"1500131","Abel Figueiredo (PA)","Total","Total","2777"
"1500206","Acará (PA)","Total","Total","22695"
"1500305","Afuá (PA)","Total","Total","11234"
"1500347","Água Azul do Norte (PA)","Total","Total","9561"
"1500404","Alenquer (PA)","Total","Total","19679"
"1500503","Almeirim (PA)","Total","Total","14260"
"1500602","Altamira (PA)","Total","Total","45323"
"1500701","Anajás (PA)","Total","Total","8096"
"1500800","Ananindeua (PA)","Total","Total","225162"
"1500859","Anapu (PA)","Total","Total","9605"
"1500909","Augusto Corrêa (PA)","Total","Total","12894"
"1500958","Aurora do Pará (PA)","Total","Total","7733"
"1501006","Aveiro (PA)","Total","Total","5925"
"1501105","Bagre (PA)","Total","Total","8617"
"1501204","Baião (PA)","Total","Total","15141"
"1501253","Bannach (PA)","Total","Total","1436"
"1501303","Barcarena (PA)","Total","Total","42597"
"1501402","Belém (PA)","Total","Total","663589"
"1501451","Belterra (PA)","Total","Total","5751"
"1501501","Benevides (PA)","Total","Total","22740"
"1501576","Bom Jesus do Tocantins (PA)","Total","Total","6505"
