"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Situação do domicílio","Grupo de idade","Ano x Condição de atividade x Sexo"
"Cód.","Município","Situação do domicílio","Grupo de idade","2010"
"Cód.","Município","Situação do domicílio","Grupo de idade","Economicamente ativa"
"Cód.","Município","Situação do domicílio","Grupo de idade","Total"
"2407104","Macaíba (RN)","Total","Total","29768"
"2407203","Macau (RN)","Total","Total","12340"
"2407252","Major Sales (RN)","Total","Total","1250"
"2407302","Marcelino Vieira (RN)","Total","Total","2877"
"2407401","Martins (RN)","Total","Total","2902"
"2407500","Maxaranguape (RN)","Total","Total","4124"
"2407609","Messias Targino (RN)","Total","Total","1756"
"2407708","Montanhas (RN)","Total","Total","4081"
"2407807","Monte Alegre (RN)","Total","Total","7026"
"2407906","Monte das Gameleiras (RN)","Total","Total","1085"
"2408003","Mossoró (RN)","Total","Total","121590"
"2408102","Natal (RN)","Total","Total","403354"
"2408201","Nísia Floresta (RN)","Total","Total","9273"
"2408300","Nova Cruz (RN)","Total","Total","13242"
"2408409","Olho d'Água do Borges (RN)","Total","Total","1351"
"2408508","Ouro Branco (RN)","Total","Total","1707"
"2408607","Paraná (RN)","Total","Total","1240"
"2408706","Paraú (RN)","Total","Total","1442"
"2408805","Parazinho (RN)","Total","Total","1515"
"2408904","Parelhas (RN)","Total","Total","9030"
"2408953","Rio do Fogo (RN)","Total","Total","3694"
"2409100","Passa e Fica (RN)","Total","Total","4707"
"2409209","Passagem (RN)","Total","Total","951"
"2409308","Patu (RN)","Total","Total","4273"
"2409332","Santa Maria (RN)","Total","Total","1702"
"2409407","Pau dos Ferros (RN)","Total","Total","11728"
"2409506","Pedra Grande (RN)","Total","Total","1124"
"2409605","Pedra Preta (RN)","Total","Total","805"
"2409704","Pedro Avelino (RN)","Total","Total","2287"
"2409803","Pedro Velho (RN)","Total","Total","5032"
"2409902","Pendências (RN)","Total","Total","5072"
"2410009","Pilões (RN)","Total","Total","1051"
"2410108","Poço Branco (RN)","Total","Total","4148"
"2410207","Portalegre (RN)","Total","Total","3035"
"2410256","Porto do Mangue (RN)","Total","Total","2209"
"2410306","Serra Caiada (RN)","Total","Total","3442"
"2410405","Pureza (RN)","Total","Total","2396"
"2410504","Rafael Fernandes (RN)","Total","Total","1605"
"2410603","Rafael Godeiro (RN)","Total","Total","1387"
"2410702","Riacho da Cruz (RN)","Total","Total","1436"
"2410801","Riacho de Santana (RN)","Total","Total","1411"
"2410900","Riachuelo (RN)","Total","Total","2585"
"2411007","Rodolfo Fernandes (RN)","Total","Total","1733"
"2411056","Tibau (RN)","Total","Total","1584"
"2411106","Ruy Barbosa (RN)","Total","Total","1364"
"2411205","Santa Cruz (RN)","Total","Total","14897"
"2411403","Santana do Matos (RN)","Total","Total","5282"
"2411429","Santana do Seridó (RN)","Total","Total","1272"
"2411502","Santo Antônio (RN)","Total","Total","8792"
"2411601","São Bento do Norte (RN)","Total","Total","944"
"2411700","São Bento do Trairí (RN)","Total","Total","1127"
"2411809","São Fernando (RN)","Total","Total","1162"
"2411908","São Francisco do Oeste (RN)","Total","Total","1653"
"2412005","São Gonçalo do Amarante (RN)","Total","Total","37923"
"2412104","São João do Sabugi (RN)","Total","Total","2542"
"2412203","São José de Mipibu (RN)","Total","Total","14422"
"2412302","São José do Campestre (RN)","Total","Total","4441"
"2412401","São José do Seridó (RN)","Total","Total","1898"
"2412500","São Miguel (RN)","Total","Total","8588"
"2412559","São Miguel do Gostoso (RN)","Total","Total","3656"
"2412609","São Paulo do Potengi (RN)","Total","Total","6472"
"2412708","São Pedro (RN)","Total","Total","1980"
"2412807","São Rafael (RN)","Total","Total","2852"
"2412906","São Tomé (RN)","Total","Total","4133"
"2413003","São Vicente (RN)","Total","Total","2054"
"2413102","Senador Elói de Souza (RN)","Total","Total","1893"
"2413201","Senador Georgino Avelino (RN)","Total","Total","1228"
"2413300","Serra de São Bento (RN)","Total","Total","2258"
"2413359","Serra do Mel (RN)","Total","Total","4640"
"2413409","Serra Negra do Norte (RN)","Total","Total","3084"
"2413508","Serrinha (RN)","Total","Total","2553"
"2413557","Serrinha dos Pintos (RN)","Total","Total","1506"
"2413607","Severiano Melo (RN)","Total","Total","2198"
"2413706","Sítio Novo (RN)","Total","Total","1565"
"2413805","Taboleiro Grande (RN)","Total","Total","838"
"2413904","Taipu (RN)","Total","Total","4232"
"2414001","Tangará (RN)","Total","Total","4583"
"2414100","Tenente Ananias (RN)","Total","Total","3505"
"2414159","Tenente Laurentino Cruz (RN)","Total","Total","2391"
"2414209","Tibau do Sul (RN)","Total","Total","4441"
"2414308","Timbaúba dos Batistas (RN)","Total","Total","1108"
"2414407","Touros (RN)","Total","Total","13095"
"2414456","Triunfo Potiguar (RN)","Total","Total","1323"
"2414506","Umarizal (RN)","Total","Total","3919"
"2414605","Upanema (RN)","Total","Total","4387"
"2414704","Várzea (RN)","Total","Total","1857"
"2414753","Venha-Ver (RN)","Total","Total","1567"
"2414803","Vera Cruz (RN)","Total","Total","3899"
"2414902","Viçosa (RN)","Total","Total","583"
"2415008","Vila Flor (RN)","Total","Total","1158"
"2500106","Água Branca (PB)","Total","Total","3449"
"2500205","Aguiar (PB)","Total","Total","2360"
"2500304","Alagoa Grande (PB)","Total","Total","11222"
"2500403","Alagoa Nova (PB)","Total","Total","8293"
"2500502","Alagoinha (PB)","Total","Total","5452"
"2500536","Alcantil (PB)","Total","Total","2079"
"2500577","Algodão de Jandaíra (PB)","Total","Total","873"
"2500601","Alhandra (PB)","Total","Total","6638"
"2500700","São João do Rio do Peixe (PB)","Total","Total","7497"
"2500734","Amparo (PB)","Total","Total","1065"
"2500775","Aparecida (PB)","Total","Total","2625"
"2500809","Araçagi (PB)","Total","Total","6154"
"2500908","Arara (PB)","Total","Total","5156"
"2501005","Araruna (PB)","Total","Total","7822"
"2501104","Areia (PB)","Total","Total","9810"
"2501153","Areia de Baraúnas (PB)","Total","Total","757"
"2501203","Areial (PB)","Total","Total","3311"
"2501302","Aroeiras (PB)","Total","Total","7244"
"2501351","Assunção (PB)","Total","Total","1546"
"2501401","Baía da Traição (PB)","Total","Total","3696"
"2501500","Bananeiras (PB)","Total","Total","7807"
"2501534","Baraúna (PB)","Total","Total","1087"
"2501575","Barra de Santana (PB)","Total","Total","3190"
"2501609","Barra de Santa Rosa (PB)","Total","Total","5606"
"2501708","Barra de São Miguel (PB)","Total","Total","2325"
"2501807","Bayeux (PB)","Total","Total","42785"
"2501906","Belém (PB)","Total","Total","6040"
"2502003","Belém do Brejo do Cruz (PB)","Total","Total","2425"
"2502052","Bernardino Batista (PB)","Total","Total","937"
"2502102","Boa Ventura (PB)","Total","Total","2599"
"2502151","Boa Vista (PB)","Total","Total","2802"
"2502201","Bom Jesus (PB)","Total","Total","1001"
"2502300","Bom Sucesso (PB)","Total","Total","1859"
"2502409","Bonito de Santa Fé (PB)","Total","Total","4322"
"2502508","Boqueirão (PB)","Total","Total","8715"
"2502607","Igaracy (PB)","Total","Total","2391"
"2502706","Borborema (PB)","Total","Total","1854"
"2502805","Brejo do Cruz (PB)","Total","Total","5788"
"2502904","Brejo dos Santos (PB)","Total","Total","2041"
"2503001","Caaporã (PB)","Total","Total","7790"
"2503100","Cabaceiras (PB)","Total","Total","2099"
"2503209","Cabedelo (PB)","Total","Total","26530"
"2503308","Cachoeira dos Índios (PB)","Total","Total","3787"
"2503407","Cacimba de Areia (PB)","Total","Total","1380"
"2503506","Cacimba de Dentro (PB)","Total","Total","6752"
"2503555","Cacimbas (PB)","Total","Total","2680"
"2503605","Caiçara (PB)","Total","Total","3156"
"2503704","Cajazeiras (PB)","Total","Total","26824"
"2503753","Cajazeirinhas (PB)","Total","Total","751"
"2503803","Caldas Brandão (PB)","Total","Total","1997"
"2503902","Camalaú (PB)","Total","Total","2780"
"2504009","Campina Grande (PB)","Total","Total","179354"
"2504033","Capim (PB)","Total","Total","1738"
"2504074","Caraúbas (PB)","Total","Total","1681"
"2504108","Carrapateira (PB)","Total","Total","683"
"2504157","Casserengue (PB)","Total","Total","2423"
"2504207","Catingueira (PB)","Total","Total","1616"
"2504306","Catolé do Rocha (PB)","Total","Total","11808"
"2504355","Caturité (PB)","Total","Total","1920"
"2504405","Conceição (PB)","Total","Total","7166"
"2504504","Condado (PB)","Total","Total","2431"
"2504603","Conde (PB)","Total","Total","8549"
"2504702","Congo (PB)","Total","Total","1824"
"2504801","Coremas (PB)","Total","Total","6661"
"2504850","Coxixola (PB)","Total","Total","962"
"2504900","Cruz do Espírito Santo (PB)","Total","Total","5619"
"2505006","Cubati (PB)","Total","Total","2873"
"2505105","Cuité (PB)","Total","Total","9234"
"2505204","Cuitegi (PB)","Total","Total","2805"
"2505238","Cuité de Mamanguape (PB)","Total","Total","2132"
"2505279","Curral de Cima (PB)","Total","Total","1808"
"2505303","Curral Velho (PB)","Total","Total","1041"
"2505352","Damião (PB)","Total","Total","2300"
"2505402","Desterro (PB)","Total","Total","3316"
"2505501","Vista Serrana (PB)","Total","Total","1317"
"2505600","Diamante (PB)","Total","Total","2342"
"2505709","Dona Inês (PB)","Total","Total","3934"
"2505808","Duas Estradas (PB)","Total","Total","1366"
"2505907","Emas (PB)","Total","Total","1292"
"2506004","Esperança (PB)","Total","Total","13660"
"2506103","Fagundes (PB)","Total","Total","4779"
"2506202","Frei Martinho (PB)","Total","Total","1297"
"2506251","Gado Bravo (PB)","Total","Total","2443"
"2506301","Guarabira (PB)","Total","Total","23318"
"2506400","Gurinhém (PB)","Total","Total","5297"
"2506509","Gurjão (PB)","Total","Total","1624"
"2506608","Ibiara (PB)","Total","Total","1674"
"2506707","Imaculada (PB)","Total","Total","4482"
"2506806","Ingá (PB)","Total","Total","7666"
"2506905","Itabaiana (PB)","Total","Total","10487"
"2507002","Itaporanga (PB)","Total","Total","10357"
"2507101","Itapororoca (PB)","Total","Total","6696"
"2507200","Itatuba (PB)","Total","Total","3513"
"2507309","Jacaraú (PB)","Total","Total","5648"
"2507408","Jericó (PB)","Total","Total","2307"
"2507507","João Pessoa (PB)","Total","Total","355366"
"2507606","Juarez Távora (PB)","Total","Total","3095"
"2507705","Juazeirinho (PB)","Total","Total","7930"
"2507804","Junco do Seridó (PB)","Total","Total","2619"
"2507903","Juripiranga (PB)","Total","Total","2840"
"2508000","Juru (PB)","Total","Total","2931"
"2508109","Lagoa (PB)","Total","Total","1321"
"2508208","Lagoa de Dentro (PB)","Total","Total","2845"
"2508307","Lagoa Seca (PB)","Total","Total","12313"
"2508406","Lastro (PB)","Total","Total","945"
"2508505","Livramento (PB)","Total","Total","3317"
"2508554","Logradouro (PB)","Total","Total","1639"
"2508604","Lucena (PB)","Total","Total","4009"
"2508703","Mãe d'Água (PB)","Total","Total","1707"
"2508802","Malta (PB)","Total","Total","2012"
"2508901","Mamanguape (PB)","Total","Total","15956"
"2509008","Manaíra (PB)","Total","Total","3990"
"2509057","Marcação (PB)","Total","Total","3256"
"2509107","Mari (PB)","Total","Total","7935"
"2509156","Marizópolis (PB)","Total","Total","1993"
"2509206","Massaranduba (PB)","Total","Total","5025"
"2509305","Mataraca (PB)","Total","Total","2387"
"2509339","Matinhas (PB)","Total","Total","1798"
"2509370","Mato Grosso (PB)","Total","Total","933"
"2509396","Maturéia (PB)","Total","Total","2506"
"2509404","Mogeiro (PB)","Total","Total","4644"
"2509503","Montadas (PB)","Total","Total","2520"
"2509602","Monte Horebe (PB)","Total","Total","1754"
"2509701","Monteiro (PB)","Total","Total","13663"
"2509800","Mulungu (PB)","Total","Total","3440"
"2509909","Natuba (PB)","Total","Total","3972"
"2510006","Nazarezinho (PB)","Total","Total","2138"
"2510105","Nova Floresta (PB)","Total","Total","4416"
"2510204","Nova Olinda (PB)","Total","Total","2058"
"2510303","Nova Palmeira (PB)","Total","Total","2043"
"2510402","Olho d'Água (PB)","Total","Total","2295"
"2510501","Olivedos (PB)","Total","Total","990"
"2510600","Ouro Velho (PB)","Total","Total","1262"
"2510659","Parari (PB)","Total","Total","555"
"2510709","Passagem (PB)","Total","Total","710"
"2510808","Patos (PB)","Total","Total","45359"
"2510907","Paulista (PB)","Total","Total","5297"
"2511004","Pedra Branca (PB)","Total","Total","1004"
"2511103","Pedra Lavrada (PB)","Total","Total","3617"
"2511202","Pedras de Fogo (PB)","Total","Total","10899"
"2511301","Piancó (PB)","Total","Total","6257"
"2511400","Picuí (PB)","Total","Total","7654"
"2511509","Pilar (PB)","Total","Total","4087"
"2511608","Pilões (PB)","Total","Total","2948"
"2511707","Pilõezinhos (PB)","Total","Total","2218"
"2511806","Pirpirituba (PB)","Total","Total","3757"
"2511905","Pitimbu (PB)","Total","Total","6910"
"2512002","Pocinhos (PB)","Total","Total","7269"
"2512036","Poço Dantas (PB)","Total","Total","1251"
"2512077","Poço de José de Moura (PB)","Total","Total","1622"
"2512101","Pombal (PB)","Total","Total","12969"
"2512200","Prata (PB)","Total","Total","1729"
"2512309","Princesa Isabel (PB)","Total","Total","9336"
"2512408","Puxinanã (PB)","Total","Total","6273"
"2512507","Queimadas (PB)","Total","Total","17709"
"2512606","Quixaba (PB)","Total","Total","760"
"2512705","Remígio (PB)","Total","Total","7014"
"2512721","Pedro Régis (PB)","Total","Total","1782"
"2512747","Riachão (PB)","Total","Total","812"
"2512754","Riachão do Bacamarte (PB)","Total","Total","1732"
"2512762","Riachão do Poço (PB)","Total","Total","1948"
"2512788","Riacho de Santo Antônio (PB)","Total","Total","814"
"2512804","Riacho dos Cavalos (PB)","Total","Total","3779"
"2512903","Rio Tinto (PB)","Total","Total","8909"
"2513000","Salgadinho (PB)","Total","Total","1365"
"2513109","Salgado de São Félix (PB)","Total","Total","4289"
"2513158","Santa Cecília (PB)","Total","Total","3497"
"2513208","Santa Cruz (PB)","Total","Total","2243"
"2513307","Santa Helena (PB)","Total","Total","2072"
"2513356","Santa Inês (PB)","Total","Total","1480"
"2513406","Santa Luzia (PB)","Total","Total","6101"
"2513505","Santana de Mangueira (PB)","Total","Total","1525"
"2513604","Santana dos Garrotes (PB)","Total","Total","2729"
"2513653","Joca Claudino (PB)","Total","Total","933"
"2513703","Santa Rita (PB)","Total","Total","47937"
"2513802","Santa Teresinha (PB)","Total","Total","1349"
"2513851","Santo André (PB)","Total","Total","1513"
"2513901","São Bento (PB)","Total","Total","15484"
"2513927","São Bentinho (PB)","Total","Total","1479"
"2513943","São Domingos do Cariri (PB)","Total","Total","1186"
"2513968","São Domingos (PB)","Total","Total","1183"
"2513984","São Francisco (PB)","Total","Total","1265"
"2514008","São João do Cariri (PB)","Total","Total","1874"
"2514107","São João do Tigre (PB)","Total","Total","1906"
"2514206","São José da Lagoa Tapada (PB)","Total","Total","2661"
"2514305","São José de Caiana (PB)","Total","Total","2211"
"2514404","São José de Espinharas (PB)","Total","Total","1599"
"2514453","São José dos Ramos (PB)","Total","Total","2085"
"2514503","São José de Piranhas (PB)","Total","Total","7462"
"2514552","São José de Princesa (PB)","Total","Total","1427"
"2514602","São José do Bonfim (PB)","Total","Total","1074"
"2514651","São José do Brejo do Cruz (PB)","Total","Total","634"
"2514701","São José do Sabugi (PB)","Total","Total","1735"
"2514800","São José dos Cordeiros (PB)","Total","Total","1794"
"2514909","São Mamede (PB)","Total","Total","2911"
"2515005","São Miguel de Taipu (PB)","Total","Total","2577"
"2515104","São Sebastião de Lagoa de Roça (PB)","Total","Total","5265"
"2515203","São Sebastião do Umbuzeiro (PB)","Total","Total","1757"
"2515302","Sapé (PB)","Total","Total","18017"
"2515401","São Vicente do Seridó (PB)","Total","Total","4356"
"2515500","Serra Branca (PB)","Total","Total","5748"
"2515609","Serra da Raiz (PB)","Total","Total","1374"
"2515708","Serra Grande (PB)","Total","Total","1255"
"2515807","Serra Redonda (PB)","Total","Total","3072"
"2515906","Serraria (PB)","Total","Total","2478"
"2515930","Sertãozinho (PB)","Total","Total","1655"
"2515971","Sobrado (PB)","Total","Total","3018"
"2516003","Solânea (PB)","Total","Total","10249"
"2516102","Soledade (PB)","Total","Total","5890"
"2516151","Sossêgo (PB)","Total","Total","1351"
"2516201","Sousa (PB)","Total","Total","28752"
"2516300","Sumé (PB)","Total","Total","7573"
"2516409","Tacima (PB)","Total","Total","3032"
"2516508","Taperoá (PB)","Total","Total","6307"
"2516607","Tavares (PB)","Total","Total","5106"
"2516706","Teixeira (PB)","Total","Total","5924"
"2516755","Tenório (PB)","Total","Total","1108"
"2516805","Triunfo (PB)","Total","Total","3562"
"2516904","Uiraúna (PB)","Total","Total","5730"
"2517001","Umbuzeiro (PB)","Total","Total","4203"
"2517100","Várzea (PB)","Total","Total","1270"
"2517209","Vieirópolis (PB)","Total","Total","1558"
"2517407","Zabelê (PB)","Total","Total","1087"
"2600054","Abreu e Lima (PE)","Total","Total","42798"
"2600104","Afogados da Ingazeira (PE)","Total","Total","15462"
"2600203","Afrânio (PE)","Total","Total","7044"
"2600302","Agrestina (PE)","Total","Total","8808"
"2600401","Água Preta (PE)","Total","Total","8797"
"2600500","Águas Belas (PE)","Total","Total","16081"
"2600609","Alagoinha (PE)","Total","Total","6083"
"2600708","Aliança (PE)","Total","Total","11850"
"2600807","Altinho (PE)","Total","Total","8960"
"2600906","Amaraji (PE)","Total","Total","8398"
"2601003","Angelim (PE)","Total","Total","3980"
"2601052","Araçoiaba (PE)","Total","Total","6406"
"2601102","Araripina (PE)","Total","Total","34075"
"2601201","Arcoverde (PE)","Total","Total","28529"
"2601300","Barra de Guabiraba (PE)","Total","Total","4171"
"2601409","Barreiros (PE)","Total","Total","11729"
"2601508","Belém de Maria (PE)","Total","Total","4072"
"2601607","Belém do São Francisco (PE)","Total","Total","8969"
"2601706","Belo Jardim (PE)","Total","Total","32147"
"2601805","Betânia (PE)","Total","Total","3766"
"2601904","Bezerros (PE)","Total","Total","24433"
"2602001","Bodocó (PE)","Total","Total","14377"
"2602100","Bom Conselho (PE)","Total","Total","19308"
"2602209","Bom Jardim (PE)","Total","Total","14940"
"2602308","Bonito (PE)","Total","Total","12318"
"2602407","Brejão (PE)","Total","Total","3680"
"2602506","Brejinho (PE)","Total","Total","2872"
"2602605","Brejo da Madre de Deus (PE)","Total","Total","20961"
"2602704","Buenos Aires (PE)","Total","Total","4842"
"2602803","Buíque (PE)","Total","Total","18155"
"2602902","Cabo de Santo Agostinho (PE)","Total","Total","81319"
"2603009","Cabrobó (PE)","Total","Total","12905"
"2603108","Cachoeirinha (PE)","Total","Total","7593"
"2603207","Caetés (PE)","Total","Total","10701"
"2603306","Calçado (PE)","Total","Total","5643"
"2603405","Calumbi (PE)","Total","Total","2058"
"2603454","Camaragibe (PE)","Total","Total","64974"
"2603504","Camocim de São Félix (PE)","Total","Total","6026"
"2603603","Camutanga (PE)","Total","Total","3179"
"2603702","Canhotinho (PE)","Total","Total","9136"
"2603801","Capoeiras (PE)","Total","Total","9539"
"2603900","Carnaíba (PE)","Total","Total","7259"
"2603926","Carnaubeira da Penha (PE)","Total","Total","4007"
"2604007","Carpina (PE)","Total","Total","30694"
"2604106","Caruaru (PE)","Total","Total","157104"
"2604155","Casinhas (PE)","Total","Total","5167"
"2604205","Catende (PE)","Total","Total","11613"
"2604304","Cedro (PE)","Total","Total","4240"
"2604403","Chã de Alegria (PE)","Total","Total","4335"
"2604502","Chã Grande (PE)","Total","Total","7946"
"2604601","Condado (PE)","Total","Total","8054"
"2604700","Correntes (PE)","Total","Total","6245"
"2604809","Cortês (PE)","Total","Total","3459"
"2604908","Cumaru (PE)","Total","Total","7024"
"2605004","Cupira (PE)","Total","Total","10366"
"2605103","Custódia (PE)","Total","Total","13242"
"2605152","Dormentes (PE)","Total","Total","7933"
"2605202","Escada (PE)","Total","Total","23673"
"2605301","Exu (PE)","Total","Total","12006"
"2605400","Feira Nova (PE)","Total","Total","8390"
"2605459","Fernando de Noronha (PE)","Total","Total","1700"
"2605509","Ferreiros (PE)","Total","Total","4427"
"2605608","Flores (PE)","Total","Total","7889"
"2605707","Floresta (PE)","Total","Total","13250"
"2605806","Frei Miguelinho (PE)","Total","Total","5946"
"2605905","Gameleira (PE)","Total","Total","8163"
"2606002","Garanhuns (PE)","Total","Total","55759"
"2606101","Glória do Goitá (PE)","Total","Total","13090"
"2606200","Goiana (PE)","Total","Total","29829"
"2606309","Granito (PE)","Total","Total","2184"
"2606408","Gravatá (PE)","Total","Total","33020"
"2606507","Iati (PE)","Total","Total","6970"
"2606606","Ibimirim (PE)","Total","Total","10059"
"2606705","Ibirajuba (PE)","Total","Total","3063"
"2606804","Igarassu (PE)","Total","Total","43539"
"2606903","Iguaracy (PE)","Total","Total","4725"
"2607000","Inajá (PE)","Total","Total","6862"
"2607109","Ingazeira (PE)","Total","Total","2046"
"2607208","Ipojuca (PE)","Total","Total","32965"
"2607307","Ipubi (PE)","Total","Total","11858"
"2607406","Itacuruba (PE)","Total","Total","1931"
"2607505","Itaíba (PE)","Total","Total","10782"
"2607604","Ilha de Itamaracá (PE)","Total","Total","8184"
"2607653","Itambé (PE)","Total","Total","12448"
"2607703","Itapetim (PE)","Total","Total","6480"
"2607752","Itapissuma (PE)","Total","Total","9084"
"2607802","Itaquitinga (PE)","Total","Total","5597"
"2607901","Jaboatão dos Guararapes (PE)","Total","Total","296505"
"2607950","Jaqueira (PE)","Total","Total","3125"
"2608008","Jataúba (PE)","Total","Total","7625"
"2608057","Jatobá (PE)","Total","Total","5718"
"2608107","João Alfredo (PE)","Total","Total","11670"
"2608206","Joaquim Nabuco (PE)","Total","Total","5046"
"2608255","Jucati (PE)","Total","Total","5902"
"2608305","Jupi (PE)","Total","Total","7150"
"2608404","Jurema (PE)","Total","Total","5958"
"2608453","Lagoa do Carro (PE)","Total","Total","6286"
"2608503","Lagoa de Itaenga (PE)","Total","Total","8208"
"2608602","Lagoa do Ouro (PE)","Total","Total","5380"
"2608701","Lagoa dos Gatos (PE)","Total","Total","6718"
"2608750","Lagoa Grande (PE)","Total","Total","9838"
"2608800","Lajedo (PE)","Total","Total","16384"
"2608909","Limoeiro (PE)","Total","Total","23033"
"2609006","Macaparana (PE)","Total","Total","9034"
"2609105","Machados (PE)","Total","Total","3979"
"2609154","Manari (PE)","Total","Total","10406"
"2609204","Maraial (PE)","Total","Total","3991"
"2609303","Mirandiba (PE)","Total","Total","4282"
"2609402","Moreno (PE)","Total","Total","22208"
"2609501","Nazaré da Mata (PE)","Total","Total","11105"
"2609600","Olinda (PE)","Total","Total","174653"
"2609709","Orobó (PE)","Total","Total","8782"
"2609808","Orocó (PE)","Total","Total","5956"
"2609907","Ouricuri (PE)","Total","Total","23493"
"2610004","Palmares (PE)","Total","Total","19943"
"2610103","Palmeirina (PE)","Total","Total","3080"
"2610202","Panelas (PE)","Total","Total","10813"
"2610301","Paranatama (PE)","Total","Total","3940"
"2610400","Parnamirim (PE)","Total","Total","6818"
"2610509","Passira (PE)","Total","Total","10769"
"2610608","Paudalho (PE)","Total","Total","18745"
"2610707","Paulista (PE)","Total","Total","141589"
"2610806","Pedra (PE)","Total","Total","7596"
"2610905","Pesqueira (PE)","Total","Total","26191"
"2611002","Petrolândia (PE)","Total","Total","14727"
"2611101","Petrolina (PE)","Total","Total","138680"
"2611200","Poção (PE)","Total","Total","5420"
"2611309","Pombos (PE)","Total","Total","10148"
"2611408","Primavera (PE)","Total","Total","5297"
"2611507","Quipapá (PE)","Total","Total","8049"
"2611533","Quixaba (PE)","Total","Total","2498"
"2611606","Recife (PE)","Total","Total","755228"
"2611705","Riacho das Almas (PE)","Total","Total","8291"
"2611804","Ribeirão (PE)","Total","Total","15441"
"2611903","Rio Formoso (PE)","Total","Total","7836"
"2612000","Sairé (PE)","Total","Total","4279"
"2612109","Salgadinho (PE)","Total","Total","2907"
"2612208","Salgueiro (PE)","Total","Total","23830"
"2612307","Saloá (PE)","Total","Total","5873"
"2612406","Sanharó (PE)","Total","Total","8452"
"2612455","Santa Cruz (PE)","Total","Total","5329"
"2612471","Santa Cruz da Baixa Verde (PE)","Total","Total","5233"
"2612505","Santa Cruz do Capibaribe (PE)","Total","Total","50862"
"2612554","Santa Filomena (PE)","Total","Total","3557"
"2612604","Santa Maria da Boa Vista (PE)","Total","Total","18128"
"2612703","Santa Maria do Cambucá (PE)","Total","Total","6133"
"2612802","Santa Terezinha (PE)","Total","Total","4387"
"2612901","São Benedito do Sul (PE)","Total","Total","3138"
"2613008","São Bento do Una (PE)","Total","Total","22486"
"2613107","São Caitano (PE)","Total","Total","16245"
"2613206","São João (PE)","Total","Total","9639"
"2613305","São Joaquim do Monte (PE)","Total","Total","7050"
"2613404","São José da Coroa Grande (PE)","Total","Total","6257"
"2613503","São José do Belmonte (PE)","Total","Total","12940"
"2613602","São José do Egito (PE)","Total","Total","14511"
"2613701","São Lourenço da Mata (PE)","Total","Total","42473"
"2613800","São Vicente Férrer (PE)","Total","Total","5895"
"2613909","Serra Talhada (PE)","Total","Total","36777"
"2614006","Serrita (PE)","Total","Total","6400"
"2614105","Sertânia (PE)","Total","Total","11947"
"2614204","Sirinhaém (PE)","Total","Total","14929"
"2614303","Moreilândia (PE)","Total","Total","3503"
"2614402","Solidão (PE)","Total","Total","2341"
"2614501","Surubim (PE)","Total","Total","24546"
"2614600","Tabira (PE)","Total","Total","11220"
"2614709","Tacaimbó (PE)","Total","Total","4784"
"2614808","Tacaratu (PE)","Total","Total","9256"
"2614857","Tamandaré (PE)","Total","Total","7221"
"2615003","Taquaritinga do Norte (PE)","Total","Total","12958"
"2615102","Terezinha (PE)","Total","Total","2822"
"2615201","Terra Nova (PE)","Total","Total","3240"
"2615300","Timbaúba (PE)","Total","Total","21234"
"2615409","Toritama (PE)","Total","Total","19699"
"2615508","Tracunhaém (PE)","Total","Total","4628"
"2615607","Trindade (PE)","Total","Total","9918"
"2615706","Triunfo (PE)","Total","Total","6781"
"2615805","Tupanatinga (PE)","Total","Total","9519"
"2615904","Tuparetama (PE)","Total","Total","3624"
"2616001","Venturosa (PE)","Total","Total","6916"
"2616100","Verdejante (PE)","Total","Total","3269"
"2616183","Vertente do Lério (PE)","Total","Total","2578"
"2616209","Vertentes (PE)","Total","Total","9247"
"2616308","Vicência (PE)","Total","Total","9813"
"2616407","Vitória de Santo Antão (PE)","Total","Total","55081"
"2616506","Xexéu (PE)","Total","Total","4231"
"2700102","Água Branca (AL)","Total","Total","8769"
"2700201","Anadia (AL)","Total","Total","5203"
"2700300","Arapiraca (AL)","Total","Total","93089"
"2700409","Atalaia (AL)","Total","Total","13200"
"2700508","Barra de Santo Antônio (AL)","Total","Total","4637"
"2700607","Barra de São Miguel (AL)","Total","Total","3397"
"2700706","Batalha (AL)","Total","Total","6789"
"2700805","Belém (AL)","Total","Total","2196"
"2700904","Belo Monte (AL)","Total","Total","2297"
"2701001","Boca da Mata (AL)","Total","Total","9000"
"2701100","Branquinha (AL)","Total","Total","3419"
"2701209","Cacimbinhas (AL)","Total","Total","3574"
"2701308","Cajueiro (AL)","Total","Total","5712"
"2701357","Campestre (AL)","Total","Total","2038"
"2701407","Campo Alegre (AL)","Total","Total","13317"
"2701506","Campo Grande (AL)","Total","Total","3446"
"2701605","Canapi (AL)","Total","Total","6727"
"2701704","Capela (AL)","Total","Total","5503"
"2701803","Carneiros (AL)","Total","Total","3593"
"2701902","Chã Preta (AL)","Total","Total","2271"
"2702009","Coité do Nóia (AL)","Total","Total","4437"
"2702108","Colônia Leopoldina (AL)","Total","Total","6332"
"2702207","Coqueiro Seco (AL)","Total","Total","1934"
"2702306","Coruripe (AL)","Total","Total","20530"
"2702355","Craíbas (AL)","Total","Total","9723"
"2702405","Delmiro Gouveia (AL)","Total","Total","18689"
