"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4100400","Almirante Tamandaré (PR)","Total","20 a 24 anos","9240","47","70","1417","4237","667","190","46","2","1","4","-","2559","-"
"4100400","Almirante Tamandaré (PR)","Total","25 a 29 anos","9046","52","90","1212","4181","1093","470","127","8","4","3","1","1805","-"
"4100400","Almirante Tamandaré (PR)","Total","30 a 34 anos","8537","60","107","1137","3697","1172","623","205","22","10","3","5","1496","-"
"4100400","Almirante Tamandaré (PR)","Total","35 a 39 anos","8211","63","112","1161","3464","1124","583","268","20","23","13","5","1375","-"
"4100400","Almirante Tamandaré (PR)","Total","40 a 44 anos","7391","54","90","1132","2930","969","558","262","36","26","15","14","1305","-"
"4100400","Almirante Tamandaré (PR)","Total","45 a 49 anos","6048","52","84","1007","2243","786","450","229","27","25","12","14","1119","-"
"4100400","Almirante Tamandaré (PR)","Total","50 a 54 anos","5014","32","83","910","1740","595","344","161","25","24","11","7","1082","-"
"4100400","Almirante Tamandaré (PR)","Total","55 a 59 anos","3874","45","70","824","1220","396","249","132","13","8","9","3","905","-"
"4100400","Almirante Tamandaré (PR)","Total","60 a 69 anos","4580","29","52","1703","1120","366","231","107","16","12","3","6","935","-"
"4100400","Almirante Tamandaré (PR)","Total","70 anos ou mais","2651","4","15","1603","475","125","74","41","5","8","3","1","297","-"
"4100459","Altamira do Paraná (PR)","Total","10 a 14 anos","427","33","6","5","-","-","-","-","-","-","-","-","383","-"
"4100459","Altamira do Paraná (PR)","Total","15 a 19 anos","426","34","33","58","10","1","-","-","-","-","-","-","290","-"
"4100459","Altamira do Paraná (PR)","Total","15 a 17 anos","262","23","17","20","4","-","-","-","-","-","-","-","198","-"
"4100459","Altamira do Paraná (PR)","Total","18 ou 19 anos","164","11","16","38","6","1","-","-","-","-","-","-","92","-"
"4100459","Altamira do Paraná (PR)","Total","20 a 24 anos","314","33","22","101","43","6","5","1","-","-","-","-","103","-"
"4100459","Altamira do Paraná (PR)","Total","25 a 29 anos","296","44","33","99","45","10","6","-","1","-","-","-","58","-"
"4100459","Altamira do Paraná (PR)","Total","30 a 34 anos","299","30","26","83","61","16","8","5","2","-","-","2","66","-"
"4100459","Altamira do Paraná (PR)","Total","35 a 39 anos","274","31","25","74","49","16","7","5","-","-","-","2","65","-"
"4100459","Altamira do Paraná (PR)","Total","40 a 44 anos","335","26","27","109","59","20","11","7","-","-","-","-","76","-"
"4100459","Altamira do Paraná (PR)","Total","45 a 49 anos","291","29","30","100","47","7","10","5","-","-","-","-","63","-"
"4100459","Altamira do Paraná (PR)","Total","50 a 54 anos","221","18","18","64","30","11","10","8","-","1","-","-","61","-"
"4100459","Altamira do Paraná (PR)","Total","55 a 59 anos","229","7","11","103","45","5","8","11","-","-","-","-","39","-"
"4100459","Altamira do Paraná (PR)","Total","60 a 69 anos","302","3","3","198","59","8","9","4","2","-","-","1","15","-"
"4100459","Altamira do Paraná (PR)","Total","70 anos ou mais","257","2","3","160","77","7","4","2","1","-","-","-","1","-"
"4100509","Altônia (PR)","Total","10 a 14 anos","1665","109","42","44","9","1","-","-","-","-","-","-","1460","-"
"4100509","Altônia (PR)","Total","15 a 19 anos","1708","67","107","484","260","5","1","1","-","-","-","-","783","-"
"4100509","Altônia (PR)","Total","15 a 17 anos","1019","55","86","211","74","3","-","-","-","-","-","-","590","-"
"4100509","Altônia (PR)","Total","18 ou 19 anos","689","12","21","273","186","2","1","1","-","-","-","-","193","-"
"4100509","Altônia (PR)","Total","20 a 24 anos","1622","21","30","549","651","40","9","4","-","-","-","-","318","-"
"4100509","Altônia (PR)","Total","25 a 29 anos","1565","25","36","380","710","100","63","20","1","-","1","1","228","-"
"4100509","Altônia (PR)","Total","30 a 34 anos","1442","21","37","368","611","88","83","28","2","1","1","-","202","-"
"4100509","Altônia (PR)","Total","35 a 39 anos","1390","21","61","391","499","96","76","30","1","4","-","1","210","-"
"4100509","Altônia (PR)","Total","40 a 44 anos","1493","21","66","419","511","120","80","47","3","1","1","-","224","-"
"4100509","Altônia (PR)","Total","45 a 49 anos","1357","23","58","429","363","89","89","46","6","3","2","-","249","-"
"4100509","Altônia (PR)","Total","50 a 54 anos","1257","24","69","444","263","84","57","41","5","6","4","-","260","-"
"4100509","Altônia (PR)","Total","55 a 59 anos","1101","19","54","476","208","63","59","41","5","1","2","-","173","-"
"4100509","Altônia (PR)","Total","60 a 69 anos","1699","6","28","999","314","109","62","50","4","3","1","1","122","-"
"4100509","Altônia (PR)","Total","70 anos ou mais","1474","5","1","1010","335","46","27","7","1","1","-","-","41","-"
"4100608","Alto Paraná (PR)","Total","10 a 14 anos","1140","56","26","19","1","1","-","-","-","-","-","-","1037","-"
"4100608","Alto Paraná (PR)","Total","15 a 19 anos","1225","41","57","243","146","8","1","-","-","-","-","-","729","-"
