"Tabela 3603 - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, exclusive as pessoas cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou seu parente, por local de exercício do trabalho principal, segundo a situação do domicílio e as classes de rendimento nominal mensal domiciliar per capita"
"Variável - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, cuja condição no domicílio não era pensionista, nem empregado(a) doméstico(a) ou seu parente (Pessoas)"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Ano x Local de exercício do trabalho principal x Situação do domicílio"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","2010"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Município de residência","Município de residência - no domicílio de residência","Município de residência - fora do domicílio de residência","Outro município","País estrangeiro","Mais de um município ou país"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Total","Total","Total","Total","Total","Total"
"2402303","Caraúbas (RN)","Total","6837","6337","1614","4724","430","-","70"
"2402402","Carnaúba dos Dantas (RN)","Total","3390","3034","364","2670","239","-","116"
"2402501","Carnaubais (RN)","Total","3272","2701","413","2289","529","-","41"
"2402600","Ceará-Mirim (RN)","Total","21995","16581","4345","12236","5245","-","169"
"2402709","Cerro Corá (RN)","Total","4770","4288","1558","2730","432","-","50"
"2402808","Coronel Ezequiel (RN)","Total","2091","1915","664","1251","176","-","-"
"2402907","Coronel João Pessoa (RN)","Total","1896","1745","363","1382","136","-","15"
"2403004","Cruzeta (RN)","Total","3807","3570","956","2614","199","-","39"
"2403103","Currais Novos (RN)","Total","17222","15463","4095","11368","1304","-","455"
"2403202","Doutor Severiano (RN)","Total","3337","3107","1216","1891","228","-","2"
"2403251","Parnamirim (RN)","Total","90365","51163","11573","39589","37108","56","2038"
"2403301","Encanto (RN)","Total","2000","1665","309","1357","319","-","15"
"2403400","Equador (RN)","Total","2054","1817","162","1655","208","-","29"
"2403509","Espírito Santo (RN)","Total","2875","2002","637","1365","846","-","27"
"2403608","Extremoz (RN)","Total","8375","4819","1312","3507","3461","17","79"
"2403707","Felipe Guerra (RN)","Total","1861","1571","164","1407","251","-","39"
"2403756","Fernando Pedroza (RN)","Total","711","529","147","382","165","-","18"
"2403806","Florânia (RN)","Total","3640","3198","680","2518","409","-","32"
"2403905","Francisco Dantas (RN)","Total","1267","1036","492","544","218","-","13"
"2404002","Frutuoso Gomes (RN)","Total","1451","1298","94","1204","122","-","32"
"2404101","Galinhos (RN)","Total","794","755","65","691","39","-","-"
"2404200","Goianinha (RN)","Total","7402","5631","1384","4248","1702","-","68"
"2404309","Governador Dix-Sept Rosado (RN)","Total","3699","3194","1079","2115","489","-","16"
"2404408","Grossos (RN)","Total","3472","2870","450","2420","602","-","-"
"2404507","Guamaré (RN)","Total","4441","4258","733","3525","172","-","10"
"2404606","Ielmo Marinho (RN)","Total","3926","3352","837","2516","550","-","23"
"2404705","Ipanguaçu (RN)","Total","4520","3892","636","3256","617","-","11"
"2404804","Ipueira (RN)","Total","951","815","186","628","136","-","-"
"2404853","Itajá (RN)","Total","2646","2315","465","1851","313","-","18"
"2404903","Itaú (RN)","Total","2011","1797","258","1540","167","-","46"
"2405009","Jaçanã (RN)","Total","2839","2304","627","1677","492","-","43"
"2405108","Jandaíra (RN)","Total","1781","1414","185","1229","367","-","-"
"2405207","Janduís (RN)","Total","1558","1365","326","1039","182","-","11"
"2405306","Januário Cicco (RN)","Total","2626","2419","488","1931","207","-","-"
"2405405","Japi (RN)","Total","1790","1470","152","1318","320","-","-"
"2405504","Jardim de Angicos (RN)","Total","843","785","293","492","59","-","-"
"2405603","Jardim de Piranhas (RN)","Total","5149","4848","1466","3383","272","-","29"
"2405702","Jardim do Seridó (RN)","Total","5048","4412","821","3590","531","-","105"
"2405801","João Câmara (RN)","Total","11838","10423","3343","7080","1270","-","145"
"2405900","João Dias (RN)","Total","347","336","36","301","10","-","-"
"2406007","José da Penha (RN)","Total","2056","1816","442","1375","170","-","69"
"2406106","Jucurutu (RN)","Total","6399","5808","1171","4637","496","-","95"
"2406155","Jundiá (RN)","Total","1379","1136","300","836","243","-","-"
"2406205","Lagoa d'Anta (RN)","Total","2638","2214","485","1730","399","-","24"
"2406304","Lagoa de Pedras (RN)","Total","2751","2356","913","1443","315","-","81"
"2406403","Lagoa de Velhos (RN)","Total","818","713","114","598","105","-","-"
"2406502","Lagoa Nova (RN)","Total","5079","4687","1603","3084","347","-","45"
"2406601","Lagoa Salgada (RN)","Total","2385","1987","524","1463","378","-","19"
"2406700","Lajes (RN)","Total","3474","2862","376","2486","514","-","99"
"2406809","Lajes Pintadas (RN)","Total","1714","1438","113","1325","277","-","-"
"2406908","Lucrécia (RN)","Total","1384","1241","122","1119","102","-","41"
"2407005","Luís Gomes (RN)","Total","2286","2050","405","1645","191","-","45"
"2407104","Macaíba (RN)","Total","26276","19198","5062","14135","6929","-","150"
"2407203","Macau (RN)","Total","10757","9107","2046","7062","1583","-","66"
"2407252","Major Sales (RN)","Total","1067","925","99","825","111","-","32"
"2407302","Marcelino Vieira (RN)","Total","2668","2293","263","2030","237","-","137"
"2407401","Martins (RN)","Total","2669","2517","445","2072","138","-","13"
"2407500","Maxaranguape (RN)","Total","3431","2770","456","2314","616","-","46"
"2407609","Messias Targino (RN)","Total","1650","1361","142","1219","160","-","128"
"2407708","Montanhas (RN)","Total","3765","2912","488","2424","716","-","136"
"2407807","Monte Alegre (RN)","Total","6239","4863","1519","3344","1345","-","31"
"2407906","Monte das Gameleiras (RN)","Total","1041","920","295","625","121","-","-"
"2408003","Mossoró (RN)","Total","108416","102904","22709","80195","4034","19","1459"
"2408102","Natal (RN)","Total","358363","336471","75697","260775","19299","37","2556"
"2408201","Nísia Floresta (RN)","Total","8348","6238","2290","3947","2102","-","9"
"2408300","Nova Cruz (RN)","Total","11954","10361","2571","7790","1384","-","209"
"2408409","Olho d'Água do Borges (RN)","Total","1217","1053","171","881","140","-","24"
"2408508","Ouro Branco (RN)","Total","1665","1385","227","1159","276","-","4"
"2408607","Paraná (RN)","Total","1126","976","47","929","106","-","43"
"2408706","Paraú (RN)","Total","1231","1024","189","835","194","-","12"
"2408805","Parazinho (RN)","Total","1281","1131","292","839","126","-","24"
"2408904","Parelhas (RN)","Total","8402","7643","1953","5690","533","-","226"
"2408953","Rio do Fogo (RN)","Total","3365","2815","464","2351","487","4","59"
"2409100","Passa e Fica (RN)","Total","4143","3735","510","3225","353","-","54"
"2409209","Passagem (RN)","Total","802","678","38","640","123","-","-"
"2409308","Patu (RN)","Total","3876","3429","851","2577","348","-","99"
"2409332","Santa Maria (RN)","Total","1430","1180","135","1045","234","-","17"
"2409407","Pau dos Ferros (RN)","Total","10778","9944","2713","7232","450","-","383"
"2409506","Pedra Grande (RN)","Total","999","932","118","814","61","-","6"
"2409605","Pedra Preta (RN)","Total","791","760","94","666","31","-","-"
"2409704","Pedro Avelino (RN)","Total","2097","1727","443","1284","368","-","2"
"2409803","Pedro Velho (RN)","Total","4360","3393","729","2664","912","-","55"
"2409902","Pendências (RN)","Total","4109","3090","484","2606","979","-","40"
"2410009","Pilões (RN)","Total","890","768","115","652","103","-","20"
"2410108","Poço Branco (RN)","Total","3826","2532","607","1925","1283","-","11"
"2410207","Portalegre (RN)","Total","2796","2550","514","2036","221","-","25"
"2410256","Porto do Mangue (RN)","Total","1906","1812","301","1511","95","-","-"
"2410306","Serra Caiada (RN)","Total","3205","2653","423","2229","531","-","22"
"2410405","Pureza (RN)","Total","2186","1934","219","1715","241","-","11"
"2410504","Rafael Fernandes (RN)","Total","1496","1230","223","1007","261","-","4"
"2410603","Rafael Godeiro (RN)","Total","1157","993","201","792","136","-","29"
"2410702","Riacho da Cruz (RN)","Total","1062","874","132","743","138","-","50"
"2410801","Riacho de Santana (RN)","Total","1235","1110","123","988","115","-","10"
"2410900","Riachuelo (RN)","Total","2084","1708","526","1183","373","-","3"
"2411007","Rodolfo Fernandes (RN)","Total","1505","1393","155","1238","103","-","9"
"2411056","Tibau (RN)","Total","1447","1243","143","1100","197","-","7"
"2411106","Ruy Barbosa (RN)","Total","1201","1017","352","666","182","-","2"
"2411205","Santa Cruz (RN)","Total","13490","12240","3630","8610","1162","-","88"
"2411403","Santana do Matos (RN)","Total","4774","4354","1442","2913","317","-","103"
"2411429","Santana do Seridó (RN)","Total","1199","1081","312","769","109","-","9"
"2411502","Santo Antônio (RN)","Total","7922","6931","1731","5200","796","-","194"
"2411601","São Bento do Norte (RN)","Total","761","656","251","406","88","3","13"
"2411700","São Bento do Trairí (RN)","Total","1061","870","22","848","189","-","2"
"2411809","São Fernando (RN)","Total","1084","955","177","778","125","-","4"
"2411908","São Francisco do Oeste (RN)","Total","1519","1282","215","1067","189","-","48"
"2412005","São Gonçalo do Amarante (RN)","Total","33311","16047","5201","10847","16799","11","455"
"2412104","São João do Sabugi (RN)","Total","2439","2124","653","1471","301","-","13"
"2412203","São José de Mipibu (RN)","Total","12817","9437","2389","7048","3227","-","153"
"2412302","São José do Campestre (RN)","Total","4039","3361","561","2800","592","-","86"
"2412401","São José do Seridó (RN)","Total","1831","1649","302","1346","121","-","61"
"2412500","São Miguel (RN)","Total","7951","7355","2210","5145","554","-","43"
"2412559","São Miguel do Gostoso (RN)","Total","3348","2959","690","2269","340","6","42"
"2412609","São Paulo do Potengi (RN)","Total","5586","4980","978","4002","506","-","100"
"2412708","São Pedro (RN)","Total","1750","1364","468","895","377","-","10"
"2412807","São Rafael (RN)","Total","2575","2312","448","1864","232","-","31"
"2412906","São Tomé (RN)","Total","3827","3376","1130","2246","442","-","9"
"2413003","São Vicente (RN)","Total","1995","1726","614","1112","263","-","6"
"2413102","Senador Elói de Souza (RN)","Total","1773","1472","511","961","296","-","5"
"2413201","Senador Georgino Avelino (RN)","Total","1075","704","85","619","368","-","3"
"2413300","Serra de São Bento (RN)","Total","2015","1688","172","1516","326","-","1"
"2413359","Serra do Mel (RN)","Total","4140","3812","1232","2581","328","-","-"
"2413409","Serra Negra do Norte (RN)","Total","3003","2722","818","1905","206","-","74"
"2413508","Serrinha (RN)","Total","2419","2046","120","1927","332","-","41"
"2413557","Serrinha dos Pintos (RN)","Total","1376","1263","170","1093","94","-","19"
"2413607","Severiano Melo (RN)","Total","1954","1669","368","1301","270","-","15"
"2413706","Sítio Novo (RN)","Total","1419","1137","232","905","282","-","-"
"2413805","Taboleiro Grande (RN)","Total","776","733","44","690","32","-","11"
"2413904","Taipu (RN)","Total","3910","2988","693","2295","917","-","4"
"2414001","Tangará (RN)","Total","4049","3269","680","2588","660","-","120"
"2414100","Tenente Ananias (RN)","Total","3282","2776","297","2479","183","-","322"
"2414159","Tenente Laurentino Cruz (RN)","Total","2290","2101","527","1574","169","-","20"
"2414209","Tibau do Sul (RN)","Total","4056","3851","916","2935","198","7","-"
"2414308","Timbaúba dos Batistas (RN)","Total","1078","906","346","560","169","-","3"
"2414407","Touros (RN)","Total","12163","10938","1919","9019","1109","-","116"
"2414456","Triunfo Potiguar (RN)","Total","1217","1104","327","777","105","-","7"
"2414506","Umarizal (RN)","Total","3623","3131","525","2606","324","-","167"
"2414605","Upanema (RN)","Total","4060","3598","1069","2530","444","-","17"
"2414704","Várzea (RN)","Total","1650","1238","223","1015","409","-","3"
"2414753","Venha-Ver (RN)","Total","1355","1240","146","1094","109","-","6"
"2414803","Vera Cruz (RN)","Total","3767","3388","779","2609","379","-","-"
"2414902","Viçosa (RN)","Total","498","466","43","423","28","-","4"
"2415008","Vila Flor (RN)","Total","939","553","127","426","331","-","55"
"2500106","Água Branca (PB)","Total","3299","2836","459","2376","453","-","10"
"2500205","Aguiar (PB)","Total","2252","2121","256","1865","127","-","3"
"2500304","Alagoa Grande (PB)","Total","10096","8932","2933","5999","1086","-","78"
"2500403","Alagoa Nova (PB)","Total","7752","6969","3437","3532","757","-","26"
"2500502","Alagoinha (PB)","Total","5099","4021","1199","2823","1061","-","16"
"2500536","Alcantil (PB)","Total","2011","1799","781","1019","199","-","12"
"2500577","Algodão de Jandaíra (PB)","Total","813","750","103","647","61","-","3"
"2500601","Alhandra (PB)","Total","5761","4967","1149","3818","753","-","41"
"2500700","São João do Rio do Peixe (PB)","Total","6976","6302","1236","5066","623","-","51"
"2500734","Amparo (PB)","Total","957","891","221","670","65","-","-"
"2500775","Aparecida (PB)","Total","2393","2070","639","1431","280","-","43"
"2500809","Araçagi (PB)","Total","5818","5296","1511","3785","505","-","17"
"2500908","Arara (PB)","Total","4949","4360","843","3517","508","-","80"
"2501005","Araruna (PB)","Total","7370","6619","2000","4619","688","-","63"
"2501104","Areia (PB)","Total","9185","8246","2787","5458","832","-","107"
"2501153","Areia de Baraúnas (PB)","Total","708","617","40","577","89","-","2"
"2501203","Areial (PB)","Total","3134","2707","1039","1667","406","3","18"
"2501302","Aroeiras (PB)","Total","6810","6491","2496","3996","285","-","34"
"2501351","Assunção (PB)","Total","1425","1251","174","1077","156","-","18"
"2501401","Baía da Traição (PB)","Total","3342","3137","547","2591","138","16","50"
"2501500","Bananeiras (PB)","Total","7255","6735","3245","3489","426","-","94"
"2501534","Baraúna (PB)","Total","1008","804","139","664","205","-","-"
"2501575","Barra de Santana (PB)","Total","2979","2836","1430","1406","136","-","7"
"2501609","Barra de Santa Rosa (PB)","Total","5343","5000","1081","3919","272","-","72"
"2501708","Barra de São Miguel (PB)","Total","2300","2071","776","1295","227","-","3"
"2501807","Bayeux (PB)","Total","37707","20661","5215","15445","16394","-","652"
"2501906","Belém (PB)","Total","5552","4848","1323","3525","582","-","121"
"2502003","Belém do Brejo do Cruz (PB)","Total","2210","1828","553","1275","305","-","76"
"2502052","Bernardino Batista (PB)","Total","884","796","120","676","72","-","16"
"2502102","Boa Ventura (PB)","Total","2414","1789","266","1524","621","-","4"
"2502151","Boa Vista (PB)","Total","2649","2380","807","1573","227","-","43"
"2502201","Bom Jesus (PB)","Total","873","645","70","575","195","-","32"
"2502300","Bom Sucesso (PB)","Total","1762","1631","170","1461","130","-","-"
"2502409","Bonito de Santa Fé (PB)","Total","4130","3539","309","3230","555","-","36"
"2502508","Boqueirão (PB)","Total","8170","7565","2425","5141","563","-","41"
"2502607","Igaracy (PB)","Total","2262","1931","227","1704","308","-","22"
"2502706","Borborema (PB)","Total","1745","1507","181","1325","237","-","1"
"2502805","Brejo do Cruz (PB)","Total","5327","4342","1626","2715","802","-","184"
"2502904","Brejo dos Santos (PB)","Total","1631","1407","184","1223","224","-","-"
"2503001","Caaporã (PB)","Total","6839","5812","1478","4333","955","-","72"
"2503100","Cabaceiras (PB)","Total","1946","1751","117","1634","183","-","11"
"2503209","Cabedelo (PB)","Total","23019","13487","3422","10064","8971","11","551"
"2503308","Cachoeira dos Índios (PB)","Total","3465","2440","488","1952","711","-","315"
"2503407","Cacimba de Areia (PB)","Total","1328","1100","257","843","228","-","-"
"2503506","Cacimba de Dentro (PB)","Total","6310","5677","1523","4154","581","-","52"
"2503555","Cacimbas (PB)","Total","2478","2229","480","1749","232","-","17"
"2503605","Caiçara (PB)","Total","2897","2469","387","2082","419","-","9"
"2503704","Cajazeiras (PB)","Total","24940","22634","4228","18406","1662","-","644"
"2503753","Cajazeirinhas (PB)","Total","734","654","241","413","49","-","31"
"2503803","Caldas Brandão (PB)","Total","1815","1427","226","1201","383","-","6"
"2503902","Camalaú (PB)","Total","2590","2457","554","1902","110","-","23"
"2504009","Campina Grande (PB)","Total","158711","150083","30857","119226","6622","8","1997"
"2504033","Capim (PB)","Total","1377","878","140","738","499","-","-"
"2504074","Caraúbas (PB)","Total","1638","1506","346","1160","132","-","-"
"2504108","Carrapateira (PB)","Total","669","538","27","511","59","-","72"
"2504157","Casserengue (PB)","Total","2354","2280","325","1955","71","-","3"
"2504207","Catingueira (PB)","Total","1432","1058","272","785","357","-","17"
"2504306","Catolé do Rocha (PB)","Total","10761","9507","2086","7422","1093","-","161"
"2504355","Caturité (PB)","Total","1881","1679","869","810","202","-","-"
"2504405","Conceição (PB)","Total","6514","5799","1309","4490","558","-","156"
"2504504","Condado (PB)","Total","2255","1872","384","1488","361","-","22"
"2504603","Conde (PB)","Total","7778","6149","1645","4504","1507","-","122"
"2504702","Congo (PB)","Total","1770","1729","495","1234","41","-","-"
"2504801","Coremas (PB)","Total","6084","5336","1225","4110","632","-","116"
"2504850","Coxixola (PB)","Total","915","866","214","653","46","-","2"
"2504900","Cruz do Espírito Santo (PB)","Total","5114","3839","1513","2326","1230","-","45"
"2505006","Cubati (PB)","Total","2593","2213","602","1612","358","-","22"
"2505105","Cuité (PB)","Total","8749","8035","3208","4827","648","-","66"
"2505204","Cuitegi (PB)","Total","2394","1681","308","1374","637","-","76"
"2505238","Cuité de Mamanguape (PB)","Total","1803","1552","230","1321","229","-","22"
"2505279","Curral de Cima (PB)","Total","1735","1645","153","1493","80","-","9"
"2505303","Curral Velho (PB)","Total","914","658","45","613","251","-","5"
"2505352","Damião (PB)","Total","2222","2122","91","2030","100","-","-"
"2505402","Desterro (PB)","Total","3167","2940","765","2175","193","-","33"
"2505501","Vista Serrana (PB)","Total","1250","845","302","543","318","-","87"
"2505600","Diamante (PB)","Total","2086","1679","203","1476","393","-","14"
"2505709","Dona Inês (PB)","Total","3743","3470","923","2548","263","-","9"
"2505808","Duas Estradas (PB)","Total","1299","1176","391","785","120","-","3"
"2505907","Emas (PB)","Total","1174","1046","267","778","110","-","18"
"2506004","Esperança (PB)","Total","12407","11196","4138","7058","827","-","385"
"2506103","Fagundes (PB)","Total","4557","4128","920","3208","430","-","-"
"2506202","Frei Martinho (PB)","Total","1256","1181","176","1005","75","-","-"
"2506251","Gado Bravo (PB)","Total","2346","2223","1409","814","123","-","-"
"2506301","Guarabira (PB)","Total","21226","19559","4041","15518","1230","-","438"
"2506400","Gurinhém (PB)","Total","4989","3851","670","3181","1113","-","25"
"2506509","Gurjão (PB)","Total","1535","1420","267","1153","115","-","-"
"2506608","Ibiara (PB)","Total","1564","1439","59","1380","120","-","6"
"2506707","Imaculada (PB)","Total","4323","3787","542","3245","508","-","29"
"2506806","Ingá (PB)","Total","6985","5944","648","5296","939","-","102"
"2506905","Itabaiana (PB)","Total","9624","8406","2332","6074","968","-","250"
"2507002","Itaporanga (PB)","Total","9222","8392","1334","7058","751","-","80"
"2507101","Itapororoca (PB)","Total","6031","5639","914","4725","352","-","41"
"2507200","Itatuba (PB)","Total","3182","2723","401","2322","439","-","20"
"2507309","Jacaraú (PB)","Total","5204","4722","1022","3700","396","-","86"
"2507408","Jericó (PB)","Total","2108","1845","156","1689","231","-","31"
"2507507","João Pessoa (PB)","Total","314873","296585","61076","235509","15833","143","2313"
"2507606","Juarez Távora (PB)","Total","2939","2255","721","1534","669","-","15"
"2507705","Juazeirinho (PB)","Total","7598","6528","1925","4603","740","-","330"
"2507804","Junco do Seridó (PB)","Total","2433","2223","430","1792","185","-","26"
"2507903","Juripiranga (PB)","Total","2574","1711","272","1439","706","-","158"
"2508000","Juru (PB)","Total","2782","2152","550","1602","590","-","40"
"2508109","Lagoa (PB)","Total","1249","1224","185","1039","22","-","3"
"2508208","Lagoa de Dentro (PB)","Total","2569","2396","586","1811","137","-","35"
"2508307","Lagoa Seca (PB)","Total","11483","8260","4445","3815","3129","-","94"
"2508406","Lastro (PB)","Total","745","636","55","581","92","-","18"
"2508505","Livramento (PB)","Total","3210","2898","1321","1577","305","-","7"
"2508554","Logradouro (PB)","Total","1573","1188","101","1087","365","-","19"
"2508604","Lucena (PB)","Total","3567","2956","896","2060","605","-","6"
"2508703","Mãe d'Água (PB)","Total","1563","1402","68","1334","161","-","-"
"2508802","Malta (PB)","Total","1806","1480","121","1358","254","2","70"
"2508901","Mamanguape (PB)","Total","13793","12018","3911","8108","1638","11","126"
"2509008","Manaíra (PB)","Total","3828","3259","589","2669","551","-","19"
"2509057","Marcação (PB)","Total","3109","2845","365","2480","255","-","8"
"2509107","Mari (PB)","Total","7153","6229","2543","3686","784","-","141"
"2509156","Marizópolis (PB)","Total","1817","1379","91","1288","374","-","63"
"2509206","Massaranduba (PB)","Total","4681","3353","1728","1625","1302","-","27"
"2509305","Mataraca (PB)","Total","2063","1663","336","1327","395","-","5"
"2509339","Matinhas (PB)","Total","1725","1554","1092","462","171","-","-"
"2509370","Mato Grosso (PB)","Total","870","671","141","530","142","-","57"
"2509396","Maturéia (PB)","Total","2358","2000","404","1596","353","-","5"
"2509404","Mogeiro (PB)","Total","4132","3664","712","2951","444","-","24"
"2509503","Montadas (PB)","Total","2440","2134","1019","1115","286","-","21"
"2509602","Monte Horebe (PB)","Total","1633","1399","539","859","234","-","-"
"2509701","Monteiro (PB)","Total","13014","12324","3581","8743","542","-","148"
"2509800","Mulungu (PB)","Total","3002","2412","496","1916","575","-","15"
"2509909","Natuba (PB)","Total","3793","3474","848","2626","315","-","4"
"2510006","Nazarezinho (PB)","Total","2015","1903","113","1790","87","-","26"
"2510105","Nova Floresta (PB)","Total","4161","3154","854","2300","723","-","284"
"2510204","Nova Olinda (PB)","Total","1846","1437","161","1276","398","-","11"
"2510303","Nova Palmeira (PB)","Total","2009","1779","279","1499","221","-","9"
"2510402","Olho d'Água (PB)","Total","2162","1864","490","1374","212","-","86"
"2510501","Olivedos (PB)","Total","877","779","151","628","89","-","9"
"2510600","Ouro Velho (PB)","Total","1193","1111","334","777","82","-","1"
"2510659","Parari (PB)","Total","525","494","123","371","31","-","-"
"2510709","Passagem (PB)","Total","648","546","65","482","95","-","7"
"2510808","Patos (PB)","Total","41241","36801","6920","29881","2970","50","1420"
"2510907","Paulista (PB)","Total","5084","4374","1293","3081","541","-","170"
"2511004","Pedra Branca (PB)","Total","806","671","91","579","135","-","-"
"2511103","Pedra Lavrada (PB)","Total","3397","3131","1357","1773","228","-","38"
"2511202","Pedras de Fogo (PB)","Total","9803","8200","1695","6505","1421","-","183"
"2511301","Piancó (PB)","Total","5703","5361","892","4469","231","-","110"
"2511400","Picuí (PB)","Total","7202","6471","1711","4760","610","-","121"
"2511509","Pilar (PB)","Total","3720","2797","1063","1735","912","-","11"
"2511608","Pilões (PB)","Total","2737","2419","776","1643","318","-","-"
"2511707","Pilõezinhos (PB)","Total","2141","1743","817","925","398","-","-"
"2511806","Pirpirituba (PB)","Total","3386","2560","676","1884","780","-","47"
"2511905","Pitimbu (PB)","Total","6412","5676","1588","4088","731","-","5"
"2512002","Pocinhos (PB)","Total","6643","5735","3019","2716","861","-","46"
"2512036","Poço Dantas (PB)","Total","1222","1063","105","958","158","-","1"
"2512077","Poço de José de Moura (PB)","Total","1547","1414","121","1293","129","-","4"
"2512101","Pombal (PB)","Total","11941","10615","2902","7713","1134","-","193"
"2512200","Prata (PB)","Total","1602","1479","462","1017","106","-","17"
"2512309","Princesa Isabel (PB)","Total","8745","7033","1068","5965","1659","-","53"
"2512408","Puxinanã (PB)","Total","6003","4417","2484","1933","1539","-","47"
"2512507","Queimadas (PB)","Total","16288","11312","3753","7559","4871","-","105"
"2512606","Quixaba (PB)","Total","655","520","83","437","135","-","-"
"2512705","Remígio (PB)","Total","6581","5377","1711","3667","846","-","357"
"2512721","Pedro Régis (PB)","Total","1691","1541","449","1092","147","-","3"
"2512747","Riachão (PB)","Total","785","677","94","583","107","-","-"
"2512754","Riachão do Bacamarte (PB)","Total","1599","1266","390","876","334","-","-"
"2512762","Riachão do Poço (PB)","Total","1867","1603","748","855","245","-","18"
"2512788","Riacho de Santo Antônio (PB)","Total","768","650","180","470","98","-","20"
"2512804","Riacho dos Cavalos (PB)","Total","3609","3118","1240","1878","330","-","162"
"2512903","Rio Tinto (PB)","Total","7968","6784","2801","3983","1177","-","7"
"2513000","Salgadinho (PB)","Total","1293","1164","502","663","129","-","-"
"2513109","Salgado de São Félix (PB)","Total","3946","3520","1607","1913","410","-","16"
"2513158","Santa Cecília (PB)","Total","3445","3156","1387","1769","260","-","29"
"2513208","Santa Cruz (PB)","Total","2147","1920","163","1757","176","-","50"
"2513307","Santa Helena (PB)","Total","1783","1631","191","1439","135","-","17"
"2513356","Santa Inês (PB)","Total","1270","1197","278","919","72","-","-"
"2513406","Santa Luzia (PB)","Total","5608","4788","953","3835","646","-","175"
"2513505","Santana de Mangueira (PB)","Total","1424","1293","203","1090","127","-","4"
"2513604","Santana dos Garrotes (PB)","Total","2538","2247","543","1704","281","-","9"
"2513653","Joca Claudino (PB)","Total","912","857","112","745","49","-","6"
"2513703","Santa Rita (PB)","Total","42447","27815","5845","21970","14401","-","230"
"2513802","Santa Teresinha (PB)","Total","1257","1070","129","940","173","-","14"
"2513851","Santo André (PB)","Total","1434","1393","49","1344","34","-","6"
"2513901","São Bento (PB)","Total","15005","13466","4967","8499","1060","-","479"
"2513927","São Bentinho (PB)","Total","1381","1121","164","957","235","-","24"
"2513943","São Domingos do Cariri (PB)","Total","1121","973","280","692","147","-","2"
"2513968","São Domingos (PB)","Total","1114","1022","109","913","89","-","4"
"2513984","São Francisco (PB)","Total","1192","988","141","847","200","-","5"
"2514008","São João do Cariri (PB)","Total","1751","1592","363","1229","135","-","23"
"2514107","São João do Tigre (PB)","Total","1865","1813","907","906","52","-","-"
"2514206","São José da Lagoa Tapada (PB)","Total","2513","2368","391","1977","100","-","45"
"2514305","São José de Caiana (PB)","Total","2141","1515","122","1393","623","-","3"
"2514404","São José de Espinharas (PB)","Total","1554","1321","274","1047","220","-","13"
"2514453","São José dos Ramos (PB)","Total","1992","1680","235","1445","309","-","4"
"2514503","São José de Piranhas (PB)","Total","6910","5765","880","4885","1029","-","116"
"2514552","São José de Princesa (PB)","Total","1360","1003","390","613","311","-","46"
"2514602","São José do Bonfim (PB)","Total","1000","754","180","574","178","-","68"
"2514651","São José do Brejo do Cruz (PB)","Total","533","483","19","464","50","-","-"
"2514701","São José do Sabugi (PB)","Total","1683","1401","476","925","243","-","39"
"2514800","São José dos Cordeiros (PB)","Total","1720","1668","786","882","49","-","3"
"2514909","São Mamede (PB)","Total","2722","2483","671","1812","227","-","12"
"2515005","São Miguel de Taipu (PB)","Total","2500","2234","1043","1191","260","-","6"
"2515104","São Sebastião de Lagoa de Roça (PB)","Total","4909","4003","2233","1769","892","-","15"
"2515203","São Sebastião do Umbuzeiro (PB)","Total","1622","1536","670","866","67","-","19"
"2515302","Sapé (PB)","Total","15604","13234","4478","8756","2147","-","223"
"2515401","São Vicente do Seridó (PB)","Total","4073","3380","1480","1899","688","-","6"
"2515500","Serra Branca (PB)","Total","5368","4966","1903","3063","347","-","55"
"2515609","Serra da Raiz (PB)","Total","1264","1053","164","889","202","-","9"
"2515708","Serra Grande (PB)","Total","1184","991","311","680","189","-","4"
"2515807","Serra Redonda (PB)","Total","2914","2589","894","1694","319","-","6"
"2515906","Serraria (PB)","Total","2367","2257","793","1464","107","-","3"
"2515930","Sertãozinho (PB)","Total","1577","1333","110","1223","230","-","14"
"2515971","Sobrado (PB)","Total","2808","2274","1350","923","517","-","17"
"2516003","Solânea (PB)","Total","9500","8719","2769","5951","653","-","128"
"2516102","Soledade (PB)","Total","5540","4949","1461","3488","477","-","114"
"2516151","Sossêgo (PB)","Total","1325","1197","387","809","127","-","2"
"2516201","Sousa (PB)","Total","25759","23825","4752","19074","1218","-","715"
"2516300","Sumé (PB)","Total","6959","6613","1884","4728","242","-","105"
"2516409","Tacima (PB)","Total","2727","2391","812","1579","336","-","-"
"2516508","Taperoá (PB)","Total","5797","5212","1933","3279","554","-","31"
"2516607","Tavares (PB)","Total","4770","3700","791","2909","1023","5","42"
"2516706","Teixeira (PB)","Total","5522","4887","1192","3695","488","-","147"
"2516755","Tenório (PB)","Total","1039","904","125","779","128","-","6"
"2516805","Triunfo (PB)","Total","3291","2664","356","2308","562","-","65"
