"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2400109","Acari (RN)","Total","10 a 14 anos","912","51","7","9","1","-","-","-","-","-","-","-","844","-"
"2400109","Acari (RN)","Total","15 a 19 anos","939","37","37","78","15","1","-","-","-","-","-","-","771","-"
"2400109","Acari (RN)","Total","15 a 17 anos","579","22","21","21","1","-","-","-","-","-","-","-","514","-"
"2400109","Acari (RN)","Total","18 ou 19 anos","360","15","16","57","14","1","-","-","-","-","-","-","257","-"
"2400109","Acari (RN)","Total","20 a 24 anos","977","56","73","273","72","14","3","1","2","-","-","-","483","-"
"2400109","Acari (RN)","Total","25 a 29 anos","972","85","76","324","107","17","13","7","-","-","-","-","343","-"
"2400109","Acari (RN)","Total","30 a 34 anos","874","76","77","265","132","30","13","9","4","2","-","-","266","-"
"2400109","Acari (RN)","Total","35 a 39 anos","769","69","57","242","121","20","23","7","-","-","1","-","229","-"
"2400109","Acari (RN)","Total","40 a 44 anos","718","46","53","223","113","43","25","12","1","2","-","-","200","-"
"2400109","Acari (RN)","Total","45 a 49 anos","736","53","47","227","112","52","20","19","2","2","1","-","201","-"
"2400109","Acari (RN)","Total","50 a 54 anos","543","31","20","169","104","24","19","15","2","1","-","-","158","-"
"2400109","Acari (RN)","Total","55 a 59 anos","461","17","21","199","61","26","14","8","1","1","1","-","112","-"
"2400109","Acari (RN)","Total","60 a 69 anos","789","19","10","450","87","39","21","20","4","4","2","-","133","-"
"2400109","Acari (RN)","Total","70 anos ou mais","847","1","5","642","76","29","32","17","-","3","-","2","40","-"
"2400208","Açu (RN)","Total","10 a 14 anos","5103","292","42","42","6","1","-","-","-","-","-","-","4720","-"
"2400208","Açu (RN)","Total","15 a 19 anos","4786","233","190","371","72","6","2","1","1","-","-","-","3910","-"
"2400208","Açu (RN)","Total","15 a 17 anos","2998","154","93","103","11","1","1","-","1","-","-","-","2634","-"
"2400208","Açu (RN)","Total","18 ou 19 anos","1788","79","97","268","61","5","1","1","-","-","-","-","1276","-"
