Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Bairro;
1100205007;Roque - Porto Velho (RO);846
1100205008;Liberdade - Porto Velho (RO);980
1100205009;São João Bosco - Porto Velho (RO);1364
1100205010;São Cristóvão - Porto Velho (RO);899
1100205011;Nossa Senhora das Graças - Porto Velho (RO);877
1100205012;Mato Grosso - Porto Velho (RO);628
1100205014;Tucumanzal - Porto Velho (RO);677
1100205015;Olaria - Porto Velho (RO);1039
1100205016;Agricolândia - Porto Velho (RO);153
1100205017;Centro - Porto Velho (RO);375
1100205018;Caiari - Porto Velho (RO);61
1100205019;Santa Bárbara - Porto Velho (RO);350
1100205020;Mocambo - Porto Velho (RO);312
1100205021;Baixa União - Porto Velho (RO);977
1100205022;Quilômetro Um - Porto Velho (RO);112
1100205023;Areal - Porto Velho (RO);1682
1100205024;Triângulo - Porto Velho (RO);921
1100205025;Militar - Porto Velho (RO);142
1100205026;Floresta - Porto Velho (RO);3064
1100205027;Panair - Porto Velho (RO);569
1100205030;Pedrinhas - Porto Velho (RO);1036
1100205031;Embratel - Porto Velho (RO);2797
1100205032;Tancredo Neves - Porto Velho (RO);3193
1100205033;Tupi - Porto Velho (RO);351
1100205036;Costa e Silva - Porto Velho (RO);1795
1100205037;São Sebastião - Porto Velho (RO);2189
1100205038;Nacional - Porto Velho (RO);3204
1100205039;Lagoa - Porto Velho (RO);1521
1100205040;Agenor M. de Carvalho - Porto Velho (RO);3432
1100205041;Rio Madeira - Porto Velho (RO);1000
1100205042;Eldorado - Porto Velho (RO);1135
1100205043;Aeroclube - Porto Velho (RO);868
1100205044;Cohab - Porto Velho (RO);4390
1100205045;Castanheira - Porto Velho (RO);5363
1100205046;Caladinho - Porto Velho (RO);3307
1100205047;Nova Floresta - Porto Velho (RO);3279
1100205049;Cidade do Lobo - Porto Velho (RO);1538
1100205050;Eletronorte - Porto Velho (RO);2323
1100205051;Novo Horizonte - Porto Velho (RO);1327
1100205052;Areia Branca - Porto Velho (RO);718
1100205053;Cascalheira - Porto Velho (RO);1066
1100205054;Escola de Polícia - Porto Velho (RO);1681
1100205055;Teixeirão - Porto Velho (RO);3159
1100205056;Planalto - Porto Velho (RO);561
1100205057;Lagoinha - Porto Velho (RO);3710
1100205058;Três Marias - Porto Velho (RO);4108
1100205059;Cuniã - Porto Velho (RO);2282
1100205060;Igarapé - Porto Velho (RO);3733
1100205061;Aponiã - Porto Velho (RO);5227
1100205062;Conceição - Porto Velho (RO);3076
1100288002;Centenário - Rolim de Moura (RO);929
1100288003;Jardim Tropical - Rolim de Moura (RO);1060
1100288004;São Cristóvão - Rolim de Moura (RO);1379
1100288005;Beira Rio - Rolim de Moura (RO);1741
1100288006;Olímpico - Rolim de Moura (RO);1059
1100288007;Boa Esperança - Rolim de Moura (RO);1594
1100288008;Cidade Alta - Rolim de Moura (RO);1650
1100288009;Bairro Industrial - Rolim de Moura (RO);398
1100288010;Planalto - Rolim de Moura (RO);1455
1100288011;Nova Morada - Rolim de Moura (RO);74
1100288012;Centro - Rolim de Moura (RO);1907
1100288013;Mutirão - Rolim de Moura (RO);340
1100304001;Jardim Eldorado - Vilhena (RO);1839
1100304002;Parque São Paulo - Vilhena (RO);1216
1100304003;Jardim América - Vilhena (RO);673
1100304004;Alto Alegre - Vilhena (RO);1154
1100304005;Marcos Freire - Vilhena (RO);576
1100304006;Tancredo Neves - Vilhena (RO);341
1100304007;Nova Esperança - Vilhena (RO);733
1100320001;Centro - São Miguel do Guaporé (RO);869
1100320002;Novo Oriente - São Miguel do Guaporé (RO);404
1100320003;Cristo Rei - São Miguel do Guaporé (RO);689
1100320004;Planalto - São Miguel do Guaporé (RO);1021
1100338001;Centro - Nova Mamoré (RO);680
1100338002;São José - Nova Mamoré (RO);466
1100338003;Santa Luzia - Nova Mamoré (RO);430
1100338004;Planalto - Nova Mamoré (RO);885
1100338005;Nossa Senhora de Fátima - Nova Mamoré (RO);32
1100338006;Cidade Nova - Nova Mamoré (RO);401
1100338007;João Clímaco - Nova Mamoré (RO);600
1101500001;Centro - Seringueiras (RO);348
1101500002;Cristo Rei - Seringueiras (RO);503
1101500003;São José - Seringueiras (RO);296
1101500004;Jardim das Américas - Seringueiras (RO);262
1101500005;Bela Vista - Seringueiras (RO);357
1101708001;Novo Horizonte - Urupá (RO);508
1101708002;Santíssima Trindade - Urupá (RO);364
1101708003;Alto Alegre - Urupá (RO);487
1101708004;Centro - Urupá (RO);194
1101708005;Sumaúma - Urupá (RO);268
1300060001;Centro - Amaturá (AM);328
1300060002;São Francisco - Amaturá (AM);968
1300060003;Santa Etelvina - Amaturá (AM);1011
1300409001;Centro - Barcelos (AM);682
1300409002;São Sebastião - Barcelos (AM);962
1300409003;São Francisco - Barcelos (AM);414
1300409004;Nossa Senhora de Nazaré - Barcelos (AM);870
1300409005;Nossa Senhora Aparecida - Barcelos (AM);1297
1300409006;Marivá - Barcelos (AM);189
1300409007;Morara - Barcelos (AM);310
1300409008;Santo Antônio - Barcelos (AM);70
1300508001;Centro - Barreirinha (AM);1213
1300508002;São Judas Tadeu - Barreirinha (AM);656
1300508003;São Benedito - Barreirinha (AM);1532
1300508004;Urbano Novo - Barreirinha (AM);341
1300508005;Beira Rio - Barreirinha (AM);605
1300607001;Centro - Benjamin Constant (AM);1292
1300607002;Coimbra - Benjamin Constant (AM);1743
1300607003;Colônia - Benjamin Constant (AM);1157
1300607004;Cohabam - Benjamin Constant (AM);505
1300607005;Javarizinho - Benjamin Constant (AM);1484
1300607006;Umarizal - Benjamin Constant (AM);257
1300607007;Bom Jardim - Benjamin Constant (AM);1803
1300607008;Cidade Nova - Benjamin Constant (AM);523
1300607009;Castanhal - Benjamin Constant (AM);373
1300706001;Praia do Gado - Boca do Acre (AM);3492
1300706002;Platô do Piquiá - Boca do Acre (AM);1899
1300706003;Fortaleza - Boca do Acre (AM);323
1300706004;Macaxeiral - Boca do Acre (AM);2409
1300706005;Lago Novo - Boca do Acre (AM);59
1300805001;Centro - Borba (AM);1757
1300805002;São Sebastião - Borba (AM);910
1300805003;Ipiranga - Borba (AM);863
1300805004;Cristo Rei - Borba (AM);983
1300805005;Recreio - Borba (AM);2193
1301001001;Centro - Carauari (AM);2256
1301001002;Fátima - Carauari (AM);2839
1301001003;Samuel Amaral - Carauari (AM);3260
1301001004;Nova República - Carauari (AM);1365
1301100001;Urbano Centro - Careiro (AM);996
1301100002;Urbano Vista Alegre - Careiro (AM);508
1301100003;Urbano Horizonte - Careiro (AM);1892
1301100004;Urbano Industrial - Careiro (AM);21
1301100005;Urbano Sebastião Borges - Careiro (AM);944
1301209001;Do Pera - Coari (AM);2147
1301209002;Chagas Aguiar - Coari (AM);2710
1301209003;Santa Helena - Coari (AM);1462
1301209004;Duque de Caxias - Coari (AM);1413
1301209005;Itamarati - Coari (AM);2590
1301209006;Santa Efigênia - Coari (AM);1474
1301209007;União - Coari (AM);3102
1301209008;Urucu - Coari (AM);3027
1301209009;Espírito Santo - Coari (AM);1061
1301209010;Tauá Mirim - Coari (AM);1847
1301209011;Centro - Coari (AM);1653
1301407001;Centro - Eirunepé (AM);561
1301407002;Nossa Senhora do Perpétuo Socorro - Eirunepé (AM);1668
1301407003;Santo Antônio - Eirunepé (AM);2328
1301407004;Nossa Senhora Aparecida - Eirunepé (AM);1064
1301407005;Nossa Senhora de Fátima - Eirunepé (AM);4100
1301407006;São José - Eirunepé (AM);959
1301704001;São Domingos Sávio - Humaitá (AM);1570
1301704002;Nova Humaitá - Humaitá (AM);2239
1301704003;São Pedro - Humaitá (AM);666
1301704004;São Sebastião - Humaitá (AM);673
1301704005;São Francisco - Humaitá (AM);1539
1301704006;Santo Antônio - Humaitá (AM);949
1301704007;Novo Centenário - Humaitá (AM);465
1301704008;São José - Humaitá (AM);385
1301704009;Centro - Humaitá (AM);771
1301704010;São Cristóvão - Humaitá (AM);1732
1301704011;Nossa Senhora do Carmo - Humaitá (AM);1199
1301704012;Divino Pranto - Humaitá (AM);645
1301704013;Nova Esperança - Humaitá (AM);244
1301902001;Centro - Itacoatiara (AM);871
1301902002;Colônia - Itacoatiara (AM);1004
1301902003;Jauary - Itacoatiara (AM);2185
1301902004;Prainha - Itacoatiara (AM);1416
1301902005;Pedreiras - Itacoatiara (AM);550
1301902006;Do Iracy - Itacoatiara (AM);1604
1301902007;Santa Luzia - Itacoatiara (AM);680
1301902008;São Jorge - Itacoatiara (AM);909
1301902009;Santo Antônio - Itacoatiara (AM);1767
1301902010;Araújo Costa - Itacoatiara (AM);774
1301902011;São Cristóvão - Itacoatiara (AM);2270
1301902012;São Francisco - Itacoatiara (AM);2186
1301902013;Tiradentes - Itacoatiara (AM);975
1301902014;Canacari - Itacoatiara (AM);...
1301902015;Florestal - Itacoatiara (AM);299
1301902016;da Paz - Itacoatiara (AM);679
1301902017;Eduardo Braga I - Itacoatiara (AM);1323
1301902018;Eduardo Braga II - Itacoatiara (AM);1168
1301902019;Mamoud Amed - Itacoatiara (AM);1985
1301902020;Jauary II - Itacoatiara (AM);964
1301902021;Jardim Adriana - Itacoatiara (AM);199
1301902022;Mutirão - Itacoatiara (AM);335
1301902023;Nogueira Junior - Itacoatiara (AM);545
1301902024;Jardim Lorena - Itacoatiara (AM);222
1301902025;Centenário - Itacoatiara (AM);66
1302405001;Bairro da Fonte - Lábrea (AM);2891
1302405002;Centro - Lábrea (AM);1608
1302405003;São José - Lábrea (AM);763
1302405004;Barra Limpa - Lábrea (AM);1076
1302405005;Nossa Senhora de Fátima - Lábrea (AM);879
1302405006;Vila Falcão - Lábrea (AM);2479
1302405007;Pantanal - Lábrea (AM);1258
1302405008;Bairro Novo - Lábrea (AM);109
1302504001;Centro - Manacapuru (AM);2043
1302504002;Aparecida - Manacapuru (AM);2338
1302504003;Biribiri - Manacapuru (AM);1357
1302504004;Liberdade - Manacapuru (AM);4815
1302504005;Morada do Sol - Manacapuru (AM);1737
1302504006;São Francisco - Manacapuru (AM);1850
1302504007;São José - Manacapuru (AM);4329
1302504008;Terra Preta - Manacapuru (AM);2396
1302504009;União - Manacapuru (AM);2114
1302504010;Correnteza - Manacapuru (AM);2364
1302504011;Nova Manacá - Manacapuru (AM);1397
1302603001;Centro - Manaus (AM);9182
1302603002;Nossa Senhora Aparecida - Manaus (AM);1931
1302603003;Presidente Vargas - Manaus (AM);2164
1302603004;Praça 14 de Janeiro - Manaus (AM);2902
1302603005;Cachoeirinha - Manaus (AM);4683
1302603006;São Raimundo - Manaus (AM);4652
1302603007;Glória - Manaus (AM);3105
1302603008;Santo Antônio - Manaus (AM);6164
1302603009;Vila da Prata - Manaus (AM);3495
1302603010;Compensa - Manaus (AM);26957
1302603011;São Jorge - Manaus (AM);6450
1302603012;Santo Agostinho - Manaus (AM);6110
1302603013;Nova Esperança - Manaus (AM);5826
1302603014;Lírio do Vale - Manaus (AM);7101
1302603015;Planalto - Manaus (AM);4461
1302603016;Alvorada - Manaus (AM);20281
1302603017;Redenção - Manaus (AM);12381
1302603018;Da Paz - Manaus (AM);4928
1302603019;Raiz - Manaus (AM);4401
1302603020;São Francisco - Manaus (AM);5191
1302603021;Petrópolis - Manaus (AM);13502
1302603022;Japiim - Manaus (AM);16647
1302603023;Coroado - Manaus (AM);17597
1302603024;Educandos - Manaus (AM);5199
1302603025;Santa Luzia - Manaus (AM);1954
1302603026;Morro da Liberdade - Manaus (AM);3878
1302603027;Betânia - Manaus (AM);3491
1302603028;Colônia Oliveira Machado - Manaus (AM);3048
1302603029;São Lázaro - Manaus (AM);3808
1302603030;Crespo - Manaus (AM);5525
1302603031;Vila Buriti - Manaus (AM);644
1302603032;Distrito Industrial I - Manaus (AM);976
