Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Município;
1400456;Pacaraima (RR);5371
1400472;Rorainópolis (RR);10523
1400506;São João da Baliza (RR);2839
1400605;São Luiz (RR);2531
1400704;Uiramutã (RR);5064
1500107;Abaetetuba (PA);56817
1500131;Abel Figueiredo (PA);2679
1500206;Acará (PA);24437
1500305;Afuá (PA);17926
1500347;Água Azul do Norte (PA);8724
1500404;Alenquer (PA);24679
1500503;Almeirim (PA);14966
1500602;Altamira (PA);38719
1500701;Anajás (PA);13096
1500800;Ananindeua (PA);159583
1500859;Anapu (PA);9278
1500909;Augusto Corrêa (PA);19188
1500958;Aurora do Pará (PA);11492
1501006;Aveiro (PA);7831
1501105;Bagre (PA);12563
1501204;Baião (PA);16207
1501253;Bannach (PA);1318
1501303;Barcarena (PA);40650
1501402;Belém (PA);426567
1501451;Belterra (PA);7037
1501501;Benevides (PA);19608
1501576;Bom Jesus do Tocantins (PA);5987
1501600;Bonito (PA);5557
1501709;Bragança (PA);46787
1501725;Brasil Novo (PA);6094
1501758;Brejo Grande do Araguaia (PA);3054
1501782;Breu Branco (PA);23557
1501808;Breves (PA);46722
1501907;Bujaru (PA);11814
1501956;Cachoeira do Piriá (PA);12726
1502004;Cachoeira do Arari (PA);8525
1502103;Cametá (PA);54335
1502152;Canaã dos Carajás (PA);10738
1502202;Capanema (PA);23366
1502301;Capitão Poço (PA);22071
1502400;Castanhal (PA);63459
1502509;Chaves (PA);10198
1502608;Colares (PA);4728
1502707;Conceição do Araguaia (PA);17581
1502756;Concórdia do Pará (PA);12522
1502764;Cumaru do Norte (PA);3961
1502772;Curionópolis (PA);7405
1502806;Curralinho (PA);14983
1502855;Curuá (PA);5913
1502905;Curuçá (PA);13959
1502939;Dom Eliseu (PA);21149
1502954;Eldorado do Carajás (PA);13840
1503002;Faro (PA);3915
1503044;Floresta do Araguaia (PA);7270
1503077;Garrafão do Norte (PA);11634
1503093;Goianésia do Pará (PA);12605
1503101;Gurupá (PA);14598
