Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Município;
2201919;Bom Princípio do Piauí (PI);1966
2201929;Bonfim do Piauí (PI);1918
2201945;Boqueirão do Piauí (PI);2175
2201960;Brasileira (PI);2657
2201988;Brejo do Piauí (PI);1413
2202000;Buriti dos Lopes (PI);7137
2202026;Buriti dos Montes (PI);2958
2202059;Cabeceiras do Piauí (PI);3438
2202075;Cajazeiras do Piauí (PI);1214
2202083;Cajueiro da Praia (PI);2592
2202091;Caldeirão Grande do Piauí (PI);2123
2202109;Campinas do Piauí (PI);1890
2202117;Campo Alegre do Fidalgo (PI);1757
2202133;Campo Grande do Piauí (PI);1941
2202174;Campo Largo do Piauí (PI);2967
2202208;Campo Maior (PI);13624
2202251;Canavieira (PI);1459
2202307;Canto do Buriti (PI);6973
2202406;Capitão de Campos (PI);3916
2202455;Capitão Gervásio Oliveira (PI);1388
2202505;Caracol (PI);4009
2202539;Caraúbas do Piauí (PI);2181
2202554;Caridade do Piauí (PI);1881
2202604;Castelo do Piauí (PI);6692
2202653;Caxingó (PI);2069
2202703;Cocal (PI);10446
2202711;Cocal de Telha (PI);1545
2202729;Cocal dos Alves (PI);2096
2202737;Coivaras (PI);1312
2202752;Colônia do Gurguéia (PI);2270
2202778;Colônia do Piauí (PI);2648
2202802;Conceição do Canindé (PI);1584
2202851;Coronel José Dias (PI);1524
2202901;Corrente (PI);9909
2203008;Cristalândia do Piauí (PI);3097
2203107;Cristino Castro (PI);3905
2203206;Curimatá (PI);4139
2203230;Currais (PI);1883
2203255;Curralinhos (PI);1568
2203271;Curral Novo do Piauí (PI);2093
2203305;Demerval Lobão (PI);4454
2203354;Dirceu Arcoverde (PI);2306
2203404;Dom Expedito Lopes (PI);2083
2203420;Domingos Mourão (PI);1735
2203453;Dom Inocêncio (PI);3140
2203503;Elesbão Veloso (PI);4396
2203602;Eliseu Martins (PI);1553
2203701;Esperantina (PI);13264
2203750;Fartura do Piauí (PI);1937
2203800;Flores do Piauí (PI);1551
2203859;Floresta do Piauí (PI);804
2203909;Floriano (PI);18513
2204006;Francinópolis (PI);1823
2204105;Francisco Ayres (PI);1506
2204154;Francisco Macedo (PI);926
2204204;Francisco Santos (PI);2780
2204303;Fronteiras (PI);3733
2204352;Geminiano (PI);1909
2204402;Gilbués (PI);4347
2204501;Guadalupe (PI);3582
2204550;Guaribas (PI);1987
2204600;Hugo Napoleão (PI);1294
2204659;Ilha Grande (PI);3310
2204709;Inhuma (PI);5082
2204808;Ipiranga do Piauí (PI);3127
2204907;Isaías Coelho (PI);3154
2205003;Itainópolis (PI);3316
2205102;Itaueira (PI);3501
2205151;Jacobina do Piauí (PI);1936
2205201;Jaicós (PI);6522
2205250;Jardim do Mulato (PI);1505
2205276;Jatobá do Piauí (PI);1468
2205300;Jerumenha (PI);1570
2205359;João Costa (PI);990
2205409;Joaquim Pires (PI);5452
2205458;Joca Marques (PI);2010
2205508;José de Freitas (PI);12873
2205516;Juazeiro do Piauí (PI);1839
2205524;Júlio Borges (PI);2103
2205532;Jurema (PI);1629
2205540;Lagoinha do Piauí (PI);957
2205557;Lagoa Alegre (PI);3160
2205565;Lagoa do Barro do Piauí (PI);1671
2205573;Lagoa de São Francisco (PI);2643
2205581;Lagoa do Piauí (PI);1350
2205599;Lagoa do Sítio (PI);1699
2205607;Landri Sales (PI);1839
2205706;Luís Correia (PI);10396
2205805;Luzilândia (PI);8983
2205854;Madeiro (PI);3243
2205904;Manoel Emídio (PI);1887
2205953;Marcolândia (PI);3044
2206001;Marcos Parente (PI);1506
2206050;Massapê do Piauí (PI);2137
2206100;Matias Olímpio (PI);4218
2206209;Miguel Alves (PI);13718
2206308;Miguel Leão (PI);472
2206357;Milton Brandão (PI);2678
2206407;Monsenhor Gil (PI);3414
2206506;Monsenhor Hipólito (PI);2370
2206605;Monte Alegre do Piauí (PI);4334
2206654;Morro Cabeça no Tempo (PI);1738
2206670;Morro do Chapéu do Piauí (PI);2584
2206696;Murici dos Portelas (PI);3493
2206704;Nazaré do Piauí (PI);2587
2206720;Nazária (PI);2945
2206753;Nossa Senhora de Nazaré (PI);1391
2206803;Nossa Senhora dos Remédios (PI);3331
2206902;Novo Oriente do Piauí (PI);2146
2206951;Novo Santo Antônio (PI);1132
2207009;Oeiras (PI);12516
2207108;Olho D'Água do Piauí (PI);965
2207207;Padre Marcos (PI);2202
2207306;Paes Landim (PI);1526
2207355;Pajeú do Piauí (PI);1127
2207405;Palmeira do Piauí (PI);1968
2207504;Palmeirais (PI);5258
2207553;Paquetá (PI);1376
2207603;Parnaguá (PI);4376
2207702;Parnaíba (PI);47895
2207751;Passagem Franca do Piauí (PI);1697
2207777;Patos do Piauí (PI);2016
2207793;Pau D'Arco do Piauí (PI);1416
2207801;Paulistana (PI);7298
2207850;Pavussu (PI);1269
2207900;Pedro II (PI);14278
2207934;Pedro Laurentino (PI);907
2207959;Nova Santa Rita (PI);1650
2208007;Picos (PI);22942
2208106;Pimenteiras (PI);4274
2208205;Pio IX (PI);6425
2208304;Piracuruca (PI);9834
2208403;Piripiri (PI);20843
2208502;Porto (PI);5258
2208551;Porto Alegre do Piauí (PI);958
2208601;Prata do Piauí (PI);1098
2208650;Queimada Nova (PI);2988
2208700;Redenção do Gurguéia (PI);3525
2208809;Regeneração (PI);6262
2208858;Riacho Frio (PI);1747
2208874;Ribeira do Piauí (PI);1635
2208908;Ribeiro Gonçalves (PI);2803
2209005;Rio Grande do Piauí (PI);2136
2209104;Santa Cruz do Piauí (PI);1890
2209153;Santa Cruz dos Milagres (PI);1342
2209203;Santa Filomena (PI);2660
2209302;Santa Luz (PI);2067
2209351;Santana do Piauí (PI);1571
2209377;Santa Rosa do Piauí (PI);1843
2209401;Santo Antônio de Lisboa (PI);1980
2209450;Santo Antônio dos Milagres (PI);806
2209500;Santo Inácio do Piauí (PI);1164
2209559;São Braz do Piauí (PI);1496
2209609;São Félix do Piauí (PI);899
2209658;São Francisco de Assis do Piauí (PI);2129
2209708;São Francisco do Piauí (PI);2302
2209757;São Gonçalo do Gurguéia (PI);1161
2209807;São Gonçalo do Piauí (PI);1761
2209856;São João da Canabrava (PI);1547
2209872;São João da Fronteira (PI);2343
2209906;São João da Serra (PI);2129
2209955;São João da Varjota (PI);1738
2209971;São João do Arraial (PI);2921
2210003;São João do Piauí (PI);7081
2210052;São José do Divino (PI);1811
2210102;São José do Peixe (PI);1420
2210201;São José do Piauí (PI);2220
2210300;São Julião (PI);1848
2210359;São Lourenço do Piauí (PI);1366
2210375;São Luis do Piauí (PI);914
2210383;São Miguel da Baixa Grande (PI);690
2210391;São Miguel do Fidalgo (PI);1192
2210409;São Miguel do Tapuio (PI);6575
2210508;São Pedro do Piauí (PI);5092
2210607;São Raimundo Nonato (PI);11244
2210623;Sebastião Barros (PI);1442
2210631;Sebastião Leal (PI);1452
2210656;Sigefredo Pacheco (PI);3298
2210706;Simões (PI);5669
2210805;Simplício Mendes (PI);4128
2210904;Socorro do Piauí (PI);1708
2210938;Sussuapara (PI);1903
2210953;Tamboril do Piauí (PI);1090
2210979;Tanque do Piauí (PI);922
2211001;Teresina (PI);250324
2211100;União (PI);15900
2211209;Uruçuí (PI);7479
2211308;Valença do Piauí (PI);6246
2211357;Várzea Branca (PI);1932
2211407;Várzea Grande (PI);1414
2211506;Vera Mendes (PI);1008
2211605;Vila Nova do Piauí (PI);910
2211704;Wall Ferraz (PI);1519
2300101;Abaiara (CE);3849
2300150;Acarape (CE);5736
2300200;Acaraú (CE);21896
2300309;Acopiara (CE);16481
2300408;Aiuaba (CE);6074
2300507;Alcântaras (CE);3961
2300606;Altaneira (CE);2462
2300705;Alto Santo (CE);5519
2300754;Amontada (CE);16421
2300804;Antonina do Norte (CE);2554
2300903;Apuiarés (CE);5011
2301000;Aquiraz (CE);24831
2301109;Aracati (CE);22676
2301208;Aracoiaba (CE);8945
2301257;Ararendá (CE);3670
2301307;Araripe (CE);8358
2301406;Aratuba (CE);4501
2301505;Arneiroz (CE);2710
2301604;Assaré (CE);8300
2301703;Aurora (CE);8291
2301802;Baixio (CE);1955
2301851;Banabuiú (CE);6942
2301901;Barbalha (CE);19251
2301950;Barreira (CE);7096
2302008;Barro (CE);7019
2302057;Barroquinha (CE);5611
2302107;Baturité (CE);12168
2302206;Beberibe (CE);16896
2302305;Bela Cruz (CE);11646
2302404;Boa Viagem (CE);19459
2302503;Brejo Santo (CE);15266
2302602;Camocim (CE);22479
2302701;Campos Sales (CE);9616
2302800;Canindé (CE);28031
2302909;Capistrano (CE);6313
2303006;Caridade (CE);7439
2303105;Cariré (CE);6680
2303204;Caririaçu (CE);10250
2303303;Cariús (CE);6167
2303402;Carnaubal (CE);6654
2303501;Cascavel (CE);22497
2303600;Catarina (CE);5584
2303659;Catunda (CE);3680
2303709;Caucaia (CE);117046
2303808;Cedro (CE);8080
2303907;Chaval (CE);4773
2303931;Choró (CE);5198
2303956;Chorozinho (CE);6706
2304004;Coreaú (CE);8411
2304103;Crateús (CE);23933
2304202;Crato (CE);40644
2304236;Croatá (CE);6737
2304251;Cruz (CE);8462
2304269;Deputado Irapuan Pinheiro (CE);3042
2304277;Ereré (CE);2245
2304285;Eusébio (CE);16572
2304301;Farias Brito (CE);6675
2304350;Forquilha (CE);7680
2304400;Fortaleza (CE);736229
2304459;Fortim (CE);5178
2304509;Frecheirinha (CE);5093
2304608;General Sampaio (CE);2530
2304657;Graça (CE);5943
2304707;Granja (CE);21947
2304806;Granjeiro (CE);1763
2304905;Groaíras (CE);3436
2304954;Guaiúba (CE);8997
2305001;Guaraciaba do Norte (CE);14983
2305100;Guaramiranga (CE);1532
2305209;Hidrolândia (CE);6924
2305233;Horizonte (CE);19682
2305266;Ibaretama (CE);5003
2305308;Ibiapina (CE);9063
2305332;Ibicuitinga (CE);3871
2305357;Icapuí (CE);5904
2305407;Icó (CE);22701
2305506;Iguatu (CE);29786
2305605;Independência (CE);8458
2305654;Ipaporanga (CE);4046
2305704;Ipaumirim (CE);4046
2305803;Ipu (CE);14657
2305902;Ipueiras (CE);14657
2306009;Iracema (CE);4420
2306108;Irauçuba (CE);9013
2306207;Itaiçaba (CE);2208
2306256;Itaitinga (CE);12636
2306306;Itapajé (CE);18169
2306405;Itapipoca (CE);44937
2306504;Itapiúna (CE);7098
2306553;Itarema (CE);15362
2306603;Itatira (CE);7874
2306702;Jaguaretama (CE);6201
2306801;Jaguaribara (CE);3406
2306900;Jaguaribe (CE);11533
2307007;Jaguaruana (CE);10499
2307106;Jardim (CE);9864
2307205;Jati (CE);2571
2307254;Jijoca de Jericoacoara (CE);6410
2307304;Juazeiro do Norte (CE);86525
2307403;Jucás (CE);8552
2307502;Lavras da Mangabeira (CE);10453
2307601;Limoeiro do Norte (CE);17438
2307635;Madalena (CE);7061
2307650;Maracanaú (CE);71143
2307700;Maranguape (CE);40038
2307809;Marco (CE);10247
2307908;Martinópole (CE);4190
2308005;Massapê (CE);13585
2308104;Mauriti (CE);16567
2308203;Meruoca (CE);4970
2308302;Milagres (CE);9649
2308351;Milhã (CE);4358
2308377;Miraíma (CE);5310
2308401;Missão Velha (CE);12742
2308500;Mombaça (CE);15287
2308609;Monsenhor Tabosa (CE);6125
2308708;Morada Nova (CE);20335
2308807;Moraújo (CE);3083
2308906;Morrinhos (CE);8436
2309003;Mucambo (CE);5055
2309102;Mulungu (CE);4376
2309201;Nova Olinda (CE);5346
2309300;Nova Russas (CE);10754
2309409;Novo Oriente (CE);9771
2309458;Ocara (CE);8551
2309508;Orós (CE);6659
2309607;Pacajus (CE);21765
2309706;Pacatuba (CE);25771
2309805;Pacoti (CE);4301
2309904;Pacujá (CE);2132
2310001;Palhano (CE);2669
2310100;Palmácia (CE);4219
2310209;Paracuru (CE);11265
2310258;Paraipaba (CE);11143
2310308;Parambu (CE);11583
2310407;Paramoti (CE);4432
2310506;Pedra Branca (CE);15032
2310605;Penaforte (CE);3039
2310704;Pentecoste (CE);12816
2310803;Pereiro (CE);5567
2310852;Pindoretama (CE);6167
2310902;Piquet Carneiro (CE);4678
2310951;Pires Ferreira (CE);3800
2311009;Poranga (CE);4583
2311108;Porteiras (CE);5313
2311207;Potengi (CE);3881
2311231;Potiretama (CE);2090
2311264;Quiterianópolis (CE);7090
2311306;Quixadá (CE);29291
2311355;Quixelô (CE);4764
2311405;Quixeramobim (CE);25631
2311504;Quixeré (CE);6652
2311603;Redenção (CE);9492
2311702;Reriutaba (CE);7119
2311801;Russas (CE);22863
2311900;Saboeiro (CE);5901
2311959;Salitre (CE);6446
2312007;Santana do Acaraú (CE);11675
2312106;Santana do Cariri (CE);6958
2312205;Santa Quitéria (CE);15627
2312304;São Benedito (CE);17125
2312403;São Gonçalo do Amarante (CE);15778
2312502;São João do Jaguaribe (CE);2083
2312601;São Luís do Curu (CE);4244
2312700;Senador Pompeu (CE);8842
2312809;Senador Sá (CE);2716
2312908;Sobral (CE);64749
2313005;Solonópole (CE);5799
2313104;Tabuleiro do Norte (CE);9095
2313203;Tamboril (CE);9411
2313252;Tarrafas (CE);3191
2313302;Tauá (CE);19173
2313351;Tejuçuoca (CE);6484
2313401;Tianguá (CE);26548
2313500;Trairi (CE);20294
2313559;Tururu (CE);5424
2313609;Ubajara (CE);11804
2313708;Umari (CE);2536
2313757;Umirim (CE);7447
2313807;Uruburetama (CE);7512
2313906;Uruoca (CE);4990
2313955;Varjota (CE);6539
2314003;Várzea Alegre (CE);12618
2314102;Viçosa do Ceará (CE);22742
2400109;Acari (RN);3179
2400208;Açu (RN);17482
2400307;Afonso Bezerra (RN);3846
2400406;Água Nova (RN);1009
2400505;Alexandria (RN);4188
2400604;Almino Afonso (RN);1540
2400703;Alto do Rodrigues (RN);3967
2400802;Angicos (RN);3613
2400901;Antônio Martins (RN);2181
2401008;Apodi (RN);10477
2401107;Areia Branca (RN);7952
2401206;Arês (RN);4686
2401305;Campo Grande (RN);3158
2401404;Baía Formosa (RN);3088
2401453;Baraúna (RN);9104
2401503;Barcelona (RN);1343
2401602;Bento Fernandes (RN);1966
2401651;Bodó (RN);837
2401701;Bom Jesus (RN);3475
2401800;Brejinho (RN);4189
2401859;Caiçara do Norte (RN);2235
2401909;Caiçara do Rio do Vento (RN);1103
2402006;Caicó (RN);17831
2402105;Campo Redondo (RN);3438
2402204;Canguaretama (RN);12236
2402303;Caraúbas (RN);6103
2402402;Carnaúba dos Dantas (RN);2331
2402501;Carnaubais (RN);3235
2402600;Ceará-Mirim (RN);25309
2402709;Cerro Corá (RN);3720
2402808;Coronel Ezequiel (RN);1889
2402907;Coronel João Pessoa (RN);1827
2403004;Cruzeta (RN);2290
2403103;Currais Novos (RN);12929
2403202;Doutor Severiano (RN);2204
2403251;Parnamirim (RN);62736
2403301;Encanto (RN);1753
2403400;Equador (RN);2030
2403509;Espírito Santo (RN);3933
2403608;Extremoz (RN);9023
2403707;Felipe Guerra (RN);1638
2403756;Fernando Pedroza (RN);887
2403806;Florânia (RN);2683
2403905;Francisco Dantas (RN);880
2404002;Frutuoso Gomes (RN);1302
2404101;Galinhos (RN);812
2404200;Goianinha (RN);8438
2404309;Governador Dix-Sept Rosado (RN);4057
2404408;Grossos (RN);2890
2404507;Guamaré (RN);4651
2404606;Ielmo Marinho (RN);4631
2404705;Ipanguaçu (RN);4908
2404804;Ipueira (RN);602
2404853;Itajá (RN);2456
2404903;Itaú (RN);1759
2405009;Jaçanã (RN);2713
2405108;Jandaíra (RN);2606
2405207;Janduís (RN);1742
2405306;Januário Cicco (RN);3367
2405405;Japi (RN);2091
2405504;Jardim de Angicos (RN);899
2405603;Jardim de Piranhas (RN);4194
2405702;Jardim do Seridó (RN);3080
2405801;João Câmara (RN);12198
2405900;João Dias (RN);919
2406007;José da Penha (RN);1811
2406106;Jucurutu (RN);5215
2406155;Jundiá (RN);1296
2406205;Lagoa d'Anta (RN);2417
2406304;Lagoa de Pedras (RN);2736
2406403;Lagoa de Velhos (RN);981
2406502;Lagoa Nova (RN);5088
2406601;Lagoa Salgada (RN);2875
2406700;Lajes (RN);3397
2406809;Lajes Pintadas (RN);1518
2406908;Lucrécia (RN);1190
2407005;Luís Gomes (RN);3391
2407104;Macaíba (RN);24360
2407203;Macau (RN);8931
2407252;Major Sales (RN);1197
2407302;Marcelino Vieira (RN);2686
2407401;Martins (RN);2594
2407500;Maxaranguape (RN);4144
2407609;Messias Targino (RN);1442
2407708;Montanhas (RN);4331
2407807;Monte Alegre (RN);7681
2407906;Monte das Gameleiras (RN);819
2408003;Mossoró (RN);79814
2408102;Natal (RN);232155
2408201;Nísia Floresta (RN);8759
2408300;Nova Cruz (RN);12736
2408409;Olho d'Água do Borges (RN);1264
2408508;Ouro Branco (RN);1322
2408607;Paraná (RN);1297
2408706;Paraú (RN);1259
2408805;Parazinho (RN);1952
2408904;Parelhas (RN);6311
2408953;Rio do Fogo (RN);4102
2409100;Passa e Fica (RN);3700
2409209;Passagem (RN);1023
2409308;Patu (RN);3859
2409332;Santa Maria (RN);1786
2409407;Pau dos Ferros (RN);8531
2409506;Pedra Grande (RN);1393
2409605;Pedra Preta (RN);978
2409704;Pedro Avelino (RN);2556
2409803;Pedro Velho (RN);5251
2409902;Pendências (RN);4367
2410009;Pilões (RN);1041
2410108;Poço Branco (RN);5349
2410207;Portalegre (RN);2347
2410256;Porto do Mangue (RN);1949
2410306;Serra Caiada (RN);3508
2410405;Pureza (RN);3359
2410504;Rafael Fernandes (RN);1466
2410603;Rafael Godeiro (RN);980
2410702;Riacho da Cruz (RN);1078
2410801;Riacho de Santana (RN);1355
2410900;Riachuelo (RN);2722
2411007;Rodolfo Fernandes (RN);1480
2411056;Tibau (RN);1220
2411106;Ruy Barbosa (RN);1334
2411205;Santa Cruz (RN);12510
2411403;Santana do Matos (RN);4096
2411429;Santana do Seridó (RN);759
2411502;Santo Antônio (RN);7862
2411601;São Bento do Norte (RN);1105
2411700;São Bento do Trairí (RN);1479
2411809;São Fernando (RN);999
2411908;São Francisco do Oeste (RN);1201
2412005;São Gonçalo do Amarante (RN);30871
2412104;São João do Sabugi (RN);1685
2412203;São José de Mipibu (RN);14760
2412302;São José do Campestre (RN);4436
2412401;São José do Seridó (RN);1222
2412500;São Miguel (RN);7897
2412559;São Miguel do Gostoso (RN);3427
2412609;São Paulo do Potengi (RN);5385
2412708;São Pedro (RN);2178
2412807;São Rafael (RN);2338
2412906;São Tomé (RN);3653
2413003;São Vicente (RN);1759
2413102;Senador Elói de Souza (RN);2154
2413201;Senador Georgino Avelino (RN);1560
2413300;Serra de São Bento (RN);2064
2413359;Serra do Mel (RN);3739
2413409;Serra Negra do Norte (RN);2407
2413508;Serrinha (RN);2454
2413557;Serrinha dos Pintos (RN);1372
2413607;Severiano Melo (RN);1747
2413706;Sítio Novo (RN);1831
2413805;Taboleiro Grande (RN);782
2413904;Taipu (RN);4558
2414001;Tangará (RN);5280
2414100;Tenente Ananias (RN);3070
2414159;Tenente Laurentino Cruz (RN);2009
2414209;Tibau do Sul (RN);4114
2414308;Timbaúba dos Batistas (RN);639
2414407;Touros (RN);12201
2414456;Triunfo Potiguar (RN);1227
2414506;Umarizal (RN);3344
2414605;Upanema (RN);4390
2414704;Várzea (RN);1720
2414753;Venha-Ver (RN);1481
2414803;Vera Cruz (RN);3958
2414902;Viçosa (RN);544
2415008;Vila Flor (RN);1131
2500106;Água Branca (PB);3644
2500205;Aguiar (PB);1879
2500304;Alagoa Grande (PB);10166
2500403;Alagoa Nova (PB);7014
2500502;Alagoinha (PB);5067
2500536;Alcantil (PB);1837
2500577;Algodão de Jandaíra (PB);880
2500601;Alhandra (PB);6797
2500700;São João do Rio do Peixe (PB);5436
2500734;Amparo (PB);715
2500775;Aparecida (PB);2361
2500809;Araçagi (PB);6027
2500908;Arara (PB);4224
2501005;Araruna (PB);7285
2501104;Areia (PB);8385
2501153;Areia de Baraúnas (PB);697
2501203;Areial (PB);2172
2501302;Aroeiras (PB);7179
2501351;Assunção (PB);1271
2501401;Baía da Traição (PB);3242
2501500;Bananeiras (PB);7876
2501534;Baraúna (PB);1448
2501575;Barra de Santana (PB);2811
2501609;Barra de Santa Rosa (PB);4924
2501708;Barra de São Miguel (PB);1906
2501807;Bayeux (PB);33322
2501906;Belém (PB);5597
2502003;Belém do Brejo do Cruz (PB);2351
2502052;Bernardino Batista (PB);1261
2502102;Boa Ventura (PB);1937
2502151;Boa Vista (PB);2025
2502201;Bom Jesus (PB);824
2502300;Bom Sucesso (PB);1493
2502409;Bonito de Santa Fé (PB);3972
2502508;Boqueirão (PB);5859
2502607;Igaracy (PB);2128
2502706;Borborema (PB);1948
2502805;Brejo do Cruz (PB);4334
2502904;Brejo dos Santos (PB);1956
2503001;Caaporã (PB);7959
2503100;Cabaceiras (PB);1647
2503209;Cabedelo (PB);18234
2503308;Cachoeira dos Índios (PB);3213
2503407;Cacimba de Areia (PB);1156
2503506;Cacimba de Dentro (PB);6185
2503555;Cacimbas (PB);3148
2503605;Caiçara (PB);2476
2503704;Cajazeiras (PB);17971
2503753;Cajazeirinhas (PB);1046
2503803;Caldas Brandão (PB);1934
2503902;Camalaú (PB);1982
2504009;Campina Grande (PB);119587
2504033;Capim (PB);2296
2504074;Caraúbas (PB);1322
2504108;Carrapateira (PB);858
2504157;Casserengue (PB);2689
2504207;Catingueira (PB);1691
2504306;Catolé do Rocha (PB);8880
2504355;Caturité (PB);1569
2504405;Conceição (PB);6122
2504504;Condado (PB);2118
2504603;Conde (PB);8137
2504702;Congo (PB);1580
2504801;Coremas (PB);5141
2504850;Coxixola (PB);477
2504900;Cruz do Espírito Santo (PB);6072
2505006;Cubati (PB);2413
2505105;Cuité (PB);6399
2505204;Cuitegi (PB);2549
2505238;Cuité de Mamanguape (PB);2250
2505279;Curral de Cima (PB);1955
2505303;Curral Velho (PB);890
2505352;Damião (PB);1882
2505402;Desterro (PB);3000
2505501;Vista Serrana (PB);1187
2505600;Diamante (PB);2319
2505709;Dona Inês (PB);4044
2505808;Duas Estradas (PB);1280
2505907;Emas (PB);1216
2506004;Esperança (PB);10512
2506103;Fagundes (PB);4192
2506202;Frei Martinho (PB);830
2506251;Gado Bravo (PB);3158
2506301;Guarabira (PB);17726
2506400;Gurinhém (PB);4871
2506509;Gurjão (PB);985
2506608;Ibiara (PB);1934
2506707;Imaculada (PB);4679
2506806;Ingá (PB);6546
2506905;Itabaiana (PB);7683
2507002;Itaporanga (PB);7887
2507101;Itapororoca (PB);5971
2507200;Itatuba (PB);3667
2507309;Jacaraú (PB);5017
2507408;Jericó (PB);2478
2507507;João Pessoa (PB);209833
2507606;Juarez Távora (PB);2652
2507705;Juazeirinho (PB);6327
2507804;Junco do Seridó (PB);2315
2507903;Juripiranga (PB);3624
2508000;Juru (PB);3526
2508109;Lagoa (PB);1499
2508208;Lagoa de Dentro (PB);2629
2508307;Lagoa Seca (PB);8912
2508406;Lastro (PB);865
2508505;Livramento (PB);2600
2508554;Logradouro (PB);1368
2508604;Lucena (PB);4431
2508703;Mãe d'Água (PB);1378
2508802;Malta (PB);1889
2508901;Mamanguape (PB);15395
2509008;Manaíra (PB);4069
2509057;Marcação (PB);3155
2509107;Mari (PB);7015
2509156;Marizópolis (PB);2027
2509206;Massaranduba (PB);4606
2509305;Mataraca (PB);3004
2509339;Matinhas (PB);1626
2509370;Mato Grosso (PB);911
2509396;Maturéia (PB);2247
2509404;Mogeiro (PB);4595
2509503;Montadas (PB);1715
2509602;Monte Horebe (PB);1619
2509701;Monteiro (PB);9930
2509800;Mulungu (PB);3165
2509909;Natuba (PB);4083
2510006;Nazarezinho (PB);2349
2510105;Nova Floresta (PB);3640
2510204;Nova Olinda (PB);2278
2510303;Nova Palmeira (PB);1346
2510402;Olho d'Água (PB);2448
2510501;Olivedos (PB);1165
2510600;Ouro Velho (PB);905
2510659;Parari (PB);409
2510709;Passagem (PB);732
2510808;Patos (PB);32333
2510907;Paulista (PB);3675
2511004;Pedra Branca (PB);1323
2511103;Pedra Lavrada (PB);2424
2511202;Pedras de Fogo (PB);9610
2511301;Piancó (PB);4837
2511400;Picuí (PB);6224
2511509;Pilar (PB);3942
2511608;Pilões (PB);2619
2511707;Pilõezinhos (PB);1864
2511806;Pirpirituba (PB);3585
2511905;Pitimbu (PB);6652
2512002;Pocinhos (PB);6134
2512036;Poço Dantas (PB);1435
2512077;Poço de José de Moura (PB);1241
2512101;Pombal (PB);9578
2512200;Prata (PB);1240
2512309;Princesa Isabel (PB);7449
2512408;Puxinanã (PB);4508
2512507;Queimadas (PB);14425
2512606;Quixaba (PB);599
2512705;Remígio (PB);6159
2512721;Pedro Régis (PB);2119
2512747;Riachão (PB);1211
2512754;Riachão do Bacamarte (PB);1515
2512762;Riachão do Poço (PB);1460
2512788;Riacho de Santo Antônio (PB);628
2512804;Riacho dos Cavalos (PB);2725
2512903;Rio Tinto (PB);7585
2513000;Salgadinho (PB);1309
2513109;Salgado de São Félix (PB);4056
2513158;Santa Cecília (PB);2611
2513208;Santa Cruz (PB);1783
2513307;Santa Helena (PB);1664
2513356;Santa Inês (PB);1295
2513406;Santa Luzia (PB);4616
2513505;Santana de Mangueira (PB);1923
2513604;Santana dos Garrotes (PB);2365
2513653;Joca Claudino (PB);833
2513703;Santa Rita (PB);41188
2513802;Santa Teresinha (PB);1524
2513851;Santo André (PB);776
2513901;São Bento (PB);10388
2513927;São Bentinho (PB);1323
2513943;São Domingos do Cariri (PB);788
2513968;São Domingos (PB);852
2513984;São Francisco (PB);937
2514008;São João do Cariri (PB);1340
2514107;São João do Tigre (PB);1597
2514206;São José da Lagoa Tapada (PB);2426
2514305;São José de Caiana (PB);2393
2514404;São José de Espinharas (PB);1582
2514453;São José dos Ramos (PB);2017
2514503;São José de Piranhas (PB);6378
2514552;São José de Princesa (PB);1551
2514602;São José do Bonfim (PB);1110
2514651;São José do Brejo do Cruz (PB);582
2514701;São José do Sabugi (PB);1250
2514800;São José dos Cordeiros (PB);1307
2514909;São Mamede (PB);2264
2515005;São Miguel de Taipu (PB);2515
2515104;São Sebastião de Lagoa de Roça (PB);3805
2515203;São Sebastião do Umbuzeiro (PB);1083
2515302;Sapé (PB);17147
2515401;São Vicente do Seridó (PB);3978
2515500;Serra Branca (PB);3924
2515609;Serra da Raiz (PB);1104
2515708;Serra Grande (PB);1050
2515807;Serra Redonda (PB);2374
2515906;Serraria (PB);2358
2515930;Sertãozinho (PB);1481
2515971;Sobrado (PB);2543
2516003;Solânea (PB);9086
2516102;Soledade (PB);4628
2516151;Sossêgo (PB);1178
2516201;Sousa (PB);20135
2516300;Sumé (PB);4816
2516409;Tacima (PB);3285
2516508;Taperoá (PB);5220
2516607;Tavares (PB);5246
2516706;Teixeira (PB);5183
2516755;Tenório (PB);1023
2516805;Triunfo (PB);3167
2516904;Uiraúna (PB);4402
2517001;Umbuzeiro (PB);3389
2517100;Várzea (PB);718
2517209;Vieirópolis (PB);1521
2517407;Zabelê (PB);688
2600054;Abreu e Lima (PE);28788
2600104;Afogados da Ingazeira (PE);11865
2600203;Afrânio (PE);6526
2600302;Agrestina (PE);7937
2600401;Água Preta (PE);12843
2600500;Águas Belas (PE);16286
2600609;Alagoinha (PE);4728
2600708;Aliança (PE);13168
2600807;Altinho (PE);7234
2600906;Amaraji (PE);8165
2601003;Angelim (PE);3742
2601052;Araçoiaba (PE);6806
2601102;Araripina (PE);30355
2601201;Arcoverde (PE);23796
2601300;Barra de Guabiraba (PE);4856
