"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"1100015003","Cidade Alta - Alta Floresta D'Oeste (RO)","Total","50 a 54 anos","50","-","1","12","8","6","5","3","-","-","2","-","13","-"
"1100015003","Cidade Alta - Alta Floresta D'Oeste (RO)","Total","55 a 59 anos","49","1","1","22","15","2","2","-","-","-","-","-","6","-"
"1100015003","Cidade Alta - Alta Floresta D'Oeste (RO)","Total","60 a 69 anos","53","-","-","31","11","3","1","-","1","-","-","-","6","-"
"1100015003","Cidade Alta - Alta Floresta D'Oeste (RO)","Total","70 anos ou mais","49","-","-","36","10","1","1","1","-","-","-","-","-","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","10 a 14 anos","255","13","3","2","2","-","-","-","-","-","-","-","235","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","15 a 19 anos","294","11","18","65","12","1","-","-","-","-","-","-","187","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","15 a 17 anos","177","7","10","30","2","-","-","-","-","-","-","-","128","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","18 ou 19 anos","117","4","8","35","10","1","-","-","-","-","-","-","59","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","20 a 24 anos","258","2","6","68","56","15","2","1","-","-","-","-","108","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","25 a 29 anos","284","5","11","58","69","23","19","5","3","2","1","-","88","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","30 a 34 anos","247","4","5","56","57","27","24","6","2","-","-","-","66","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","35 a 39 anos","222","2","6","66","54","17","18","8","-","-","-","-","51","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","40 a 44 anos","197","-","7","50","47","24","12","8","-","-","-","-","49","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","45 a 49 anos","185","5","4","45","33","18","19","11","3","-","-","1","46","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","50 a 54 anos","122","2","3","29","25","9","10","12","-","-","-","-","32","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","55 a 59 anos","90","3","1","31","19","3","6","5","1","-","1","-","20","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","60 a 69 anos","132","1","1","81","26","5","3","4","-","-","-","-","11","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","70 anos ou mais","113","-","1","78","27","1","-","3","-","-","-","-","3","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","10 a 14 anos","287","11","5","6","-","-","-","-","-","-","-","-","265","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","15 a 19 anos","338","13","24","65","17","1","-","-","-","-","-","-","218","-"
