"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4104303010","Jardim Modelo - Campo Mourão (PR)","Total","Total","599","65","148","140","125","65","35","11","7","2","1","-","-","-","-"
"4104303011","Jardim Bandeirantes - Campo Mourão (PR)","Total","Total","619","71","138","172","153","59","16","9","1","-","-","-","-","-","-"
"4104303012","Jardim Alvorada - Campo Mourão (PR)","Total","Total","546","81","150","140","96","48","19","10","2","-","-","-","-","-","-"
"4104303013","Jardim Conrado - Campo Mourão (PR)","Total","Total","433","38","116","123","113","40","2","1","-","-","-","-","-","-","-"
"4104303014","Jardim Santa Nilce - Campo Mourão (PR)","Total","Total","616","57","143","174","158","53","22","3","3","1","2","-","-","-","-"
"4104303015","Jardim Tropical - Campo Mourão (PR)","Total","Total","1431","121","321","407","316","150","71","23","13","6","2","-","1","-","-"
"4104303016","Diamante Azul - Campo Mourão (PR)","Total","Total","629","44","137","190","162","62","16","13","4","1","-","-","-","-","-"
"4104303017","Jardim Aeroporto - Campo Mourão (PR)","Total","Total","932","88","211","270","202","100","41","15","2","-","2","1","-","-","-"
"4104303018","Jardim Paulista - Campo Mourão (PR)","Total","Total","593","55","140","170","123","68","21","10","4","-","-","-","-","1","1"
"4104303019","Parigot de Souza - Campo Mourão (PR)","Total","Total","435","37","110","133","94","45","8","6","1","-","-","1","-","-","-"
"4104303020","Jardim Albuquerque - Campo Mourão (PR)","Total","Total","734","66","175","243","191","48","8","2","1","-","-","-","-","-","-"
"4104303021","Jardim Ilha Bela - Campo Mourão (PR)","Total","Total","450","47","126","111","107","43","11","3","2","-","-","-","-","-","-"
"4104303022","Jardim Isabel - Campo Mourão (PR)","Total","Total","573","48","134","186","140","49","10","4","1","1","-","-","-","-","-"
"4104303023","Jardim Gutierrez - Campo Mourão (PR)","Total","Total","587","63","144","175","142","42","15","4","2","-","-","-","-","-","-"
"4104303024","Jardim Araucária - Campo Mourão (PR)","Total","Total","381","29","97","122","86","35","10","-","1","1","-","-","-","-","-"
"4104303025","Jardim Capricórnio - Campo Mourão (PR)","Total","Total","429","55","119","120","92","36","7","-","-","-","-","-","-","-","-"
"4104303026","Jardim Maia - Campo Mourão (PR)","Total","Total","252","20","70","74","53","26","7","1","-","1","-","-","-","-","-"
"4104303027","Jardim Country Clube - Campo Mourão (PR)","Total","Total","429","42","130","104","101","30","13","6","2","1","-","-","-","-","-"
"4104303028","Jardim Flórida - Campo Mourão (PR)","Total","Total","422","48","123","116","89","30","10","3","2","1","-","-","-","-","-"
"4104303029","Vila Carola - Campo Mourão (PR)","Total","Total","55","5","8","16","14","9","2","-","-","-","1","-","-","-","-"
"4104303030","Jardim Damasco - Campo Mourão (PR)","Total","Total","591","57","129","150","144","68","25","8","7","2","-","1","-","-","-"
"4104303031","Jardim Paulino - Campo Mourão (PR)","Total","Total","274","34","58","73","52","35","13","5","2","2","-","-","-","-","-"
