"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1200302","Feijó (AC)","Total","Total","7037","6845","2","70","4","116"
"1200328","Jordão (AC)","Total","Total","1303","1275","8","12","8","-"
"1200336","Mâncio Lima (AC)","Total","Total","3586","3586","-","-","-","-"
"1200344","Manoel Urbano (AC)","Total","Total","1858","1772","6","7","-","73"
"1200351","Marechal Thaumaturgo (AC)","Total","Total","2750","2748","1","-","1","-"
"1200385","Plácido de Castro (AC)","Total","Total","4742","4696","6","24","16","-"
"1200393","Porto Walter (AC)","Total","Total","1702","1677","23","1","1","-"
"1200401","Rio Branco (AC)","Total","Total","94216","83746","564","9672","234","-"
"1200427","Rodrigues Alves (AC)","Total","Total","3131","3126","2","3","-","-"
"1200435","Santa Rosa do Purus (AC)","Total","Total","816","802","1","-","10","3"
"1200450","Senador Guiomard (AC)","Total","Total","5606","5458","4","144","-","-"
"1200500","Sena Madureira (AC)","Total","Total","9313","9014","11","274","14","-"
"1200609","Tarauacá (AC)","Total","Total","7492","7350","35","61","46","-"
"1200708","Xapuri (AC)","Total","Total","4490","4420","6","42","22","-"
"1200807","Porto Acre (AC)","Total","Total","4020","4013","2","4","1","-"
"1300029","Alvarães (AM)","Total","Total","2481","2477","1","2","1","-"
"1300060","Amaturá (AM)","Total","Total","1652","1622","-","17","4","9"
"1300086","Anamã (AM)","Total","Total","1883","1881","-","2","-","-"
"1300102","Anori (AM)","Total","Total","3060","3043","2","15","-","-"
"1300144","Apuí (AM)","Total","Total","4606","4508","19","55","24","-"
"1300201","Atalaia do Norte (AM)","Total","Total","2885","2634","19","10","-","222"
"1300300","Autazes (AM)","Total","Total","6941","6877","9","36","17","2"
"1300409","Barcelos (AM)","Total","Total","4443","3423","35","42","20","923"
"1300508","Barreirinha (AM)","Total","Total","5143","4552","1","2","10","578"
"1300607","Benjamin Constant (AM)","Total","Total","5950","5915","-","30","5","-"
"1300631","Beruri (AM)","Total","Total","2886","2882","1","2","1","-"
"1300680","Boa Vista do Ramos (AM)","Total","Total","2738","2727","4","6","1","-"
"1300706","Boca do Acre (AM)","Total","Total","7125","7079","2","36","6","2"
"1300805","Borba (AM)","Total","Total","6651","6620","2","24","5","-"
"1300839","Caapiranga (AM)","Total","Total","2223","2221","1","1","-","-"
"1300904","Canutama (AM)","Total","Total","2955","2951","3","-","1","-"
"1301001","Carauari (AM)","Total","Total","5240","5225","4","7","4","-"
"1301100","Careiro (AM)","Total","Total","7381","7258","1","79","41","2"
"1301159","Careiro da Várzea (AM)","Total","Total","5758","5744","1","10","3","-"
"1301209","Coari (AM)","Total","Total","15151","14576","35","405","135","-"
"1301308","Codajás (AM)","Total","Total","4486","4412","6","47","21","-"
"1301407","Eirunepé (AM)","Total","Total","6254","6127","4","27","35","61"
"1301506","Envira (AM)","Total","Total","3204","3200","2","2","-","-"
"1301605","Fonte Boa (AM)","Total","Total","3900","3857","1","39","3","-"
"1301654","Guajará (AM)","Total","Total","2639","2635","3","1","-","-"
"1301704","Humaitá (AM)","Total","Total","9825","9386","63","320","9","47"
"1301803","Ipixuna (AM)","Total","Total","3721","3717","-","3","1","-"
"1301852","Iranduba (AM)","Total","Total","9797","9535","49","184","29","-"
"1301902","Itacoatiara (AM)","Total","Total","19835","19255","104","436","40","-"
"1301951","Itamarati (AM)","Total","Total","1570","1567","2","1","-","-"
"1302009","Itapiranga (AM)","Total","Total","1765","1751","-","13","1","-"
"1302108","Japurá (AM)","Total","Total","1265","1167","9","4","1","84"
"1302207","Juruá (AM)","Total","Total","2043","1983","3","15","8","34"
"1302306","Jutaí (AM)","Total","Total","3165","3142","1","8","4","10"
"1302405","Lábrea (AM)","Total","Total","8128","8012","34","72","4","6"
"1302504","Manacapuru (AM)","Total","Total","18165","17299","102","674","90","-"
"1302553","Manaquiri (AM)","Total","Total","4870","4858","4","1","7","-"
"1302603","Manaus (AM)","Total","Total","460844","388091","18214","48002","6537","-"
"1302702","Manicoré (AM)","Total","Total","9538","9352","29","74","57","26"
"1302801","Maraã (AM)","Total","Total","2793","2753","11","19","8","2"
"1302900","Maués (AM)","Total","Total","10004","9686","32","33","68","185"
"1303007","Nhamundá (AM)","Total","Total","3784","3743","1","25","1","14"
"1303106","Nova Olinda do Norte (AM)","Total","Total","5570","5401","128","34","7","-"
"1303205","Novo Airão (AM)","Total","Total","3152","3032","1","44","3","72"
"1303304","Novo Aripuanã (AM)","Total","Total","4255","4185","9","3","51","7"
"1303403","Parintins (AM)","Total","Total","20671","20409","44","119","99","-"
"1303502","Pauini (AM)","Total","Total","3049","3030","2","2","5","10"
"1303536","Presidente Figueiredo (AM)","Total","Total","7226","6503","86","490","57","90"
"1303569","Rio Preto da Eva (AM)","Total","Total","6094","5892","55","121","26","-"
"1303601","Santa Isabel do Rio Negro (AM)","Total","Total","2606","2059","1","14","9","523"
"1303700","Santo Antônio do Içá (AM)","Total","Total","3992","3970","6","9","5","2"
"1303809","São Gabriel da Cachoeira (AM)","Total","Total","7490","6758","125","244","84","279"
"1303908","São Paulo de Olivença (AM)","Total","Total","5331","5308","15","8","-","-"
"1303957","São Sebastião do Uatumã (AM)","Total","Total","1945","1934","1","-","10","-"
"1304005","Silves (AM)","Total","Total","1736","1732","1","3","-","-"
"1304062","Tabatinga (AM)","Total","Total","10014","8749","58","1080","127","-"
"1304104","Tapauá (AM)","Total","Total","3894","3885","2","5","1","1"
"1304203","Tefé (AM)","Total","Total","12165","11405","158","559","43","-"
"1304237","Tonantins (AM)","Total","Total","2795","2780","4","6","2","3"
"1304260","Uarini (AM)","Total","Total","2192","2190","-","1","-","1"
"1304302","Urucará (AM)","Total","Total","3410","3380","27","3","-","-"
"1304401","Urucurituba (AM)","Total","Total","3295","3280","2","3","10","-"
"1400027","Amajari (RR)","Total","Total","2108","1677","1","2","11","417"
"1400050","Alto Alegre (RR)","Total","Total","3700","2483","11","13","8","1185"
"1400100","Boa Vista (RR)","Total","Total","76250","65111","2940","7543","653","3"
"1400159","Bonfim (RR)","Total","Total","2507","2290","16","12","6","183"
"1400175","Cantá (RR)","Total","Total","3634","3611","7","5","7","4"
"1400209","Caracaraí (RR)","Total","Total","4436","4294","27","30","30","55"
"1400233","Caroebe (RR)","Total","Total","2155","2115","4","31","1","4"
"1400282","Iracema (RR)","Total","Total","2236","1927","-","-","1","308"
"1400308","Mucajaí (RR)","Total","Total","3876","3767","86","21","2","-"
"1400407","Normandia (RR)","Total","Total","1702","1577","16","-","1","108"
"1400456","Pacaraima (RR)","Total","Total","2393","2096","48","166","7","76"
"1400472","Rorainópolis (RR)","Total","Total","5935","5652","67","100","43","73"
"1400506","São João da Baliza (RR)","Total","Total","1734","1718","5","4","7","-"
"1400605","São Luiz (RR)","Total","Total","1734","1712","6","16","-","-"
"1400704","Uiramutã (RR)","Total","Total","1444","1297","9","3","-","135"
"1500107","Abaetetuba (PA)","Total","Total","30917","29912","666","249","90","-"
"1500131","Abel Figueiredo (PA)","Total","Total","1868","1836","10","14","8","-"
"1500206","Acará (PA)","Total","Total","11715","11608","93","11","3","-"
"1500305","Afuá (PA)","Total","Total","6754","6425","305","21","3","-"
"1500347","Água Azul do Norte (PA)","Total","Total","5812","5745","20","4","43","-"
"1500404","Alenquer (PA)","Total","Total","12106","12041","27","22","16","-"
"1500503","Almeirim (PA)","Total","Total","7862","7125","297","202","74","164"
"1500602","Altamira (PA)","Total","Total","26427","24336","1599","207","128","157"
"1500701","Anajás (PA)","Total","Total","4853","4812","19","18","4","-"
"1500800","Ananindeua (PA)","Total","Total","125800","112395","7806","4897","702","-"
"1500859","Anapu (PA)","Total","Total","5075","5025","25","3","10","12"
"1500909","Augusto Corrêa (PA)","Total","Total","8857","8816","34","-","7","-"
"1500958","Aurora do Pará (PA)","Total","Total","5839","5829","9","-","1","-"
"1501006","Aveiro (PA)","Total","Total","3436","3285","23","-","-","128"
"1501105","Bagre (PA)","Total","Total","3711","3661","49","1","-","-"
"1501204","Baião (PA)","Total","Total","8007","7979","5","4","12","7"
"1501253","Bannach (PA)","Total","Total","984","977","-","-","2","5"
"1501303","Barcarena (PA)","Total","Total","24844","23504","1083","153","104","-"
"1501402","Belém (PA)","Total","Total","368877","294491","30993","40912","2481","-"
"1501451","Belterra (PA)","Total","Total","3987","3972","2","6","7","-"
"1501501","Benevides (PA)","Total","Total","13665","13126","475","30","34","-"
"1501576","Bom Jesus do Tocantins (PA)","Total","Total","3848","3836","3","-","1","8"
"1501600","Bonito (PA)","Total","Total","3322","3313","9","-","-","-"
"1501709","Bragança (PA)","Total","Total","26222","25456","608","87","71","-"
"1501725","Brasil Novo (PA)","Total","Total","4362","4240","95","-","2","25"
"1501758","Brejo Grande do Araguaia (PA)","Total","Total","1913","1912","-","-","1","-"
"1501782","Breu Branco (PA)","Total","Total","12226","12082","44","35","65","-"
"1501808","Breves (PA)","Total","Total","17500","16543","831","68","58","-"
"1501907","Bujaru (PA)","Total","Total","5855","5817","15","1","22","-"
"1501956","Cachoeira do Piriá (PA)","Total","Total","5639","5637","1","-","1","-"
"1502004","Cachoeira do Arari (PA)","Total","Total","4537","4531","2","1","3","-"
"1502103","Cametá (PA)","Total","Total","23623","23373","68","168","14","-"
"1502152","Canaã dos Carajás (PA)","Total","Total","7452","6795","360","223","74","-"
"1502202","Capanema (PA)","Total","Total","16862","16389","442","17","14","-"
"1502301","Capitão Poço (PA)","Total","Total","12955","12845","94","8","8","-"
"1502400","Castanhal (PA)","Total","Total","45444","41620","3031","596","197","-"
"1502509","Chaves (PA)","Total","Total","4308","4185","120","1","2","-"
"1502608","Colares (PA)","Total","Total","2787","2770","10","2","5","-"
"1502707","Conceição do Araguaia (PA)","Total","Total","12853","12788","27","7","31","-"
"1502756","Concórdia do Pará (PA)","Total","Total","6288","6196","86","1","5","-"
"1502764","Cumaru do Norte (PA)","Total","Total","2640","2627","9","2","2","-"
"1502772","Curionópolis (PA)","Total","Total","5228","5168","34","17","9","-"
"1502806","Curralinho (PA)","Total","Total","5245","5205","38","1","1","-"
"1502855","Curuá (PA)","Total","Total","2648","2647","-","1","-","-"
"1502905","Curuçá (PA)","Total","Total","8503","8392","31","2","78","-"
"1502939","Dom Eliseu (PA)","Total","Total","13001","12481","253","169","98","-"
"1502954","Eldorado do Carajás (PA)","Total","Total","8055","7875","109","3","68","-"
"1503002","Faro (PA)","Total","Total","1710","1707","1","-","-","2"
