"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"2307635","Madalena (CE)","Total","Total","4791","4728","24","38","1","-"
"2307650","Maracanaú (CE)","Total","Total","57890","55908","1058","872","52","-"
"2307700","Maranguape (CE)","Total","Total","28984","28255","274","445","10","-"
"2307809","Marco (CE)","Total","Total","5952","5677","59","214","2","-"
"2307908","Martinópole (CE)","Total","Total","2706","2669","36","-","1","-"
"2308005","Massapê (CE)","Total","Total","9247","9197","3","47","-","-"
"2308104","Mauriti (CE)","Total","Total","11637","11585","36","15","1","-"
"2308203","Meruoca (CE)","Total","Total","3496","3485","4","5","2","-"
"2308302","Milagres (CE)","Total","Total","7835","7802","-","29","4","-"
"2308351","Milhã (CE)","Total","Total","3837","3819","11","7","-","-"
"2308377","Miraíma (CE)","Total","Total","3237","3235","1","1","-","-"
"2308401","Missão Velha (CE)","Total","Total","9063","9058","-","5","-","-"
"2308500","Mombaça (CE)","Total","Total","11965","11759","2","201","3","-"
"2308609","Monsenhor Tabosa (CE)","Total","Total","4764","4714","4","46","-","-"
"2308708","Morada Nova (CE)","Total","Total","18225","17774","11","434","6","-"
"2308807","Moraújo (CE)","Total","Total","2121","2100","-","21","-","-"
"2308906","Morrinhos (CE)","Total","Total","5336","5326","-","10","-","-"
"2309003","Mucambo (CE)","Total","Total","4226","4191","23","12","-","-"
"2309102","Mulungu (CE)","Total","Total","2928","2898","24","6","-","-"
"2309201","Nova Olinda (CE)","Total","Total","3981","3978","-","2","1","-"
"2309300","Nova Russas (CE)","Total","Total","9297","9094","53","145","5","-"
"2309409","Novo Oriente (CE)","Total","Total","8002","7969","3","27","3","-"
"2309458","Ocara (CE)","Total","Total","6779","6687","55","33","4","-"
"2309508","Orós (CE)","Total","Total","6551","6454","2","90","5","-"
"2309607","Pacajus (CE)","Total","Total","17587","16768","568","222","29","-"
"2309706","Pacatuba (CE)","Total","Total","18713","18556","106","32","19","-"
"2309805","Pacoti (CE)","Total","Total","3054","3044","5","2","3","-"
"2309904","Pacujá (CE)","Total","Total","1749","1710","9","30","-","-"
"2310001","Palhano (CE)","Total","Total","2611","2596","-","15","-","-"
"2310100","Palmácia (CE)","Total","Total","3082","3070","7","5","-","-"
"2310209","Paracuru (CE)","Total","Total","8699","8491","42","159","7","-"
"2310258","Paraipaba (CE)","Total","Total","8184","8095","7","67","15","-"
"2310308","Parambu (CE)","Total","Total","8974","8953","4","14","3","-"
"2310407","Paramoti (CE)","Total","Total","3010","2963","-","46","1","-"
"2310506","Pedra Branca (CE)","Total","Total","11933","11885","15","30","3","-"
"2310605","Penaforte (CE)","Total","Total","2289","2289","-","-","-","-"
"2310704","Pentecoste (CE)","Total","Total","9858","9681","57","119","1","-"
"2310803","Pereiro (CE)","Total","Total","4354","4341","-","13","-","-"
"2310852","Pindoretama (CE)","Total","Total","5341","5281","19","37","4","-"
"2310902","Piquet Carneiro (CE)","Total","Total","4437","4433","-","2","2","-"
"2310951","Pires Ferreira (CE)","Total","Total","2788","2766","3","19","-","-"
"2311009","Poranga (CE)","Total","Total","3398","3380","2","16","-","-"
"2311108","Porteiras (CE)","Total","Total","4148","4132","-","16","-","-"
"2311207","Potengi (CE)","Total","Total","2828","2817","3","7","1","-"
"2311231","Potiretama (CE)","Total","Total","1705","1695","-","9","1","-"
"2311264","Quiterianópolis (CE)","Total","Total","5722","5694","2","26","-","-"
"2311306","Quixadá (CE)","Total","Total","22124","21250","82","783","9","-"
"2311355","Quixelô (CE)","Total","Total","4652","4597","1","54","-","-"
"2311405","Quixeramobim (CE)","Total","Total","20476","20197","104","169","6","-"
"2311504","Quixeré (CE)","Total","Total","5877","5802","11","63","1","-"
"2311603","Redenção (CE)","Total","Total","7392","7327","20","42","3","-"
"2311702","Reriutaba (CE)","Total","Total","5581","5478","2","100","1","-"
"2311801","Russas (CE)","Total","Total","20411","19951","63","389","8","-"
"2311900","Saboeiro (CE)","Total","Total","4507","4507","-","-","-","-"
"2311959","Salitre (CE)","Total","Total","3930","3925","4","1","-","-"
"2312007","Santana do Acaraú (CE)","Total","Total","7522","7446","2","71","3","-"
"2312106","Santana do Cariri (CE)","Total","Total","4510","4494","16","-","-","-"
"2312205","Santa Quitéria (CE)","Total","Total","11841","11675","5","161","-","-"
"2312304","São Benedito (CE)","Total","Total","12101","11685","19","396","1","-"
"2312403","São Gonçalo do Amarante (CE)","Total","Total","12011","11743","100","154","14","-"
"2312502","São João do Jaguaribe (CE)","Total","Total","2578","2540","-","38","-","-"
"2312601","São Luís do Curu (CE)","Total","Total","3578","3559","-","19","-","-"
"2312700","Senador Pompeu (CE)","Total","Total","7953","7891","-","57","5","-"
"2312809","Senador Sá (CE)","Total","Total","1824","1722","101","1","-","-"
"2312908","Sobral (CE)","Total","Total","50520","47464","371","2644","41","-"
"2313005","Solonópole (CE)","Total","Total","5292","5285","-","-","7","-"
"2313104","Tabuleiro do Norte (CE)","Total","Total","9121","8510","54","557","-","-"
"2313203","Tamboril (CE)","Total","Total","6919","6880","3","36","-","-"
"2313252","Tarrafas (CE)","Total","Total","2488","2486","1","-","1","-"
"2313302","Tauá (CE)","Total","Total","16256","16206","15","32","3","-"
"2313351","Tejuçuoca (CE)","Total","Total","4289","4267","1","19","2","-"
"2313401","Tianguá (CE)","Total","Total","18220","17601","108","499","12","-"
"2313500","Trairi (CE)","Total","Total","13366","13182","13","167","4","-"
"2313559","Tururu (CE)","Total","Total","3819","3811","-","8","-","-"
"2313609","Ubajara (CE)","Total","Total","8736","8605","9","114","8","-"
"2313708","Umari (CE)","Total","Total","2155","2154","-","-","1","-"
"2313757","Umirim (CE)","Total","Total","4769","4716","23","15","15","-"
"2313807","Uruburetama (CE)","Total","Total","5222","5183","15","23","1","-"
"2313906","Uruoca (CE)","Total","Total","3547","3536","3","5","3","-"
"2313955","Varjota (CE)","Total","Total","4877","4671","2","204","-","-"
"2314003","Várzea Alegre (CE)","Total","Total","11541","11468","5","64","4","-"
"2314102","Viçosa do Ceará (CE)","Total","Total","13562","13168","189","201","4","-"
"2400109","Acari (RN)","Total","Total","3293","3250","8","34","1","-"
"2400208","Açu (RN)","Total","Total","14846","14665","105","45","31","-"
"2400307","Afonso Bezerra (RN)","Total","Total","2937","2931","4","1","1","-"
"2400406","Água Nova (RN)","Total","Total","792","790","-","2","-","-"
"2400505","Alexandria (RN)","Total","Total","3925","3911","-","13","1","-"
"2400604","Almino Afonso (RN)","Total","Total","1436","1435","-","1","-","-"
"2400703","Alto do Rodrigues (RN)","Total","Total","3573","3495","52","26","-","-"
"2400802","Angicos (RN)","Total","Total","3252","3193","57","2","-","-"
"2400901","Antônio Martins (RN)","Total","Total","2087","2087","-","-","-","-"
"2401008","Apodi (RN)","Total","Total","9999","9891","41","63","4","-"
"2401107","Areia Branca (RN)","Total","Total","7235","7183","35","15","2","-"
"2401206","Arês (RN)","Total","Total","3443","3434","-","3","6","-"
"2401305","Campo Grande (RN)","Total","Total","2606","2584","2","18","2","-"
"2401404","Baía Formosa (RN)","Total","Total","2171","2145","16","-","10","-"
"2401453","Baraúna (RN)","Total","Total","6739","6625","101","7","6","-"
"2401503","Barcelona (RN)","Total","Total","1137","1105","31","-","1","-"
"2401602","Bento Fernandes (RN)","Total","Total","1299","1299","-","-","-","-"
"2401651","Bodó (RN)","Total","Total","695","695","-","-","-","-"
"2401701","Bom Jesus (RN)","Total","Total","2666","2662","4","-","-","-"
"2401800","Brejinho (RN)","Total","Total","3283","3251","1","12","19","-"
"2401859","Caiçara do Norte (RN)","Total","Total","1606","1599","4","2","1","-"
"2401909","Caiçara do Rio do Vento (RN)","Total","Total","892","892","-","-","-","-"
"2402006","Caicó (RN)","Total","Total","18618","17575","251","755","37","-"
"2402105","Campo Redondo (RN)","Total","Total","2876","2876","-","-","-","-"
"2402204","Canguaretama (RN)","Total","Total","7684","7575","61","30","18","-"
"2402303","Caraúbas (RN)","Total","Total","5866","5791","16","59","-","-"
"2402402","Carnaúba dos Dantas (RN)","Total","Total","2244","2244","-","-","-","-"
"2402501","Carnaubais (RN)","Total","Total","2767","2741","1","-","25","-"
"2402600","Ceará-Mirim (RN)","Total","Total","17289","16911","347","9","22","-"
"2402709","Cerro Corá (RN)","Total","Total","3055","3053","-","2","-","-"
"2402808","Coronel Ezequiel (RN)","Total","Total","1573","1573","-","-","-","-"
"2402907","Coronel João Pessoa (RN)","Total","Total","1273","1273","-","-","-","-"
"2403004","Cruzeta (RN)","Total","Total","2449","2421","1","22","5","-"
"2403103","Currais Novos (RN)","Total","Total","12464","12022","164","273","5","-"
"2403202","Doutor Severiano (RN)","Total","Total","1771","1768","-","3","-","-"
"2403251","Parnamirim (RN)","Total","Total","60329","47584","5468","7176","101","-"
"2403301","Encanto (RN)","Total","Total","1481","1480","-","1","-","-"
"2403400","Equador (RN)","Total","Total","1727","1726","-","1","-","-"
"2403509","Espírito Santo (RN)","Total","Total","2950","2948","1","1","-","-"
"2403608","Extremoz (RN)","Total","Total","6499","6419","55","18","7","-"
"2403707","Felipe Guerra (RN)","Total","Total","1670","1663","-","6","1","-"
"2403756","Fernando Pedroza (RN)","Total","Total","852","852","-","-","-","-"
"2403806","Florânia (RN)","Total","Total","2548","2546","-","2","-","-"
"2403905","Francisco Dantas (RN)","Total","Total","835","835","-","-","-","-"
"2404002","Frutuoso Gomes (RN)","Total","Total","1295","1295","-","-","-","-"
"2404101","Galinhos (RN)","Total","Total","558","556","2","-","-","-"
"2404200","Goianinha (RN)","Total","Total","5596","5569","11","15","1","-"
"2404309","Governador Dix-Sept Rosado (RN)","Total","Total","3458","3453","-","2","3","-"
"2404408","Grossos (RN)","Total","Total","2812","2802","6","2","2","-"
"2404507","Guamaré (RN)","Total","Total","3329","3198","64","7","60","-"
"2404606","Ielmo Marinho (RN)","Total","Total","3349","3346","2","1","-","-"
"2404705","Ipanguaçu (RN)","Total","Total","3776","3769","1","6","-","-"
"2404804","Ipueira (RN)","Total","Total","640","640","-","-","-","-"
"2404853","Itajá (RN)","Total","Total","1881","1879","-","2","-","-"
"2404903","Itaú (RN)","Total","Total","1672","1671","-","-","1","-"
"2405009","Jaçanã (RN)","Total","Total","2319","2319","-","-","-","-"
"2405108","Jandaíra (RN)","Total","Total","1856","1853","3","-","-","-"
"2405207","Janduís (RN)","Total","Total","1506","1501","-","5","-","-"
"2405306","Januário Cicco (RN)","Total","Total","2455","2455","-","-","-","-"
"2405405","Japi (RN)","Total","Total","1595","1594","-","-","1","-"
"2405504","Jardim de Angicos (RN)","Total","Total","730","730","-","-","-","-"
"2405603","Jardim de Piranhas (RN)","Total","Total","3857","3846","4","7","-","-"
"2405702","Jardim do Seridó (RN)","Total","Total","3835","3758","-","76","1","-"
"2405801","João Câmara (RN)","Total","Total","8551","8491","51","4","5","-"
"2405900","João Dias (RN)","Total","Total","752","752","-","-","-","-"
"2406007","José da Penha (RN)","Total","Total","1807","1799","-","8","-","-"
"2406106","Jucurutu (RN)","Total","Total","5269","5225","-","43","1","-"
"2406155","Jundiá (RN)","Total","Total","1022","1022","-","-","-","-"
"2406205","Lagoa d'Anta (RN)","Total","Total","1683","1683","-","-","-","-"
"2406304","Lagoa de Pedras (RN)","Total","Total","1958","1954","1","2","1","-"
"2406403","Lagoa de Velhos (RN)","Total","Total","744","743","1","-","-","-"
"2406502","Lagoa Nova (RN)","Total","Total","3682","3668","-","12","2","-"
"2406601","Lagoa Salgada (RN)","Total","Total","2087","2074","12","-","1","-"
"2406700","Lajes (RN)","Total","Total","2921","2914","3","2","2","-"
"2406809","Lajes Pintadas (RN)","Total","Total","1314","1314","-","-","-","-"
"2406908","Lucrécia (RN)","Total","Total","1061","1058","-","2","1","-"
"2407005","Luís Gomes (RN)","Total","Total","2600","2600","-","-","-","-"
"2407104","Macaíba (RN)","Total","Total","19463","19175","247","23","18","-"
"2407203","Macau (RN)","Total","Total","8522","8329","114","68","11","-"
"2407252","Major Sales (RN)","Total","Total","1003","1003","-","-","-","-"
"2407302","Marcelino Vieira (RN)","Total","Total","2393","2382","11","-","-","-"
"2407401","Martins (RN)","Total","Total","2403","2402","-","-","1","-"
"2407500","Maxaranguape (RN)","Total","Total","2595","2579","8","5","3","-"
"2407609","Messias Targino (RN)","Total","Total","1176","1175","-","1","-","-"
"2407708","Montanhas (RN)","Total","Total","3095","3091","-","4","-","-"
"2407807","Monte Alegre (RN)","Total","Total","5711","5689","22","-","-","-"
"2407906","Monte das Gameleiras (RN)","Total","Total","654","654","-","-","-","-"
"2408003","Mossoró (RN)","Total","Total","73365","68199","2034","3100","32","-"
"2408102","Natal (RN)","Total","Total","235522","191591","15503","27901","527","-"
"2408201","Nísia Floresta (RN)","Total","Total","6379","6335","21","12","11","-"
"2408300","Nova Cruz (RN)","Total","Total","9786","9760","5","16","5","-"
"2408409","Olho d'Água do Borges (RN)","Total","Total","1284","1278","-","6","-","-"
"2408508","Ouro Branco (RN)","Total","Total","1389","1388","-","1","-","-"
"2408607","Paraná (RN)","Total","Total","1122","1122","-","-","-","-"
"2408706","Paraú (RN)","Total","Total","1100","1099","-","1","-","-"
"2408805","Parazinho (RN)","Total","Total","1215","1206","9","-","-","-"
"2408904","Parelhas (RN)","Total","Total","6067","5966","43","58","-","-"
"2408953","Rio do Fogo (RN)","Total","Total","2568","2565","-","3","-","-"
"2409100","Passa e Fica (RN)","Total","Total","3053","3051","-","1","1","-"
"2409209","Passagem (RN)","Total","Total","843","843","-","-","-","-"
"2409308","Patu (RN)","Total","Total","3642","3630","-","12","-","-"
"2409332","Santa Maria (RN)","Total","Total","1312","1311","-","-","1","-"
"2409407","Pau dos Ferros (RN)","Total","Total","8032","7744","14","273","1","-"
"2409506","Pedra Grande (RN)","Total","Total","903","903","-","-","-","-"
"2409605","Pedra Preta (RN)","Total","Total","662","662","-","-","-","-"
"2409704","Pedro Avelino (RN)","Total","Total","1991","1989","1","-","1","-"
"2409803","Pedro Velho (RN)","Total","Total","3816","3809","1","5","1","-"
"2409902","Pendências (RN)","Total","Total","3856","3819","26","9","2","-"
"2410009","Pilões (RN)","Total","Total","960","959","-","1","-","-"
"2410108","Poço Branco (RN)","Total","Total","3359","3354","3","-","2","-"
"2410207","Portalegre (RN)","Total","Total","2130","2124","1","4","1","-"
"2410256","Porto do Mangue (RN)","Total","Total","1441","1439","-","2","-","-"
"2410306","Serra Caiada (RN)","Total","Total","2308","2308","-","-","-","-"
"2410405","Pureza (RN)","Total","Total","2151","2149","1","-","1","-"
"2410504","Rafael Fernandes (RN)","Total","Total","1349","1349","-","-","-","-"
"2410603","Rafael Godeiro (RN)","Total","Total","954","952","2","-","-","-"
"2410702","Riacho da Cruz (RN)","Total","Total","911","910","-","1","-","-"
"2410801","Riacho de Santana (RN)","Total","Total","1225","1225","-","-","-","-"
"2410900","Riachuelo (RN)","Total","Total","1846","1839","1","-","6","-"
"2411007","Rodolfo Fernandes (RN)","Total","Total","1245","1243","-","-","2","-"
"2411056","Tibau (RN)","Total","Total","1011","1006","5","-","-","-"
"2411106","Ruy Barbosa (RN)","Total","Total","969","969","-","-","-","-"
"2411205","Santa Cruz (RN)","Total","Total","9917","9832","20","63","2","-"
"2411403","Santana do Matos (RN)","Total","Total","4047","4040","4","3","-","-"
"2411429","Santana do Seridó (RN)","Total","Total","723","721","-","1","1","-"
"2411502","Santo Antônio (RN)","Total","Total","6371","6364","5","2","-","-"
"2411601","São Bento do Norte (RN)","Total","Total","794","792","1","-","1","-"
"2411700","São Bento do Trairí (RN)","Total","Total","1027","1025","2","-","-","-"
"2411809","São Fernando (RN)","Total","Total","1003","1003","-","-","-","-"
"2411908","São Francisco do Oeste (RN)","Total","Total","1160","1158","-","2","-","-"
"2412005","São Gonçalo do Amarante (RN)","Total","Total","24451","22859","1226","346","20","-"
"2412104","São João do Sabugi (RN)","Total","Total","1839","1828","3","8","-","-"
"2412203","São José de Mipibu (RN)","Total","Total","10799","10585","193","9","12","-"
"2412302","São José do Campestre (RN)","Total","Total","3449","3424","24","1","-","-"
"2412401","São José do Seridó (RN)","Total","Total","1238","1238","-","-","-","-"
"2412500","São Miguel (RN)","Total","Total","6204","5984","2","218","-","-"
"2412559","São Miguel do Gostoso (RN)","Total","Total","2197","2177","14","6","-","-"
"2412609","São Paulo do Potengi (RN)","Total","Total","4527","4401","120","5","1","-"
"2412708","São Pedro (RN)","Total","Total","1723","1721","1","1","-","-"
"2412807","São Rafael (RN)","Total","Total","2410","2408","2","-","-","-"
"2412906","São Tomé (RN)","Total","Total","3120","3114","-","4","2","-"
"2413003","São Vicente (RN)","Total","Total","1811","1810","-","-","1","-"
"2413102","Senador Elói de Souza (RN)","Total","Total","1544","1497","4","2","41","-"
"2413201","Senador Georgino Avelino (RN)","Total","Total","1042","1042","-","-","-","-"
"2413300","Serra de São Bento (RN)","Total","Total","1584","1562","22","-","-","-"
"2413359","Serra do Mel (RN)","Total","Total","2789","2776","8","3","2","-"
"2413409","Serra Negra do Norte (RN)","Total","Total","2151","2148","-","3","-","-"
"2413508","Serrinha (RN)","Total","Total","1782","1782","-","-","-","-"
"2413557","Serrinha dos Pintos (RN)","Total","Total","1372","1372","-","-","-","-"
"2413607","Severiano Melo (RN)","Total","Total","1725","1712","-","13","-","-"
"2413706","Sítio Novo (RN)","Total","Total","1427","1427","-","-","-","-"
"2413805","Taboleiro Grande (RN)","Total","Total","690","687","-","3","-","-"
"2413904","Taipu (RN)","Total","Total","3045","3037","1","4","3","-"
"2414001","Tangará (RN)","Total","Total","3906","3893","5","2","6","-"
"2414100","Tenente Ananias (RN)","Total","Total","2663","2659","1","2","1","-"
"2414159","Tenente Laurentino Cruz (RN)","Total","Total","1541","1538","-","3","-","-"
"2414209","Tibau do Sul (RN)","Total","Total","3221","3090","83","44","4","-"
"2414308","Timbaúba dos Batistas (RN)","Total","Total","675","675","-","-","-","-"
"2414407","Touros (RN)","Total","Total","7910","7836","72","-","2","-"
"2414456","Triunfo Potiguar (RN)","Total","Total","917","916","-","-","1","-"
"2414506","Umarizal (RN)","Total","Total","3122","3104","-","18","-","-"
"2414605","Upanema (RN)","Total","Total","3704","3704","-","-","-","-"
"2414704","Várzea (RN)","Total","Total","1546","1545","-","-","1","-"
"2414753","Venha-Ver (RN)","Total","Total","931","931","-","-","-","-"
"2414803","Vera Cruz (RN)","Total","Total","2765","2757","1","1","6","-"
"2414902","Viçosa (RN)","Total","Total","481","481","-","-","-","-"
"2415008","Vila Flor (RN)","Total","Total","687","687","-","-","-","-"
"2500106","Água Branca (PB)","Total","Total","2559","2554","-","5","-","-"
"2500205","Aguiar (PB)","Total","Total","1659","1657","1","1","-","-"
"2500304","Alagoa Grande (PB)","Total","Total","8012","7956","37","19","-","-"
"2500403","Alagoa Nova (PB)","Total","Total","5434","5427","-","-","7","-"
"2500502","Alagoinha (PB)","Total","Total","3686","3634","-","52","-","-"
"2500536","Alcantil (PB)","Total","Total","1565","1564","1","-","-","-"
"2500577","Algodão de Jandaíra (PB)","Total","Total","673","673","-","-","-","-"
"2500601","Alhandra (PB)","Total","Total","5017","4993","15","2","7","-"
"2500700","São João do Rio do Peixe (PB)","Total","Total","5367","5344","2","20","1","-"
"2500734","Amparo (PB)","Total","Total","636","636","-","-","-","-"
"2500775","Aparecida (PB)","Total","Total","2207","2205","-","2","-","-"
"2500809","Araçagi (PB)","Total","Total","5004","5001","-","3","-","-"
"2500908","Arara (PB)","Total","Total","3911","3910","1","-","-","-"
"2501005","Araruna (PB)","Total","Total","5222","5207","7","2","6","-"
"2501104","Areia (PB)","Total","Total","6345","6220","7","112","6","-"
"2501153","Areia de Baraúnas (PB)","Total","Total","488","488","-","-","-","-"
"2501203","Areial (PB)","Total","Total","1951","1946","-","5","-","-"
"2501302","Aroeiras (PB)","Total","Total","5421","5416","5","-","-","-"
"2501351","Assunção (PB)","Total","Total","1042","1042","-","-","-","-"
"2501401","Baía da Traição (PB)","Total","Total","2096","2091","-","3","1","1"
"2501500","Bananeiras (PB)","Total","Total","5930","5909","5","15","1","-"
"2501534","Baraúna (PB)","Total","Total","1300","1300","-","-","-","-"
"2501575","Barra de Santana (PB)","Total","Total","2421","2414","1","6","-","-"
"2501609","Barra de Santa Rosa (PB)","Total","Total","4191","4187","4","-","-","-"
"2501708","Barra de São Miguel (PB)","Total","Total","1633","1628","-","3","2","-"
"2501807","Bayeux (PB)","Total","Total","27934","26197","1498","147","92","-"
"2501906","Belém (PB)","Total","Total","5150","5109","3","38","-","-"
"2502003","Belém do Brejo do Cruz (PB)","Total","Total","1966","1962","3","1","-","-"
"2502052","Bernardino Batista (PB)","Total","Total","799","796","3","-","-","-"
"2502102","Boa Ventura (PB)","Total","Total","1492","1490","1","1","-","-"
"2502151","Boa Vista (PB)","Total","Total","1730","1722","1","7","-","-"
"2502201","Bom Jesus (PB)","Total","Total","699","695","-","4","-","-"
"2502300","Bom Sucesso (PB)","Total","Total","1513","1509","2","1","1","-"
"2502409","Bonito de Santa Fé (PB)","Total","Total","2801","2792","-","9","-","-"
"2502508","Boqueirão (PB)","Total","Total","4853","4797","4","52","-","-"
"2502607","Igaracy (PB)","Total","Total","1730","1730","-","-","-","-"
"2502706","Borborema (PB)","Total","Total","1395","1395","-","-","-","-"
"2502805","Brejo do Cruz (PB)","Total","Total","3629","3546","20","62","1","-"
"2502904","Brejo dos Santos (PB)","Total","Total","1826","1826","-","-","-","-"
"2503001","Caaporã (PB)","Total","Total","5443","5345","20","2","76","-"
"2503100","Cabaceiras (PB)","Total","Total","1508","1507","1","-","-","-"
"2503209","Cabedelo (PB)","Total","Total","17110","13016","691","3285","118","-"
"2503308","Cachoeira dos Índios (PB)","Total","Total","2597","2593","2","2","-","-"
"2503407","Cacimba de Areia (PB)","Total","Total","1031","1030","1","-","-","-"
"2503506","Cacimba de Dentro (PB)","Total","Total","4602","4596","6","-","-","-"
"2503555","Cacimbas (PB)","Total","Total","1808","1808","-","-","-","-"
"2503605","Caiçara (PB)","Total","Total","2100","2080","18","-","2","-"
"2503704","Cajazeiras (PB)","Total","Total","17279","16767","31","450","31","-"
"2503753","Cajazeirinhas (PB)","Total","Total","824","824","-","-","-","-"
"2503803","Caldas Brandão (PB)","Total","Total","1703","1703","-","-","-","-"
"2503902","Camalaú (PB)","Total","Total","1857","1852","2","3","-","-"
"2504009","Campina Grande (PB)","Total","Total","111852","100257","1142","9712","741","-"
"2504033","Capim (PB)","Total","Total","1461","1460","1","-","-","-"
"2504074","Caraúbas (PB)","Total","Total","1191","1188","-","-","3","-"
"2504108","Carrapateira (PB)","Total","Total","590","590","-","-","-","-"
"2504157","Casserengue (PB)","Total","Total","1947","1946","-","-","1","-"
"2504207","Catingueira (PB)","Total","Total","1307","1307","-","-","-","-"
"2504306","Catolé do Rocha (PB)","Total","Total","8227","8039","10","178","-","-"
"2504355","Caturité (PB)","Total","Total","1329","1329","-","-","-","-"
"2504405","Conceição (PB)","Total","Total","5112","5103","-","8","1","-"
"2504504","Condado (PB)","Total","Total","1891","1890","-","1","-","-"
"2504603","Conde (PB)","Total","Total","5781","5521","132","52","76","-"
"2504702","Congo (PB)","Total","Total","1478","1477","1","-","-","-"
"2504801","Coremas (PB)","Total","Total","4351","4208","-","142","1","-"
"2504850","Coxixola (PB)","Total","Total","588","587","-","1","-","-"
"2504900","Cruz do Espírito Santo (PB)","Total","Total","4201","4021","164","7","9","-"
"2505006","Cubati (PB)","Total","Total","2027","2026","1","-","-","-"
"2505105","Cuité (PB)","Total","Total","5869","5837","3","29","-","-"
"2505204","Cuitegi (PB)","Total","Total","1898","1889","-","9","-","-"
"2505238","Cuité de Mamanguape (PB)","Total","Total","1729","1729","-","-","-","-"
"2505279","Curral de Cima (PB)","Total","Total","1465","1462","-","3","-","-"
"2505303","Curral Velho (PB)","Total","Total","648","648","-","-","-","-"
"2505352","Damião (PB)","Total","Total","1376","1370","1","4","1","-"
"2505402","Desterro (PB)","Total","Total","2312","2303","1","8","-","-"
"2505501","Vista Serrana (PB)","Total","Total","916","913","1","2","-","-"
"2505600","Diamante (PB)","Total","Total","1764","1761","-","3","-","-"
"2505709","Dona Inês (PB)","Total","Total","2956","2954","2","-","-","-"
"2505808","Duas Estradas (PB)","Total","Total","1074","1074","-","-","-","-"
"2505907","Emas (PB)","Total","Total","819","819","-","-","-","-"
"2506004","Esperança (PB)","Total","Total","9097","8910","-","186","1","-"
"2506103","Fagundes (PB)","Total","Total","3248","3231","3","14","-","-"
"2506202","Frei Martinho (PB)","Total","Total","960","960","-","-","-","-"
"2506251","Gado Bravo (PB)","Total","Total","2229","2229","-","-","-","-"
"2506301","Guarabira (PB)","Total","Total","16252","15659","37","539","17","-"
"2506400","Gurinhém (PB)","Total","Total","3870","3870","-","-","-","-"
"2506509","Gurjão (PB)","Total","Total","942","924","2","16","-","-"
"2506608","Ibiara (PB)","Total","Total","1762","1759","2","1","-","-"
"2506707","Imaculada (PB)","Total","Total","2906","2903","-","3","-","-"
"2506806","Ingá (PB)","Total","Total","5230","5221","5","-","4","-"
"2506905","Itabaiana (PB)","Total","Total","7465","7431","9","18","7","-"
"2507002","Itaporanga (PB)","Total","Total","6424","6209","-","214","1","-"
"2507101","Itapororoca (PB)","Total","Total","4791","4790","-","-","1","-"
"2507200","Itatuba (PB)","Total","Total","2835","2832","3","-","-","-"
"2507309","Jacaraú (PB)","Total","Total","4055","4045","1","6","3","-"
"2507408","Jericó (PB)","Total","Total","2107","2077","1","27","2","-"
"2507507","João Pessoa (PB)","Total","Total","213256","157415","10883","44366","592","-"
"2507606","Juarez Távora (PB)","Total","Total","2187","2187","-","-","-","-"
"2507705","Juazeirinho (PB)","Total","Total","4481","4466","5","10","-","-"
"2507804","Junco do Seridó (PB)","Total","Total","1895","1888","4","3","-","-"
"2507903","Juripiranga (PB)","Total","Total","2904","2879","6","-","19","-"
"2508000","Juru (PB)","Total","Total","2715","2709","6","-","-","-"
"2508109","Lagoa (PB)","Total","Total","1315","1312","1","2","-","-"
"2508208","Lagoa de Dentro (PB)","Total","Total","2169","2167","-","2","-","-"
"2508307","Lagoa Seca (PB)","Total","Total","7180","7063","63","51","3","-"
"2508406","Lastro (PB)","Total","Total","725","724","-","1","-","-"
"2508505","Livramento (PB)","Total","Total","2043","2042","-","-","1","-"
"2508554","Logradouro (PB)","Total","Total","1104","1101","1","1","1","-"
"2508604","Lucena (PB)","Total","Total","3102","3084","2","10","6","-"
"2508703","Mãe d'Água (PB)","Total","Total","1177","1173","-","4","-","-"
"2508802","Malta (PB)","Total","Total","1640","1640","-","-","-","-"
"2508901","Mamanguape (PB)","Total","Total","11559","11380","82","90","7","-"
"2509008","Manaíra (PB)","Total","Total","2929","2927","-","2","-","-"
"2509057","Marcação (PB)","Total","Total","2040","2036","3","1","-","-"
"2509107","Mari (PB)","Total","Total","6322","6284","29","1","8","-"
"2509156","Marizópolis (PB)","Total","Total","1754","1736","-","18","-","-"
