"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4101002001","Centro - Ampére (PR)","Total","10 a 14 anos","161","5","5","6","1","-","-","-","-","-","-","-","144","-"
"4101002001","Centro - Ampére (PR)","Total","15 a 19 anos","192","3","7","35","34","1","2","-","-","-","-","-","110","-"
"4101002001","Centro - Ampére (PR)","Total","15 a 17 anos","117","2","7","16","8","-","-","-","-","-","-","-","84","-"
"4101002001","Centro - Ampére (PR)","Total","18 ou 19 anos","75","1","-","19","26","1","2","-","-","-","-","-","26","-"
"4101002001","Centro - Ampére (PR)","Total","20 a 24 anos","172","-","1","46","69","11","9","2","-","-","-","-","34","-"
"4101002001","Centro - Ampére (PR)","Total","25 a 29 anos","161","1","3","31","61","15","13","9","2","2","-","1","23","-"
"4101002001","Centro - Ampére (PR)","Total","30 a 34 anos","151","2","1","24","47","21","29","12","4","1","-","-","10","-"
"4101002001","Centro - Ampére (PR)","Total","35 a 39 anos","150","-","-","35","46","18","29","8","1","2","2","-","9","-"
"4101002001","Centro - Ampére (PR)","Total","40 a 44 anos","183","-","3","27","50","31","31","17","-","4","1","-","19","-"
"4101002001","Centro - Ampére (PR)","Total","45 a 49 anos","153","-","1","33","33","15","24","28","3","-","1","-","15","-"
"4101002001","Centro - Ampére (PR)","Total","50 a 54 anos","112","1","1","26","15","13","12","19","4","1","1","1","18","-"
"4101002001","Centro - Ampére (PR)","Total","55 a 59 anos","90","1","1","13","20","9","13","13","1","2","-","-","17","-"
"4101002001","Centro - Ampére (PR)","Total","60 a 69 anos","132","-","2","64","27","5","10","8","3","1","1","-","11","-"
"4101002001","Centro - Ampére (PR)","Total","70 anos ou mais","116","2","-","58","30","8","7","3","2","-","-","-","6","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","10 a 14 anos","143","9","1","1","-","-","-","-","-","-","-","-","132","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","15 a 19 anos","182","6","11","67","25","1","-","-","-","-","-","-","72","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","15 a 17 anos","110","6","8","28","9","-","-","-","-","-","-","-","59","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","18 ou 19 anos","72","-","3","39","16","1","-","-","-","-","-","-","13","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","20 a 24 anos","168","-","4","52","77","13","3","-","-","-","-","-","19","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","25 a 29 anos","136","-","4","29","61","20","4","4","2","-","-","-","12","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","30 a 34 anos","129","1","1","32","46","21","8","7","2","-","-","-","11","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","35 a 39 anos","144","-","3","46","55","15","8","8","1","-","-","-","8","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","40 a 44 anos","128","2","4","34","47","11","6","10","1","-","-","-","13","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","45 a 49 anos","143","-","4","39","50","15","5","5","-","-","-","-","25","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","50 a 54 anos","84","1","5","25","25","8","3","3","1","-","-","-","13","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","55 a 59 anos","71","-","1","26","13","9","6","-","-","1","-","1","14","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","60 a 69 anos","128","1","1","75","27","8","1","7","-","-","-","-","8","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","70 anos ou mais","94","1","-","65","23","3","-","1","-","-","-","-","1","-"
"4101002003","São Francisco - Ampére (PR)","Total","10 a 14 anos","220","8","3","3","-","-","-","-","-","-","-","-","206","-"
"4101002003","São Francisco - Ampére (PR)","Total","15 a 19 anos","228","4","12","75","49","-","-","-","-","-","-","-","88","-"
"4101002003","São Francisco - Ampére (PR)","Total","15 a 17 anos","137","3","10","41","9","-","-","-","-","-","-","-","74","-"
"4101002003","São Francisco - Ampére (PR)","Total","18 ou 19 anos","91","1","2","34","40","-","-","-","-","-","-","-","14","-"
"4101002003","São Francisco - Ampére (PR)","Total","20 a 24 anos","191","2","1","63","91","7","3","-","1","-","-","-","23","-"
"4101002003","São Francisco - Ampére (PR)","Total","25 a 29 anos","157","-","3","29","82","15","7","5","-","-","-","-","16","-"
"4101002003","São Francisco - Ampére (PR)","Total","30 a 34 anos","154","-","4","46","57","15","9","3","-","-","-","-","20","-"
"4101002003","São Francisco - Ampére (PR)","Total","35 a 39 anos","145","3","-","36","71","11","6","1","-","-","-","-","17","-"
"4101002003","São Francisco - Ampére (PR)","Total","40 a 44 anos","138","4","2","44","49","8","11","4","-","-","-","-","16","-"
"4101002003","São Francisco - Ampére (PR)","Total","45 a 49 anos","129","1","2","55","39","5","4","2","1","-","-","-","20","-"
"4101002003","São Francisco - Ampére (PR)","Total","50 a 54 anos","108","-","3","35","32","9","5","1","-","-","-","-","23","-"
"4101002003","São Francisco - Ampére (PR)","Total","55 a 59 anos","87","1","2","37","18","4","6","1","1","-","-","-","17","-"
"4101002003","São Francisco - Ampére (PR)","Total","60 a 69 anos","120","2","2","78","18","4","3","2","-","-","-","-","11","-"
"4101002003","São Francisco - Ampére (PR)","Total","70 anos ou mais","108","-","-","77","27","1","1","-","-","-","1","-","1","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","10 a 14 anos","224","12","3","6","-","-","-","-","-","-","-","-","203","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","15 a 19 anos","231","4","13","102","36","-","1","-","-","-","-","-","75","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","15 a 17 anos","142","4","11","57","13","-","-","-","-","-","-","-","57","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","18 ou 19 anos","89","-","2","45","23","-","1","-","-","-","-","-","18","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","20 a 24 anos","200","1","2","68","94","6","1","-","-","-","-","-","28","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","25 a 29 anos","172","1","6","50","79","11","3","1","-","-","-","-","21","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","30 a 34 anos","186","3","3","55","88","9","6","-","-","-","-","-","22","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","35 a 39 anos","167","2","3","64","63","10","1","1","-","-","-","-","23","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","40 a 44 anos","141","8","8","53","51","2","2","-","-","-","-","-","17","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","45 a 49 anos","119","3","3","47","30","7","6","2","-","-","-","-","21","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","50 a 54 anos","111","2","6","49","31","3","1","-","-","-","-","-","19","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","55 a 59 anos","66","-","4","29","18","3","-","2","-","-","-","-","10","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","60 a 69 anos","103","-","3","63","22","2","2","1","-","-","-","-","10","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","70 anos ou mais","89","-","1","51","34","-","-","-","-","-","-","-","3","-"
"4101002005","Rondinha - Ampére (PR)","Total","10 a 14 anos","52","1","1","2","-","-","-","-","-","-","-","-","48","-"
"4101002005","Rondinha - Ampére (PR)","Total","15 a 19 anos","41","-","2","7","6","1","-","-","-","-","-","-","25","-"
"4101002005","Rondinha - Ampére (PR)","Total","15 a 17 anos","29","-","2","3","3","-","-","-","-","-","-","-","21","-"
"4101002005","Rondinha - Ampére (PR)","Total","18 ou 19 anos","12","-","-","4","3","1","-","-","-","-","-","-","4","-"
"4101002005","Rondinha - Ampére (PR)","Total","20 a 24 anos","71","1","1","16","34","3","2","-","-","-","-","-","14","-"
"4101002005","Rondinha - Ampére (PR)","Total","25 a 29 anos","73","2","-","12","28","7","6","2","-","-","-","-","16","-"
"4101002005","Rondinha - Ampére (PR)","Total","30 a 34 anos","59","-","1","7","19","8","2","2","-","1","-","-","19","-"
"4101002005","Rondinha - Ampére (PR)","Total","35 a 39 anos","60","-","-","15","15","14","2","2","-","-","-","-","12","-"
"4101002005","Rondinha - Ampére (PR)","Total","40 a 44 anos","39","1","-","8","8","5","5","2","-","-","-","-","10","-"
"4101002005","Rondinha - Ampére (PR)","Total","45 a 49 anos","33","1","3","7","12","2","1","1","-","-","-","-","6","-"
"4101002005","Rondinha - Ampére (PR)","Total","50 a 54 anos","32","-","2","6","5","6","2","1","-","-","-","-","10","-"
"4101002005","Rondinha - Ampére (PR)","Total","55 a 59 anos","22","-","-","8","5","2","-","1","-","-","-","-","6","-"
"4101002005","Rondinha - Ampére (PR)","Total","60 a 69 anos","34","-","1","13","7","2","-","-","-","-","-","-","11","-"
"4101002005","Rondinha - Ampére (PR)","Total","70 anos ou mais","22","-","-","11","4","-","1","-","-","-","-","-","6","-"
"4101002006","Industrial I - Ampére (PR)","Total","10 a 14 anos","4","-","-","1","-","-","-","-","-","-","-","-","3","-"
"4101002006","Industrial I - Ampére (PR)","Total","15 a 19 anos","5","-","-","3","-","-","-","-","-","-","-","-","2","-"
"4101002006","Industrial I - Ampére (PR)","Total","15 a 17 anos","3","-","-","2","-","-","-","-","-","-","-","-","1","-"
"4101002006","Industrial I - Ampére (PR)","Total","18 ou 19 anos","2","-","-","1","-","-","-","-","-","-","-","-","1","-"
"4101002006","Industrial I - Ampére (PR)","Total","20 a 24 anos","1","-","-","1","-","-","-","-","-","-","-","-","-","-"
"4101002006","Industrial I - Ampére (PR)","Total","25 a 29 anos","1","-","-","1","-","-","-","-","-","-","-","-","-","-"
