"Tabela 3604 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país, por tempo habitual de deslocamento do domicílio para o trabalho principal, segundo a situação do domicílio e os grupos de horas habitualmente trabalhadas por semana no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país (Pessoas)"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Ano x Tempo habitual de deslocamento do domicílio para o trabalho principal x Situação do domicílio"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","2010"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Até cinco minutos","De seis minutos até meia hora","Mais de meia hora até uma hora","Mais de uma hora até duas horas","Mais de duas horas"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Total","Total","Total","Total","Total"
"2201556","Bela Vista do Piauí (PI)","Total","290","454","80","22","-"
"2201572","Belém do Piauí (PI)","Total","206","396","107","9","6"
"2201606","Beneditinos (PI)","Total","638","1584","508","84","5"
"2201705","Bertolínia (PI)","Total","282","817","211","81","52"
"2201739","Betânia do Piauí (PI)","Total","402","832","176","106","18"
"2201770","Boa Hora (PI)","Total","357","1259","154","74","6"
"2201804","Bocaina (PI)","Total","327","845","181","15","3"
"2201903","Bom Jesus (PI)","Total","1674","4269","613","133","108"
"2201919","Bom Princípio do Piauí (PI)","Total","194","721","210","32","-"
"2201929","Bonfim do Piauí (PI)","Total","509","806","241","16","10"
"2201945","Boqueirão do Piauí (PI)","Total","354","691","146","8","-"
"2201960","Brasileira (PI)","Total","518","802","228","72","2"
"2201988","Brejo do Piauí (PI)","Total","378","466","64","14","-"
"2202000","Buriti dos Lopes (PI)","Total","818","2664","765","166","66"
"2202026","Buriti dos Montes (PI)","Total","391","971","330","132","79"
"2202059","Cabeceiras do Piauí (PI)","Total","419","892","206","85","9"
"2202075","Cajazeiras do Piauí (PI)","Total","187","574","235","60","10"
"2202083","Cajueiro da Praia (PI)","Total","309","911","170","39","12"
"2202091","Caldeirão Grande do Piauí (PI)","Total","441","1307","202","97","4"
"2202109","Campinas do Piauí (PI)","Total","248","1084","106","36","4"
"2202117","Campo Alegre do Fidalgo (PI)","Total","340","288","24","8","2"
"2202133","Campo Grande do Piauí (PI)","Total","279","1042","225","39","13"
"2202174","Campo Largo do Piauí (PI)","Total","350","918","520","98","41"
"2202208","Campo Maior (PI)","Total","2234","7451","1075","331","174"
"2202251","Canavieira (PI)","Total","224","551","99","25","26"
"2202307","Canto do Buriti (PI)","Total","961","2609","362","65","12"
"2202406","Capitão de Campos (PI)","Total","753","1641","461","110","28"
"2202455","Capitão Gervásio Oliveira (PI)","Total","191","282","47","18","11"
"2202505","Caracol (PI)","Total","584","1349","433","121","15"
"2202539","Caraúbas do Piauí (PI)","Total","200","423","188","38","26"
"2202554","Caridade do Piauí (PI)","Total","361","697","114","40","17"
"2202604","Castelo do Piauí (PI)","Total","967","2005","389","107","76"
"2202653","Caxingó (PI)","Total","162","966","158","46","7"
"2202703","Cocal (PI)","Total","1459","3981","937","199","46"
"2202711","Cocal de Telha (PI)","Total","209","565","144","39","14"
"2202729","Cocal dos Alves (PI)","Total","236","654","179","46","-"
"2202737","Coivaras (PI)","Total","217","358","175","52","5"
"2202752","Colônia do Gurguéia (PI)","Total","511","1159","111","65","37"
"2202778","Colônia do Piauí (PI)","Total","503","1179","132","41","5"
"2202802","Conceição do Canindé (PI)","Total","367","567","256","50","10"
"2202851","Coronel José Dias (PI)","Total","429","699","157","48","5"
"2202901","Corrente (PI)","Total","1721","4149","839","176","132"
"2203008","Cristalândia do Piauí (PI)","Total","427","829","157","29","32"
"2203107","Cristino Castro (PI)","Total","1293","1693","321","148","63"
"2203206","Curimatá (PI)","Total","597","1305","407","95","48"
"2203230","Currais (PI)","Total","288","678","141","84","37"
"2203255","Curralinhos (PI)","Total","99","452","153","96","12"
"2203271","Curral Novo do Piauí (PI)","Total","345","1179","244","57","17"
"2203305","Demerval Lobão (PI)","Total","611","1906","893","235","63"
"2203354","Dirceu Arcoverde (PI)","Total","1161","1409","134","21","-"
"2203404","Dom Expedito Lopes (PI)","Total","392","1065","237","51","24"
"2203420","Domingos Mourão (PI)","Total","361","448","84","22","5"
"2203453","Dom Inocêncio (PI)","Total","1808","1008","132","42","21"
"2203503","Elesbão Veloso (PI)","Total","575","2120","670","195","39"
"2203602","Eliseu Martins (PI)","Total","371","676","135","20","15"
"2203701","Esperantina (PI)","Total","2142","6706","1224","353","131"
"2203750","Fartura do Piauí (PI)","Total","564","554","104","24","-"
"2203800","Flores do Piauí (PI)","Total","350","666","159","12","10"
"2203859","Floresta do Piauí (PI)","Total","186","237","24","19","3"
"2203909","Floriano (PI)","Total","3451","12593","1422","424","108"
"2204006","Francinópolis (PI)","Total","158","464","165","78","11"
"2204105","Francisco Ayres (PI)","Total","294","429","181","26","8"
"2204154","Francisco Macedo (PI)","Total","227","267","82","14","5"
"2204204","Francisco Santos (PI)","Total","585","1745","318","9","6"
"2204303","Fronteiras (PI)","Total","500","2002","314","98","9"
"2204352","Geminiano (PI)","Total","236","875","250","35","2"
"2204402","Gilbués (PI)","Total","473","1122","117","34","30"
"2204501","Guadalupe (PI)","Total","474","2295","338","67","5"
"2204550","Guaribas (PI)","Total","239","250","123","11","8"
"2204600","Hugo Napoleão (PI)","Total","96","551","104","28","6"
"2204659","Ilha Grande (PI)","Total","390","1086","514","233","58"
"2204709","Inhuma (PI)","Total","853","2606","839","188","18"
"2204808","Ipiranga do Piauí (PI)","Total","827","1619","433","84","23"
"2204907","Isaías Coelho (PI)","Total","299","999","210","63","28"
"2205003","Itainópolis (PI)","Total","987","2108","412","134","50"
"2205102","Itaueira (PI)","Total","1187","1999","313","49","32"
"2205151","Jacobina do Piauí (PI)","Total","480","1007","256","86","10"
"2205201","Jaicós (PI)","Total","1206","2602","633","472","98"
"2205250","Jardim do Mulato (PI)","Total","285","586","168","7","-"
"2205276","Jatobá do Piauí (PI)","Total","212","869","96","43","-"
"2205300","Jerumenha (PI)","Total","328","353","34","17","23"
"2205359","João Costa (PI)","Total","255","476","122","49","19"
"2205409","Joaquim Pires (PI)","Total","522","1442","346","58","82"
"2205458","Joca Marques (PI)","Total","216","482","229","47","8"
"2205508","José de Freitas (PI)","Total","1734","5238","1391","953","148"
"2205516","Juazeiro do Piauí (PI)","Total","359","715","211","56","22"
"2205524","Júlio Borges (PI)","Total","307","486","150","44","10"
"2205532","Jurema (PI)","Total","373","459","76","15","13"
"2205540","Lagoinha do Piauí (PI)","Total","156","402","56","9","2"
"2205557","Lagoa Alegre (PI)","Total","476","1151","197","36","3"
"2205565","Lagoa do Barro do Piauí (PI)","Total","87","134","28","5","9"
"2205573","Lagoa de São Francisco (PI)","Total","332","531","142","37","10"
"2205581","Lagoa do Piauí (PI)","Total","259","594","108","51","6"
"2205599","Lagoa do Sítio (PI)","Total","239","586","194","39","2"
"2205607","Landri Sales (PI)","Total","231","440","196","115","41"
"2205706","Luís Correia (PI)","Total","961","3333","706","197","31"
"2205805","Luzilândia (PI)","Total","1509","4040","762","186","10"
"2205854","Madeiro (PI)","Total","305","1200","269","94","6"
"2205904","Manoel Emídio (PI)","Total","261","538","97","38","14"
"2205953","Marcolândia (PI)","Total","1075","1551","314","74","13"
"2206001","Marcos Parente (PI)","Total","239","562","84","24","23"
"2206050","Massapê do Piauí (PI)","Total","324","866","278","78","9"
"2206100","Matias Olímpio (PI)","Total","516","1338","577","112","8"
"2206209","Miguel Alves (PI)","Total","1317","3962","1069","544","50"
"2206308","Miguel Leão (PI)","Total","76","219","84","14","4"
"2206357","Milton Brandão (PI)","Total","327","629","115","30","4"
"2206407","Monsenhor Gil (PI)","Total","398","1464","361","95","15"
"2206506","Monsenhor Hipólito (PI)","Total","552","1203","235","60","27"
"2206605","Monte Alegre do Piauí (PI)","Total","547","1142","112","61","7"
"2206654","Morro Cabeça no Tempo (PI)","Total","344","541","80","5","-"
"2206670","Morro do Chapéu do Piauí (PI)","Total","449","1128","237","52","9"
"2206696","Murici dos Portelas (PI)","Total","358","938","205","62","27"
"2206704","Nazaré do Piauí (PI)","Total","312","973","187","77","9"
"2206720","Nazária (PI)","Total","132","834","559","113","3"
"2206753","Nossa Senhora de Nazaré (PI)","Total","192","237","111","25","-"
"2206803","Nossa Senhora dos Remédios (PI)","Total","330","1448","602","132","31"
"2206902","Novo Oriente do Piauí (PI)","Total","420","965","217","43","5"
"2206951","Novo Santo Antônio (PI)","Total","155","283","61","8","9"
"2207009","Oeiras (PI)","Total","2935","6271","981","289","54"
"2207108","Olho D'Água do Piauí (PI)","Total","146","296","38","27","3"
"2207207","Padre Marcos (PI)","Total","347","871","223","43","21"
"2207306","Paes Landim (PI)","Total","282","502","62","4","3"
"2207355","Pajeú do Piauí (PI)","Total","198","346","46","18","2"
"2207405","Palmeira do Piauí (PI)","Total","365","665","100","39","2"
"2207504","Palmeirais (PI)","Total","498","1619","376","116","42"
"2207553","Paquetá (PI)","Total","297","671","156","25","-"
"2207603","Parnaguá (PI)","Total","577","909","251","124","24"
"2207702","Parnaíba (PI)","Total","6589","30254","4283","1009","352"
"2207751","Passagem Franca do Piauí (PI)","Total","246","515","210","59","14"
"2207777","Patos do Piauí (PI)","Total","312","754","171","37","3"
"2207793","Pau D'Arco do Piauí (PI)","Total","132","513","152","77","11"
"2207801","Paulistana (PI)","Total","1062","2625","771","235","31"
"2207850","Pavussu (PI)","Total","340","823","176","45","6"
"2207900","Pedro II (PI)","Total","2157","5791","903","520","118"
"2207934","Pedro Laurentino (PI)","Total","191","330","54","4","10"
"2207959","Nova Santa Rita (PI)","Total","229","382","113","13","6"
"2208007","Picos (PI)","Total","4522","17411","2222","555","86"
"2208106","Pimenteiras (PI)","Total","494","1222","316","161","43"
"2208205","Pio IX (PI)","Total","1712","2479","432","71","66"
"2208304","Piracuruca (PI)","Total","2056","3235","492","269","75"
"2208403","Piripiri (PI)","Total","3476","11133","1825","609","113"
"2208502","Porto (PI)","Total","663","2242","627","116","81"
"2208551","Porto Alegre do Piauí (PI)","Total","264","297","67","14","10"
"2208601","Prata do Piauí (PI)","Total","166","267","54","29","9"
"2208650","Queimada Nova (PI)","Total","447","796","217","80","19"
"2208700","Redenção do Gurguéia (PI)","Total","657","1174","335","138","117"
"2208809","Regeneração (PI)","Total","716","2212","892","213","87"
"2208858","Riacho Frio (PI)","Total","140","270","95","22","14"
"2208874","Ribeira do Piauí (PI)","Total","453","739","154","68","18"
"2208908","Ribeiro Gonçalves (PI)","Total","252","594","89","31","6"
"2209005","Rio Grande do Piauí (PI)","Total","575","1179","164","92","19"
"2209104","Santa Cruz do Piauí (PI)","Total","362","868","194","44","20"
"2209153","Santa Cruz dos Milagres (PI)","Total","208","394","65","31","14"
"2209203","Santa Filomena (PI)","Total","230","409","85","22","3"
"2209302","Santa Luz (PI)","Total","399","840","231","35","10"
"2209351","Santana do Piauí (PI)","Total","313","745","96","22","4"
"2209377","Santa Rosa do Piauí (PI)","Total","290","712","168","65","5"
"2209401","Santo Antônio de Lisboa (PI)","Total","612","1624","330","61","3"
"2209450","Santo Antônio dos Milagres (PI)","Total","142","284","54","54","12"
"2209500","Santo Inácio do Piauí (PI)","Total","253","422","42","26","24"
"2209559","São Braz do Piauí (PI)","Total","480","614","141","29","12"
"2209609","São Félix do Piauí (PI)","Total","212","510","137","42","15"
"2209658","São Francisco de Assis do Piauí (PI)","Total","907","1139","58","43","-"
"2209708","São Francisco do Piauí (PI)","Total","402","785","265","62","-"
"2209757","São Gonçalo do Gurguéia (PI)","Total","133","151","37","9","8"
"2209807","São Gonçalo do Piauí (PI)","Total","262","435","91","35","-"
"2209856","São João da Canabrava (PI)","Total","263","989","171","35","13"
"2209872","São João da Fronteira (PI)","Total","342","268","51","10","3"
"2209906","São João da Serra (PI)","Total","394","657","160","72","5"
"2209955","São João da Varjota (PI)","Total","208","579","186","37","21"
"2209971","São João do Arraial (PI)","Total","258","940","336","49","13"
"2210003","São João do Piauí (PI)","Total","1374","3411","433","57","37"
"2210052","São José do Divino (PI)","Total","404","717","223","131","33"
"2210102","São José do Peixe (PI)","Total","194","311","90","22","10"
"2210201","São José do Piauí (PI)","Total","1028","1285","316","34","9"
"2210300","São Julião (PI)","Total","450","930","86","13","-"
"2210359","São Lourenço do Piauí (PI)","Total","1205","633","88","17","5"
"2210375","São Luis do Piauí (PI)","Total","150","533","119","36","6"
"2210383","São Miguel da Baixa Grande (PI)","Total","196","224","45","36","20"
"2210391","São Miguel do Fidalgo (PI)","Total","193","358","65","29","7"
"2210409","São Miguel do Tapuio (PI)","Total","699","1456","328","144","60"
"2210508","São Pedro do Piauí (PI)","Total","478","1946","451","156","58"
"2210607","São Raimundo Nonato (PI)","Total","2264","6605","1109","330","193"
"2210623","Sebastião Barros (PI)","Total","244","446","87","34","3"
"2210631","Sebastião Leal (PI)","Total","90","193","28","6","6"
"2210656","Sigefredo Pacheco (PI)","Total","535","933","267","38","33"
"2210706","Simões (PI)","Total","1143","3344","439","140","15"
"2210805","Simplício Mendes (PI)","Total","1048","2158","401","46","32"
"2210904","Socorro do Piauí (PI)","Total","231","471","54","14","7"
"2210938","Sussuapara (PI)","Total","482","1237","174","25","-"
"2210953","Tamboril do Piauí (PI)","Total","211","579","147","44","-"
"2210979","Tanque do Piauí (PI)","Total","273","394","208","69","32"
"2211001","Teresina (PI)","Total","23559","165782","67813","13283","1835"
"2211100","União (PI)","Total","1574","5447","1459","548","133"
"2211209","Uruçuí (PI)","Total","1076","3094","514","82","52"
"2211308","Valença do Piauí (PI)","Total","1380","3692","511","113","62"
"2211357","Várzea Branca (PI)","Total","389","577","151","45","14"
"2211407","Várzea Grande (PI)","Total","224","834","199","51","4"
"2211506","Vera Mendes (PI)","Total","136","688","102","17","3"
"2211605","Vila Nova do Piauí (PI)","Total","138","547","94","15","7"
"2211704","Wall Ferraz (PI)","Total","360","519","113","2","-"
"2300101","Abaiara (CE)","Total","624","1682","252","74","-"
"2300150","Acarape (CE)","Total","875","2508","227","107","33"
"2300200","Acaraú (CE)","Total","2767","7930","1214","242","68"
"2300309","Acopiara (CE)","Total","2960","8936","1516","235","62"
"2300408","Aiuaba (CE)","Total","1098","2799","586","169","31"
"2300507","Alcântaras (CE)","Total","612","1224","378","98","9"
"2300606","Altaneira (CE)","Total","341","1038","253","32","7"
"2300705","Alto Santo (CE)","Total","1698","1993","458","122","23"
"2300754","Amontada (CE)","Total","1759","4869","1113","434","112"
"2300804","Antonina do Norte (CE)","Total","502","891","152","49","6"
"2300903","Apuiarés (CE)","Total","972","1884","321","97","36"
"2301000","Aquiraz (CE)","Total","3582","11648","3617","728","71"
"2301109","Aracati (CE)","Total","3783","12580","1759","383","231"
"2301208","Aracoiaba (CE)","Total","968","3650","905","180","84"
"2301257","Ararendá (CE)","Total","506","1394","248","37","37"
"2301307","Araripe (CE)","Total","1041","3148","495","131","38"
"2301406","Aratuba (CE)","Total","806","1944","517","146","11"
"2301505","Arneiroz (CE)","Total","751","1441","172","38","12"
"2301604","Assaré (CE)","Total","1249","3214","873","220","44"
"2301703","Aurora (CE)","Total","1548","3184","574","127","46"
"2301802","Baixio (CE)","Total","614","1314","71","5","15"
"2301851","Banabuiú (CE)","Total","955","1860","338","107","31"
"2301901","Barbalha (CE)","Total","2532","10863","2664","489","76"
"2301950","Barreira (CE)","Total","734","2901","351","117","30"
"2302008","Barro (CE)","Total","1163","3174","356","53","-"
"2302057","Barroquinha (CE)","Total","720","1403","471","161","55"
"2302107","Baturité (CE)","Total","1885","5608","843","233","86"
"2302206","Beberibe (CE)","Total","2782","7506","1634","363","155"
"2302305","Bela Cruz (CE)","Total","1832","5010","1360","339","119"
"2302404","Boa Viagem (CE)","Total","2765","8209","1729","513","64"
"2302503","Brejo Santo (CE)","Total","2379","8445","1362","358","111"
"2302602","Camocim (CE)","Total","2855","10563","1311","321","117"
"2302701","Campos Sales (CE)","Total","1702","5152","1531","356","48"
"2302800","Canindé (CE)","Total","3340","10455","1385","402","176"
"2302909","Capistrano (CE)","Total","734","2396","549","206","26"
"2303006","Caridade (CE)","Total","853","2011","377","115","52"
"2303105","Cariré (CE)","Total","1095","2653","470","79","10"
"2303204","Caririaçu (CE)","Total","1076","3751","1135","286","67"
"2303303","Cariús (CE)","Total","1307","3147","400","119","27"
"2303402","Carnaubal (CE)","Total","1111","3068","592","212","72"
"2303501","Cascavel (CE)","Total","3245","11238","2343","791","100"
"2303600","Catarina (CE)","Total","1087","3405","641","53","28"
"2303659","Catunda (CE)","Total","737","1352","154","28","16"
"2303709","Caucaia (CE)","Total","9669","41677","30642","13155","1260"
"2303808","Cedro (CE)","Total","1871","2756","760","200","27"
"2303907","Chaval (CE)","Total","835","1595","260","50","11"
"2303931","Choró (CE)","Total","412","1057","191","63","14"
"2303956","Chorozinho (CE)","Total","1013","2787","819","195","83"
"2304004","Coreaú (CE)","Total","1071","3032","598","203","10"
"2304103","Crateús (CE)","Total","3604","11355","1790","525","186"
"2304202","Crato (CE)","Total","5021","26065","5864","973","143"
"2304236","Croatá (CE)","Total","995","2357","401","89","21"
"2304251","Cruz (CE)","Total","1721","3995","727","95","54"
"2304269","Deputado Irapuan Pinheiro (CE)","Total","621","2139","301","58","57"
"2304277","Ereré (CE)","Total","721","847","141","38","-"
"2304285","Eusébio (CE)","Total","2546","8593","3210","692","99"
"2304301","Farias Brito (CE)","Total","1086","3114","604","171","37"
"2304350","Forquilha (CE)","Total","1468","3816","881","65","8"
"2304400","Fortaleza (CE)","Total","68874","356158","265644","92052","8385"
"2304459","Fortim (CE)","Total","1128","1927","283","128","69"
"2304509","Frecheirinha (CE)","Total","1417","2279","303","33","5"
"2304608","General Sampaio (CE)","Total","356","855","167","11","45"
"2304657","Graça (CE)","Total","949","1669","172","42","5"
"2304707","Granja (CE)","Total","2371","6186","1634","381","76"
"2304806","Granjeiro (CE)","Total","356","763","166","73","7"
"2304905","Groaíras (CE)","Total","717","1606","785","120","-"
"2304954","Guaiúba (CE)","Total","916","2532","898","383","21"
"2305001","Guaraciaba do Norte (CE)","Total","2924","6941","595","280","8"
"2305100","Guaramiranga (CE)","Total","209","805","118","20","8"
"2305209","Hidrolândia (CE)","Total","1689","2906","391","104","28"
"2305233","Horizonte (CE)","Total","2092","12517","1682","418","46"
"2305266","Ibaretama (CE)","Total","754","1506","280","85","45"
"2305308","Ibiapina (CE)","Total","1833","4366","596","95","48"
"2305332","Ibicuitinga (CE)","Total","701","1613","168","42","12"
"2305357","Icapuí (CE)","Total","1202","2755","652","198","348"
"2305407","Icó (CE)","Total","3683","9972","1683","205","108"
"2305506","Iguatu (CE)","Total","5964","20575","3037","468","245"
"2305605","Independência (CE)","Total","1503","3135","773","227","20"
"2305654","Ipaporanga (CE)","Total","717","1189","244","46","10"
"2305704","Ipaumirim (CE)","Total","799","1955","240","5","-"
"2305803","Ipu (CE)","Total","2827","6766","917","291","49"
"2305902","Ipueiras (CE)","Total","2289","5062","832","128","25"
"2306009","Iracema (CE)","Total","1184","1837","283","56","36"
"2306108","Irauçuba (CE)","Total","1117","1656","301","69","51"
"2306207","Itaiçaba (CE)","Total","621","1082","285","123","13"
"2306256","Itaitinga (CE)","Total","720","3779","2150","927","121"
"2306306","Itapajé (CE)","Total","2627","8098","898","517","36"
"2306405","Itapipoca (CE)","Total","5902","18634","3679","947","188"
"2306504","Itapiúna (CE)","Total","668","2326","361","100","29"
"2306553","Itarema (CE)","Total","2681","4806","1379","322","71"
"2306603","Itatira (CE)","Total","787","2003","408","78","42"
"2306702","Jaguaretama (CE)","Total","951","1978","314","70","13"
"2306801","Jaguaribara (CE)","Total","888","1850","210","38","14"
"2306900","Jaguaribe (CE)","Total","2160","4896","797","311","162"
"2307007","Jaguaruana (CE)","Total","2378","4588","1194","184","99"
"2307106","Jardim (CE)","Total","1358","3675","691","139","19"
"2307205","Jati (CE)","Total","621","1514","296","35","-"
"2307254","Jijoca de Jericoacoara (CE)","Total","1463","3392","721","174","40"
"2307304","Juazeiro do Norte (CE)","Total","10099","50746","10748","1741","679"
"2307403","Jucás (CE)","Total","1317","2717","502","100","44"
"2307502","Lavras da Mangabeira (CE)","Total","1747","3538","984","275","49"
"2307601","Limoeiro do Norte (CE)","Total","3203","9938","1842","478","80"
"2307635","Madalena (CE)","Total","1281","2349","410","51","5"
"2307650","Maracanaú (CE)","Total","5728","34781","17709","7868","422"
"2307700","Maranguape (CE)","Total","3400","16049","6182","1923","310"
"2307809","Marco (CE)","Total","1620","5289","595","112","7"
"2307908","Martinópole (CE)","Total","730","1429","179","35","5"
"2308005","Massapê (CE)","Total","1160","4872","1926","426","100"
"2308104","Mauriti (CE)","Total","2905","6117","1685","423","36"
"2308203","Meruoca (CE)","Total","909","1861","768","150","4"
"2308302","Milagres (CE)","Total","1188","4067","981","161","15"
"2308351","Milhã (CE)","Total","693","1712","293","88","19"
"2308377","Miraíma (CE)","Total","643","1340","379","77","28"
"2308401","Missão Velha (CE)","Total","1756","5430","1196","302","73"
"2308500","Mombaça (CE)","Total","2057","5882","1009","404","48"
"2308609","Monsenhor Tabosa (CE)","Total","1149","2895","329","61","33"
"2308708","Morada Nova (CE)","Total","3265","8512","2116","608","158"
"2308807","Moraújo (CE)","Total","568","994","176","34","5"
"2308906","Morrinhos (CE)","Total","1189","2660","411","61","21"
"2309003","Mucambo (CE)","Total","1157","1652","261","28","-"
"2309102","Mulungu (CE)","Total","493","1894","460","117","38"
"2309201","Nova Olinda (CE)","Total","761","2762","382","127","22"
"2309300","Nova Russas (CE)","Total","2061","6186","764","188","55"
"2309409","Novo Oriente (CE)","Total","1081","3360","851","277","109"
"2309458","Ocara (CE)","Total","964","2822","659","206","-"
"2309508","Orós (CE)","Total","1310","4447","749","134","96"
"2309607","Pacajus (CE)","Total","2767","14706","2235","534","65"
"2309706","Pacatuba (CE)","Total","1551","9122","5020","2234","227"
"2309805","Pacoti (CE)","Total","773","2161","399","83","11"
"2309904","Pacujá (CE)","Total","651","943","126","29","-"
"2310001","Palhano (CE)","Total","483","1637","462","101","25"
"2310100","Palmácia (CE)","Total","500","1261","383","112","16"
"2310209","Paracuru (CE)","Total","1225","6017","1025","211","154"
"2310258","Paraipaba (CE)","Total","2175","4442","860","201","16"
"2310308","Parambu (CE)","Total","2229","5216","822","204","40"
"2310407","Paramoti (CE)","Total","461","1580","209","36","34"
"2310506","Pedra Branca (CE)","Total","1498","5376","1319","446","27"
"2310605","Penaforte (CE)","Total","656","1714","302","54","9"
"2310704","Pentecoste (CE)","Total","2203","4678","784","411","109"
"2310803","Pereiro (CE)","Total","699","2395","472","116","11"
"2310852","Pindoretama (CE)","Total","1095","3368","505","242","23"
"2310902","Piquet Carneiro (CE)","Total","830","2698","509","100","55"
"2310951","Pires Ferreira (CE)","Total","629","1363","193","11","4"
"2311009","Poranga (CE)","Total","676","1563","310","141","54"
"2311108","Porteiras (CE)","Total","837","2601","332","156","34"
"2311207","Potengi (CE)","Total","520","1761","337","53","21"
"2311231","Potiretama (CE)","Total","533","967","87","16","-"
"2311264","Quiterianópolis (CE)","Total","1467","3288","757","347","20"
"2311306","Quixadá (CE)","Total","5421","13713","1722","363","161"
"2311355","Quixelô (CE)","Total","1241","3453","661","160","31"
"2311405","Quixeramobim (CE)","Total","4349","12751","2005","361","115"
"2311504","Quixeré (CE)","Total","1306","2952","492","100","31"
"2311603","Redenção (CE)","Total","1524","3962","1156","213","65"
"2311702","Reriutaba (CE)","Total","1509","3223","325","58","4"
"2311801","Russas (CE)","Total","5185","15006","2147","510","159"
"2311900","Saboeiro (CE)","Total","1040","2296","583","166","51"
"2311959","Salitre (CE)","Total","1140","3455","779","125","40"
"2312007","Santana do Acaraú (CE)","Total","1168","2781","831","65","6"
"2312106","Santana do Cariri (CE)","Total","1006","2663","821","158","36"
"2312205","Santa Quitéria (CE)","Total","2608","6583","601","257","54"
"2312304","São Benedito (CE)","Total","2991","8919","1224","312","113"
"2312403","São Gonçalo do Amarante (CE)","Total","1870","6908","1815","422","37"
"2312502","São João do Jaguaribe (CE)","Total","811","1094","126","36","11"
"2312601","São Luís do Curu (CE)","Total","827","1701","298","100","14"
"2312700","Senador Pompeu (CE)","Total","2012","5204","685","130","51"
"2312809","Senador Sá (CE)","Total","521","1254","334","57","15"
"2312908","Sobral (CE)","Total","9379","44071","5002","795","231"
"2313005","Solonópole (CE)","Total","1432","2398","362","86","38"
"2313104","Tabuleiro do Norte (CE)","Total","1811","4096","625","137","55"
"2313203","Tamboril (CE)","Total","1763","2413","519","167","134"
"2313252","Tarrafas (CE)","Total","685","1522","239","81","8"
"2313302","Tauá (CE)","Total","3909","9376","1899","871","165"
"2313351","Tejuçuoca (CE)","Total","950","2243","434","143","24"
"2313401","Tianguá (CE)","Total","4111","12500","2315","356","105"
"2313500","Trairi (CE)","Total","4008","7868","1287","347","93"
"2313559","Tururu (CE)","Total","639","2254","241","79","14"
"2313609","Ubajara (CE)","Total","2995","6389","734","85","33"
"2313708","Umari (CE)","Total","462","891","86","22","15"
"2313757","Umirim (CE)","Total","923","2500","491","165","30"
"2313807","Uruburetama (CE)","Total","1195","3788","652","288","138"
"2313906","Uruoca (CE)","Total","872","1856","424","73","-"
"2313955","Varjota (CE)","Total","1455","2658","250","51","13"
"2314003","Várzea Alegre (CE)","Total","2579","6832","1134","271","45"
"2314102","Viçosa do Ceará (CE)","Total","3403","9341","1874","262","39"
"2400109","Acari (RN)","Total","1484","1365","122","6","10"
"2400208","Açu (RN)","Total","3106","10074","1671","425","167"
"2400307","Afonso Bezerra (RN)","Total","485","1453","264","62","-"
"2400406","Água Nova (RN)","Total","363","396","86","-","-"
"2400505","Alexandria (RN)","Total","986","1946","313","68","17"
"2400604","Almino Afonso (RN)","Total","491","710","121","18","9"
"2400703","Alto do Rodrigues (RN)","Total","1052","2065","343","131","5"
"2400802","Angicos (RN)","Total","883","1058","235","78","25"
"2400901","Antônio Martins (RN)","Total","601","872","127","31","-"
"2401008","Apodi (RN)","Total","1981","5674","867","195","62"
"2401107","Areia Branca (RN)","Total","1339","3759","457","144","65"
"2401206","Arês (RN)","Total","939","1679","374","222","9"
"2401305","Campo Grande (RN)","Total","637","1336","276","112","5"
"2401404","Baía Formosa (RN)","Total","627","1538","88","35","14"
"2401453","Baraúna (RN)","Total","1367","3301","931","138","46"
"2401503","Barcelona (RN)","Total","369","442","143","25","7"
"2401602","Bento Fernandes (RN)","Total","236","568","113","26","20"
"2401651","Bodó (RN)","Total","213","441","123","36","9"
"2401701","Bom Jesus (RN)","Total","664","1219","360","86","8"
"2401800","Brejinho (RN)","Total","680","1524","339","122","5"
"2401859","Caiçara do Norte (RN)","Total","414","589","112","64","180"
"2401909","Caiçara do Rio do Vento (RN)","Total","330","332","51","7","9"
"2402006","Caicó (RN)","Total","4580","14022","1231","149","179"
"2402105","Campo Redondo (RN)","Total","380","1037","256","38","13"
"2402204","Canguaretama (RN)","Total","1556","3572","1426","400","9"
"2402303","Caraúbas (RN)","Total","1217","3001","316","74","59"
"2402402","Carnaúba dos Dantas (RN)","Total","1002","1539","144","31","6"
"2402501","Carnaubais (RN)","Total","677","1367","344","113","25"
"2402600","Ceará-Mirim (RN)","Total","2151","8405","3761","1388","91"
"2402709","Cerro Corá (RN)","Total","785","1566","288","73","36"
"2402808","Coronel Ezequiel (RN)","Total","442","740","83","3","-"
