"Tabela 3604 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país, por tempo habitual de deslocamento do domicílio para o trabalho principal, segundo a situação do domicílio e os grupos de horas habitualmente trabalhadas por semana no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país (Pessoas)"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Ano x Tempo habitual de deslocamento do domicílio para o trabalho principal x Situação do domicílio"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","2010"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Até cinco minutos","De seis minutos até meia hora","Mais de meia hora até uma hora","Mais de uma hora até duas horas","Mais de duas horas"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Total","Total","Total","Total","Total"
"1200401","Rio Branco (AC)","Total","9291","64549","20581","4120","637"
"1200427","Rodrigues Alves (AC)","Total","483","1504","338","47","68"
"1200435","Santa Rosa do Purus (AC)","Total","326","517","84","18","1"
"1200450","Senador Guiomard (AC)","Total","1141","2949","977","145","63"
"1200500","Sena Madureira (AC)","Total","2407","4754","664","298","80"
"1200609","Tarauacá (AC)","Total","1935","3578","491","87","92"
"1200708","Xapuri (AC)","Total","1091","1874","273","80","58"
"1200807","Porto Acre (AC)","Total","385","1589","406","141","31"
"1300029","Alvarães (AM)","Total","487","1179","881","251","102"
"1300060","Amaturá (AM)","Total","246","488","300","314","54"
"1300086","Anamã (AM)","Total","667","1616","359","161","35"
"1300102","Anori (AM)","Total","1476","2341","738","236","107"
"1300144","Apuí (AM)","Total","1182","2503","243","144","140"
"1300201","Atalaia do Norte (AM)","Total","672","2788","913","62","24"
"1300300","Autazes (AM)","Total","2152","3375","1000","257","61"
"1300409","Barcelos (AM)","Total","888","2088","255","140","314"
"1300508","Barreirinha (AM)","Total","1188","2863","888","293","134"
"1300607","Benjamin Constant (AM)","Total","1849","3653","1618","804","246"
"1300631","Beruri (AM)","Total","1063","1672","617","461","110"
"1300680","Boa Vista do Ramos (AM)","Total","943","1776","673","267","129"
"1300706","Boca do Acre (AM)","Total","2072","3555","585","131","132"
"1300805","Borba (AM)","Total","2075","3231","877","382","144"
"1300839","Caapiranga (AM)","Total","604","1266","556","262","81"
"1300904","Canutama (AM)","Total","974","1471","500","134","86"
"1301001","Carauari (AM)","Total","1191","3102","838","574","526"
"1301100","Careiro (AM)","Total","966","2037","587","98","74"
"1301159","Careiro da Várzea (AM)","Total","999","1481","584","256","231"
"1301209","Coari (AM)","Total","4493","9938","1609","642","273"
"1301308","Codajás (AM)","Total","2420","2362","691","278","249"
"1301407","Eirunepé (AM)","Total","1755","4087","579","243","233"
"1301506","Envira (AM)","Total","1056","2163","301","198","92"
